business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.4803906, 'lng': -99.6984983}, 'viewport': {'northeast': {'lat': 32.4816713802915, 'lng': -99.6971534697085}, 'southwest': {'lat': 32.4789734197085, 'lng': -99.6998514302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116938738291415160563"">Subway</a>'], 'photo_reference': 'AW30NDwnfpOHoyDR4w3vWg297loaHguW9HFx36r00fp3Ap6DdruM3J_qLFSQ9m9WOo4lodDPtOtqgzivKhVDqbyqXzR4hdgFqkaBb9DifKo9fw_n56AravDEyD6CwnEJAaoOEMcfwdheCV1JhyJstkQY39hkvFZdsjQfRVnLBR5gOMXCvFKK', 'width': 1763}]",ChIJV_ZtH0uQVoYRN9RuNt3-cA8,"{'compound_code': 'F8J2+5J Abilene, TX, USA', 'global_code': '8642F8J2+5J'}",1.0,3.3,ChIJV_ZtH0uQVoYRN9RuNt3-cA8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.0,"1650 Texas 351, Abilene",
OPERATIONAL,"{'location': {'lat': 32.43203400000001, 'lng': -99.786226}, 'viewport': {'northeast': {'lat': 32.43332583029151, 'lng': -99.78488416970849}, 'southwest': {'lat': 32.43062786970851, 'lng': -99.78758213029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100568431494551995453"">Marcelino Gaona</a>'], 'photo_reference': 'AW30NDyNqHWH02tiUf6YrNBf5mtgIIw4fDiEVe-bVwV8UIkiwthRo-wL9DGXC6hl3SI8XwZGbxFCvEDcD722F_5dffFXisDSJ0ZtJqdXZyOd5TA6U9zvvaZUM0f7BnISMOgMMSqTkmi0k30FZj4YxmR_PATwn58YZjMTPX_0ioFosVYKarj5', 'width': 4000}]",ChIJidZWt56OVoYRly79PDd4jgk,"{'compound_code': 'C6J7+RG Abilene, TX, USA', 'global_code': '8642C6J7+RG'}",2.0,4.3,ChIJidZWt56OVoYRly79PDd4jgk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3102.0,"1381 South Danville Drive, Abilene",
OPERATIONAL,"{'location': {'lat': 32.40865429999999, 'lng': -99.7778462}, 'viewport': {'northeast': {'lat': 32.41005458029149, 'lng': -99.77641146970849}, 'southwest': {'lat': 32.40735661970849, 'lng': -99.77910943029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114983593625788986915"">Memo Munoz</a>'], 'photo_reference': 'AW30NDxRewNyrmT5jstWj9GmRohfHb83-UVspT-PoRxoYmg9W6FeHAZX1RuRFzqyHb1lir-gPS7iiCogzoQW4NjkYnqZzm23PknSSlYZ4uawvI6ZonBD5erIg6Gzi6H-299AyCVeWpznp-OsdooQP5OGalF1aBEORkaNQXFAsq-ofidX7nnw', 'width': 4032}]",ChIJd1WyDjeMVoYRmkdxxBs2WyQ,"{'compound_code': 'C65C+FV Abilene, TX, USA', 'global_code': '8642C65C+FV'}",2.0,4.5,ChIJd1WyDjeMVoYRmkdxxBs2WyQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",821.0,"3490 Catclaw Drive, Abilene",
OPERATIONAL,"{'location': {'lat': 32.4779383, 'lng': -99.6967334}, 'viewport': {'northeast': {'lat': 32.47927238029149, 'lng': -99.6953316197085}, 'southwest': {'lat': 32.47657441970849, 'lng': -99.69802958029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114656194034347801603"">Gary Park</a>'], 'photo_reference': 'AW30NDyW5AlhFzooJmSNGz2wirFID9CHvlW8pDh0SUYWpNgjI7y7NXFlCbiwaiw-3QSXBBozflENiQpXVqCtuXtF712Ech-KIeGmvuJ5NuLWOaSVX7JI4Vcm5ZCpZVWocEjRL983YYVHxZ27k9qSfmpz6B3h_oG3MERI3QLN5Xs73p81IhVi', 'width': 4032}]",ChIJnYreubSRVoYRH69XEmyATGc,"{'compound_code': 'F8H3+58 Abilene, TX, USA', 'global_code': '8642F8H3+58'}",1.0,3.4,ChIJnYreubSRVoYRH69XEmyATGc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",63.0,"1649 Texas 351, Abilene",
OPERATIONAL,"{'location': {'lat': 32.4636867, 'lng': -99.75828229999999}, 'viewport': {'northeast': {'lat': 32.4647574802915, 'lng': -99.7569950197085}, 'southwest': {'lat': 32.4620595197085, 'lng': -99.75969298029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104409227463962703365"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDw1VL9cEZRnO_B6j_XZoTPEsIQLOav8CeN1KdmfRuvbma3FcPOQuRTMoohxrqYr9XmKrOp1Iu9vpk6fP8xyad--WsU3VAuuDHmpauSHelXMZTokYzcqeFX8AdFA3pJwlMOWP9XTHT-iYdFECGnyNp2E0AVEvPz9srYBgQGxATdnuwnd', 'width': 1000}]",ChIJb0lfbVCOVoYRrN4XFvq9fD8,"{'compound_code': 'F67R+FM Abilene, TX, USA', 'global_code': '8642F67R+FM'}",1.0,3.7,ChIJb0lfbVCOVoYRrN4XFvq9fD8,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",473.0,"1200 North Mockingbird Lane, Abilene",
OPERATIONAL,"{'location': {'lat': 32.453595, 'lng': -99.73547049999999}, 'viewport': {'northeast': {'lat': 32.45493623029149, 'lng': -99.73394111970849}, 'southwest': {'lat': 32.4522382697085, 'lng': -99.7366390802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beehive Restaurant,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113530681524656077604"">Bruce Tentzer (TPUBRUCE)</a>'], 'photo_reference': 'AW30NDyc2lyv6qzganDlwo-uwpWApT07FPJxpRFujgPHZRJ7k2Km_e8R5O38RpmRMIuMNMboi6LT0PGPUMeMAoWyZUaEiZQ0v2lI0zzkniXM2XsYYlwAkFLn90H5Jnp-VJHEAvAPdRSHDvF5BWP8YVwZkUC-KjLB8dviQpSdnu5BzhJ0Aahu', 'width': 4032}]",ChIJlYtTXz2OVoYRQZF-DpH7BnQ,"{'compound_code': 'F737+CR Abilene, TX, USA', 'global_code': '8642F737+CR'}",3.0,4.5,ChIJlYtTXz2OVoYRQZF-DpH7BnQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",951.0,"442 Cedar Street, Abilene",
OPERATIONAL,"{'location': {'lat': 32.4620461, 'lng': -99.7055336}, 'viewport': {'northeast': {'lat': 32.46313788029151, 'lng': -99.70419216970849}, 'southwest': {'lat': 32.46043991970851, 'lng': -99.7068901302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100407756316831857593"">Bruce Anderson</a>'], 'photo_reference': 'AW30NDxqz5Di-PKUJBHPS-DPkLUDUMFUK1gnW_BiMuQwliptvUSolrI_HH6dYauHYQtBoZUJo4OgYZ1twBPoibGUe-sOwl1yT7E-KcHqMm9XxEP4tBXvS7u8PfQybsYBbLAJ0C6eSXjGrYbJde8Y-oQyz7EpiMWhAcZOg-oa0YYjhsmYyC95', 'width': 3264}]",ChIJvQ1zsMaRVoYRSj1Meh_CjB4,"{'compound_code': 'F76V+RQ Abilene, TX, USA', 'global_code': '8642F76V+RQ'}",1.0,3.4,ChIJvQ1zsMaRVoYRSj1Meh_CjB4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",94.0,"1117 North Judge Ely Boulevard, Abilene",
CLOSED_TEMPORARILY,"{'location': {'lat': 32.4628591, 'lng': -99.7574815}, 'viewport': {'northeast': {'lat': 32.46420868029149, 'lng': -99.7563117197085}, 'southwest': {'lat': 32.4615107197085, 'lng': -99.75900968029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118193681228920895477"">Subway</a>'], 'photo_reference': 'AW30NDwmZQl88OMbJY86WwH291_vU-DxS5xtm4s9fN6A2GYauO2lqEfGLKmg7tsicVw5aaSQKE7qgByJiHdipY-L4xYO2GGCJ4HDkh0QjKyhz8f3Or8a8CgKsZRktIyfQ5jj_L9h9GWv59t7XanTwjF-2hz6WmdRwaaF3C3gAWVNSvCOsI_L', 'width': 766}]",ChIJj1zGp1qOVoYRKYWYKfd2OV4,"{'compound_code': 'F67V+42 Abilene, TX, USA', 'global_code': '8642F67V+42'}",1.0,3.9,ChIJj1zGp1qOVoYRKYWYKfd2OV4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",114.0,"1149 North Mockingbird Lane, Abilene",True
OPERATIONAL,"{'location': {'lat': 32.4127512, 'lng': -99.77615829999999}, 'viewport': {'northeast': {'lat': 32.41417888029149, 'lng': -99.7747326697085}, 'southwest': {'lat': 32.4114809197085, 'lng': -99.7774306302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 2906, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117508897598364556336"">David Elkins</a>'], 'photo_reference': 'AW30NDxsMo6ZlpmJOT0p0lFowpblPQ-d7TT-XHOXLO3LptQ3vW3FtBc4CQ3NZHEai4_iZo3aJX8qllhgxibQQ8pGUgxwRtkah0TAww7pXmxuUv6QRuOosHGM9aphx3ElcmLql1udfw2hhMIpUhh5uvndCWebpWiuxP1_UJy89Lk_9ZVwJIk7', 'width': 3875}]",ChIJZZG6AjGMVoYRK_1wfEDsSlI,"{'compound_code': 'C67F+4G Abilene, TX, USA', 'global_code': '8642C67F+4G'}",2.0,3.5,ChIJZZG6AjGMVoYRK_1wfEDsSlI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",797.0,"3126 South Clack Street, Abilene",
OPERATIONAL,"{'location': {'lat': 32.3960685, 'lng': -99.76266629999999}, 'viewport': {'northeast': {'lat': 32.39743978029151, 'lng': -99.76121836970849}, 'southwest': {'lat': 32.39474181970851, 'lng': -99.7639163302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103567321656519929441"">R D</a>'], 'photo_reference': 'AW30NDzTds2ViB7a2wIfBgF-YwqbtL91_OX4pNui4rgdHBuOyvsVzI8RHK2sVAlHClkJ3WziQ6r_xAdw6UziZA0PQeG6RYqut_SwvaRu1rdiftmmAUZovC_qdyCwmsze3V7fBar-6wzbTG9rNJTt9ZpwkLASMf8AiWHPaJePNf8rTIgNNeiW', 'width': 2048}]",ChIJb50P5K2NVoYRp-C-Na8VDiA,"{'compound_code': '96WP+CW Abilene, TX, USA', 'global_code': '864296WP+CW'}",1.0,3.3,ChIJb50P5K2NVoYRp-C-Na8VDiA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",67.0,"4498 Buffalo Gap Road, Abilene",
