business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.0789618, 'lng': -81.5206812}, 'viewport': {'northeast': {'lat': 41.0803261302915, 'lng': -81.5192114697085}, 'southwest': {'lat': 41.0776281697085, 'lng': -81.5219094302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barley House,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107736977111498758668"">C Y</a>'], 'photo_reference': 'AW30NDz8rcOnuQ3oa6253I5ugowkVPb7Hrra0uV8o3WEcnOza7KsYBc6rYMmVhaIOGiIyTkeb3QnLmzmECb5k33B2NXrZupItvD-88ESCl_BlNutRzgHoXLqMAG8rgnZxclqC8L38lAfz1lMiFfQpF0hmCAMTIjfcWnqSnyXF6HbsEDkRU6T', 'width': 5184}]",ChIJKQ5JpijWMIgRZ20WVxtuQ30,"{'compound_code': '3FHH+HP Akron, OH, USA', 'global_code': '86HW3FHH+HP'}",2.0,3.6,ChIJKQ5JpijWMIgRZ20WVxtuQ30,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1151.0,"222 South Main Street #1B, Akron",
OPERATIONAL,"{'location': {'lat': 41.081157, 'lng': -81.519352}, 'viewport': {'northeast': {'lat': 41.0824288802915, 'lng': -81.5178166697085}, 'southwest': {'lat': 41.0797309197085, 'lng': -81.5205146302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Crave,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110170852864808666846"">Lorenzo Kidd</a>'], 'photo_reference': 'AW30NDx_RIKseOPVqel_ZasrteZDDY-0HUVdvbkrFB01GMVlZ3poohJ1ojJ_VNiUF2Qp7fWCBXeM-DOiiENI_3qCTPDt-NOWMkWNwkIP8vPzZD5LbfsyPimIX49GVQCaOv-mm2g2zHGU_073tsJFTQ6Xx-wPGGrBGk2rZ17nTl4hs34LXspE', 'width': 3264}]",ChIJ8eNidSrWMIgRyLmlqLSlfmo,"{'compound_code': '3FJJ+F7 Akron, OH, USA', 'global_code': '86HW3FJJ+F7'}",3.0,4.3,ChIJ8eNidSrWMIgRyLmlqLSlfmo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1022.0,"156 South Main Street, Akron",
OPERATIONAL,"{'location': {'lat': 41.077155, 'lng': -81.522247}, 'viewport': {'northeast': {'lat': 41.0784120302915, 'lng': -81.5206870697085}, 'southwest': {'lat': 41.0757140697085, 'lng': -81.52338503029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cilantro Thai & Sushi Restaurant,{'open_now': True},"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111206749855417485320"">Cilantro Thai &amp; Sushi Restaurant</a>'], 'photo_reference': 'AW30NDxwoJNZdg01k-7yyEqwGY0kpB1OdyCK2cUQ7ACIAjtM81mTwoRpZk59ddSc4zr-XohfRtiaf6a2xZGzKwhFFBT_TOja5nxUElMRXP8LcjTh4HdKDaUo0OtXB8ov5SAdGZMxobQSmdGUEtfqqCBG8UMuZ2_48I2pieiyOqG3CWABR_pv', 'width': 4272}]",ChIJ9_AvzyXWMIgRN9Nf-r8BKeI,"{'compound_code': '3FGH+V4 Akron, OH, USA', 'global_code': '86HW3FGH+V4'}",2.0,4.5,ChIJ9_AvzyXWMIgRN9Nf-r8BKeI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1163.0,"326 South Main Street #1204, Akron",
OPERATIONAL,"{'location': {'lat': 41.0960185, 'lng': -81.5426188}, 'viewport': {'northeast': {'lat': 41.0974280302915, 'lng': -81.54131246970849}, 'southwest': {'lat': 41.0947300697085, 'lng': -81.5440104302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aladdin's Eatery,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109168888893414132588"">Jana Owens</a>'], 'photo_reference': 'AW30NDwmvQary5Nf8y0OMXVnuFYCql2ryWGJ-Gl7c6MOgSrZgFV5vdYL_TCkywEbS8yyoioStmgkZgnyP2j-DRpl_Zp8wMgOAanrFKmYGfkwVD_NnN80qmQ_bA0MVpVvdAdLh-Hq7ry3cN47KSFgCnSRDq63y-G-_y9fJaINybnvbzVtmCwS', 'width': 4032}]",ChIJPVFuqbbXMIgRVkNDYSBr5WI,"{'compound_code': '3FW4+CX Akron, OH, USA', 'global_code': '86HW3FW4+CX'}",2.0,4.6,ChIJPVFuqbbXMIgRVkNDYSBr5WI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",728.0,"782 West Market Street, Akron",
OPERATIONAL,"{'location': {'lat': 41.10181850000001, 'lng': -81.4820919}, 'viewport': {'northeast': {'lat': 41.1032493802915, 'lng': -81.48076401970849}, 'southwest': {'lat': 41.10055141970851, 'lng': -81.4834619802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100987166119026763738"">Reggi Lane</a>'], 'photo_reference': 'AW30NDymX8F1LxgrX2n9a9n8W7O1KNfsnxKK4bSRT0fn5OBMOKuz4ogPFJQtec29h2fPMc_q6HtDdIOLN0SwflfKckj6RNyA11XWA-XtGgBwuNQUhASlbOnPnbBdiSS3qkz-8xOqw3V3fYW_hgxDmtRGvW18mwNmgIjJMUrFfRz01ye1UPP5', 'width': 4608}]",ChIJuSQXulwoMYgRQ1s3KH8g4XY,"{'compound_code': '4G29+P5 Akron, OH, USA', 'global_code': '86HW4G29+P5'}",1.0,3.8,ChIJuSQXulwoMYgRQ1s3KH8g4XY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",208.0,"904 East Tallmadge Avenue, Akron",
OPERATIONAL,"{'location': {'lat': 41.1145469, 'lng': -81.4956543}, 'viewport': {'northeast': {'lat': 41.1159400302915, 'lng': -81.4943871197085}, 'southwest': {'lat': 41.1132420697085, 'lng': -81.49708508029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Swensons Drive-In,{'open_now': True},"[{'height': 414, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114644716143425815560"">Swensons Drive-In</a>'], 'photo_reference': 'AW30NDxvO7hqnq1NEPoHHTEAoKlonOOdGFhjuEHFfgVhF4Nj6KpUGGuQH4fowj_qmTcLn_Fr-PG-9Z5q-OXt3tvFUTs0v8KAwre8ILBsnUJAHQDwHGANiE2M34rGJgufjJra6hvbXi_JTlHzv7m3pM06NN8-8vvqgvDUpdSA8blo8UJ14NgD', 'width': 960}]",ChIJx8GaHhMoMYgRXrgNaXpjaOE,"{'compound_code': '4G73+RP Akron, OH, USA', 'global_code': '86HW4G73+RP'}",1.0,4.5,ChIJx8GaHhMoMYgRXrgNaXpjaOE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",5861.0,"658 East Cuyahoga Falls Avenue, Akron",
OPERATIONAL,"{'location': {'lat': 41.09028859999999, 'lng': -81.52986489999999}, 'viewport': {'northeast': {'lat': 41.0917548802915, 'lng': -81.52855771970849}, 'southwest': {'lat': 41.0890569197085, 'lng': -81.53125568029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110834708968024575888"">Joe Heisler</a>'], 'photo_reference': 'AW30NDzthmr48ju0r9yHBRCNMZWx8U5rkqXlKNBiTx1alBL7Hq6XBnW8nDzHlb69O0d95U2cZEMq6iBsj71ZBfQ2bl-JrX3ZeMYWD2FGEWIg3VMCDxDp16028wEsrw2rFG54mFowXpov2z24SPWmdkZeEhyn8tjvLdc0w9wSkusKqbnG7xTY', 'width': 4000}]",ChIJV3dg2szXMIgRqIyO1WgQGvg,"{'compound_code': '3FRC+43 Akron, OH, USA', 'global_code': '86HW3FRC+43'}",1.0,3.2,ChIJV3dg2szXMIgRqIyO1WgQGvg,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1494.0,"390 West Market Street, Akron",
OPERATIONAL,"{'location': {'lat': 41.0934958, 'lng': -81.53536419999999}, 'viewport': {'northeast': {'lat': 41.0948180802915, 'lng': -81.53411336970849}, 'southwest': {'lat': 41.0921201197085, 'lng': -81.5368113302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rockne's Pub Akron,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107915544148706543965"">Rockne&#39;s Pub Akron</a>'], 'photo_reference': 'AW30NDwZROkgK_IdTYbhoRFIIEimjcvjAncgvaTDQNHT0qAGVQUjvRwFqFG8NW4i6q58RrAEb4X3Z1atdSM8mB83NULyZ5H6k0ML-T_iRIFACqlcCZlUY-stXJltbwwh2s2iF6BLYg5nFyNrlBJljyKvLpe5V-HEtUPOm8yAaSiq9T3dqzMZ', 'width': 1536}]",ChIJ0RtZTsrXMIgRXZPv1knuQTw,"{'compound_code': '3FV7+9V Akron, OH, USA', 'global_code': '86HW3FV7+9V'}",2.0,4.2,ChIJ0RtZTsrXMIgRXZPv1knuQTw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",695.0,"7 Merriman Road, Akron",
OPERATIONAL,"{'location': {'lat': 41.073037, 'lng': -81.5142055}, 'viewport': {'northeast': {'lat': 41.0743597302915, 'lng': -81.5127039197085}, 'southwest': {'lat': 41.0716617697085, 'lng': -81.5154018802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100413853980652435746"">Loving my kids</a>'], 'photo_reference': 'AW30NDzpuSD_nljr3JlNqfR2CEFZeoPY1TVhcIDZPOXoh_O4qFqQqHhO_d2euDNzW9h8UjT1I17Rgo_cDJf_Ms1Ds7HPBByZ3gz8tPu1lhVx5HXnYVrQyfShfzd5hyD7osSxGf7pO39yUtl2iXjVaJ0FnDjraqAGwXb1Ms3ma2jOGJ5eYiuB', 'width': 2560}]",ChIJPwS9N98pMYgRFzritiqx2DM,"{'compound_code': '3FFP+68 Akron, OH, USA', 'global_code': '86HW3FFP+68'}",1.0,3.3,ChIJPwS9N98pMYgRFzritiqx2DM,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2143.0,"246 East Exchange Street, Akron",
OPERATIONAL,"{'location': {'lat': 41.0887632, 'lng': -81.5155171}, 'viewport': {'northeast': {'lat': 41.0900041302915, 'lng': -81.51414976970851}, 'southwest': {'lat': 41.0873061697085, 'lng': -81.51684773029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,dba - dante boccuzzi akron,{'open_now': False},"[{'height': 1360, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102567259872919726328"">Joel Testa</a>'], 'photo_reference': 'AW30NDyW1OyA_Bmc28DVtcVR5K6IRzcHw2tBq5eqCHP-z4oDyqU_QQ815b_aPol-aXoxQY42dIxYdyKCy5nFe6aocLVArDt62yKwfuEqGvQeX7BqN7Db__fAsY7FcKKFBxkOHz2NAzENF_ihILOvDE1WmKrpQS847U10wAE_cjiRjrluKqAh', 'width': 2048}]",ChIJdZ-0VNUpMYgRTaEdmrjgpGE,"{'compound_code': '3FQM+GQ Akron, OH, USA', 'global_code': '86HW3FQM+GQ'}",3.0,4.5,ChIJdZ-0VNUpMYgRTaEdmrjgpGE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",344.0,"21 Furnace Street Suite 402, Akron",
