business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 35.07940499999999, 'lng': -106.620498}, 'viewport': {'northeast': {'lat': 35.0807893802915, 'lng': -106.6192570697085}, 'southwest': {'lat': 35.0780914197085, 'lng': -106.6219550302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Patio De Albuquerque,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106271333859296698906"">Angela M. Acosta (MotherRealtor)</a>'], 'photo_reference': 'AW30NDyQASGh8GUs7GVR3isuW7NgIKYzcL33uY9as2OfzhTxX-4Hr3Tx-0smNZJ5MedRpqobOUHrwC5mXTcRBl3S0H-F5pplZ35HMFp4EAOGMVelJo9ljuKuHwXjPh5LlFmqxDDZvB_zOWr1PvSIusAaehLCTFxOl3FqYcrBP4C8vfYWC5cr', 'width': 3024}]",ChIJZcEG9WYLIocReH5E0vV3Nv4,"{'compound_code': '39HH+QR Albuquerque, NM, USA', 'global_code': '857M39HH+QR'}",1.0,4.4,ChIJZcEG9WYLIocReH5E0vV3Nv4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1537,"142 Harvard Drive Southeast, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.1040799, 'lng': -106.6710918}, 'viewport': {'northeast': {'lat': 35.1053692802915, 'lng': -106.6698714697085}, 'southwest': {'lat': 35.1026713197085, 'lng': -106.6725694302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wild Avocado Cork & Tap,{'open_now': True},"[{'height': 2847, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102870435805584070697"">Wild Avocado Cork &amp; Tap</a>'], 'photo_reference': 'AW30NDz74AwKNfq9D5u4pBfszZZ9WaMOm-y9c_D5NLF6unCsIKsrfrZjk4ygFckV0waiSwYXUMOIbEc2MoXwfdTiW4JaOnsVvRlDKGNJ5XhyhW7Vk4NOcBMwwQViAlePEb_z919--f1dKac5YOcvYShQSc_1RRpuGLK-NQHuJAFFn86oSDsn', 'width': 5061}]",ChIJC_tKSClzIocRFbzgNkSn70Q,"{'compound_code': '483H+JH Albuquerque, NM, USA', 'global_code': '857M483H+JH'}",,3.9,ChIJC_tKSClzIocRFbzgNkSn70Q,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",216,"1015 Rio Grande Boulevard Northwest, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.078804, 'lng': -106.591652}, 'viewport': {'northeast': {'lat': 35.08007003029149, 'lng': -106.5901919697085}, 'southwest': {'lat': 35.0773720697085, 'lng': -106.5928899302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dion's,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104737248464988401400"">D. Wright</a>'], 'photo_reference': 'AW30NDybSZ8pfODY175foccvAxINFNP4NqH4T8WBwbEu7XLJsOh_XN6V92aXkq0TznmzQ3UJ0NfVrME63D8TNEZ3Rt42MH14CMmGeV6rQiYE4BjO0Z8-52FKYugVR7ImZFL_WOhHjfCRLV7DnTZaIQ44XPCXbWF0NQnaMOqiLkaEd0D_diHH', 'width': 4032}]",ChIJydtM9xoLIocRKs8pMHvJu0c,"{'compound_code': '3CH5+G8 Albuquerque, NM, USA', 'global_code': '857M3CH5+G8'}",1.0,4.5,ChIJydtM9xoLIocRKs8pMHvJu0c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2052,"4717 Central Avenue Northeast, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.08396739999999, 'lng': -106.6483386}, 'viewport': {'northeast': {'lat': 35.08539803029149, 'lng': -106.6469743197085}, 'southwest': {'lat': 35.08270006970849, 'lng': -106.6496722802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tucanos Brazilian Grill,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100863037846283592002"">Kip (Kip)</a>'], 'photo_reference': 'AW30NDxhDAekUncpYadWKghUKCpt6aZAoEF5D43ytI4mp3JhcfIvLWCrqBgX2nVn6SBNUlUeA25gpAHC5V7LcFevuGEJO9aCTF6WzQZ5RJoWWoJx1svCOqnD89H__XNTVq8pnzyf33GAZeU4hAlEqdpKxkUzzIDLrU5UmZ3GOBTgSNAcD_EA', 'width': 12000}]",ChIJy7P8yL4MIocR5bQuBVKzFtU,"{'compound_code': '39M2+HM Albuquerque, NM, USA', 'global_code': '857M39M2+HM'}",3.0,4.3,ChIJy7P8yL4MIocR5bQuBVKzFtU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4374,"110 Central Avenue Southwest, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.0798436, 'lng': -106.6062326}, 'viewport': {'northeast': {'lat': 35.0812434302915, 'lng': -106.6048664197085}, 'southwest': {'lat': 35.0785454697085, 'lng': -106.6075643802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Flying Star Cafe,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111839227375009974438"">Mohammad Faisal Khan</a>'], 'photo_reference': 'AW30NDzqZCvAAMIJX3W57Fx1RtvRLHtMmDZQNYsU9sJEKDORFz6ZkpJ-YZ4wbi78R_SOltmmW6u7kaAmw4c23K-omW0j0oAXyta0vujcR32iGsEY3foNWgfcezD_9PmEBvPs41_ohmlK68meuwc1zaELFAc6dHtyvoGoD4z13ZeWut3XTxW7', 'width': 4032}]",ChIJe0IgpmwLIocRYbPZLujIFsA,"{'compound_code': '39HV+WG Albuquerque, NM, USA', 'global_code': '857M39HV+WG'}",2.0,4.3,ChIJe0IgpmwLIocRYbPZLujIFsA,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1449,"3416 Central Avenue Northeast, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.1180816, 'lng': -106.674698}, 'viewport': {'northeast': {'lat': 35.1194433802915, 'lng': -106.6735490697085}, 'southwest': {'lat': 35.1167454197085, 'lng': -106.6762470302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111543350950814855400"">Kathrin Kirtley</a>'], 'photo_reference': 'AW30NDxJJaRfZTGFeMPZGBljRmRzYDItWsFzqiSEhildxKhaZEdX8544I4Nnt6yEMP5Z0zC4qyfBH8dGYYnahxv8pwFxjHCKFLe1GBDeOXj9jXCgEXeMUnERSBp-N4HXoE3lP0MyfUy2kzAmb6uPkufP8Xrib2iFEbeS-l1OLSKh33oOJKc_', 'width': 4032}]",ChIJE9zAGCBzIocRIjz1WJIETac,"{'compound_code': '489G+64 Albuquerque, NM, USA', 'global_code': '857M489G+64'}",1.0,4.2,ChIJE9zAGCBzIocRIjz1WJIETac,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",97,"2400 Rio Grande Boulevard Northwest Unit 3, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.0924734, 'lng': -106.6520719}, 'viewport': {'northeast': {'lat': 35.0937556802915, 'lng': -106.6507304697085}, 'southwest': {'lat': 35.0910577197085, 'lng': -106.6534284302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Slate Street Cafe,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114599655688176591535"">Brian Eagan</a>'], 'photo_reference': 'AW30NDyljcw_h31iFw-0jW-eFDMAJuIfzHl6l1930fd7Hem0yN61dQ8168l1NkCRgQPhyg44YXAjiRN6T-7XdlUVwxAHoJmaCEesDXXOfa0ZkU3k2UxpvUMeJPIgtQemlE8vt5-PTKDRtagjVWur8stivmFMf1qBtZDfchZNLjEi7v-9W7Nl', 'width': 3024}]",ChIJWSRPLrYMIocRq3qyliL0ZBo,"{'compound_code': '38RX+X5 Albuquerque, NM, USA', 'global_code': '857M38RX+X5'}",2.0,4.5,ChIJWSRPLrYMIocRq3qyliL0ZBo,GOOGLE,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",693,"515 Slate Avenue Northwest, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.109832, 'lng': -106.6087}, 'viewport': {'northeast': {'lat': 35.1111376802915, 'lng': -106.6073259697085}, 'southwest': {'lat': 35.1084397197085, 'lng': -106.6100239302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Richard's Mexican Restaurant,{'open_now': False},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117029906084860674680"">Richard&#39;s Mexican Restaurant</a>'], 'photo_reference': 'AW30NDzarkInD2nOwDM7qXyH44I-PBq1nCPyvExaDd1DhtaGqu9oibfPXodF3Ohsjh7ES11IxTJ0Igt_knWWkeYIt__VJvxYq3jG9dTA9EX_JxoA6qhaWD58DJWaKdI8e4_AJM8hR2euYszakVVxXllM9Hj_j2jjcXKrgHOC0ic9710PdJlL', 'width': 2048}]",ChIJTWiPubV0IocRUOE8Sajp6Ic,"{'compound_code': '495R+WG Albuquerque, NM, USA', 'global_code': '857M495R+WG'}",2.0,4.3,ChIJTWiPubV0IocRUOE8Sajp6Ic,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",401,"3301 Menaul Boulevard Northeast, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.0904751, 'lng': -106.6428868}, 'viewport': {'northeast': {'lat': 35.0918551802915, 'lng': -106.6416365197085}, 'southwest': {'lat': 35.0891572197085, 'lng': -106.6443344802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 2223, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118054767946966756146"">ウエストデイブ</a>'], 'photo_reference': 'AW30NDxH5po85SM07fAsiguR9OxlUHSV15Nq8UctYQN54BMKEj_NZsWZsPnC-gRGNeYYl52aos0VsofpFBoglbSnstHCy7YokSUy-I6LpdQ5FiELm5X4vJ-6S9J7YWcU6vURyOYbqO3o9X26qH0qsfgTxwv-efcGT5tst3kKbNwrmgs677Cc', 'width': 3837}]",ChIJRZhWm7oMIocRB9P7BZgQIyA,"{'compound_code': '39R4+5R Albuquerque, NM, USA', 'global_code': '857M39R4+5R'}",2.0,4.2,ChIJRZhWm7oMIocRB9P7BZgQIyA,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1002,"800 Broadway Boulevard Northeast, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.10955879999999, 'lng': -106.6199808}, 'viewport': {'northeast': {'lat': 35.11075598029149, 'lng': -106.6186787697085}, 'southwest': {'lat': 35.10805801970849, 'lng': -106.6213767302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108971659580524917682"">Sasha Davis</a>'], 'photo_reference': 'AW30NDx_G_PyEp4zh2yklRxdn2PHmclO3Fzy5T7tlE3RZBJVV_7I74bdkM8UGZ7OfZqUGPbkM0LxXXXC8OTmeoUTfl-LvmEN5xOZiR6HmpPM2S3EQtJrxGzMOnhkCnIhVIX1qlarKM2Lnx9OU2TpBw_6uYuRs-yyNZiVXps3-5SYKkeINMzv', 'width': 4000}]",ChIJZdh60q10IocRggfhILB96LY,"{'compound_code': '495J+R2 Albuquerque, NM, USA', 'global_code': '857M495J+R2'}",1.0,3.1,ChIJZdh60q10IocRggfhILB96LY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",71,"2103 Menaul Boulevard Northeast, Albuquerque",
