business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.8061413, 'lng': -77.05670049999999}, 'viewport': {'northeast': {'lat': 38.80757708029149, 'lng': -77.0553799697085}, 'southwest': {'lat': 38.8048791197085, 'lng': -77.0580779302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lorien Hotel & Spa,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103769270938871405278"">Lorien Hotel &amp; Spa</a>'], 'photo_reference': 'AW30NDzU-V7Q_mLLqTUJRQFoNCpzozQZ0ilD6I06TsgFi67VLyMFqIZ5s_VpH3voBi-XxD095bAiIz4HTmZyOiVmxHdOp2gHBlWf2aDilar4AQSc1Xg3CcYf4CAC0Vd1dP4Ab5QMt2XnaBApQZTocHJgIN2iN9dX9_hnqqdTghUfzyp8uBiu', 'width': 6000}]",ChIJy8CBhf-wt4kRPW8s8d31y94,"{'compound_code': 'RW4V+F8 Alexandria, VA, USA', 'global_code': '87C4RW4V+F8'}",3.0,4.3,ChIJy8CBhf-wt4kRPW8s8d31y94,GOOGLE,"['lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'establishment']",742,"1600 King Street, Alexandria",
OPERATIONAL,"{'location': {'lat': 38.847734, 'lng': -77.053865}, 'viewport': {'northeast': {'lat': 38.8491136802915, 'lng': -77.05243121970851}, 'southwest': {'lat': 38.8464157197085, 'lng': -77.05512918029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kohinoor Dhaba,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107258895538854112665"">Roberto Peña-Berrios</a>'], 'photo_reference': 'AW30NDyeZFs9RYQ0gfBDwuZLlht7-qBs8wmvN2sdaORGtUMgrUOeDdDq0uAH4MOGeNHL9XoHAwhGPwH6O4SLePWud9DswkXV5HLircxyY3WihiPkuR0Q-vnZaprvV4S8g5lpx_qoNd0IknmaxM8Yu6VyAit__7rrgxHtrFAlLoJ_eP1h0to5', 'width': 4128}]",ChIJza6I3iq3t4kRKlaCoAwNgHU,"{'compound_code': 'RWXW+3F Arlington, VA, USA', 'global_code': '87C4RWXW+3F'}",1.0,4.0,ChIJza6I3iq3t4kRKlaCoAwNgHU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",646,"2800 South Eads Street, Arlington",
OPERATIONAL,"{'location': {'lat': 38.8400039, 'lng': -77.0613834}, 'viewport': {'northeast': {'lat': 38.8412513802915, 'lng': -77.05982991970848}, 'southwest': {'lat': 38.8385534197085, 'lng': -77.06252788029148}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Birchmere,,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100249110901123873290"">The Birchmere</a>'], 'photo_reference': 'AW30NDyVdP0PjN460j_w33OztpXapAOemIXj2ZdfXoivXmYuIWGi5S4Ha99Cv4gHz-vSvRrdETEAZEBFQO0JFC6A1Wag4X_TLyskUN6YBaeDUMukBpRVqjvbqeVHGOcCy2-RPoh6vZGKT1cd3dvtFSZvRMr0yEucQR_CCkP1X1gEbEKBuc_r', 'width': 1024}]",ChIJCYMIJymxt4kRtCuoj5Ehk4U,"{'compound_code': 'RWRQ+2C Alexandria, VA, USA', 'global_code': '87C4RWRQ+2C'}",,4.6,ChIJCYMIJymxt4kRtCuoj5Ehk4U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2284,"3701 Mount Vernon Avenue, Alexandria",
OPERATIONAL,"{'location': {'lat': 38.8056347, 'lng': -77.06031399999999}, 'viewport': {'northeast': {'lat': 38.8071776302915, 'lng': -77.05867906970849}, 'southwest': {'lat': 38.8044796697085, 'lng': -77.06137703029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Joe Theismann's Restaurant,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113095289836381805235"">Joe Theismann&#39;s Restaurant</a>'], 'photo_reference': 'AW30NDyAWmXF45AXn4f2QijsidEfNP8iL2tSRwKBoCz91i4mHw9eMxzUQxOYzBWHPU_FFZ8zBAo5J5kXNAJmEYs9j64NjwblGQKAx3qIPkqwDTHALYSjGY82GaT210yfsU0d-H4tiDOvyjaQndsvIP8ElkQBU8zLbLf4ilDVD_LSk72F1AAO', 'width': 1800}]",ChIJnRWVe6qxt4kREcHgOUugQ-I,"{'compound_code': 'RW4Q+7V Alexandria, VA, USA', 'global_code': '87C4RW4Q+7V'}",2.0,4.4,ChIJnRWVe6qxt4kREcHgOUugQ-I,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2259,"1800 Diagonal Road, Alexandria",
OPERATIONAL,"{'location': {'lat': 38.8413075, 'lng': -77.0895182}, 'viewport': {'northeast': {'lat': 38.8426441302915, 'lng': -77.08831716970849}, 'southwest': {'lat': 38.8399461697085, 'lng': -77.09101513029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Busboys And Poets,{'open_now': True},"[{'height': 665, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109175418737732732426"">Busboys And Poets</a>'], 'photo_reference': 'AW30NDxxMOoAR7DS7mzOSpw0M6rEokhLh7zq0BPbLyjBou_3g2Md_PVV4xCAzXkdJmwqzpIJ2iVOwJIlb4dHG58cJPbKx69PSHVuSDU-DDhyURCEtZS1cy1mdE6v0OxWsDxdmL9QQhlgFPBpYIr9Y9ZadJLxYmc9vFs2VgBZr97ORY2hqi55', 'width': 1024}]",ChIJHR2r7E-xt4kRCippYbK-iTM,"{'compound_code': 'RWR6+G5 Arlington, VA, USA', 'global_code': '87C4RWR6+G5'}",2.0,4.4,ChIJHR2r7E-xt4kRCippYbK-iTM,GOOGLE,"['bar', 'cafe', 'book_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2130,"4251 Campbell Avenue, Arlington",
OPERATIONAL,"{'location': {'lat': 38.8115759, 'lng': -77.0513477}, 'viewport': {'northeast': {'lat': 38.8129477802915, 'lng': -77.0499215697085}, 'southwest': {'lat': 38.8102498197085, 'lng': -77.05261953029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bastille Brasserie & Bar,{'open_now': False},"[{'height': 1220, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105657979172008257138"">Bastille Brasserie &amp; Bar</a>'], 'photo_reference': 'AW30NDxmTjAU8HkLg1XQWPZEuEzP95naYoUnRh5Tur2UsvXPnRrQ4wLBaJmxGIR85DYzKc0GgNEsYsUFEYRQTUVSESLb70XbW4LhVzFc5Zpe_6jwfXOgovATXcvB5byyWKEKdT3RFYuzLLuQh9ffQTzQiySDsjMoff-gFE0CZmdsgPLB4XEi', 'width': 3434}]",ChIJY01RjO6wt4kR_TUHTwcUZdg,"{'compound_code': 'RW6X+JF Alexandria, VA, USA', 'global_code': '87C4RW6X+JF'}",3.0,4.4,ChIJY01RjO6wt4kR_TUHTwcUZdg,GOOGLE,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",586,"606 North Fayette Street, Alexandria",
CLOSED_TEMPORARILY,"{'location': {'lat': 38.8044579, 'lng': -77.04623029999999}, 'viewport': {'northeast': {'lat': 38.80578888029149, 'lng': -77.0447274197085}, 'southwest': {'lat': 38.8030909197085, 'lng': -77.0474253802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Columbia Firehouse,,"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115576360831429766102"">Columbia Firehouse</a>'], 'photo_reference': 'AW30NDy7z139b6j_2UJ5ZQ7jjz7Jd-adDjnFw7fW3_hRxhd6xph5GyS7sXDGo1oydZoPSQifzRhVALZxMXcK3HHPgQGUJlYi2o_AGISHG2zcO8RdmD_Bn5yiQ_PnKrCPbAlQPGSTX2896I3OenH1UVcsjr0ayvhxRHfboViAaoeYS8x8TY54', 'width': 1000}]",ChIJqSOB4Vewt4kRWxcNosrKmfA,"{'compound_code': 'RX33+QG Alexandria, VA, USA', 'global_code': '87C4RX33+QG'}",2.0,4.3,ChIJqSOB4Vewt4kRWxcNosrKmfA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",877,"109 South Saint Asaph Street, Alexandria",True
OPERATIONAL,"{'location': {'lat': 38.8048327, 'lng': -77.0609144}, 'viewport': {'northeast': {'lat': 38.8060813802915, 'lng': -77.0595424197085}, 'southwest': {'lat': 38.8033834197085, 'lng': -77.06224038029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Quattro Formaggi,{'open_now': True},"[{'height': 3500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109106128386980945929"">Quattro Formaggi</a>'], 'photo_reference': 'AW30NDyMFwdfZdEaRYOkJQZjoAmkl25C1hFOvJlnJ7RW77uSTrsklqLzveU9yT03UT0kV5e10p5CjfJNNgI4-f4vVRAHU-sJB_h-9juZYz5ErNJWlo5M07QltjYgybMTYiyDs0cd0jL6PHZv4H2y-2ERBFFPbg0kWFp5iiIBim8731c_Pmoq', 'width': 5250}]",ChIJBSSJQKqxt4kRRZpXx5oFQ-M,"{'compound_code': 'RW3Q+WJ Alexandria, VA, USA', 'global_code': '87C4RW3Q+WJ'}",1.0,3.9,ChIJBSSJQKqxt4kRRZpXx5oFQ-M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",472,"1725-B Duke Street, Alexandria",
OPERATIONAL,"{'location': {'lat': 38.8054054, 'lng': -77.0388097}, 'viewport': {'northeast': {'lat': 38.8068946302915, 'lng': -77.03747256970848}, 'southwest': {'lat': 38.8041966697085, 'lng': -77.04017053029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chart House,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100441671474418921617"">Hilda Kroll</a>'], 'photo_reference': 'AW30NDwqM8fO-dFFTT1-dTdvP3Y5nM9ARP4zl-gGU4u5FOfDYnv0GcUnaWWfcA6YwylKmm-VfEpX2kfUxU4I77J8T6-CxV2ZFw6NCuK0CuqgBEYZMHEaUesl-bqINz47DFEw01XygaHTXyAzxU-TGUa1NMnuxmRl6KhiPy7Gt7WPQvGDTY9z', 'width': 4000}]",ChIJaY5XdPawt4kRJeqwP19zavs,"{'compound_code': 'RX46+5F Alexandria, VA, USA', 'global_code': '87C4RX46+5F'}",3.0,4.2,ChIJaY5XdPawt4kRJeqwP19zavs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3116,"1 Cameron Street, Alexandria",
OPERATIONAL,"{'location': {'lat': 38.8137205, 'lng': -77.04543869999999}, 'viewport': {'northeast': {'lat': 38.8150459302915, 'lng': -77.04392216970848}, 'southwest': {'lat': 38.8123479697085, 'lng': -77.0466201302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Asian Wok Cafe,{'open_now': False},"[{'height': 1184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100912717447623193672"">Charles Ray Anderson</a>'], 'photo_reference': 'AW30NDwkgUfFpb8xksqHEP3fNOkL5lfjMAKV_MzMYPIE-CxqeFLnJEG1nyuyGrMscT1JqDe31AwvuyKm1LxSIw96k5OnAWv9elqwdRZCJo6XWO0VpT91Arvso-2QjHiGd3xTM4ux9z0FaYnjdgo1nIy_EycobU3qQI5cpnMCuVsSLuVawSzz', 'width': 1776}]",ChIJNzhUovqwt4kRa2kCaZdJR9o,"{'compound_code': 'RX73+FR Alexandria, VA, USA', 'global_code': '87C4RX73+FR'}",1.0,3.9,ChIJNzhUovqwt4kRa2kCaZdJR9o,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",108,"828 North Washington Street, Alexandria",
