business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.0708741, 'lng': -96.6919777}, 'viewport': {'northeast': {'lat': 33.0721554302915, 'lng': -96.69034306970849}, 'southwest': {'lat': 33.0694574697085, 'lng': -96.69304103029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Legacy and XD,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118073155423259319105"">Venkat R (Kousik)</a>'], 'photo_reference': 'AW30NDwC5Wkw4c8gXElxUzolcJrNMnYiNKNud4RM3gv9QYa7qOb5kwpe9m3rd8mrxh2IH87lJ0PSfiJB6kyxw-Z335lyUtjn5YpNA_xvZRO-4CcSjIiG-frKsr12JfsGldAtZ9EgOx-1swO-nBcbtQcnMpUMdrv5q3izFU3xgyqd8BTASuhU', 'width': 4032}]",ChIJ3_3xedsZTIYR029fqJRWXS8,"{'compound_code': '38C5+86 Plano, TX, USA', 'global_code': '865538C5+86'}",4.6,ChIJ3_3xedsZTIYR029fqJRWXS8,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",5531,"7201 Central Expressway Suite #100, Plano",,,
OPERATIONAL,"{'location': {'lat': 33.1231048, 'lng': -96.6586367}, 'viewport': {'northeast': {'lat': 33.1244542302915, 'lng': -96.6578223}, 'southwest': {'lat': 33.12175626970851, 'lng': -96.66107989999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Topgolf,"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105443851447511217990"">Topgolf</a>'], 'photo_reference': 'AW30NDxuNw-nSmI2_Bu3biD4h4IztLd1iF-l6rcSvkO0pSJ3Dw8ZxPi5qQid7_5gLZ15EYqEkXSxn2wAhRWn7oKvpFwKKJ83gCfHlLjcWrKWv1cgOmpkN55mhH6C4m5v-fZTJD4O6rED9_LMEte_FKuqgZZ6ZwdN-L5f8JZc53Hab6bIp1_6', 'width': 1000}]",ChIJUcK6ztUQTIYRaW8GN1Fuv70,"{'compound_code': '48FR+6G Allen, TX, USA', 'global_code': '865548FR+6G'}",4.4,ChIJUcK6ztUQTIYRaW8GN1Fuv70,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'health', 'establishment']",1120,"1500 Andrews Parkway, Allen",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.0672268, 'lng': -96.6947531}, 'viewport': {'northeast': {'lat': 33.0686343802915, 'lng': -96.69344056970849}, 'southwest': {'lat': 33.0659364197085, 'lng': -96.6961385302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Happy Lamb Hot Pot, Plano","[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109898753692830565926"">Tammy Wittal</a>'], 'photo_reference': 'AW30NDyLZi4ztyMbUMJDGhld85kkWC1IN-Ji1EtYeODGr4t6CvKyFuksBNIyGKu7bSwtdST8C5Q06rDb0HyPbFLKGofwTRDdZ1rntFugTRwovVX0hUh5d9vNM4kyZpyam7JqA7n5fn3x8Y7UOkBJfoRcH2riJAExrihgD33dbxSBd4ERulSa', 'width': 2972}]",ChIJCS2IUcUZTIYRpAFqTetfXIo,"{'compound_code': '3884+V3 Plano, TX, USA', 'global_code': '86553884+V3'}",4.2,ChIJCS2IUcUZTIYRpAFqTetfXIo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",720,"240 Legacy Drive #116, Plano",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.0891353, 'lng': -96.68281689999999}, 'viewport': {'northeast': {'lat': 33.0905199302915, 'lng': -96.68130861970849}, 'southwest': {'lat': 33.0878219697085, 'lng': -96.6840065802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,"[{'height': 1885, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108639038261131059939"">Andrew Rodriguez</a>'], 'photo_reference': 'AW30NDyQTx0iVT3YlJQpCFJbRX9lbW1Y7ZaJyO6Pn2wHNI1bG-9fcwvpP51cjkhkbORyQ-XRT4maRhfPeQFFW5Id29CRwdPhe4I_vYmzHkUE-6BTQl76zSM-Cj6nj-hFoNkU9qxzpBr2hMf5y2AWy5Q0A3EazwztS-A_sTtDcTaweP_OAqfJ', 'width': 2092}]",ChIJCw6XnUMXTIYR8-VYnSCZuR0,"{'compound_code': '38Q8+MV Allen, TX, USA', 'global_code': '865538Q8+MV'}",4.1,ChIJCw6XnUMXTIYR8-VYnSCZuR0,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",2945,"820 South Central Expressway, Allen",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.0886111, 'lng': -96.6844444}, 'viewport': {'northeast': {'lat': 33.09007203029149, 'lng': -96.68321931970848}, 'southwest': {'lat': 33.0873740697085, 'lng': -96.6859172802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Blue Fish Allen,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102788824661773610217"">Oliver</a>'], 'photo_reference': 'AW30NDz903yod6dESQDSrG0hc-c6D3QbjBfS0eRKwowIXhz-HyPx-LaJ4qt8kwWsSIIMHXbi9Z63UgwGomKmRAHMbQ5Adh7TQN6hJw9pjcYSCLEMBzuxEuUfg6oKZRzt_7VdblfjAh9y8Olqiq0fBeq8iHcxn628yua8TakJ1qF-4sq5BcKT', 'width': 3024}]",ChIJo3V-oV0XTIYRb7l6k6CJnFo,"{'compound_code': '38Q8+C6 Allen, TX, USA', 'global_code': '865538Q8+C6'}",4.3,ChIJo3V-oV0XTIYRb7l6k6CJnFo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",610,"940 Garden Park Drive, Allen",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.1186192, 'lng': -96.67039129999999}, 'viewport': {'northeast': {'lat': 33.1199577302915, 'lng': -96.66889606970848}, 'southwest': {'lat': 33.1172597697085, 'lng': -96.6715940302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cracker Barrel Old Country Store,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114952048452788448167"">Cracker Barrel Old Country Store</a>'], 'photo_reference': 'AW30NDy3B6xehJL7CTTRg0wdDUhBWBsA6fvI3pI75N5_Fkn3D7ANj-kKhkdG53lton4hDKMeLYoqpb8t5y0y2uaRM6ipqlZd4bftvRMoC203BReVoIrCrL57GUK-cf5bo9509vi_uydZleaVI0qEW-In8cwLQGbnH3kdHVtpDB_zd1Hov5EU', 'width': 1080}]",ChIJ9XggL94ZTIYRESfYAscbp1A,"{'compound_code': '489H+CR Allen, TX, USA', 'global_code': '8655489H+CR'}",4.2,ChIJ9XggL94ZTIYRESfYAscbp1A,GOOGLE,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3781,"1323 North Central Expressway, Allen",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.0902712, 'lng': -96.68317569999999}, 'viewport': {'northeast': {'lat': 33.0917462802915, 'lng': -96.6820310697085}, 'southwest': {'lat': 33.0890483197085, 'lng': -96.68472903029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,P.F. Chang's,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117061406974674460165"">Dustem</a>'], 'photo_reference': 'AW30NDzVc-mhHIM286ccsAhV713pMPJYG6fNcPU_OgRqXB2HSdSWBd2Sny-rpHSthQDWD7g-qtMocJZmA3w8sJTFfE-_tCYgZwGTy9wpXyAuc_pOjo9BkJOq7xBEGtdxzP_Pg7LUtvRzvAypaOjhwZQIuvlK4iVKfzvBCaZmoJMwIH5RHgU', 'width': 4000}]",ChIJh_a0S10XTIYRQOtR5bGUhrY,"{'compound_code': '38R8+4P Allen, TX, USA', 'global_code': '865538R8+4P'}",4.1,ChIJh_a0S10XTIYRQOtR5bGUhrY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1512,"915 West Bethany Drive, Allen",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.0897304, 'lng': -96.68265629999999}, 'viewport': {'northeast': {'lat': 33.0910614302915, 'lng': -96.68123681970849}, 'southwest': {'lat': 33.0883634697085, 'lng': -96.6839347802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brio Italian Grille,"[{'height': 1768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103461645205321214243"">Brio Italian Grille</a>'], 'photo_reference': 'AW30NDy9CBqWZ9846v7rrlhs8EumRSoZOB3ipsfaPVR9AmN66R82EaPtwR9aokBr58X6_En6-FQpCqlFwgMVept2n1X16ySgy-YBK4QcmKdSQf0fYfw4xB5l9ZtkJqZdidmAPKbi7-_uH7To6YKxQ6LOcUSTSnyaM_hWWMk1Dah9muUv5UIc', 'width': 2727}]",ChIJnXjTIV0XTIYRAUwTauHboz4,"{'compound_code': '38Q8+VW Allen, TX, USA', 'global_code': '865538Q8+VW'}",4.2,ChIJnXjTIV0XTIYRAUwTauHboz4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1093,"810 Central Expressway South, Allen",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.1022361, 'lng': -96.6841645}, 'viewport': {'northeast': {'lat': 33.10352718029149, 'lng': -96.6829015197085}, 'southwest': {'lat': 33.10082921970849, 'lng': -96.68559948029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,"[{'height': 1085, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108639038261131059939"">Andrew Rodriguez</a>'], 'photo_reference': 'AW30NDxTq2-ydcRgRgS5ucG1y23umIa8i9L5sMKgx8ZzPK2Fll_fngcSBThewgmD2tHUMMTx8GU5vM9X-0bBCPS6YR39iZGm7XVNj_Qp22YqHZnYgE1dTxJ0HTOUzdHa01pHtSFWfEVBtINKzIrCMwlX0Gs3GpbZ1EFknbg0K23dyKb7IotV', 'width': 1235}]",ChIJIfFq9T8XTIYRMaUa2FXaDTY,"{'compound_code': '4828+V8 Allen, TX, USA', 'global_code': '86554828+V8'}",4.3,ChIJIfFq9T8XTIYRMaUa2FXaDTY,GOOGLE,"['restaurant', 'store', 'food', 'point_of_interest', 'establishment']",636,"906 West McDermott Drive, Allen",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.04886029999999, 'lng': -96.70048849999999}, 'viewport': {'northeast': {'lat': 33.0503667802915, 'lng': -96.69889936970849}, 'southwest': {'lat': 33.0476688197085, 'lng': -96.7015973302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Main Event Plano,"[{'height': 1089, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117735959354505780622"">Main Event Plano</a>'], 'photo_reference': 'AW30NDwzuiMbfNA5AdTbvDfSGrFeibixQfLYZKkwxSKf-ymr1FUbYBua0SKtwAvd_2UkpcdFqStswfo4wh4aJCh4VXQks9EZCweUryCzl99mD6Bh47JAp6lq-_muidWy_3pssXAOGdRc3sx1syukRQNWm79jV-gUikem_v-0zsRuhTxrSRI2', 'width': 2048}]",ChIJP1RaabEZTIYRdFSbhHfESEE,"{'compound_code': '27XX+GR Plano, TX, USA', 'global_code': '865527XX+GR'}",4.2,ChIJP1RaabEZTIYRdFSbhHfESEE,GOOGLE,"['restaurant', 'bowling_alley', 'food', 'point_of_interest', 'establishment']",3837,"3941 Central Expressway, Plano",{'open_now': True},2.0,
