business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.8605826, 'lng': -117.790979}, 'viewport': {'northeast': {'lat': 33.8618988802915, 'lng': -117.7897000697085}, 'southwest': {'lat': 33.8592009197085, 'lng': -117.7923980302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,California Fish Grill,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109579582408569372337"">Joey Bolohan</a>'], 'photo_reference': 'AW30NDwcfxz4JNGtc95bfK3emouhUVvTS1K2Pza1ujxWyxf_yxsvkkf10ies4RD90_TtLmN2UkQmLfzvbhQ0BhWV-ppmbGquhz1-RZu6B6I1-MKBb_b3ofDzeoYNdaMJh-mvY_BpXjJgouZqDFg_jDgzQDrFVkzzWKk-cfJPoehj36eHUCni', 'width': 2560}]",ChIJ7bgs3QXR3IAR3opSW-bb960,"{'compound_code': 'V665+6J Anaheim Hills, Anaheim, CA, USA', 'global_code': '8554V665+6J'}",2.0,4.5,ChIJ7bgs3QXR3IAR3opSW-bb960,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",888.0,"5675 East La Palma Avenue, Anaheim Hills",
OPERATIONAL,"{'location': {'lat': 33.8723413, 'lng': -117.7403574}, 'viewport': {'northeast': {'lat': 33.87355323029149, 'lng': -117.7390290197085}, 'southwest': {'lat': 33.87085526970849, 'lng': -117.7417269802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Torito,{'open_now': True},"[{'height': 2929, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102084542345981907576"">STEVEN B</a>'], 'photo_reference': 'AW30NDzwp2kCi54oaxO-dZzJLE1e3gEZ-0eo9qJ1KWHPx6tvAknPpPEz77ovQsuYPViM4gKCk0SYvX7GdkQXmCxoI7kvmhDUU_EdqQjPH5AhL8P1_ICoPo2MOCZKBZnCWio2DwywTtmtc810DyqkO-Cqbh5X7jhtB5qO5F5tpzT_6Z-o-q2t', 'width': 4000}]",ChIJrxryn9fR3IARnnXq2AFWB3E,"{'compound_code': 'V7C5+WV Yorba Linda, CA, USA', 'global_code': '8554V7C5+WV'}",2.0,4.1,ChIJrxryn9fR3IARnnXq2AFWB3E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",914.0,"22699 Oakcrest Circle, Yorba Linda",
OPERATIONAL,"{'location': {'lat': 33.841067, 'lng': -117.764575}, 'viewport': {'northeast': {'lat': 33.8423111802915, 'lng': -117.7633846197085}, 'southwest': {'lat': 33.8396132197085, 'lng': -117.7660825802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Clubhouse at Anaheim Hills,,"[{'height': 563, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108357195621874677757"">The Clubhouse at Anaheim Hills</a>'], 'photo_reference': 'AW30NDzqcSCpnFpqOGK9OWdrgWYG8DlQGyiO4-hpqzfUp0jT-IydExorj5qKMHq3b3f7x2YKD7EiDACGAVuxoenaiOgS7WBMm7OWMJS7u6wefiMHTzTKpCwcyrbW4q_pZcT-ViJi7oFXAP5Qw9_HdGzDxqsATpUZkhzoyIRMmN3E79l8kxKj', 'width': 846}]",ChIJU1_GmkbQ3IARi1tfQ2j9QAQ,"{'compound_code': 'R6RP+C5 Anaheim, CA, USA', 'global_code': '8554R6RP+C5'}",,4.5,ChIJU1_GmkbQ3IARi1tfQ2j9QAQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",322.0,"6501 Nohl Ranch Road, Anaheim",
OPERATIONAL,"{'location': {'lat': 33.8663604, 'lng': -117.7514823}, 'viewport': {'northeast': {'lat': 33.86759113029149, 'lng': -117.7501273197085}, 'southwest': {'lat': 33.86489316970849, 'lng': -117.7528252802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wood Ranch,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103628942961028585440"">Chasen Tedder</a>'], 'photo_reference': 'AW30NDwMzVyprNmDXuHAnyX86MeSiNrskP6A5QIPEB5RlFUhid_0sea3EdRscDvGdw-Kr0X73egywHdYoXGZgttL2G-sS4xB4JrAQWG03OdVFAgWCgKWSF2m-OWKnQAIzdn6teqfX9o2X-MyVVRwh5BosubyfHM2QGJQgXs8tHO4cqFtd12R', 'width': 4032}]",ChIJH0WSq8_R3IARrc7gP0ipZ2g,"{'compound_code': 'V68X+GC Anaheim, CA, USA', 'global_code': '8554V68X+GC'}",2.0,4.5,ChIJH0WSq8_R3IARrc7gP0ipZ2g,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",964.0,"8022 East Santa Ana Canyon Road, Anaheim",
OPERATIONAL,"{'location': {'lat': 33.858127, 'lng': -117.7919474}, 'viewport': {'northeast': {'lat': 33.8595940302915, 'lng': -117.7905514697085}, 'southwest': {'lat': 33.8568960697085, 'lng': -117.7932494302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Out of the Park Pizza,{'open_now': True},"[{'height': 3025, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102460105939497767397"">Out of the Park Pizza</a>'], 'photo_reference': 'AW30NDxxjKRVGDjHMNWX322VMpd3sxNWsLDntmLz7DVHq26onvwQyAqeQzX6aptSg_INHld8yBzhfLji-oV6mhpBlT5Uhl9RJG1sxUHtms90Eoe5Bfqd4Q1lVsSeA3qx6jvHvxM2anyYPMrMBipWNad3og-QmHFyWMDawt6VJhxM3Xq9-b20', 'width': 3024}]",ChIJd1_HvgXR3IARvtQRD2KTRVs,"{'compound_code': 'V655+76 Anaheim, CA, USA', 'global_code': '8554V655+76'}",2.0,4.3,ChIJd1_HvgXR3IARvtQRD2KTRVs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",538.0,"5638 East La Palma Avenue, Anaheim",
OPERATIONAL,"{'location': {'lat': 33.858601, 'lng': -117.79133}, 'viewport': {'northeast': {'lat': 33.8599576302915, 'lng': -117.7900586697085}, 'southwest': {'lat': 33.8572596697085, 'lng': -117.7927566302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,TOGO'S Sandwiches,{'open_now': True},"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109806267680033730649"">TOGO&#39;S Sandwiches</a>'], 'photo_reference': 'AW30NDyUEtnWlOz54X0fjwAvytMZMUXyB3nMfPpczdOi5uDDZvZExStj3_kjAKVgK5jkV0X9RuLqDsRtySIj13zf-TC5yhq1LJjS4L3QTHcNCBc2y3GMzjc35DvyKjJ3Z6mK_DlA0amriwqw6b18omto2tDlAa5c8TT3_wcjy3ai-CGJ37tJ', 'width': 1024}]",ChIJ_8QiMwTR3IARo6aoU7m2jhg,"{'compound_code': 'V655+CF Anaheim, CA, USA', 'global_code': '8554V655+CF'}",1.0,4.5,ChIJ_8QiMwTR3IARo6aoU7m2jhg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",88.0,"5642 East La Palma Avenue, Anaheim",
OPERATIONAL,"{'location': {'lat': 33.8671965, 'lng': -117.7515543}, 'viewport': {'northeast': {'lat': 33.86852048029149, 'lng': -117.7499507697085}, 'southwest': {'lat': 33.8658225197085, 'lng': -117.7526487302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105946621327706745744"">Alfred Manning</a>'], 'photo_reference': 'AW30NDxHqe0Fd8CTFDUWg-oAdx01tNJDsO8vi-E87arD7CcfaM-X_9xe3IZOmB6h5oC3o8kN85uj_LPB9P5TuGBkwmqd2C-EA4vmqrvasPDYAWSTdrR3Aa24zibsS_nWCdrIqMqTvu7mgiTt3SP1FgAlym4OffPBxLo-mUylFR3EcJiP0gnd', 'width': 4032}]",ChIJBQ4PXM7R3IARpkGPy3XfZDo,"{'compound_code': 'V68X+V9 Anaheim, CA, USA', 'global_code': '8554V68X+V9'}",1.0,2.9,ChIJBQ4PXM7R3IARpkGPy3XfZDo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",35.0,"8010 East Santa Ana Canyon Road, Anaheim",
OPERATIONAL,"{'location': {'lat': 33.84441080000001, 'lng': -117.7753313}, 'viewport': {'northeast': {'lat': 33.8457163802915, 'lng': -117.7740845197085}, 'southwest': {'lat': 33.8430184197085, 'lng': -117.7767824802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 5304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110114389691697625578"">Subway</a>'], 'photo_reference': 'AW30NDxZo41XxrSCKEYokiuOI8EtWt0BdIDh-nAQZPLCrcmOY2cbBtKYfrzPovLxt9bfJZJL7sFbPFfFPieRENMQizltKH7NjErqL_Mf0I_qDwtyqrOxbsXBdmBtqWriL2i5On4gTo6KIChLP_KAg7i2fRMmxgOwlAvaV4Zvj7GYVYXUN0kv', 'width': 7952}]",ChIJuZOHo1DQ3IARfpkwrudJyOM,"{'compound_code': 'R6VF+QV Anaheim, CA, USA', 'global_code': '8554R6VF+QV'}",1.0,3.9,ChIJuZOHo1DQ3IARfpkwrudJyOM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",49.0,"468 South Anaheim Hills Road, Anaheim",
OPERATIONAL,"{'location': {'lat': 33.86350590000001, 'lng': -117.7867902}, 'viewport': {'northeast': {'lat': 33.8648771802915, 'lng': -117.7854264697085}, 'southwest': {'lat': 33.8621792197085, 'lng': -117.7881244302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Canyon Inn,{'open_now': True},"[{'height': 1848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105143168713211855862"">Brian Maurer</a>'], 'photo_reference': 'AW30NDyFTBpQxETa7qtSY8a-nIDNSd6DjUJwMMupFe0Hsp5r2kl_gvigB3tuvVEAGfgzmqo4Ge2-M13O0GRLa4sshZtfmH32poNS-nIjKZwVbraR6XQBxvnC24fA_UmLbGLcKcD_nk6jHMp9Yi2auUryoJKZ0V8A_OBEBc_RppNEQLUE3m3I', 'width': 4000}]",ChIJbwYrXgjR3IARbIkd90BD8tg,"{'compound_code': 'V677+C7 Yorba Linda, CA, USA', 'global_code': '8554V677+C7'}",1.0,3.6,ChIJbwYrXgjR3IARbIkd90BD8tg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",372.0,"6821 Fairlynn Boulevard, Yorba Linda",
OPERATIONAL,"{'location': {'lat': 33.8672432, 'lng': -117.7474622}, 'viewport': {'northeast': {'lat': 33.86842763029149, 'lng': -117.7460722697085}, 'southwest': {'lat': 33.86572966970849, 'lng': -117.7487702302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113728257216522792599"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDzvqKyAeOVANNWq0yNskAggShDVIOe23DJFbsz0weyE4hfHk_o8aNVHwkljOyFd3VRVpttwBeXmp0WBrgMEh1LyuEG3MhI3bp52vaxu8sO1wHE5oZtxf4owQp2vJg0Md8FNh60m9dSJYNje6Zmr0MIRak8zQmLwnc7fua3aQQdOXuQD', 'width': 800}]",ChIJoU15jdHR3IARO1OhvS4n6Ng,"{'compound_code': 'V783+V2 Anaheim, CA, USA', 'global_code': '8554V783+V2'}",2.0,4.0,ChIJoU15jdHR3IARO1OhvS4n6Ng,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",756.0,"8188 East Santa Ana Canyon Road, Anaheim",
OPERATIONAL,"{'location': {'lat': 33.8630305, 'lng': -117.7882414}, 'viewport': {'northeast': {'lat': 33.8643215302915, 'lng': -117.7869624197085}, 'southwest': {'lat': 33.8616235697085, 'lng': -117.7896603802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Del Taco,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105269003403502903088"">William G.</a>'], 'photo_reference': 'AW30NDxROjca0q5NU4rXqcH7L8EfxfQQ4o8mp_81uOQkKDZXhsuHuOMUVZxGUth7j2mMHMafIUyxujQVhhrG7Wze-l_kPw78KkCLM_mTd1-h08GyldRofg4OJJpeQ1LV8inx9dSSsZfcmHtE2TCATLPM0IZXlZduDn4NKmyXRkINlFsuJw-s', 'width': 3024}]",ChIJnSailAjR3IARKtAnYZsN1E0,"{'compound_code': 'V676+6P Yorba Linda, CA, USA', 'global_code': '8554V676+6P'}",1.0,4.1,ChIJnSailAjR3IARKtAnYZsN1E0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",523.0,"19701 Esperanza Road, Yorba Linda",
