business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.2846822, 'lng': -83.74507129999999}, 'viewport': {'northeast': {'lat': 42.2860518802915, 'lng': -83.74382636970849}, 'southwest': {'lat': 42.2833539197085, 'lng': -83.74652433029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zingerman's Delicatessen,{'open_now': False},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101339290662644363707"">Zingerman&#39;s Delicatessen</a>'], 'photo_reference': 'AW30NDylfwsZ5292Rgi5AwdmyaVd12OXf8Sm979AGNMfa88ZwCkBIiGhTqx2-M2IvNj52stkx1h45M7CEP1JC65IeswThVTc0plY7DdhNvaWiVzmSPSmuvTheu673mHkZyVigeWyrZ_P2nLY_-t_RhAz1oiffPhot416OFyXwJLm6adZQocO', 'width': 2048}]",ChIJLXbltRWuPIgReEcGh1sAHlA,"{'compound_code': '77M3+VX Ann Arbor, MI, USA', 'global_code': '86JR77M3+VX'}",2.0,4.6,ChIJLXbltRWuPIgReEcGh1sAHlA,GOOGLE,"['restaurant', 'meal_takeaway', 'cafe', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",5364.0,"422 Detroit Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.28721350000001, 'lng': -83.74168089999999}, 'viewport': {'northeast': {'lat': 42.28849348029151, 'lng': -83.74038776970849}, 'southwest': {'lat': 42.28579551970851, 'lng': -83.7430857302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gandy Dancer,{'open_now': False},"[{'height': 573, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104193722761438483581"">Mel G</a>'], 'photo_reference': 'AW30NDyYicWGjrtjuWDXzpmbAVfhz2RRnQwXmX2LCl3xL0CGjUgxV8OQkizJgJbdKeg3Fr_-rd-Sle9EonPiHHdITKkqzLVvOgFDwjQXORmiXWKrA2rXTelMDbBMfHPquliNJ5dnsuOU016FUB0kI80_g-sNgjei7EIt7JDjgWh6HV_2aBoX', 'width': 944}]",ChIJZbsiYBOuPIgRwBPyXagDZuw,"{'compound_code': '77P5+V8 Ann Arbor, MI, USA', 'global_code': '86JR77P5+V8'}",3.0,4.5,ChIJZbsiYBOuPIgRwBPyXagDZuw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2182.0,"401 Depot Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.24518599999999, 'lng': -83.74074809999999}, 'viewport': {'northeast': {'lat': 42.24654713029149, 'lng': -83.7395975697085}, 'southwest': {'lat': 42.24384916970849, 'lng': -83.7422955302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cottage Inn Pizza Ann Arbor State St,{'open_now': True},"[{'height': 1192, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112490420184625654987"">Cottage Inn Pizza Ann Arbor State St</a>'], 'photo_reference': 'AW30NDz2uMejhstb23zZAXw_V6D6f5_abCRVB59Ir42E3Wn8qvP07CGlln91GdEeQgbPsXcDPXZhPE_uv_kf2sHX1uwtlDC1HOv74uFudHwRVC0IDG2aWQcnrOAAdaRE4Sjs0HclEFuz43wz66TBnoS_lFKsl1RiSIzrCfuvj8ok_kPRS7Cd', 'width': 2118}]",ChIJCQ8meL-vPIgR4WxtRejKUN0,"{'compound_code': '67W5+3P Ann Arbor, MI, USA', 'global_code': '86JR67W5+3P'}",1.0,4.1,ChIJCQ8meL-vPIgR4WxtRejKUN0,GOOGLE,"['meal_takeaway', 'meal_delivery', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",215.0,"2900 South State Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.27430700000001, 'lng': -83.73483200000001}, 'viewport': {'northeast': {'lat': 42.27567483029151, 'lng': -83.73336206970849}, 'southwest': {'lat': 42.27297686970851, 'lng': -83.7360600302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza House,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107796738773801809160"">Pizza House</a>'], 'photo_reference': 'AW30NDw4izPFoZIGzVUZVKZ9GPxG-E62ruhGn9i89A_BYzznmq4taDuOuOqydFAtCFHjq5slocO2wLxRSTBmBPfvYwHWwIhpX3p0TECeRbk66mkt0fPlEm8ul09fTGtQCH9ltN_jUmSz8qOjzUe9nPSPbyGztwh8nnMqb45M80j05OgV_Fby', 'width': 5184}]",ChIJA3q9y0WuPIgRVA6XbahB8Oc,"{'compound_code': '77F8+P3 Ann Arbor, MI, USA', 'global_code': '86JR77F8+P3'}",2.0,4.1,ChIJA3q9y0WuPIgRVA6XbahB8Oc,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1882.0,"618 Church Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.2803524, 'lng': -83.7494414}, 'viewport': {'northeast': {'lat': 42.2817821302915, 'lng': -83.74808736970849}, 'southwest': {'lat': 42.2790841697085, 'lng': -83.7507853302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Frita Batidos Ann Arbor,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117535772467995380769"">Michael Lee</a>'], 'photo_reference': 'AW30NDyoo4TkhitrOclB5ekSzY9BTkWhfSF-8NOnJu4Z57FIxPfWFAhLRTJaO1BI272cHH41lU1W1nyZRqrAYG1QDUDbvhY2lO3Ji_lO4PPbr1E8H0il-Z4XMAPtZFAtfpaQlb1NLWieGo28vQBprV_hPCIRbNGNtORyjTmdKYAo9ifWbD3P', 'width': 864}]",ChIJx8yeAT2uPIgRjemtDnqZt4U,"{'compound_code': '77J2+46 Ann Arbor, MI, USA', 'global_code': '86JR77J2+46'}",2.0,4.7,ChIJx8yeAT2uPIgRjemtDnqZt4U,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3979.0,"117 West Washington Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.2806313, 'lng': -83.7494193}, 'viewport': {'northeast': {'lat': 42.2819213302915, 'lng': -83.7480665197085}, 'southwest': {'lat': 42.2792233697085, 'lng': -83.75076448029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Grizzly Peak Brewing Co.,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117082701383087044541"">Kedar Panday</a>'], 'photo_reference': 'AW30NDxS3BwyYTSFeL6yPRksc6NULSw7FCliNaIlmK7j90AqDhynq5bRvJvORww799MhAosmSVIzMdek3QtFnXPcyiU5ibENsSVVb6xchjZqdbQ3PtE3jcvHNmS8glSx86-D1OwHXkq1bg0VtllXwtxTfd9bgAzdbeDPotqex2XmbpkFluiU', 'width': 4000}]",ChIJxQJ1BD2uPIgRImhX8j3gap0,"{'compound_code': '77J2+76 Ann Arbor, MI, USA', 'global_code': '86JR77J2+76'}",2.0,4.2,ChIJxQJ1BD2uPIgRImhX8j3gap0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",845.0,"120 West Washington Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.2800508, 'lng': -83.7405406}, 'viewport': {'northeast': {'lat': 42.28147773029149, 'lng': -83.73927861970849}, 'southwest': {'lat': 42.27877976970849, 'lng': -83.74197658029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103780872609224253423"">Daisuke Takahara</a>'], 'photo_reference': 'AW30NDyiBgHLWsyFnY0jOjMKLzSPAeQYtrFJyOTVHhYTD-8N8ChKbKtvChc1XhSt0ReZzSaOP2lQPBB67UcNdpv1yTZmvCCjBAtajSg2G9T1FWAoL-BZ3LZ98kWbEZ56CHZf4_2VrlP1NxlT2qHh9ZTzGWjOCbH5MY15k2UWBozl83J2eAwO', 'width': 4032}]",ChIJ0ddXY0CuPIgRESjalhDyTPk,"{'compound_code': '77J5+2Q Ann Arbor, MI, USA', 'global_code': '86JR77J5+2Q'}",2.0,3.7,ChIJ0ddXY0CuPIgRESjalhDyTPk,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1172.0,"205 South State Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.27808170000001, 'lng': -83.7409957}, 'viewport': {'northeast': {'lat': 42.27944718029151, 'lng': -83.73953871970849}, 'southwest': {'lat': 42.27674921970851, 'lng': -83.74223668029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Ashley's,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115781748051170003191"">Elizabeth Ann</a>'], 'photo_reference': 'AW30NDwfNcAXSzPX8-fz0xCkEpXKtsDACtXHItSO-njhLEIBioNq7_BY5WW9nSeieBbCBme24KOCDwnDXal0Uww4_82o4ph4l6CzYyARNUQp8JCIsVSSykaP5LrPdqYA8C6XTIP64A06CgFftGEB5HVXsy-941cT3xh2iYvhOcKXwruui63a', 'width': 3024}]",ChIJl1YrpECuPIgRm1WOQgwhqzA,"{'compound_code': '77H5+6J Ann Arbor, MI, USA', 'global_code': '86JR77H5+6J'}",2.0,4.3,ChIJl1YrpECuPIgRm1WOQgwhqzA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1389.0,"338 South State Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.2806472, 'lng': -83.7469083}, 'viewport': {'northeast': {'lat': 42.2818952802915, 'lng': -83.74555116970849}, 'southwest': {'lat': 42.2791973197085, 'lng': -83.7482491302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Blue Tractor BBQ & Brewery,{'open_now': True},"[{'height': 1278, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109376118916114827516"">Bancha Rangsrirattanakul</a>'], 'photo_reference': 'AW30NDzC5M0FwoPNTn14wOcXFinH2BDrwvyQdw7_7syAYPrBjhGTgpCNlsKTyOKY0LtupGFhqGxIoTGUpM1aLnxQX8z-qjqUQn_FdK09WBHTFdsN5NVinH_IZcr_Tu-u-xEs0NRwSypNbyFoFAqJMz81ogXqVo3oiRDRwp8aLvIY4LTPOR2G', 'width': 1917}]",ChIJpV_z0T2uPIgRoG99QZpngLA,"{'compound_code': '77J3+76 Ann Arbor, MI, USA', 'global_code': '86JR77J3+76'}",2.0,4.2,ChIJpV_z0T2uPIgRoG99QZpngLA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1265.0,"207 East Washington Street, Ann Arbor",
OPERATIONAL,"{'location': {'lat': 42.2444815, 'lng': -83.7417292}, 'viewport': {'northeast': {'lat': 42.2459664302915, 'lng': -83.7403282197085}, 'southwest': {'lat': 42.2432684697085, 'lng': -83.74302618029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117150546200924555497"">shreyas kulkarni</a>'], 'photo_reference': 'AW30NDwPb69JUFFH9FJIL5fyF9QYdB31I4pm8Fg-knhTOWh7PV1quCRJfowJ24qxiCMf2vd5ZZDHmLFCGwpT7v7eCEO1NHwJ2A8edv3ibOf8CtmTiXHTOqWTTCBeS-_Bq0L5st0jdLCp3kh_NwTk2QCaoq5g5EK22yu20UFfJP72wDP9kWV7', 'width': 3024}]",ChIJp3oh372vPIgRwGrL6XWT2aU,"{'compound_code': '67V5+Q8 Ann Arbor, MI, USA', 'global_code': '86JR67V5+Q8'}",2.0,4.2,ChIJp3oh372vPIgRwGrL6XWT2aU,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2519.0,"445 East Eisenhower Parkway, Ann Arbor",
