business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.6821523, 'lng': -97.10927009999999}, 'viewport': {'northeast': {'lat': 32.68334928029149, 'lng': -97.10796571970849}, 'southwest': {'lat': 32.6806513197085, 'lng': -97.11066368029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Studio Movie Grill,{'open_now': True},"[{'height': 607, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105069990344736010636"">Studio Movie Grill</a>'], 'photo_reference': 'AW30NDwO9ThPmqv3qHBof24fXsDlZ5zJQCSsLmj3CXnbr47hrtwfRJ-w6HL8yCS-Es2V6JboWY2zoBPGwuEOfIKMvaqxqGvNx05d5w8j6_1pgZuaI0jmztBlxUuYhKxi3oF9-WJ200rw2wr1nDIhQk6GZzimFlJb24Dj8KQxtpWjmVgB_b_a', 'width': 1080}]",ChIJk_lG3rhiToYRyz7g4O12Cpo,"{'compound_code': 'MVJR+V7 Arlington, TX, USA', 'global_code': '8644MVJR+V7'}",3.8,ChIJk_lG3rhiToYRyz7g4O12Cpo,GOOGLE,"['movie_theater', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3770.0,"225 Merchants Row, Arlington",,
OPERATIONAL,"{'location': {'lat': 32.74325939999999, 'lng': -97.1072554}, 'viewport': {'northeast': {'lat': 32.7445902802915, 'lng': -97.1057105197085}, 'southwest': {'lat': 32.7418923197085, 'lng': -97.10840848029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Sanford House Inn & Spa,{'open_now': True},"[{'height': 4447, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115963297407340110151"">The Sanford House Inn &amp; Spa</a>'], 'photo_reference': 'AW30NDzzePCokAPn_VyLFt_T8p0NorQFqsyJiPQNsRwZP4WIxUJMFVlfKhed-B3vGdCNQjG0tc347-TOTIQXlp5RqypYi7L8gxOg6qGrfSKg_jhRMoj2mvQZ7q0x4Jk_mxR21C4Do9os6Fg9zEjjaRglsCyEoQ65ImsuEfPERSCgutpx3XrO', 'width': 6671}]",ChIJO0QNkZ19ToYRtbksu9QoPdc,"{'compound_code': 'PVVV+83 Arlington, TX, USA', 'global_code': '8644PVVV+83'}",4.7,ChIJO0QNkZ19ToYRtbksu9QoPdc,GOOGLE,"['beauty_salon', 'spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",389.0,"506 North Center Street, Arlington",,
OPERATIONAL,"{'location': {'lat': 32.6792055, 'lng': -97.1108296}, 'viewport': {'northeast': {'lat': 32.68045503029151, 'lng': -97.10945646970849}, 'southwest': {'lat': 32.67775706970851, 'lng': -97.1121544302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105044049844414434074"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDyBfhNsJxMjZGdZ-dLjzPu_6jfQDzyK1LguE-66gJkU2U9CRoNw--Wvs9bWpIh_0f-tup3h5AqgLXuuWDfJNdsXd0AJaTwlNolGzqIMUi1B-GXFQ21HqOpIqRPl5iByHU9PhlenHCwobOPkwF2vluJJ5taS9qv9ys4p2HRztrbby26P', 'width': 4032}]",ChIJUa9RH79iToYR_3ulmfZmmpE,"{'compound_code': 'MVHQ+MM Arlington, TX, USA', 'global_code': '8644MVHQ+MM'}",4.2,ChIJUa9RH79iToYR_3ulmfZmmpE,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2352.0,"201 East Interstate 20, Arlington",2.0,
OPERATIONAL,"{'location': {'lat': 32.6732927, 'lng': -97.13628759999999}, 'viewport': {'northeast': {'lat': 32.6745145802915, 'lng': -97.13493386970848}, 'southwest': {'lat': 32.6718166197085, 'lng': -97.1376318302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101745197213578496749"">bigboxes</a>'], 'photo_reference': 'AW30NDwGQhDtkI9N9gBC0Gk7I1L_1Lo_8iAzuHG7se5gSYr6oSB6nUx4ZwqNlbUQ2g2nKAzrkWokjIhwNXd8OVy84p3MppHziTvumrLmisnjWUgD0PSY2w98ksLLYxd-eW56yUwcUA7DDjyZ-pJXeL4p8-dtNkGarlUjkcQJV8FQbbODuY31', 'width': 4032}]",ChIJ4acZAiBjToYRWntk1JO9tLw,"{'compound_code': 'MVF7+8F Arlington, TX, USA', 'global_code': '8644MVF7+8F'}",4.4,ChIJ4acZAiBjToYRWntk1JO9tLw,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2921.0,"4604 South Cooper Street, Arlington",2.0,
OPERATIONAL,"{'location': {'lat': 32.680864, 'lng': -97.10445370000001}, 'viewport': {'northeast': {'lat': 32.6820450302915, 'lng': -97.10311771970851}, 'southwest': {'lat': 32.6793470697085, 'lng': -97.10581568029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dave & Buster's,{'open_now': True},"[{'height': 2584, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106433871581078045176"">Dave &amp; Buster&#39;s</a>'], 'photo_reference': 'AW30NDyPuVQvt7GNYR83HtpRT5S5KKkjifIR7vthT-NlPpKazuJrFzYUHy__4GIyIAVp1RcEfWAelPRS0kFfDGuiiz_A5WnzzJiJ2Kbo4wg1tSZEXY6wJsvLfeXroxZRt-BjlyCuphmUEJ_xmTNe_U2tirdr8JCbEeQ7wSTfeiUpMhpHZg8S', 'width': 3828}]",ChIJIY4sU7liToYR8WmC3BZ24w4,"{'compound_code': 'MVJW+86 Arlington, TX, USA', 'global_code': '8644MVJW+86'}",4.0,ChIJIY4sU7liToYR8WmC3BZ24w4,GOOGLE,"['restaurant', 'bowling_alley', 'bar', 'food', 'point_of_interest', 'establishment']",3344.0,"425 Curtis Mathes Way, Arlington",2.0,
OPERATIONAL,"{'location': {'lat': 32.67946310000001, 'lng': -97.1306724}, 'viewport': {'northeast': {'lat': 32.68079968029151, 'lng': -97.1295145197085}, 'southwest': {'lat': 32.67810171970851, 'lng': -97.1322124802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104656942921294566199"">eunicebarcenas eunicebarcenas</a>'], 'photo_reference': 'AW30NDxfXXYgT7_zvFTuQVRKKkgQQjTaS0SfqvQIoYOMvhMNPzWoapGTphflCW1-7wVRTbwqWU41T5MCCdcIiAlevtDuhit-WLs3Fj1Sy8nXtxxNaUsXjY5DDzycr-kFZbxWZg53kBtozs5bdl7oUHtmWZZaELOE38iU7_5i6tgSHBsEL_ho', 'width': 4032}]",ChIJ7fJlztliToYRul7rQQgJ41I,"{'compound_code': 'MVH9+QP Arlington, TX, USA', 'global_code': '8644MVH9+QP'}",4.1,ChIJ7fJlztliToYRul7rQQgJ41I,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",4265.0,"3811 South Cooper Street, Arlington",2.0,
OPERATIONAL,"{'location': {'lat': 32.6789082, 'lng': -97.1198986}, 'viewport': {'northeast': {'lat': 32.6801534802915, 'lng': -97.1185011197085}, 'southwest': {'lat': 32.6774555197085, 'lng': -97.1211990802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2203, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103523559026151294652"">Jon Williamson</a>'], 'photo_reference': 'AW30NDyUJ5GtuVd046pN7mjvGr43v15NEm08uLn6BcgxQJcIvx6gDptBMD87M_zrK-vb_R-mEH7iyDORkwqZA8SRx6Xjas6Oq9Cu-6Js4dp5YoWwPw-3KBcI5NrY3T3GGrqW8RjHdoazeuI6dcSc0ZtjA-oMEAaoXFN7H9_hzG7gdbh1l4GX', 'width': 2091}]",ChIJ4apV4cNiToYRrHddhPVSBlk,"{'compound_code': 'MVHJ+H2 Arlington, TX, USA', 'global_code': '8644MVHJ+H2'}",4.5,ChIJ4apV4cNiToYRrHddhPVSBlk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1567.0,"951 West Interstate 20, Arlington",2.0,
OPERATIONAL,"{'location': {'lat': 32.678869, 'lng': -97.10152099999999}, 'viewport': {'northeast': {'lat': 32.6802639302915, 'lng': -97.1003185197085}, 'southwest': {'lat': 32.6775659697085, 'lng': -97.1030164802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107415268535928739326"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDxwIsUBlg8hBgYEYuYltYStvWPg30FMjRGIL2UqsTnpOhCrM2Qo6csNZ4lEgVCMrnLpjkhYvcCGPUiGIPA5qXQ6cvNPr45DiN_gV_ypBRjqmQ1wkYoIBDWb2LYaN93vfr5M5BOnazkDRMOgzI7NGukFgvKXZ25Y0EkeL9T5VdJPEeMS', 'width': 960}]",ChIJq78dBaNiToYRhBTeU-kJrnQ,"{'compound_code': 'MVHX+G9 Arlington, TX, USA', 'global_code': '8644MVHX+G9'}",3.7,ChIJq78dBaNiToYRhBTeU-kJrnQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4327.0,"465 East Interstate 20, Arlington",2.0,
OPERATIONAL,"{'location': {'lat': 32.6782046, 'lng': -97.1228641}, 'viewport': {'northeast': {'lat': 32.6796414302915, 'lng': -97.1215371197085}, 'southwest': {'lat': 32.6769434697085, 'lng': -97.12423508029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 753, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108797548687660958382"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDxmFiW2s827VrCOeIxYXDYGcU2pcyAikmJ5ANTqK8gHjqsgbvqlL797mH-U9b1o7Aqw5iYriFegeJ2psbkoA7FnlEZzBDXUJ80InwY5wldUQWV49MtdF4MrqA6pgr_B0noz51JAqF4zHlNJyrmyD2zx6gZjwEvWBaAbZ9OQR-IbK8U5', 'width': 1339}]",ChIJj2KCl8BiToYRyRSdiglPLUE,"{'compound_code': 'MVHG+7V Arlington, TX, USA', 'global_code': '8644MVHG+7V'}",4.4,ChIJj2KCl8BiToYRyRSdiglPLUE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5334.0,"1075 West Interstate 20, Arlington",1.0,
OPERATIONAL,"{'location': {'lat': 32.678215, 'lng': -97.13448}, 'viewport': {'northeast': {'lat': 32.67955898029149, 'lng': -97.1332174197085}, 'southwest': {'lat': 32.6768610197085, 'lng': -97.13591538029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110150432925077268641"">Marco Lisa Pavesi</a>'], 'photo_reference': 'AW30NDwWWSssmVTH14DlLe6RRZ7lgWT02XgqScUsjWMzmFkJwh6DcX14LbJpBV1lcm08lo70AXQJGBuHcK6A4J3socS2tp0EunAqad5sc5HkFlHW7Ox38zDx-9hRREILPso99wIve4kUSPL1NKcsmjS3y6KdC8EpSMd1mk9bGxuUJseJlMH3', 'width': 3264}]",ChIJrdZ0Td9iToYRx-Oc-1YVU9M,"{'compound_code': 'MVH8+76 Arlington, TX, USA', 'global_code': '8644MVH8+76'}",3.9,ChIJrdZ0Td9iToYRx-Oc-1YVU9M,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2881.0,"4233 S. Cooper Street, Parks at Arlington Mall NEAR, Arlington",2.0,
