business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.8496472, 'lng': -105.1556361}, 'viewport': {'northeast': {'lat': 39.8510510802915, 'lng': -105.1541902197085}, 'southwest': {'lat': 39.8483531197085, 'lng': -105.1568881802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Jack’s and Steamers,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118147238521074309357"">Rick Ellsmore</a>'], 'photo_reference': 'AW30NDzsmAlY-FPbMBIME_yq_hoGje1mREQ_YtM-SSZXp2mrEnL5-quQoewU7ZAQa1g8bJdkqc2adgezAh3_zeB36IxSJZGF0nsvW0V6FcwHYFrM2SBOAKSjMREn0xR03eNB2pYlxVp_qlq3dpsKKh1Ru64VLEUtgf4hZpTeBYPlzNtJ4D9w', 'width': 4000}]",ChIJZwfa2e6Oa4cROw9h3WU8o8w,"{'compound_code': 'RRXV+VP Arvada, CO, USA', 'global_code': '85FPRRXV+VP'}",2.0,4.4,ChIJZwfa2e6Oa4cROw9h3WU8o8w,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",884.0,"8565 Five Parks Drive # 100, Arvada",
OPERATIONAL,"{'location': {'lat': 39.8139745, 'lng': -105.1621024}, 'viewport': {'northeast': {'lat': 39.8151725302915, 'lng': -105.1607830697085}, 'southwest': {'lat': 39.8124745697085, 'lng': -105.1634810302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Malone's Clubhouse Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110013499117113058885"">Malone&#39;s Clubhouse Grill</a>'], 'photo_reference': 'AW30NDwlXAD6wxbInaSoEALQXF2i-eUAFLX0gU6pTT-3xQ7HvNtKDPs75_mVmadnYLvqwS9jyvRX2kvMKx3K0huf14exH0XycFj41wdzBvZi8rnEi8rQdN4USMOLbbAQwa16bw-YTHSqicsHUQV1OmpJrowAsajgWC2caPrLIPxI3wFgQEjy', 'width': 4032}]",ChIJ1c6Dj3KPa4cRxn2_tr4rKeI,"{'compound_code': 'RR7Q+H5 Arvada, CO, USA', 'global_code': '85FPRR7Q+H5'}",2.0,4.2,ChIJ1c6Dj3KPa4cRxn2_tr4rKeI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",737.0,"14455 West 64th Avenue, Arvada",
OPERATIONAL,"{'location': {'lat': 39.811387, 'lng': -105.1396782}, 'viewport': {'northeast': {'lat': 39.81283283029151, 'lng': -105.1383549197085}, 'southwest': {'lat': 39.81013486970851, 'lng': -105.1410528802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104226786690221834663"">N Allen</a>'], 'photo_reference': 'AW30NDyIr-DVwoE2Izw3jLIdA5Xlmj_GUXHb9bo9tQywcxh7bRnwolNrzpjgyH0mJkuem8bTK_fdvD7udvXn41-zNltOHWMAqPY7q0AZqME9Ofo6OXt9jUAT7xnSypW7PTHSr-_qvLiFrfdneYcveceMKzXwHiUOYYI56qxlmG_DGH5Vy-uR', 'width': 3024}]",ChIJJ5Ysx0WPa4cRxucg3X8uXaw,"{'compound_code': 'RV66+H4 Arvada, CO, USA', 'global_code': '85FPRV66+H4'}",1.0,3.7,ChIJJ5Ysx0WPa4cRxucg3X8uXaw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",641.0,"12550 West 64th Avenue, Arvada",
OPERATIONAL,"{'location': {'lat': 39.81367059999999, 'lng': -105.1819696}, 'viewport': {'northeast': {'lat': 39.81490063029149, 'lng': -105.1806350697085}, 'southwest': {'lat': 39.81220266970849, 'lng': -105.1833330302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Heaven Dragon Arvada,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100174460599512422084"">Charlotte Whitley</a>'], 'photo_reference': 'AW30NDwh6J7owSY8aQaPphEcJYgE1PZPg0FSNwTdaQDkLEKk6yeERbjKYs_rDH2Yyg7jJzQFhO4-GPAbvF9Y2wZmRoI9f9moh6Cu0WTEMklDE9Ksf8K5BL7EicG_iFR94UihvHrK5es3pZ8Hq852SvddqCPlgLdLf4V9IcaL6VIafHs7TG3m', 'width': 4608}]",ChIJl5fVhKKPa4cRG6HOHSYLLGs,"{'compound_code': 'RR79+F6 Arvada, CO, USA', 'global_code': '85FPRR79+F6'}",2.0,4.4,ChIJl5fVhKKPa4cRG6HOHSYLLGs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",671.0,"16255 West 64th Avenue #14, Arvada",
OPERATIONAL,"{'location': {'lat': 39.8130006, 'lng': -105.1639929}, 'viewport': {'northeast': {'lat': 39.81434753029149, 'lng': -105.1624353697085}, 'southwest': {'lat': 39.8116495697085, 'lng': -105.1651333302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rib City - Arvada,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101933196422366603559"">Nathan Mills</a>'], 'photo_reference': 'AW30NDwQvc0GrbhB_V2d2OFGoBjhd9mXl-mu7fbR_kFDqWZlrdP_zO-Bb-NZfKUZG5THGC-VoUv71Y6Nkp3SJ3DnGeVHGq3gqLygLU-Tox2SO_LxT5E4NlZR4M2KGRJMcBftI4Of0BAlUw6kneyfinLCv7bNyJnDha8BE9sioTn7_zwsZysk', 'width': 1920}]",ChIJkTyZVXKPa4cRlAeDftmwE64,"{'compound_code': 'RR7P+6C Arvada, CO, USA', 'global_code': '85FPRR7P+6C'}",2.0,4.5,ChIJkTyZVXKPa4cRlAeDftmwE64,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",927.0,"14705 West 64th Avenue suite d bldg 7, Arvada",
OPERATIONAL,"{'location': {'lat': 39.81125449999999, 'lng': -105.1405773}, 'viewport': {'northeast': {'lat': 39.81269538029149, 'lng': -105.1392716697085}, 'southwest': {'lat': 39.80999741970849, 'lng': -105.1419696302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Murphy's | Take 'N' Bake Pizza,{'open_now': True},"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102417183259970500012"">Papa Murphy&#39;s | Take &#39;N&#39; Bake Pizza</a>'], 'photo_reference': 'AW30NDwjsBuQMMcL0HGYUhusuwl2PtbxiLGCW-4edJscvq367PuoJ3jwllkUTxRjhb7kL-Su3r0EcgWz4AhzDnqqRs8wq8LS3S4B_nUA5sZiasnBruJxyvw3FRwh30FazdWFWNHbKbmgVWHz63ooa7jNe2EeWIg1B4s8jyu9C-UT9xKmXYFL', 'width': 1024}]",ChIJWbRdVESPa4cRZ9PGb8GM2t4,"{'compound_code': 'RV65+GQ Arvada, CO, USA', 'global_code': '85FPRV65+GQ'}",1.0,4.1,ChIJWbRdVESPa4cRZ9PGb8GM2t4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",136.0,"12650 West 64th Avenue Suite D, Arvada",
OPERATIONAL,"{'location': {'lat': 39.8122689, 'lng': -105.1357569}, 'viewport': {'northeast': {'lat': 39.8136530302915, 'lng': -105.1345067197085}, 'southwest': {'lat': 39.8109550697085, 'lng': -105.1372046802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118304984082730986202"">Marvin</a>'], 'photo_reference': 'AW30NDwf4u3fSMpEO3Ucw7_p0HrM4QSWDfFa_l7xRKfG2Urwrc9Spxerr65lW19MHE72vzSbgaYjc9yosBAo0kfaLmCOiQUrVkYHtQXzqkwuSEH1yYn6glhdT62eNevp3IIhLn7sIKXL7scZLZkG7xJRMEOcwlAW5lXAv7oJ-kfWalW6J7_1', 'width': 5312}]",ChIJwb5CFk-Pa4cRy3NCHpU5AUU,"{'compound_code': 'RV67+WM Arvada, CO, USA', 'global_code': '85FPRV67+WM'}",1.0,3.8,ChIJwb5CFk-Pa4cRy3NCHpU5AUU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"12304 West 64th Avenue Unit 1, Arvada",
OPERATIONAL,"{'location': {'lat': 39.8132516, 'lng': -105.1299672}, 'viewport': {'northeast': {'lat': 39.8146085302915, 'lng': -105.1285530197085}, 'southwest': {'lat': 39.8119105697085, 'lng': -105.1312509802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dairy Queen Grill & Chill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115878727135666067631"">Stephen Chabotte</a>'], 'photo_reference': 'AW30NDyK4Cu_1r2-b1K_HO-XBt6BdGDgagHqH3txluoIKjyfOIZS0u5ReVDor6mP0jMYQ_2OfzWFSYQ05zwEuoZAxDyHJjobisN5nk4TkodPvPf5nFzh-c5UtsAKs0UWlupwpRRhZ7MjJ1bb3SAQzLw0qgp45Ps7FNsfKD3Vm7oK4KvkMR37', 'width': 4032}]",ChIJN6hKSUyPa4cR081AIobVPi0,"{'compound_code': 'RV7C+82 Arvada, CO, USA', 'global_code': '85FPRV7C+82'}",1.0,3.6,ChIJN6hKSUyPa4cR081AIobVPi0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",355.0,"11631 West 64th Avenue, Arvada",
OPERATIONAL,"{'location': {'lat': 39.8131608, 'lng': -105.1420006}, 'viewport': {'northeast': {'lat': 39.8144320802915, 'lng': -105.1406844697085}, 'southwest': {'lat': 39.8117341197085, 'lng': -105.1433824302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110052457026307016927"">Венера Балкибекова</a>'], 'photo_reference': 'AW30NDwdLxcilHonpNdPoa7gl-tRIqWW-6RYh73lnDnV009fvUPDT4W6dmEFBeFg8t9ZX-oH9HTepDITT2hh6VVDgjVBeAIVLRy4IbLYP-jNDyi2bqafBlZBIj1rH4pCE1ZIfY15ja4s7h7bkIa1Wrfc6SHhFwjSENo7S0a0nlZwUeXiILKs', 'width': 4128}]",ChIJSVWdHkSPa4cRIDkVbXH47LY,"{'compound_code': 'RV75+75 Arvada, CO, USA', 'global_code': '85FPRV75+75'}",2.0,3.9,ChIJSVWdHkSPa4cRIDkVbXH47LY,GOOGLE,"['cafe', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",592.0,"6408 Yank Way Suite B, Arvada",
OPERATIONAL,"{'location': {'lat': 39.81192679999999, 'lng': -105.1420151}, 'viewport': {'northeast': {'lat': 39.81337498029149, 'lng': -105.1406842697085}, 'southwest': {'lat': 39.81067701970849, 'lng': -105.1433822302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100279828315374493796"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDwGXNG5efTVfTeAhd-KPgH6SyAbJvBQXIAvAEsej9Lkq8BzGBAkdt_v-2fNw5US7WoyyVFTYKOKcbPmBa-E955hUXJNC0Ie_12aRQXUaCP169m1EzS766WfZXnWQI_ppHQZ0ILFhCwSoWtfiuB5-6mhUP0NI01QUvRtAWXuC03k1va9', 'width': 1444}]",ChIJQWxya0SPa4cRUHfGz6Eq7Cc,"{'compound_code': 'RV65+Q5 Arvada, CO, USA', 'global_code': '85FPRV65+Q5'}",1.0,3.2,ChIJQWxya0SPa4cRUHfGz6Eq7Cc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",129.0,"12850 West 64th Avenue Unit K, Arvada",
