business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.9638217, 'lng': -83.3746401}, 'viewport': {'northeast': {'lat': 33.9650217302915, 'lng': -83.3733116197085}, 'southwest': {'lat': 33.9623237697085, 'lng': -83.37600958029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Graduate Athens,"[{'height': 3276, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117819805877364230126"">Graduate Athens</a>'], 'photo_reference': 'AW30NDwJivJQqOT_4jO0ODLVZMZPkP1hpbl-vtTSb8VisbLVGj5-EWLGlr-errwJcLFltO5phvmhXkFUxWPoyi-XdBUV0FxpJ-pTzUz6NvMb7ZYeApBSQvX0LWeA4Xog23p05edAhXzcDla4wM3x1Ek_z61YcglxOyYLuvh_ELau36I_TCSq', 'width': 6000}]",ChIJORin5dls9ogRvwtY4tqlpmY,"{'compound_code': 'XJ7G+G4 Athens, GA, USA', 'global_code': '865RXJ7G+G4'}",4.3,ChIJORin5dls9ogRvwtY4tqlpmY,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",823.0,"295 East Dougherty Street, Athens",,,
OPERATIONAL,"{'location': {'lat': 33.9583773, 'lng': -83.3772618}, 'viewport': {'northeast': {'lat': 33.95970448029149, 'lng': -83.3758428197085}, 'southwest': {'lat': 33.95700651970849, 'lng': -83.3785407802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Georgia Theatre,"[{'height': 2964, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113326629415958345835"">Georgia Theatre</a>'], 'photo_reference': 'AW30NDyIbSBf2Nh6Ty5rCif0Tpkw4rThvsiVsWMa_zgzCK8SI1lE-Bf-Hjag68oUw3-c3hw11mPvxNuAffV42WfF-F7brTSSBDRuH9oTGYZKOIrkfX1gKGOI2vt7Cwn59OzNZfn8p95LKbwlsiywmyfwCXijj19EyoBwcI5u7EqCTk8ipi7G', 'width': 3952}]",ChIJwTSaM99s9ogR6g0mP1Xru68,"{'compound_code': 'XJ5F+93 Athens, GA, USA', 'global_code': '865RXJ5F+93'}",4.7,ChIJwTSaM99s9ogR6g0mP1Xru68,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1230.0,"215 North Lumpkin Street, Athens",{'open_now': False},,
OPERATIONAL,"{'location': {'lat': 33.9639325, 'lng': -83.37474490000001}, 'viewport': {'northeast': {'lat': 33.9650771302915, 'lng': -83.3733322197085}, 'southwest': {'lat': 33.96237916970851, 'lng': -83.37603018029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Foundry,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100368028507935248180"">The Foundry</a>'], 'photo_reference': 'AW30NDyM1vTF7VxWhhUZ7t169giimgLB7GOlt-TlnJ6gYP7_V2XrkZ4RnTARC8mXeyi--Opzz0U1ffv0fULN4Tuj93wH-SEOMfF5nhzC1JokxojKdxD39ouRG3zzSWGQkW18jilhzO1dyJNqP1AcN7iXb5Ih_HJzuj4QYLkId5CqJhSIjsLs', 'width': 1600}]",ChIJORin5dls9ogRIAlzdAtX8ec,"{'compound_code': 'XJ7G+H4 Athens, GA, USA', 'global_code': '865RXJ7G+H4'}",4.6,ChIJORin5dls9ogRIAlzdAtX8ec,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",397.0,"295 East Dougherty Street, Athens",{'open_now': False},,
OPERATIONAL,"{'location': {'lat': 33.95802269999999, 'lng': -83.378378}, 'viewport': {'northeast': {'lat': 33.95931643029149, 'lng': -83.37699936970849}, 'southwest': {'lat': 33.95661846970849, 'lng': -83.37969733029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Last Resort Grill,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117612606462365859523"">Monica Cheung</a>'], 'photo_reference': 'AW30NDz7GCZgAWgj7lmbtcdT3fwV2Ky69adcMahx_5v0kSITtTPtGBjuS36SbwyY6ZX_BuCgNuWajSKqwQXVqZIopvmC6W5qoza0q7OMrMzkBMBsQjcqGePw55Y2GNMp_l92GaTUXBwKRumKGgsiH2Jcnd7fOrns_kix3tV7EcKM_WsEQLsy', 'width': 1920}]",ChIJ638UUd9s9ogR9Nc50WwAEWs,"{'compound_code': 'XJ5C+6J Athens, GA, USA', 'global_code': '865RXJ5C+6J'}",4.6,ChIJ638UUd9s9ogR9Nc50WwAEWs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1544.0,"174-184 West Clayton Street, Athens",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.953688, 'lng': -83.3652496}, 'viewport': {'northeast': {'lat': 33.9549120302915, 'lng': -83.3639770697085}, 'southwest': {'lat': 33.9522140697085, 'lng': -83.3666750302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mama's Boy Restaurant,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117050302841588043582"">Brianna Shaffer</a>'], 'photo_reference': 'AW30NDzr1TFy2q3HcEyDd5jj8ALJdpgz7ui3rJQbKIH48WdPqLGJiCztmLYqlV93pN9-KQJ6q8ZunVHRWov0oKKcI-hl4MqriZOl_7Nup1Q9X8id_iCSwJfCVq4W8rSazF4lQvHAnYfy8eo6ABpN3l6T1LNAwHwe2atL10Tg7W6EAJMrj5JC', 'width': 3024}]",ChIJx7_WYMJs9ogRbqPB8h4EbJA,"{'compound_code': 'XJ3M+FW Athens, GA, USA', 'global_code': '865RXJ3M+FW'}",4.6,ChIJx7_WYMJs9ogRbqPB8h4EbJA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1553.0,"197 Oak Street, Athens",{'open_now': False},2.0,
OPERATIONAL,"{'location': {'lat': 33.9580303, 'lng': -83.37712710000001}, 'viewport': {'northeast': {'lat': 33.9593900302915, 'lng': -83.37572506970851}, 'southwest': {'lat': 33.9566920697085, 'lng': -83.37842303029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Globe,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108276562120794370471"">Akber gilani (Vital signs)</a>'], 'photo_reference': 'AW30NDxJf4hFaHQLHmWYj2QZD4qlSChco6SLlTdUrwSzCW8wGylnVdrgncuCNPahkP_P868bN37GJ_YRPZBUSKe9MhM9keutUBhIOTZuivcEqGMvhN1sugeM6v2fueLxgzappyaL4KEEq9_1dO47YiA1_QYTdZ9cSa2RUXIwaBUVj7t4vrF0', 'width': 4032}]",ChIJQ0QoMt9s9ogRuucHLzkC2u0,"{'compound_code': 'XJ5F+64 Athens, GA, USA', 'global_code': '865RXJ5F+64'}",4.4,ChIJQ0QoMt9s9ogRuucHLzkC2u0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",416.0,"199 North Lumpkin Street, Athens",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.9208692, 'lng': -83.34438589999999}, 'viewport': {'northeast': {'lat': 33.92222108029149, 'lng': -83.34291691970849}, 'southwest': {'lat': 33.91952311970849, 'lng': -83.3456148802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103849667177285329846"">A Google User</a>'], 'photo_reference': 'AW30NDyGEUT7XQbXDLtIlssJ8xxhdsbahBuLoe33Nd-jx626H9HWAJwDaE1zsuj2CwEyROPArWWBgiw7bn0gaFTcwrxPc14Lb7dfuaqTeQQbsKyQCLF37Fw28IZ2iK-1FmVpVTWwkImbrObKI45BlveFQdSjm9BVmOeQoJKx8LWXGgi8XUT-', 'width': 4032}]",ChIJ5aHxvXts9ogRlb9uPvEyTFE,"{'compound_code': 'WMC4+86 Athens, GA, USA', 'global_code': '865RWMC4+86'}",3.9,ChIJ5aHxvXts9ogRlb9uPvEyTFE,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",91.0,"2301 College Station Road ste a-8, Athens",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 33.9399437, 'lng': -83.385893}, 'viewport': {'northeast': {'lat': 33.9413407802915, 'lng': -83.3846961197085}, 'southwest': {'lat': 33.9386428197085, 'lng': -83.3873940802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102782820936166630737"">Aaron Chandler</a>'], 'photo_reference': 'AW30NDwyJSgreWbprpdqKxN5NSLC8EtVO1V2_IwDWoizBTJtkEpkQ2OLBwraCJWJZ8sDgrwkMzqFPTICqnFVVWo42fBE4A8lDS7sqhl6KkzQoxD9_d3969qHxff-5qMqfYCEWkdrbm31ofK_1yogh8ARwHftnWflh2kgXIG2yu_AJRbc4H70', 'width': 1920}]",ChIJCVb19wRt9ogRR8lFzf5P-n0,"{'compound_code': 'WJQ7+XJ Athens, GA, USA', 'global_code': '865RWJQ7+XJ'}",3.9,ChIJCVb19wRt9ogRR8lFzf5P-n0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"1573 South Lumpkin Street, Athens",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 33.9505686, 'lng': -83.3836396}, 'viewport': {'northeast': {'lat': 33.95186038029149, 'lng': -83.38241031970848}, 'southwest': {'lat': 33.94916241970849, 'lng': -83.38510828029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116148829049664759642"">Gautham Reddy</a>'], 'photo_reference': 'AW30NDyyrHJ_s_l4vxQsEj7hQdIMEvKiWJdZUSaIWku-w8GM_uIAWNMVktwsJL0GSngY7FQgFu3DQk72aD71LiDyh1leLuv5TZgBq-uW5gaAQLSMf42jih5maINzCfNQkkGwkK7V6t_cOmj5SNbEQMHqlWJSJ_iXyzV_7QwExVeEDWmqWlM', 'width': 1920}]",ChIJvzmJ1x5t9ogRPlIB0YvMWO0,"{'compound_code': 'XJ28+6G Athens, GA, USA', 'global_code': '865RXJ28+6G'}",3.8,ChIJvzmJ1x5t9ogRPlIB0YvMWO0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",254.0,"498 Baxter Street, Athens",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 33.9626839, 'lng': -83.3976716}, 'viewport': {'northeast': {'lat': 33.96389503029151, 'lng': -83.3964756697085}, 'southwest': {'lat': 33.96119706970851, 'lng': -83.3991736302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101911559672106976553"">KnightDriveTV</a>'], 'photo_reference': 'AW30NDyPS9tl0pbfrg3pHtivY2i3rb22wHalLGtw3kHT8ykCAY1qUmJ0sCYilLDOEANlXbXjKhLLUgGI6DzJmuLoVBckOM19CapUnd6R0okXV1T-s72FqLjd5bXYeXiw7okVjpy5xt9BTOwO5xT5w43J6MDN3t7CuRdhOheMPjRgD7sD7CnB', 'width': 4048}]",ChIJE2aBrTtt9ogRTD91gMKHxOk,"{'compound_code': 'XJ72+3W Athens, GA, USA', 'global_code': '865RXJ72+3W'}",3.9,ChIJE2aBrTtt9ogRTD91gMKHxOk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",460.0,"1194 Prince Avenue, Athens",{'open_now': True},1.0,
