business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.37500799999999, 'lng': -82.03344899999999}, 'viewport': {'northeast': {'lat': 33.3762633302915, 'lng': -82.03214151970849}, 'southwest': {'lat': 33.3735653697085, 'lng': -82.03483948029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112823995083189624396"">Rivers Baldridge Jr</a>'], 'photo_reference': 'AW30NDzRfGwJJfbbLtqddufgIEhztK2gIdgo2l5AEb00vHPDIpRK0Z4hNJIVpPTUQX9U0CraF4YpbqUatqux6vl7mHc_xDFAZjGySqrtUu3I-a-O9xVFvd9yf9iK6w0RMkofCVjEDQbVpwipUa9ppOokDYPv8Qf8HN1dyfWYfxjflDMB8Pdv', 'width': 4656}]",ChIJY8Oa3g_Q-YgRkdbj8DTniNw,"{'compound_code': '9XG8+2J Augusta, GA, USA', 'global_code': '865V9XG8+2J'}",1.0,3.8,ChIJY8Oa3g_Q-YgRkdbj8DTniNw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",545.0,"C&D, 2215 Tobacco Road, Augusta",
OPERATIONAL,"{'location': {'lat': 33.3748942, 'lng': -82.0707187}, 'viewport': {'northeast': {'lat': 33.37626313029151, 'lng': -82.06948011970849}, 'southwest': {'lat': 33.37356516970851, 'lng': -82.0721780802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101207042301452059159"">Remille Ables</a>'], 'photo_reference': 'AW30NDzutcDbg0XI437Xh-cR79aVYBTQz0Ah_mFfkVDvZTwB25TQ-ydcq8lDs9NJAG2PZcZPqDbTDhKxDuIe9SVqUhFBPn-9vvd1up7QIOV7ZGiHvmA1FvnuB8-XoWmYJYVhh-MMyvygnz5oeGo5UutY5KBh-_RKgPNF-kv9ePljFGqZujxc', 'width': 3000}]",ChIJFzE0w2_Q-YgRMgnPkKa9QBg,"{'compound_code': '9WFH+XP Hephzibah, GA, USA', 'global_code': '865V9WFH+XP'}",1.0,3.9,ChIJFzE0w2_Q-YgRMgnPkKa9QBg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",260.0,"4104 Windsor Spring Road Suite 14, Hephzibah",
OPERATIONAL,"{'location': {'lat': 33.3780419, 'lng': -82.0735107}, 'viewport': {'northeast': {'lat': 33.37941053029149, 'lng': -82.0720500697085}, 'southwest': {'lat': 33.37671256970849, 'lng': -82.0747480302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114211209391849628691"">J Zach</a>'], 'photo_reference': 'AW30NDxHR2MzAF9D9qWixv3yuo5y28Pe-hr_57QGI_FXdEc43BIlNrp8gzPzCk1hTJeO7eE-Rrfk-sRy2uzJxiHv_YW9QaRd3s0P6fiIB7CsNxRZ8yMBOpFOF0PKYZzzHa1L2kiudRhVGSw-JTP2CDLQDAjxH6VBMDeh8OTlFI3tqOdKPaZJ', 'width': 4032}]",ChIJzScfXMDQ-YgR_co4ON6wVwM,"{'compound_code': '9WHG+6H Hephzibah, GA, USA', 'global_code': '865V9WHG+6H'}",1.0,3.3,ChIJzScfXMDQ-YgR_co4ON6wVwM,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",811.0,"3697 Windsor Spring Road, Hephzibah",
OPERATIONAL,"{'location': {'lat': 33.37770930000001, 'lng': -82.0707979}, 'viewport': {'northeast': {'lat': 33.37896943029151, 'lng': -82.06949911970848}, 'southwest': {'lat': 33.37627146970851, 'lng': -82.07219708029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hardee's,{'open_now': True},"[{'height': 270, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104440462923264926596"">Hardee&#39;s</a>'], 'photo_reference': 'AW30NDzQ6wL_E_3Snrlom7sKoOgEbHP7ZfA4-9sLORnCdfUtiKd6VCdZKY4U9l3Eb91kfM6ZbvD_j0Etv_7eOAUUV426o2xEx35WL-6kesLdAJAdPE7WaDcuA0e1Ow7zeahQt0nCbaC6SG66arTAcKCiJhBbG6uvsJuq9Txr8zBKK4dGd-lG', 'width': 480}]",ChIJ90knrW_Q-YgRf3dWaEszedQ,"{'compound_code': '9WHH+3M Hephzibah, GA, USA', 'global_code': '865V9WHH+3M'}",1.0,3.6,ChIJ90knrW_Q-YgRf3dWaEszedQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",929.0,"3696 Windsor Spring Road, Hephzibah",
OPERATIONAL,"{'location': {'lat': 33.3780507, 'lng': -82.08221809999999}, 'viewport': {'northeast': {'lat': 33.3797128802915, 'lng': -82.0804883197085}, 'southwest': {'lat': 33.3770149197085, 'lng': -82.08318628029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,Circle K,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112823995083189624396"">Rivers Baldridge Jr</a>'], 'photo_reference': 'AW30NDydkFuhD0uNrrzJBDv6mp7PMN2ecKickziCkxAGImCyngkZdU_TfPRd3kNwetNuGEDUGFx28gC8JiyKm6FBmjkMjGGhCmiMhpx2DDk_6F0IfyKZ6EsPnnsLx7H_w0x90vDfQ20JBmmJ2M0ze5yV4XwYD3U3HnFgRIDDZNtXDvUWC4hO', 'width': 4656}]",ChIJDzTJ5WLQ-YgRhvzUSjnqTbg,"{'compound_code': '9WH9+64 Hephzibah, GA, USA', 'global_code': '865V9WH9+64'}",1.0,3.6,ChIJDzTJ5WLQ-YgRhvzUSjnqTbg,GOOGLE,"['convenience_store', 'gas_station', 'cafe', 'atm', 'meal_takeaway', 'car_wash', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",17.0,"2574 Tobacco Road, Hephzibah",
OPERATIONAL,"{'location': {'lat': 33.3860578, 'lng': -82.06614809999999}, 'viewport': {'northeast': {'lat': 33.38754348029151, 'lng': -82.06487221970848}, 'southwest': {'lat': 33.38484551970851, 'lng': -82.0675701802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Checkers,{'open_now': True},"[{'height': 1966, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110532303984917529747"">Checkers</a>'], 'photo_reference': 'AW30NDzVfKwsnsnGH5xwooZLixximxdD7JX7J8biqwhn55EdURRfWWjw9ekgzeAyDSiBA9mT5wXyhmuJm82Q7S9K1dt1FwVNvUKwPNITGfYA2TogSqjNP2cDw4Hs1gLgPWadWolRP0aAkjnwyd5-9NfJs_3P8d5CvRubG4RCIuLkVWKm7sBN', 'width': 2795}]",ChIJO748R0DQ-YgRV7JrcEQJTUs,"{'compound_code': '9WPM+CG Hephzibah, GA, USA', 'global_code': '865V9WPM+CG'}",1.0,3.9,ChIJO748R0DQ-YgRV7JrcEQJTUs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",808.0,"3554 Windsor Spring Road, Hephzibah",
OPERATIONAL,"{'location': {'lat': 33.3809259, 'lng': -82.0920529}, 'viewport': {'northeast': {'lat': 33.3824114802915, 'lng': -82.0905386197085}, 'southwest': {'lat': 33.3797135197085, 'lng': -82.0932365802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jamaica Way,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100369370460186746720"">William Manning</a>'], 'photo_reference': 'AW30NDyLxQ0iyRCZ_5fSbKcvvGBKgFHXR3VLAXJKoo-RqRNl8LgtYvqw9udGoM56wHqD2RNPWuQvbRUfo-UcM-XxzLvJdQVpypEyJ3NYi4QM5LcstAIsq_98R3HYiBn5diydRFRMbZHckad4KYGdwAfgwBsh_d9ZyQgYr7a3eVGiruC3gzlU', 'width': 4128}]",ChIJSU0orqfR-YgR_7-vuzPpQ8Y,"{'compound_code': '9WJ5+95 Hephzibah, GA, USA', 'global_code': '865V9WJ5+95'}",2.0,4.1,ChIJSU0orqfR-YgR_7-vuzPpQ8Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",990.0,"2650 Tobacco Road, Hephzibah",
OPERATIONAL,"{'location': {'lat': 33.39133379999999, 'lng': -82.02887779999999}, 'viewport': {'northeast': {'lat': 33.3926819802915, 'lng': -82.02769566970849}, 'southwest': {'lat': 33.3899840197085, 'lng': -82.0303936302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101872244793673255477"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDxAUKsyMJA904Rsd3QlTtryNMfp2CV2QMPOcxjInLMgdIbVLHd3ybzq4MM6QZ5I2MoHraX4MseMfToZZFwyTItzmXBHd_M-aS1ol0s3LFX2mWLrDy1dtRcJM4mMpomtahZLwznUAO2jd0EGIfRKwBL7sEMY7DnY-m7SpRb26uZ7EbOh', 'width': 1444}]",ChIJJdPJvC_Q-YgRISkqtoCujHI,"{'compound_code': '9XRC+GC Augusta, GA, USA', 'global_code': '865V9XRC+GC'}",1.0,3.6,ChIJJdPJvC_Q-YgRISkqtoCujHI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",403.0,"3449 Peach Orchard Road, Augusta",
OPERATIONAL,"{'location': {'lat': 33.398687, 'lng': -82.055365}, 'viewport': {'northeast': {'lat': 33.3995291302915, 'lng': -82.05380306970848}, 'southwest': {'lat': 33.3968311697085, 'lng': -82.05650103029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Skateland of Augusta,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101116358131292785618"">Skateland of Augusta</a>'], 'photo_reference': 'AW30NDyhUsd44ZPV-pFd9GHBOKFQRTPNvAz26EkbV7tx9dRyiFkLKFtUTG6OHAmC60YMf-VMAhYOduxE9J2IDekumSHzPGIESMrAfBbPUSPcQMwWexmrLCrY4877Wo4CdntoQpGbE6dMjwBl3Z_39Ki2R3vIr-vUhfF_e7XJjz2xLz3dU1i8', 'width': 1200}]",ChIJz8BV6TDQ-YgRPN4wPMYHduM,"{'compound_code': '9WXV+FV Augusta, GA, USA', 'global_code': '865V9WXV+FV'}",,4.0,ChIJz8BV6TDQ-YgRPN4wPMYHduM,GOOGLE,"['tourist_attraction', 'meal_takeaway', 'school', 'restaurant', 'food', 'point_of_interest', 'establishment']",649.0,"2451 Windsor Spring Road, Augusta",
OPERATIONAL,"{'location': {'lat': 33.3752162, 'lng': -82.0747339}, 'viewport': {'northeast': {'lat': 33.37664273029149, 'lng': -82.0732744697085}, 'southwest': {'lat': 33.37394476970849, 'lng': -82.0759724302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Wok,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112823995083189624396"">Rivers Baldridge Jr</a>'], 'photo_reference': 'AW30NDz3jTdW8UeEn1cEisOOBEBgUhL3Evh9uo4Na8WRhw_eXjeEDG8EyYYur-ON8VRUkPUCPUNsQOQNJ5pmayRZ1xbwRPmoDLaZq3c-HcVUQXOzpSDQFhZs9Zgc0CIyt0iOyyLzibnFq424ro1NUDHLD7z3HYeikOiX0zkxqEyzDjtwrGBp', 'width': 4656}]",ChIJZQHGyXrQ-YgRvuaJ9I3Ko94,"{'compound_code': '9WGG+34 Hephzibah, GA, USA', 'global_code': '865V9WGG+34'}",1.0,4.1,ChIJZQHGyXrQ-YgRvuaJ9I3Ko94,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",308.0,"7005, 2514 Tobacco Road D, Hephzibah",
