business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 35.3353969, 'lng': -119.036782}, 'viewport': {'northeast': {'lat': 35.33691758029151, 'lng': -119.0356015697085}, 'southwest': {'lat': 35.33421961970851, 'lng': -119.0382995302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Reading Cinemas Valley Plaza with IMAX,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112623407456025080888"">John Raguindin</a>'], 'photo_reference': 'AW30NDx7JT24bTUPpEJPeFxdoZ4vbsUDMIMIWTO8qXibGwdMyirG3_gg0fvVy2i1EW8ZWkyK4zYiLBVRjSvJ4PDtFTHdrBj_pC4PxpXhKxaFEdF9qxhbrdKe-b4x-2vk-iB1X-eRgS0V2e_dCeNieK_dtJYcjQ8-YhxMnM-WDPKaR55YKu3-', 'width': 4032}]",ChIJKX5BHXBq6oARRT5vCJEXgJU,"{'compound_code': '8XP7+57 Bakersfield, CA, USA', 'global_code': '85728XP7+57'}",4.3,ChIJKX5BHXBq6oARRT5vCJEXgJU,GOOGLE,"['movie_theater', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2086.0,"Reading Cinemas Valley Plaza, 2000 Wible Road, Bakersfield",,,
OPERATIONAL,"{'location': {'lat': 35.3314509, 'lng': -119.0228352}, 'viewport': {'northeast': {'lat': 35.3327007302915, 'lng': -119.0213687697085}, 'southwest': {'lat': 35.3300027697085, 'lng': -119.0240667302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102907652251638974697"">E M</a>'], 'photo_reference': 'AW30NDyt62LijmCoqh28g5svd8kWUCiEjcq5AvDwt3ZXwi7pAzBcbvLUAlKX7Cim-Ht0yksW_pmr4yaAHZBO2ZiTGDsgk3luQaHhUuZsCNciesWs-ZvN2BnNazJZnRdHgrDgEjP-aobCsf8czZZL8oJ6opqGN9ZlfNRfdLb7KYoJkltfk6Lb', 'width': 3024}]",ChIJm6Tb8l9q6oARaFxzvrbql2I,"{'compound_code': '8XJG+HV Bakersfield, CA, USA', 'global_code': '85728XJG+HV'}",3.7,ChIJm6Tb8l9q6oARaFxzvrbql2I,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",455.0,"2515 South H Street, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.33531, 'lng': -119.03663}, 'viewport': {'northeast': {'lat': 35.3368435802915, 'lng': -119.0356026697085}, 'southwest': {'lat': 35.3341456197085, 'lng': -119.0383006302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sbarro,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116150366835423271507"">Sbarro</a>'], 'photo_reference': 'AW30NDzcxgPwrPY3vUE91Jv3Hbhwhc9GlIpNzIu15CXMrbLisCDW0fKq8ai9vX6bKR_DIHACtbB-QK3cMEd6B_8BbpzS3-OspVI6EZ107A-2p0sMxlPsFoNPc7IFsK_O4p9Lbh5bacpfrwrL-IlKuF9PjOu_ngfTbrBTUR4Bcv-3SgaylDOd', 'width': 1920}]",ChIJ58wvBnBq6oARrSjkAcJzKS4,"{'compound_code': '8XP7+48 Bakersfield, CA, USA', 'global_code': '85728XP7+48'}",2.9,ChIJ58wvBnBq6oARrSjkAcJzKS4,GOOGLE,"['meal_delivery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",47.0,"2701 Ming Avenue #402, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.3180409, 'lng': -119.0274435}, 'viewport': {'northeast': {'lat': 35.3194300802915, 'lng': -119.0261247197085}, 'southwest': {'lat': 35.3167321197085, 'lng': -119.0288226802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116604943843549446164"">T-fuel Ernie Notorious Misfit</a>'], 'photo_reference': 'AW30NDz0v6aUBeNqjRWNTQPK-A0gLXoc9oBHS_P6nus1tNnRV5KLiOhajkEdFf5Z_T4SPA4q79Xqu4sQStD5niEmg4yIlM1drbjlrpcYlK_Lth2OFrk8rmW6SIDZ6BYbP1fMCvhG2tosP0bfMSGCBr4YbP8wWQAQNU3GjaXNwVMiaa_q5gZ0', 'width': 4128}]",ChIJb-cpFpJq6oAR726caXNoRIk,"{'compound_code': '8X9F+62 Bakersfield, CA, USA', 'global_code': '85728X9F+62'}",4.1,ChIJb-cpFpJq6oAR726caXNoRIk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",200.0,"2200 White Lane, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.34003479999999, 'lng': -119.03576}, 'viewport': {'northeast': {'lat': 35.34138853029149, 'lng': -119.0345218697085}, 'southwest': {'lat': 35.33869056970849, 'lng': -119.0372198302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108917280478939005780"">Kristi Snook</a>'], 'photo_reference': 'AW30NDyNyWSY_Fmq-xdSAALpSYKeF96v6WT855JB4H4x1S8k5wIdd-E3KHEJ1WCBGY3IT4WxTFBRmwk70VfFV5INAxj7jtKJirb_UALLuX8GVTtCez-KdjV6ZSkABSi-_wO2YK0lLMnQibb8U7NCJvF8l5gqIOl9NTc18jZJjGSw8a5tJTId', 'width': 3120}]",ChIJJePIsnFq6oARdeU8YH2-3sw,"{'compound_code': '8XR7+2M Bakersfield, CA, USA', 'global_code': '85728XR7+2M'}",3.7,ChIJJePIsnFq6oARdeU8YH2-3sw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",142.0,"3006 Ming Avenue Unit A, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.3542114, 'lng': -119.0179585}, 'viewport': {'northeast': {'lat': 35.3556592802915, 'lng': -119.0165831197085}, 'southwest': {'lat': 35.3529613197085, 'lng': -119.0192810802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111123272547043374510"">Chyna Vidales</a>'], 'photo_reference': 'AW30NDwoK9yz1BSrLzt_w6pVGRbqxwxNkQkPlWuWAxKsfXfeSiIGrsYUG_2trdaWrxjvR06njJXGQ4bJsYOQH1T4nDlXBjSVwigM11n3LTmIQbfsR4AkT3UAY30nxP3MkjanAXGKFhg30bhidABhMC0sJvdDNpr3CUUEBC7u_jpcig5lQPNt', 'width': 4032}]",ChIJVzJOJD9q6oAR0G9E-nabYLA,"{'compound_code': '9X3J+MR Bakersfield, CA, USA', 'global_code': '85729X3J+MR'}",4.0,ChIJVzJOJD9q6oAR0G9E-nabYLA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",169.0,"1400 Brundage Lane Suite 102, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.3406571, 'lng': -119.0439169}, 'viewport': {'northeast': {'lat': 35.3419115302915, 'lng': -119.0429393697085}, 'southwest': {'lat': 35.33921356970851, 'lng': -119.0456373302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,"[{'height': 284, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108512519114663659015"">Chuck E. Cheese</a>'], 'photo_reference': 'AW30NDxfl2g7Ta10AbPJPzJWIp2swoRTSPvx-LwrTIDRRYM_9HbTNZY5m-sxi3HEhPdnJwbePkP7M0xUEedy-JTmA6wehYd3XCCuZw-JnWCwJjoM44u9d-YC7XPQrzf7PemkxE-GtBSmZBQWinZkzKvB8fqekULQG3Peji0tPj5g9_gLmewd', 'width': 640}]",ChIJTfRxcXZq6oARGO7XLs-AI84,"{'compound_code': '8XR4+7C Bakersfield, CA, USA', 'global_code': '85728XR4+7C'}",3.9,ChIJTfRxcXZq6oARGO7XLs-AI84,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1542.0,"3760 Ming Avenue, Bakersfield",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 35.2944019, 'lng': -119.0555261}, 'viewport': {'northeast': {'lat': 35.2958394802915, 'lng': -119.0541190697085}, 'southwest': {'lat': 35.2931415197085, 'lng': -119.0568170302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 2453, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106837158466563776590"">Mark Barrett</a>'], 'photo_reference': 'AW30NDxbRHHec3paFEoKIE4aRwZEyqzSTyvJ2PeqXriHtXNiXaR_yXRiKp7XEYO7zGm1k66wVd-GjhjcL3A5XtH9Z4U0SCkTEtULvgNS1lgFj_xzTG1diyqxePYMaKwnNbj2xO6bPScKcrzGYM7lYlcTunivCIAOLpP1e2UEjtFVGbI-W6LZ', 'width': 2608}]",ChIJD1FXPxpA6oARUU1jrnN5HP8,"{'compound_code': '7WVV+QQ Bakersfield, CA, USA', 'global_code': '85727WVV+QQ'}",3.6,ChIJD1FXPxpA6oARUU1jrnN5HP8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",147.0,"4725 Panama Lane Suite D1, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.2941611, 'lng': -119.0199064}, 'viewport': {'northeast': {'lat': 35.2955962302915, 'lng': -119.0185588197085}, 'southwest': {'lat': 35.2928982697085, 'lng': -119.0212567802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117702972539615511963"">Elizabeth V</a>'], 'photo_reference': 'AW30NDwgFoljweAFoEtiSnyOvyg2Hu6iNwytRQTR7w-YCShNkZ4hy8FZcvNMsYAuCklMCZPe4eFmcjsKxOcsBuHi0S6dFZMS48ITH28rd3g_Erd3rKGdWo7ApMwlcVcCln6ALaxN_kQQf2u0kkPypeySMouewYVryL4vlAxPJ4NkbiHm5EPK', 'width': 4032}]",ChIJs4-bsctq6oARtHjOWrRxqNw,"{'compound_code': '7XVJ+M2 Bakersfield, CA, USA', 'global_code': '85727XVJ+M2'}",4.0,ChIJs4-bsctq6oARtHjOWrRxqNw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",132.0,"1601 Panama Lane Suite D-103, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.3398682, 'lng': -119.0483266}, 'viewport': {'northeast': {'lat': 35.3411908802915, 'lng': -119.0469777197085}, 'southwest': {'lat': 35.3384929197085, 'lng': -119.0496756802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106837158466563776590"">Mark Barrett</a>'], 'photo_reference': 'AW30NDz8C2cYJhpT7lU9bDKrR6is_GVGrP6iCtQeADXV9BhpL9ebasVdQvhT2i73b-dA8r_aclm6xWatTa88pnr84-LOeGi2HaVDrMt9_AR7tU3cS6hyWQwavJ8xEkYnKzcxFdOrtn71T6bY_aXGScyfFLIfFJhKh6srlnXHNJXhAmBGLjuy', 'width': 4032}]",ChIJxdZYI99B6oARkVDtIeUsXnc,"{'compound_code': '8XQ2+WM Bakersfield, CA, USA', 'global_code': '85728XQ2+WM'}",4.1,ChIJxdZYI99B6oARkVDtIeUsXnc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",578.0,"4044 Ming Avenue, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.3242006, 'lng': -119.0549057}, 'viewport': {'northeast': {'lat': 35.3256271302915, 'lng': -119.0535998697085}, 'southwest': {'lat': 35.3229291697085, 'lng': -119.0562978302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Garden Restaurant,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106837158466563776590"">Mark Barrett</a>'], 'photo_reference': 'AW30NDzmHeWdJ-dEPaMoYxB3M6lfH8QtBGSmU-IDgjYivXzHzZghWHqfLCVlV55qWm5Pto6xcjZXvz5hsY2fUc2ANYTVbhL6pELFYrKDVLM4r9BF4sU8ewtC0J5r7pSZmKaLmZECsjluXvwaB2wyO-iWUA_WCPB7H6SpPU1PR0OZVI_16m1H', 'width': 4080}]",ChIJ10ZRUNJB6oARcdZ-WUZiDX0,"{'compound_code': '8WFW+M2 Bakersfield, CA, USA', 'global_code': '85728WFW+M2'}",3.9,ChIJ10ZRUNJB6oARcdZ-WUZiDX0,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",178.0,"4721 Planz Road, Bakersfield",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 35.2942262, 'lng': -119.0395787}, 'viewport': {'northeast': {'lat': 35.2956420302915, 'lng': -119.0381244197085}, 'southwest': {'lat': 35.2929440697085, 'lng': -119.0408223802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110895497257996136399"">Pizza Hut</a>'], 'photo_reference': 'AW30NDyRUdwZWV0RhbRwsZVyZtPdpqMor0OR2bIpzcymGndlKOf_WuxoVRaEsrXkOYOZFD-Q0uoOTZufUTkW-3Tpkh84seOYuqMdche754a8GZ_CCZeV_PZLysqzqSd3l3-_6mtPGEIG_fqRtjQrSqsX86JetxEJ1T9Zo7hOxgQX003PLmdp', 'width': 1025}]",ChIJJ7MDWq9q6oARpCqWnxAE5lw,"{'compound_code': '7XV6+M5 Bakersfield, CA, USA', 'global_code': '85727XV6+M5'}",3.7,ChIJJ7MDWq9q6oARpCqWnxAE5lw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",325.0,"3351 Panama Lane Ste 300, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.3381152, 'lng': -119.0603816}, 'viewport': {'northeast': {'lat': 35.33939683029151, 'lng': -119.0589580697085}, 'southwest': {'lat': 35.33669886970851, 'lng': -119.0616560302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108793866448656739540"">Allen Daniels</a>'], 'photo_reference': 'AW30NDyHi1HRShSCBfZP1oNAGDGTmZp1RJIyA8SeRGbyJD8EExs1uK3A8Z2R-mvb2COV1uPnL5G-1BFpRL8B365OWPhFy6eUYAB_siCpxkXfxtiB6D2bEh_A7o20Fz1-CPchq3Fc-bDbOytLd0UzZjhbkV1GWHRH16oShtJy8I5mD9TPR_Fu', 'width': 4032}]",ChIJQ2BjAMNB6oARwpFPZYPcK1A,"{'compound_code': '8WQQ+6R Bakersfield, CA, USA', 'global_code': '85728WQQ+6R'}",4.2,ChIJQ2BjAMNB6oARwpFPZYPcK1A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",185.0,"5153 Ming Avenue, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.3180542, 'lng': -119.025426}, 'viewport': {'northeast': {'lat': 35.31937998029149, 'lng': -119.0240462697085}, 'southwest': {'lat': 35.3166820197085, 'lng': -119.0267442302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Pollo Loco,"[{'height': 1228, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102127720040220107910"">El Pollo Loco</a>'], 'photo_reference': 'AW30NDwVrvgJLp0THn64NaN5h2jiGuXFO7UJCpJw1xbiUBdxX1q-HX9dpcTigD6RVECqt4uXAY9unNCDMR6aSp0rGIPfh7QH6f08g74WnbSynf_lLC1phSESLKZEzEAa1LOGw936jHlt3UuAcG98B_Nom7-dvewAEs7A_-8UuacuDMX_P1w', 'width': 1840}]",ChIJl8e695Jq6oARtaZTJUnn4vw,"{'compound_code': '8X9F+6R Bakersfield, CA, USA', 'global_code': '85728X9F+6R'}",4.0,ChIJl8e695Jq6oARtaZTJUnn4vw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",371.0,"2000 White Lane, Bakersfield",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 35.33842790000001, 'lng': -119.033722}, 'viewport': {'northeast': {'lat': 35.3397767802915, 'lng': -119.0323771197085}, 'southwest': {'lat': 35.3370788197085, 'lng': -119.0350750802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,S J Valley Food Plaza,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106837158466563776590"">Mark Barrett</a>'], 'photo_reference': 'AW30NDyIJZ-Gn9CBdLH27hr3ZkePaDALTm3cXI7t_hi6VZ6VEbcdgOSuZRVCNnleq1l9OkSDGd1wOsO32-S-v3r6VO3hm_1TgwF-B4x9iZmyKAcKwfJxYWcxOJCAvajm6g5U2RkAExV2yfWk-t9LyfqZhmHOizw4UGkJAHM_-7exu2PkSsqq', 'width': 4080}]",ChIJKX5BHXBq6oARhHwNNrcAzsY,"{'compound_code': '8XQ8+9G Bakersfield, CA, USA', 'global_code': '85728XQ8+9G'}",5.0,ChIJKX5BHXBq6oARhHwNNrcAzsY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"2701 Ming Avenue # 138, Bakersfield",{'open_now': True},,
OPERATIONAL,"{'location': {'lat': 35.35388890000001, 'lng': -119.0297222}, 'viewport': {'northeast': {'lat': 35.3550575802915, 'lng': -119.0283557197085}, 'southwest': {'lat': 35.3523596197085, 'lng': -119.0310536802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114987219681664875149"">Buydin Sux</a>'], 'photo_reference': 'AW30NDyTWUVBznO0wyFgZKekjY8StiApYBRLj2yBjcPZqRlUlaX7H0QFo0pZz98Thp0kqHnZIyefuoe2RgjayTB-35PWHG0U4T3DeZ4aHWzAeshhu-GGnxNAfyh8jMRHC1Tu3o4KcCqpweZYhvJbl6rLVJjzVFkaSQJCYNgd7ajjD2rBi1c6', 'width': 4000}]",ChIJdx0s4BNq6oARVNK4tyAENvU,"{'compound_code': '9X3C+H4 Bakersfield, CA, USA', 'global_code': '85729X3C+H4'}",4.2,ChIJdx0s4BNq6oARVNK4tyAENvU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",627.0,"2401 Brundage Lane, Bakersfield",{'open_now': True},1.0,
