business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.287023, 'lng': -76.605278}, 'viewport': {'northeast': {'lat': 39.28828318029149, 'lng': -76.60396811970851}, 'southwest': {'lat': 39.28558521970849, 'lng': -76.60666608029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Miss Shirley's Cafe, Inner Harbor",{'open_now': False},"[{'height': 375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114401038377759845478"">Miss Shirley&#39;s Cafe</a>'], 'photo_reference': 'AW30NDySEWaO4yzrhZ20PMmDDanSPqmGNvz06FtuD0rvd62SCCrnTKx3Vf3WJZ5y3vA3-Px-Yyet6p2IMiill2ZOTg1uhhcvud6RQOfejgu4j4w0t72tquXntT4jxy3JKd5uWaiQvry8nq_GvHAEe4ihPTfKTuHKDEwmOEu4SEKo9K7sh0uT', 'width': 528}]",ChIJ3UdzoYIEyIkRcHIoPoU8BUQ,"{'compound_code': '79PV+RV Baltimore, MD, USA', 'global_code': '87F579PV+RV'}",2.0,4.5,ChIJ3UdzoYIEyIkRcHIoPoU8BUQ,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",5277.0,"The Charm'tastic Mile, 750 East Pratt Street, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.2863965, 'lng': -76.6071466}, 'viewport': {'northeast': {'lat': 39.2879323302915, 'lng': -76.60580726970849}, 'southwest': {'lat': 39.2852343697085, 'lng': -76.60850523029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Phillips Seafood,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112432550122949944301"">Phillips Seafood</a>'], 'photo_reference': 'AW30NDzz9aWwRiF6TmlWezbwt8WhWnTnos6iLIvilN6qmLZJB3Clh5bqzsvatWzonMNmkdjz2onwsA5IofpcHY5z-nAxlRsBn3FyomEIZg7PqEUIHocmv55HVJ-rIc-YVIbEeG2CgXFlxTKVfWCx4Foofd6FUfl0yqKhZZBzllfN3xqE4VVi', 'width': 2048}]",ChIJrdyKf2EDyIkRDMA3l4gxtEc,"{'compound_code': '79PV+H4 Baltimore, MD, USA', 'global_code': '87F579PV+H4'}",2.0,4.0,ChIJrdyKf2EDyIkRDMA3l4gxtEc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4251.0,"601 East Pratt Street, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.3027445, 'lng': -76.6161317}, 'viewport': {'northeast': {'lat': 39.3041090302915, 'lng': -76.61471831970849}, 'southwest': {'lat': 39.3014110697085, 'lng': -76.6174162802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Brewer's Art,{'open_now': True},"[{'height': 479, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107604972840875843490"">The Brewer&#39;s Art</a>'], 'photo_reference': 'AW30NDzyUv5ppoRRZPeZCkuNsP5BPj0GwsTCgE51ML5Akexam9V6O63Agq8OYgmULgHWhFdo_J1s5qjQ4HWWrVfbyLM0L4G63FT1waDP6gPdHiWsN1ZBpIKVcfh6Q6OA1PWKo3fGwZ_ZgZ1G_2vbtD0sI9CKhBGujDIFBd6xq-yUjtxig3aQ', 'width': 720}]",ChIJH2z7bZYEyIkRSnylC_bMboU,"{'compound_code': '893M+3G Baltimore, MD, USA', 'global_code': '87F5893M+3G'}",2.0,4.6,ChIJH2z7bZYEyIkRSnylC_bMboU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1521.0,"1106 North Charles Street, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.28622299999999, 'lng': -76.61420199999999}, 'viewport': {'northeast': {'lat': 39.2877221302915, 'lng': -76.6128415197085}, 'southwest': {'lat': 39.2850241697085, 'lng': -76.6155394802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kona Grill - Baltimore,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108411520872241604938"">Chris Reece</a>'], 'photo_reference': 'AW30NDzD6nzMuyUeskpy3FLSHF-7kO3SAkrg-4pN2v_F6-ACGwYvkIR39noGQgm-Q3vyU8VLAhFmDlwJVRsC6vnKirmGacGj2dCNWpLkEQWVW2KysRgxSk8CWb2rIhf5Ito2Ytaa0z4WBff1JrqLbjzXMjOdP3EzQ83qJD6DynP1kWdopAmd', 'width': 4032}]",ChIJIaqZtmEDyIkRQrktnGoTao4,"{'compound_code': '79PP+F8 Baltimore, MD, USA', 'global_code': '87F579PP+F8'}",2.0,4.1,ChIJIaqZtmEDyIkRQrktnGoTao4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3125.0,"1 East Pratt Street #103, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.29168859999999, 'lng': -76.622241}, 'viewport': {'northeast': {'lat': 39.29304088029149, 'lng': -76.62099661970849}, 'southwest': {'lat': 39.29034291970849, 'lng': -76.62369458029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Faidley's Seafood,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116509776876490076230"">Faidley&#39;s Seafood</a>'], 'photo_reference': 'AW30NDyLMC1pIuWgG5AxuZUyWUcHNiH0UJucgrSw888tOgSM3gdkgM73RLurHkk3IZv7KdgH1li0P_DoVS_SIx24a7ChLf0EDqpuUGLtc3mkRvQrO2CaerqofNFzmKElnLiztdSr8w_J5caE7rUqNww_qySZKrO2vFzbmy7oUje_5QnjZjK6', 'width': 2048}]",ChIJVZ_RHqEEyIkRVyIWSVU75Ow,"{'compound_code': '79RH+M4 Baltimore, MD, USA', 'global_code': '87F579RH+M4'}",2.0,4.4,ChIJVZ_RHqEEyIkRVyIWSVU75Ow,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1805.0,"203 North Paca Street, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.2910717, 'lng': -76.6216858}, 'viewport': {'northeast': {'lat': 39.29288863029149, 'lng': -76.62072961970848}, 'southwest': {'lat': 39.29019066970849, 'lng': -76.62342758029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Lexington Market,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101368731586471962922"">L Johns</a>'], 'photo_reference': 'AW30NDxQKRwlrmIOsmax3tpZtDUCxLhAljlUj9qh3x7qXXJmSUh_IFkmRdigV8HuRo5X-m1h_0hdM30Yw0zwgICZlohkXnbX5Jz9V6Kjq0r-K54ACGF6sxxf4kkPqYlUOnins4ggwfwJg48ObMiEJf1J8wLjukp5mI2CcxhxxhDpAR7AN3FP', 'width': 4032}]",ChIJw8_LAaEEyIkRPBllZ1PBhi0,"{'compound_code': '79RH+C8 Baltimore, MD, USA', 'global_code': '87F579RH+C8'}",1.0,3.7,ChIJw8_LAaEEyIkRPBllZ1PBhi0,GOOGLE,"['bakery', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",8983.0,"112 North Eutaw Street, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.2891146, 'lng': -76.6073893}, 'viewport': {'northeast': {'lat': 39.2902556302915, 'lng': -76.60587791970848}, 'southwest': {'lat': 39.2875576697085, 'lng': -76.6085758802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Power Plant Live!,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117085737951743329230"">Power Plant Live!</a>'], 'photo_reference': 'AW30NDyt-piTKNMg5rMA27U88T8sllKLONuooWX-sNx5BQ-V84mS1iSttVj-jPkke0NlRqobzS46CUWlKXSSedGXQfX-P53utsHfiSS_Lmqh-AIlURXQmn7boOb0ubJ3HgVq-witjWN411jjLJxznt00Z2sMGZsnnuQFvJQZcwgc2jdEc2FQ', 'width': 1920}]",ChIJN9LNsGIDyIkRs-JVpH2g-as,"{'compound_code': '79QV+J2 Baltimore, MD, USA', 'global_code': '87F579QV+J2'}",2.0,4.4,ChIJN9LNsGIDyIkRs-JVpH2g-as,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4960.0,"34 Market Place, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.28658840000001, 'lng': -76.61815589999999}, 'viewport': {'northeast': {'lat': 39.28782343029151, 'lng': -76.61679486970849}, 'southwest': {'lat': 39.28512546970851, 'lng': -76.6194928302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Pratt Street Ale House,{'open_now': True},"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106016791518549657502"">Pratt Street Ale House</a>'], 'photo_reference': 'AW30NDyU1N6Km9GoJQTsCpaqMIUMuISs84--2CucuIoc9I_pSZT5tFVR1XYPOYyrGS3Y0-F1EFg5Vz6m8gvT9yCNLrXkVqmeRD0XfqewpDqlmelxMmuMtJmI7Rdxx4PVEpck2D1W3MpfFjXs0-nd00mOP-l84zSkYoAHCRnNFGz36GXya6DW', 'width': 4670}]",ChIJjyArdmADyIkRXzNcc2UBTDc,"{'compound_code': '79PJ+JP Baltimore, MD, USA', 'global_code': '87F579PJ+JP'}",2.0,4.1,ChIJjyArdmADyIkRXzNcc2UBTDc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2304.0,"206 West Pratt Street, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.28692639999999, 'lng': -76.6076482}, 'viewport': {'northeast': {'lat': 39.28819148029149, 'lng': -76.60619401970851}, 'southwest': {'lat': 39.2854935197085, 'lng': -76.60889198029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107533302382063436926"">Claire Cruz</a>'], 'photo_reference': 'AW30NDweQoOWFrt2l8t_-xEn-EQ-xf2x5y7uPA19tDgVV79vt6nchInknHoTanoEjE14FeFOWjDnrpozJ3dNzqxFZJirLZ6mDyNEDw3QQY6wylKts6Vo0CBSyJWeibz-EwfopetrXdDlC5hdEvvCee23g9VQLiQpLhqP9YlJA1tZ3bWDj7Yx', 'width': 4608}]",ChIJt776pWIDyIkRojWmWHHtwA0,"{'compound_code': '79PR+QW Baltimore, MD, USA', 'global_code': '87F579PR+QW'}",1.0,3.7,ChIJt776pWIDyIkRojWmWHHtwA0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",739.0,"600 East Pratt Street Suite 101, Baltimore",
OPERATIONAL,"{'location': {'lat': 39.28693700000001, 'lng': -76.6072495}, 'viewport': {'northeast': {'lat': 39.28820298029151, 'lng': -76.6059351697085}, 'southwest': {'lat': 39.28550501970851, 'lng': -76.60863313029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fogo de Chão Brazilian Steakhouse,{'open_now': True},"[{'height': 795, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111505030275989641572"">Harry Maguire</a>'], 'photo_reference': 'AW30NDzvoPU8537D1PWfbjSBbRnO-wtIF6QDmO-63LwbDBfpK_wReQe4GAx0P5yEywQpaGkMhIOzGQCoSG_4GykjkQltZAuvw57NGVvNPcla-PTcP9xbYFKkfeXGavQ9gMD4z7FC0YBG7-aubR5gcYzF79EQ4wPjCPK1KbaNzrxVa4iTOusl', 'width': 1200}]",ChIJVYYNWJ0EyIkR9cSQwgoXwjQ,"{'compound_code': '79PV+Q4 Baltimore, MD, USA', 'global_code': '87F579PV+Q4'}",3.0,,ChIJVYYNWJ0EyIkR9cSQwgoXwjQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"600 East Pratt Street #102, Baltimore",
