business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 30.06327610000001, 'lng': -94.13530449999999}, 'viewport': {'northeast': {'lat': 30.06457773029151, 'lng': -94.1339397697085}, 'southwest': {'lat': 30.06187976970851, 'lng': -94.13663773029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,{'open_now': True},"[{'height': 2201, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114022885479769522031"">Steve Buser</a>'], 'photo_reference': 'AW30NDxVRH_Figlj6JEHYSC9dBjxlE6uWocwFlAU2OLjniO0Jc30aaWLRhDUiTRpU3HfzTLno7txnaCgq7zeKItTEZ4E9tK3JTlss4BSKjev-Wssg5Ogqh7_13-lnWSsyTw04fpEfAuelqMSprcHsGSsuVyf-djP5WvjEbb5UGctttKzHL8L', 'width': 4032}]",ChIJpWM6JWzLPoYRVb1fgy3841U,"{'compound_code': '3V77+8V Beaumont, TX, USA', 'global_code': '86273V77+8V'}",2.0,4.4,ChIJpWM6JWzLPoYRVb1fgy3841U,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1483.0,"1550 Interstate 10 South, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.0379505, 'lng': -94.1587448}, 'viewport': {'northeast': {'lat': 30.0391766302915, 'lng': -94.1571273697085}, 'southwest': {'lat': 30.0364786697085, 'lng': -94.15982533029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pappadeaux Seafood Kitchen,{'open_now': True},"[{'height': 349, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106702733125855987758"">Pappadeaux Seafood Kitchen</a>'], 'photo_reference': 'AW30NDxTwKriHWsmguVBc_XvPoyp2siqN_sz5xZI5LnFNf3J18-NwQ-x8fEnqC-VXoVxOvu8SVVaWCT5HKEKrtVrauda-J-damw940MLh2pzhmJM7_wmCB1YWZKSIRFnXiivtAD3P5abH-pY-DUnM3ZQ7JQXfE5SvUxuHjVJZxQN1AVVbiZC', 'width': 886}]",ChIJ05YzV3rMPoYRPcS3w3V23Uo,"{'compound_code': '2RQR+5G Beaumont, TX, USA', 'global_code': '86272RQR+5G'}",3.0,4.5,ChIJ05YzV3rMPoYRPcS3w3V23Uo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3837.0,"4040 Interstate 10, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.039516, 'lng': -94.152611}, 'viewport': {'northeast': {'lat': 30.0411318302915, 'lng': -94.15169124999998}, 'southwest': {'lat': 30.0384338697085, 'lng': -94.15537025}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Beaumont 15 and XD,,"[{'height': 482, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114609015696425455815"">B.</a>'], 'photo_reference': 'AW30NDxqQ4R2GbKGO1o_3l1URC687jv0mYiFO5V3-K-idLzQGzgGYgDwUlZmidgK-1O6CTEwcYwn5ZdYUlCaoR0NfKriLdiOPXVhCJ0aka9c2ssTuZDjtfyN5KPsf2o0fVQKnzk8vv9XVhCocCzAfQRsih6-AKifuqjlMt4QX6Z4OqI1h1OJ', 'width': 900}]",ChIJRWGG7HjMPoYRy8SgdBPPcRk,"{'compound_code': '2RQW+RX Beaumont, TX, USA', 'global_code': '86272RQW+RX'}",,4.5,ChIJRWGG7HjMPoYRy8SgdBPPcRk,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2610.0,"3855 Interstate 10, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.08040819999999, 'lng': -94.17209419999999}, 'viewport': {'northeast': {'lat': 30.0817348302915, 'lng': -94.17055761970849}, 'southwest': {'lat': 30.0790368697085, 'lng': -94.17325558029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 1962, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114022885479769522031"">Steve Buser</a>'], 'photo_reference': 'AW30NDzAOwE9LZUriW1rimTquJTq5pSv7R4J3DYlkr5SZsOEcVzOKASw-UmVYSePytkon-krl9jgwxHgeemT8KbUTH87z4KXTtdr5JMnPvK1MngyF8NHxF_ONhLChAQqb8TK5iAwIq9sEnFmHfqbqdVPCeU6icCfskkslqQbD79ml2VzztbJ', 'width': 4032}]",ChIJ5dJG6cfMPoYRAaeYQPD54gU,"{'compound_code': '3RJH+55 Beaumont, TX, USA', 'global_code': '86273RJH+55'}",2.0,4.5,ChIJ5dJG6cfMPoYRAaeYQPD54gU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1378.0,"535 Dowlen Road, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.06807800000001, 'lng': -94.16449589999999}, 'viewport': {'northeast': {'lat': 30.0693692302915, 'lng': -94.1629493697085}, 'southwest': {'lat': 30.0666712697085, 'lng': -94.1656473302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2190, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114022885479769522031"">Steve Buser</a>'], 'photo_reference': 'AW30NDzwZYrzCAO3EdDlkRbUeoTzg-dtWBzLbWftisptjer0TVioFXnWV-MwhuOCW_ROejjYo-fGX3dVPh-Mkd46JRTmwJOhxMn4k95Ob9j0GRS-T5dqGi1uR3OkCE_TyD5ds8Uay7fdxleph0qyzYgI2TNYxlNCTZHnwO6AX38p0eatqGYI', 'width': 3758}]",ChIJQ_Ej4J7MPoYRVSHu-ZW5Ikc,"{'compound_code': '3R9P+66 Beaumont, TX, USA', 'global_code': '86273R9P+66'}",1.0,4.3,ChIJQ_Ej4J7MPoYRVSHu-ZW5Ikc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",83.0,"6120 College Street, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.1212304, 'lng': -94.15943930000002}, 'viewport': {'northeast': {'lat': 30.1225367802915, 'lng': -94.15800026970851}, 'southwest': {'lat': 30.1198388197085, 'lng': -94.16069823029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Guadalajara Mexican Restaurant,{'open_now': True},"[{'height': 2759, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114022885479769522031"">Steve Buser</a>'], 'photo_reference': 'AW30NDzYJm3bIAilWZ7yxurPiYFUvQk3zSStumADEy7f6R6dMwkf0RDtWk4PPMi-SEAEVW_SZaM2fJMa-tKnF8O1EZdYv1xO6WYMYbn9D0d-SxchiEvgn5T-b8n2KUuyvBBu5hh11ZqBqTU4RYiY0MPfG3o-BSHTTPl3SJDHy2zqDFZQlCCX', 'width': 4032}]",ChIJdRJKgWYzOYYRWC9C6_iEnIg,"{'compound_code': '4RCR+F6 Beaumont, TX, USA', 'global_code': '86274RCR+F6'}",2.0,4.1,ChIJdRJKgWYzOYYRWC9C6_iEnIg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",642.0,"4414 Dowlen Road #101, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.08433560000001, 'lng': -94.1368421}, 'viewport': {'northeast': {'lat': 30.0856430302915, 'lng': -94.1353634197085}, 'southwest': {'lat': 30.0829450697085, 'lng': -94.1380613802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Saltgrass Steak House,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105231987720537012903"">Jesse Lewis</a>'], 'photo_reference': 'AW30NDw1ffqU7w4_fW22fo4yZ4jYUMCR6O-TW9poMufb27NVcqe18qbFdp0gb7vyT7qJljdbrinxlllifNH3S2QHhdh66B5k-C14499Z_bl1kemqbBPNtm_1usE1NS0S__vhuRii4blE7NrdxEprizcB928ua2qa8SABCHymkwrCymKUPbpp', 'width': 5312}]",ChIJSxehPk_LPoYRSyFMqENvALA,"{'compound_code': '3VM7+P7 Beaumont, TX, USA', 'global_code': '86273VM7+P7'}",2.0,4.3,ChIJSxehPk_LPoYRSyFMqENvALA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2116.0,"325 Interstate 10, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.10559279999999, 'lng': -94.1700733}, 'viewport': {'northeast': {'lat': 30.1069560302915, 'lng': -94.1686105197085}, 'southwest': {'lat': 30.1042580697085, 'lng': -94.1713084802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114609015696425455815"">B.</a>'], 'photo_reference': 'AW30NDzoSfdptF3E7OeOhasMwaCqPraCbkZhhUHLxDvhbRRv3gAiCJnWxFKQAwPzeNTKyqVhGvfcA8H-yqVkolrkwhKxP7M8ASQb8PxLmKsJMp2L2rW1xP31PSTegfQ7XeGA8iJcyHIbeKSuv_c5ErHFC4JnJ8XOFkOdB1M1DsUjS0CpSFHy', 'width': 4032}]",ChIJv_JHWEYzOYYRPMa5lbCNAVk,"{'compound_code': '4R4H+6X Beaumont, TX, USA', 'global_code': '86274R4H+6X'}",1.0,3.6,ChIJv_JHWEYzOYYRPMa5lbCNAVk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",147.0,"3015 Dowlen Road Suite 170, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.12299789999999, 'lng': -94.1627742}, 'viewport': {'northeast': {'lat': 30.1244073802915, 'lng': -94.1613102197085}, 'southwest': {'lat': 30.1217094197085, 'lng': -94.16400818029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111599291729246590181"">robert gonzales</a>'], 'photo_reference': 'AW30NDzgtsRskfHnA4Su9erJxrUDY3nYweK2x7G5tGX-WTND1ptKAOyc6RTGgY2umoeUAqu9Ky5d1zISmvSjxGecEsmD8ADCNl125rAcer2hMZB2NYjC_gKxpM_VjVU57A3oNMJYEAnc2rSqVUuo7pCATxB1-ofoCOiL29GPdTMy2UnbTd8e', 'width': 4032}]",ChIJS4hu2mszOYYRDASfOltTh4U,"{'compound_code': '4RFP+5V Beaumont, TX, USA', 'global_code': '86274RFP+5V'}",2.0,3.9,ChIJS4hu2mszOYYRDASfOltTh4U,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1499.0,"4235 Dowlen Road, Beaumont",
OPERATIONAL,"{'location': {'lat': 30.07796099999999, 'lng': -94.1704947}, 'viewport': {'northeast': {'lat': 30.0792228802915, 'lng': -94.16911096970851}, 'southwest': {'lat': 30.0765249197085, 'lng': -94.17180893029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103510855840640924758"">Summer Guc</a>'], 'photo_reference': 'AW30NDxARBcNYikawp_KiGn4ENdGR4woOuikWXCKa0DnkrdRGZmknQJKLp19W6m_7N9qcfKZ4VBkK4cbm9r1FnbVs-o3vbbyFJ9k7Fi2JG0HKUQ5bCzPQ1NZkNLIGmSaqBkH1E5tKg0nN3_u5oPKqtX4GyDfSC-TaTO1VWudETHDGeUCYt4', 'width': 3024}]",ChIJJWDE-rjMPoYRp4zxRw8tCx0,"{'compound_code': '3RHH+5R Beaumont, TX, USA', 'global_code': '86273RHH+5R'}",1.0,4.1,ChIJJWDE-rjMPoYRp4zxRw8tCx0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",103.0,"6458 Phelan Boulevard Unit R01, Beaumont",
