business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 47.5769984, 'lng': -122.1730515}, 'viewport': {'northeast': {'lat': 47.5782688802915, 'lng': -122.1716899197085}, 'southwest': {'lat': 47.5755709197085, 'lng': -122.1743878802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Novilhos Brazilian Steakhouse,{'open_now': True},"[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115327961255449565038"">Novilhos Brazilian Steakhouse</a>'], 'photo_reference': 'AW30NDxLBETeKGx-kVVPfFl83zcYU0qZEupTJasznK13RKWFQSbWpl-F8mPwMsxQgxFIcfnIfMAYI5uPwrPL-uv-72lt_DFy-GJWKa81pUcw9Fo7xxZ8afVVPsvKpYIj_z6TQYF1dw2v1-WsRgH90_1kCgtThZhvTsl0_9gGIaxqCxMwEw7b', 'width': 2048}]",ChIJ48ww6f9rkFQRrtQlbF8T5vE,"{'compound_code': 'HRGG+QQ Bellevue, WA, USA', 'global_code': '84VVHRGG+QQ'}",4.0,4.3,ChIJ48ww6f9rkFQRrtQlbF8T5vE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1621.0,"12405 Southeast 38th Street, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.6191964, 'lng': -122.130861}, 'viewport': {'northeast': {'lat': 47.6206037802915, 'lng': -122.1296016197085}, 'southwest': {'lat': 47.6179058197085, 'lng': -122.1322995802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Torero's Taqueria,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109598928494586806956"">Chris Seltzer</a>'], 'photo_reference': 'AW30NDw2acreTxa0UGhJzcLJZZ9is8uPhS5DqeHpo6FaM_EJd1MdmaYGlBJwW6Y9QS9BN9YJFOzXY6_XTdx3W1fUhcmYfsvJor-4uMTgKQKmJnIQ4o0CCLg0H7ilY2arwNTF7ir4LkvuJsXNhed06do9ukOgN4mZJkrVGE1stabCScn6G9zh', 'width': 4032}]",ChIJz_B3r7ptkFQRAORQ3g5Q7PI,"{'compound_code': 'JV99+MM Bellevue, WA, USA', 'global_code': '84VVJV99+MM'}",,3.3,ChIJz_B3r7ptkFQRAORQ3g5Q7PI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",56.0,"TAQUERIA – Crossroads, 15600 Northeast 8th Street, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.6123799, 'lng': -122.1964909}, 'viewport': {'northeast': {'lat': 47.61373348029149, 'lng': -122.1950132697085}, 'southwest': {'lat': 47.6110355197085, 'lng': -122.1977112302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Seastar Restaurant & Raw Bar,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116513132693270548878"">Seastar Restaurant &amp; Raw Bar</a>'], 'photo_reference': 'AW30NDzdIrwdaJAKwmv-8tGqTnpc9hnzMaHxkirLOVRT5fHe8E0GTRcylcqbfSAdlcEgzQ6YhVo8FNHrkdpq3LGtdqqEE_Rj3mS1daZyAfTB22d0SIbMFywOl1eg6nv4DEhvArAqYkYqf36kWZRMRKRQv_lxE4ZJe6igF9O75jNkLagnXemw', 'width': 1500}]",ChIJd2uY_zUVkFQRnYtbBRLwOJg,"{'compound_code': 'JR63+XC Bellevue, WA, USA', 'global_code': '84VVJR63+XC'}",3.0,4.4,ChIJd2uY_zUVkFQRnYtbBRLwOJg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1636.0,"205 108th Avenue Northeast, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.6190944, 'lng': -122.1306646}, 'viewport': {'northeast': {'lat': 47.6204267802915, 'lng': -122.1296019197085}, 'southwest': {'lat': 47.6177288197085, 'lng': -122.1322998802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ebru Mediterranean Deli,{'open_now': True},"[{'height': 2251, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115579609010702998399"">Skywalker Feng</a>'], 'photo_reference': 'AW30NDzMZD_L-cZSktfnrGNtiBezDpWIHnNQ9SyV55DlThJFYPnI_keoCLeKSVTlOY1e-D-vZtwEFUgtmg5JvLzhab8xWFy-sqPGvy5CV1e3p-61vUCnQXebBX03GgIcb0N1_S1oXODRtJlQdu997ujLSdUe9Nc2RR5vWTB7Nx8rPc1KqqIn', 'width': 3472}]",ChIJz_B3r7ptkFQRRu5VGdohJ64,"{'compound_code': 'JV99+JP Bellevue, WA, USA', 'global_code': '84VVJV99+JP'}",,3.3,ChIJz_B3r7ptkFQRRu5VGdohJ64,GOOGLE,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",80.0,"15600 Northeast 8th Street, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.60961200000001, 'lng': -122.1417149}, 'viewport': {'northeast': {'lat': 47.6108618302915, 'lng': -122.1403595197085}, 'southwest': {'lat': 47.60816386970851, 'lng': -122.1430574802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kizuki Ramen & Izakaya,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100635306528145458772"">Nan Li</a>'], 'photo_reference': 'AW30NDwIvU0FDieftEvhIcwWs_ZyyBUL9vk2J1lEV_I_MuzDyy1zsKrv0OJ3A5ClYc3Waujx4Dy-tRgz9LvKG86dc4ec2xzv98BHel0vijcnl2c1TQGX9VLePQGkQycqVjmvMawlGOpMX3pGp3H2cW8C__YTrbjafL5vYq0oUTRIL7G9miWR', 'width': 4032}]",ChIJl4sSWkpskFQRG59oX-GVfyM,"{'compound_code': 'JV55+R8 Bellevue, WA, USA', 'global_code': '84VVJV55+R8'}",2.0,4.4,ChIJl4sSWkpskFQRG59oX-GVfyM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1424.0,"14845 Main Street, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.6167847, 'lng': -122.191192}, 'viewport': {'northeast': {'lat': 47.6179791302915, 'lng': -122.1898536}, 'southwest': {'lat': 47.6152811697085, 'lng': -122.1946516}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,John Howie Steak,{'open_now': True},"[{'height': 969, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109123440411223698632"">John Howie Steak</a>'], 'photo_reference': 'AW30NDw6Yx2QHkIclt8ypx67XgGBtia7C_WGsis_Irzlb4i9Y6CE0UvqR1JyP0FHgCYQ0js6o02FVmeeWskqFjDCeD-HPWmgu082oGVrdzdAfimuk342cv-rL_0p4W3Yc7aCxpnPO5eYBQdqi-sCbpbmz4JMSHe8zFv2933w7Yhi6XXtJ9nP', 'width': 640}]",ChIJ06MLNIpskFQR9w8k4jegAIk,"{'compound_code': 'JR85+PG Bellevue, WA, USA', 'global_code': '84VVJR85+PG'}",4.0,4.5,ChIJ06MLNIpskFQR9w8k4jegAIk,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1263.0,"11111 Northeast 8th Street #125, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.6082441, 'lng': -122.1413794}, 'viewport': {'northeast': {'lat': 47.6096779802915, 'lng': -122.1400376197085}, 'southwest': {'lat': 47.6069800197085, 'lng': -122.1427355802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111201985903613150996"">Darrell Logan</a>'], 'photo_reference': 'AW30NDw7_yRVFBp4ckP4uo39YZux8hfkzTv_gMgXMGuSF1rFJB8OQ2NOGAOo6eJKu84rkaJK4NNTfOpzs93hZxJRYZBZ2Q80UpRO32ODmKq0NZZke1vEdJKCbNzn5YYaMho58VUBC2PgH7SPpjxY31tR1HtFwtRn0yp_7Pu3WdQRGQHxC3LS', 'width': 4000}]",ChIJ-V_4c0pskFQR3eEu1H_94no,"{'compound_code': 'JV55+7C Bellevue, WA, USA', 'global_code': '84VVJV55+7C'}",1.0,3.1,ChIJ-V_4c0pskFQR3eEu1H_94no,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",121.0,"15015 Main Street Suite 113, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.57672420000001, 'lng': -122.1362019}, 'viewport': {'northeast': {'lat': 47.57815353029151, 'lng': -122.1348536697085}, 'southwest': {'lat': 47.57545556970851, 'lng': -122.1375516302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Outback Steakhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118008686930887807501"">JoJo S</a>'], 'photo_reference': 'AW30NDxCvCpY2SO6g7HdlchKCqLu8QveTk_1h2VrlEG3fKBY5VjlyvuVi35pWazhUMKWE3v1uz0tj6sAKz8UVYHaT3Skj7UVSsn0yrylw0kGIrqDsOG7wG2mZQ04Uj37DiDXuMfbvBqFAVcb9K7_jsNexIiumwhbFfuKORN-JUolt0HkPUSv', 'width': 4032}]",ChIJzYtTs7xukFQRZux4nI_BY3s,"{'compound_code': 'HVG7+MG Bellevue, WA, USA', 'global_code': '84VVHVG7+MG'}",2.0,4.0,ChIJzYtTs7xukFQRZux4nI_BY3s,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",928.0,"15100 Southeast 38th Street, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.5788553, 'lng': -122.1683477}, 'viewport': {'northeast': {'lat': 47.58016463029151, 'lng': -122.1668727197085}, 'southwest': {'lat': 47.57746666970851, 'lng': -122.1695706802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Applebee's Grill + Bar,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107534741695241260925"">Tong Chen</a>'], 'photo_reference': 'AW30NDzawKDh4Cd347HqKibtlXp9ve0Q0e5H96nzgGbClr_GnmthluMhhi8DarHrZHGpJlZ73Zc_szI0rRmRFqSBAg5U8FqKTv3LGarCJGz1bl3fh1oFCjOXCCTIE5FNyLBpY3lSGtDygYgK110ndDryhPaavy0h6cBQOeOHy1WeJSIXQNVk', 'width': 3840}]",ChIJF2ZAKwBskFQRHNxWhNV4PBM,"{'compound_code': 'HRHJ+GM Bellevue, WA, USA', 'global_code': '84VVHRHJ+GM'}",2.0,3.9,ChIJF2ZAKwBskFQRHNxWhNV4PBM,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1467.0,"3520 Factoria Boulevard Southeast, Bellevue",
OPERATIONAL,"{'location': {'lat': 47.58173729999999, 'lng': -122.1399609}, 'viewport': {'northeast': {'lat': 47.5830600302915, 'lng': -122.1387374697085}, 'southwest': {'lat': 47.5803620697085, 'lng': -122.1414354302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105517287002205045555"">Sabarish Logeswaran</a>'], 'photo_reference': 'AW30NDyAUkhym_wMtoJoNDqKjoJmr2Y9S5OQMive0NGmSePAWkqrTO3grdVAEMwvuUJz-KOQwOfhR0DGH81UkCrCsSukLewEwWm_DhqF6gWPtB_0X5wqNJmSxbY22Np5GagtkmTMomD19WMxbF8gmgaiVFslWMOgy1qtzIFae-cReTLmnU_i', 'width': 4032}]",ChIJ2Tlr-aFukFQRS3FYi7PSRUY,"{'compound_code': 'HVJ6+M2 Bellevue, WA, USA', 'global_code': '84VVHVJ6+M2'}",1.0,3.0,ChIJ2Tlr-aFukFQRS3FYi7PSRUY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",118.0,"3080 148th Avenue Southeast Suite 111, Bellevue",
