business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 44.0818489, 'lng': -121.3064201}, 'viewport': {'northeast': {'lat': 44.0831475302915, 'lng': -121.3049413197085}, 'southwest': {'lat': 44.0804495697085, 'lng': -121.3076392802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Shilo Inns Bend,{'open_now': True},"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112579787560647510159"">Shilo Inns Bend</a>'], 'photo_reference': 'AW30NDywA92Lszux_jMbgEVsWHIqZUnwMsqbJ_H_o5oBgGgtHEjeu5expe660HL5u75nQNZ4wkobtISWxPPz2SkBSBK5Qbp5G-teOlVF_w6D8uPfa58SZlO6XxmUJM_4UyyeRic8h0tMtBhrUtNs_MPJXrg_7LzXMxHTQ_G1ME1ivgbFJWNF', 'width': 3500}]",ChIJHdXFScjIuFQRZtiufxqoiQg,"{'compound_code': '3MJV+PC Bend, OR, USA', 'global_code': '84PW3MJV+PC'}",3.6,ChIJHdXFScjIuFQRZtiufxqoiQg,GOOGLE,"['night_club', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1206.0,"3105 O. B. Riley Road, Bend",,
OPERATIONAL,"{'location': {'lat': 44.05368, 'lng': -121.264561}, 'viewport': {'northeast': {'lat': 44.0552200802915, 'lng': -121.2634038197085}, 'southwest': {'lat': 44.0525221197085, 'lng': -121.2661017802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Comfort Inn & Suites,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116783401526638844237"">Comfort Inn &amp; Suites</a>'], 'photo_reference': 'AW30NDzTAFHb0ZBLmPhSUsArFfgtY1EhqtckqsxM9nhQw-W82eS5faKBAGhiudbpUSMqXtkf8qZatqZ01RJJoh6JXBqOQXpj6MTtCnDDeunEUNQRd1BPxc4rb_FUYXtQCwjl4_pzIEPjYqvd-wA0SIQUjtBUrai0WzYhf8GDhtQ6BhfBqGjT', 'width': 2880}]",ChIJeTOkOwvGuFQRUpQiX5EVIsw,"{'compound_code': '3P3P+F5 Bend, OR, USA', 'global_code': '84PW3P3P+F5'}",3.8,ChIJeTOkOwvGuFQRUpQiX5EVIsw,GOOGLE,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",289.0,"62065 Southeast 27th Street, Bend",,
OPERATIONAL,"{'location': {'lat': 44.02416019999999, 'lng': -121.3650525}, 'viewport': {'northeast': {'lat': 44.0254971302915, 'lng': -121.3636773697085}, 'southwest': {'lat': 44.02279916970851, 'lng': -121.3663753302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tetherow,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105421174384450391252"">Tetherow</a>'], 'photo_reference': 'AW30NDwvCkE0KQOoQrWcZygoldEOWU2FvSbWXTC3qqiJ69RrQgMAdJUtlQT9hE8rSJ9Yo_KyWEIAGIlYtNIz9DOOZqOfTOBOlIoD472jqFLpk_Hjw9Mp_kCtlrGP_R8XApVrzsu9hk_c1TaBEqs1C-BdpkvfVUcwwngfTEGplH5uy_Oz1EFy', 'width': 1800}]",ChIJwwdEAgu4uFQRHbRrjLlz5Lo,"{'compound_code': '2JFM+MX Bend, OR, USA', 'global_code': '84PW2JFM+MX'}",4.5,ChIJwwdEAgu4uFQRHbRrjLlz5Lo,GOOGLE,"['real_estate_agency', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'travel_agency', 'establishment']",706.0,"61240 Skyline Ranch Road, Bend",,
OPERATIONAL,"{'location': {'lat': 44.0566263, 'lng': -121.3144673}, 'viewport': {'northeast': {'lat': 44.0580524302915, 'lng': -121.3132416197085}, 'southwest': {'lat': 44.0553544697085, 'lng': -121.3159395802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,McMenamins Old St. Francis School,,"[{'height': 634, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117976629855074320266"">McMenamins Old St. Francis School</a>'], 'photo_reference': 'AW30NDzOhv0kLmbTeMHzAneD_6N3-cIGKHyUHC0LFYSlbV0VU5pAQay0YzryDeK1qmBlAkd3DaphD7xciLe6HIfvJu_TJ_QLS9sS4j-sggsILaLwzVuXskQdXKVyZbeQCAGCbJcC_QEZBFzoNoIW_pYwbeZsx-lxb3Oi20C9Prs6YtPXHzGG', 'width': 960}]",ChIJ0z9yFCjGuFQRiLxEV31BGsQ,"{'compound_code': '3M4P+M6 Bend, OR, USA', 'global_code': '84PW3M4P+M6'}",4.6,ChIJ0z9yFCjGuFQRiLxEV31BGsQ,GOOGLE,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4437.0,"700 Northwest Bond Street, Bend",2.0,
OPERATIONAL,"{'location': {'lat': 44.08111110000001, 'lng': -121.3061111}, 'viewport': {'northeast': {'lat': 44.08203600000002, 'lng': -121.3042365197085}, 'southwest': {'lat': 44.0783364, 'lng': -121.3069344802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Riverhouse on the Deschutes,{'open_now': True},"[{'height': 3426, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106789730898022629654"">Riverhouse on the Deschutes</a>'], 'photo_reference': 'AW30NDwd3iX0f6du9D-GrbGyyn0FJhQT-hN4nJsYo94KT0tdiPPqc-lEOhcmF-A6Fu56KX7rqEmgI1gPaug8FIKQ_QLoviUQf7PMzEz7aJjDJNCIfo3QmH2vpqxHsz9cCwguBguB8yMSH7zy3hT8hyFMHW7LIDedOW6rdGz86Ynzn8dwhsBW', 'width': 5140}]",ChIJ5ZaRk7fIuFQRxnDqancLaW8,"{'compound_code': '3MJV+CH Bend, OR, USA', 'global_code': '84PW3MJV+CH'}",4.2,ChIJ5ZaRk7fIuFQRxnDqancLaW8,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",2016.0,"3075 North Highway 97, Bend",2.0,
OPERATIONAL,"{'location': {'lat': 44.04639459999999, 'lng': -121.3150863}, 'viewport': {'northeast': {'lat': 44.05149430000001, 'lng': -121.310778}, 'southwest': {'lat': 44.0401311, 'lng': -121.3181812}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Old Mill District,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104085153011227119815"">2xAlex</a>'], 'photo_reference': 'AW30NDyXfyMm70X5OqdLMcxmnMgRRBkfuvT6cJpZI9cajgte6nbuO_u0wGr9jMFeHmNP4d0pjBw2f2iKBT0EF_B4-Kie9eYvkph9SUTeY2haNyHZw8wnfq9yVIUVVyO5HDj5qwusjHC4AcX8OtTX-aNzrclUZXPlazoNvK61V3eHED8xl0ka', 'width': 4032}]",ChIJ84JrwTLGuFQR8IyzljOdl8I,"{'compound_code': '2MWM+HX Bend, OR, USA', 'global_code': '84PW2MWM+HX'}",4.5,ChIJ84JrwTLGuFQR8IyzljOdl8I,GOOGLE,"['shopping_mall', 'movie_theater', 'art_gallery', 'gym', 'jewelry_store', 'spa', 'health', 'home_goods_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",7119.0,"450 Southwest Powerhouse Drive, Bend",,
OPERATIONAL,"{'location': {'lat': 44.0563621, 'lng': -121.3285446}, 'viewport': {'northeast': {'lat': 44.0578190302915, 'lng': -121.3271982697085}, 'southwest': {'lat': 44.0551210697085, 'lng': -121.3298962302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,10 Barrel Brewing West Side Bend,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108344066062649263367"">Mark McHugh</a>'], 'photo_reference': 'AW30NDz64tQ1vI8vbhn2tSaTweeInd5s-Dt_RtzTSBIIMmnF_XrT0PvzOV-FhdnVl9hfGA3W8JhH3HM-Gp9MWY5b9MGYa93KMynmt1SMPe-ow22mMRT3MBYzHd1UD90jBjAJRs5X3gb9UfJpGWB64KxcfTSPt8WgEmWxOx45m0hih2G2MkwZ', 'width': 4032}]",ChIJN6Qnj4DIuFQROlKWCbi9594,"{'compound_code': '3M4C+GH Bend, OR, USA', 'global_code': '84PW3M4C+GH'}",4.5,ChIJN6Qnj4DIuFQROlKWCbi9594,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",918.0,"1135 Northwest Galveston Avenue, Bend",2.0,
OPERATIONAL,"{'location': {'lat': 44.0507798, 'lng': -121.3079013}, 'viewport': {'northeast': {'lat': 44.0520453302915, 'lng': -121.3066382197085}, 'southwest': {'lat': 44.0493473697085, 'lng': -121.3093361802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Crux Fermentation Project,{'open_now': True},"[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112220352033590698683"">Crux Fermentation Project</a>'], 'photo_reference': 'AW30NDwsLhMbMOkPBi0tdaEu6LnOlVtK_NWNwLowSM-i8w0EBMIm-FabMHAvqiRKG3UNuy8jbuSM9ZvRN0e-gaqukOHpRBvUr-Ap6kqmME8lFAlmRC_BniJu2Z-oJauoL2U99s9JYYVIQscIWInUrjqMG4C5h2WYmxCG4sC51fxX83Try6e8', 'width': 2048}]",ChIJCf5w6i_GuFQRzUOU2jHUp0U,"{'compound_code': '3M2R+8R Bend, OR, USA', 'global_code': '84PW3M2R+8R'}",4.6,ChIJCf5w6i_GuFQRzUOU2jHUp0U,GOOGLE,"['liquor_store', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1119.0,"50 Southwest Division Street, Bend",2.0,
OPERATIONAL,"{'location': {'lat': 44.0554908, 'lng': -121.2826831}, 'viewport': {'northeast': {'lat': 44.0568970802915, 'lng': -121.2812403197085}, 'southwest': {'lat': 44.05419911970851, 'lng': -121.2839382802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lava Lanes Bend,{'open_now': True},"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116389001473628204080"">Lava Lanes Bend</a>'], 'photo_reference': 'AW30NDx7UQyzFaYR23MI111JrwXdQbzvgQhiOtoyDmi6Z8y1q06jyBzdvVXrUpGHH5DVbxkSWWr2vO-Ypfygbdv6DkR7RRhtnZ2qH4riAt-ad9PyMleCf1u-XCQXQ9PDvesU039Ei_bK1j9-rZMSlpYALqzz1VWIRiN9M7v3cmWWlHnFzCPD', 'width': 851}]",ChIJoc4J-hDGuFQRPLtaQmLRVn8,"{'compound_code': '3P48+5W Bend, OR, USA', 'global_code': '84PW3P48+5W'}",4.3,ChIJoc4J-hDGuFQRPLtaQmLRVn8,GOOGLE,"['bowling_alley', 'night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",908.0,"1555 Northeast Forbes Road, Bend",,
OPERATIONAL,"{'location': {'lat': 44.2674606, 'lng': -121.1775063}, 'viewport': {'northeast': {'lat': 44.2690207302915, 'lng': -121.1762307197085}, 'southwest': {'lat': 44.2663227697085, 'lng': -121.1789286802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100916407187738575234"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDz1EHYFlsyGboHoL2d00v-lVBnvqtP1P0n73Eba3RdLQY268utEhrGHsobv1hIJDHCpQ7e6ms40cZmxwIR5JVABsjs_LDNUcDGPI-tlaZIe9mYC-DVbzuuICFaksMPjo3_fU2ketl5dbjhiQOi42--qK87SLlfdeECXsnjewoIGr32K', 'width': 1000}]",ChIJr28l3Ckrv1QRfQJtqa5pXI0,"{'compound_code': '7R8C+XX Redmond, OR, USA', 'global_code': '84PW7R8C+XX'}",3.5,ChIJr28l3Ckrv1QRfQJtqa5pXI0,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",297.0,"944 Southwest Veterans Way Suite 105, Redmond",1.0,
