business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.86918319999999, 'lng': -122.2684195}, 'viewport': {'northeast': {'lat': 37.8705961302915, 'lng': -122.2671188697085}, 'southwest': {'lat': 37.8678981697085, 'lng': -122.2698168302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Shattuck Plaza,{'open_now': True},"[{'height': 3500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112272527334193609118"">Hotel Shattuck Plaza</a>'], 'photo_reference': 'AW30NDxkY7HLIIVKHSYtdVWEuEEXTl1R12ZFAky-1cBUIG09m7v_GtOER-N7jcNyGdIqD4l14V_bczymQsPuWhvLnZQkCMXl8EqCI0YvLbZJJOiHfqJDXJDXYQcA8LkIcmIW-aV8TdNpNieVyMys6mT6sMx9NVO61fZX26BJpKaLB_IFcdpl', 'width': 5250}]",ChIJ9SUZTJx-hYARuXH-EbqeQjU,"{'compound_code': 'VP9J+MJ Berkeley, CA, USA', 'global_code': '849VVP9J+MJ'}",4.3,ChIJ9SUZTJx-hYARuXH-EbqeQjU,GOOGLE,"['cafe', 'night_club', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",864,"2086 Allston Way, Berkeley",,
OPERATIONAL,"{'location': {'lat': 37.86794200000001, 'lng': -122.256305}, 'viewport': {'northeast': {'lat': 37.86939253029151, 'lng': -122.2549933697085}, 'southwest': {'lat': 37.86669456970851, 'lng': -122.2576913302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Graduate Berkeley,,"[{'height': 560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109738726135740456985"">Graduate Berkeley</a>'], 'photo_reference': 'AW30NDywvB2dg-61BxUQ70O_D2KmEm5CXMrRGB4ohXuiz0kVKwTwcqnk0Esy8yfeg7YkUgsHybVKNgbKxHxJZd09I2zyfCKiS-lLGQ6I_PZnLgSbtGxWoP5zhtfZy5Lqs4VLLrlSepNJB2MKK2hKhsRjcNo7Rk7z6gEGjMMiDCwIJEaFCw_z', 'width': 780}]",ChIJO1q-ry98hYARXdN27wXhtqg,"{'compound_code': 'VP9V+5F Berkeley, CA, USA', 'global_code': '849VVP9V+5F'}",4.1,ChIJO1q-ry98hYARXdN27wXhtqg,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",610,"2600 Durant Avenue, Berkeley",,
OPERATIONAL,"{'location': {'lat': 37.8590352, 'lng': -122.2420658}, 'viewport': {'northeast': {'lat': 37.8602550302915, 'lng': -122.2405631697085}, 'southwest': {'lat': 37.8575570697085, 'lng': -122.2432611302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Claremont Club & Spa - A Fairmont Hotel,,"[{'height': 828, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109304325897788427218"">Claremont Club &amp; Spa - A Fairmont Hotel</a>'], 'photo_reference': 'AW30NDylet8pz6aqTAkO790IFWQR_BZQ6AJxk7IIDEeltqxq4M_d7uyKVHe2VA9nTFzcvJrnOxHMjTQ70n60YW_Ob5TPJWdYruaONVx5jhvpyXudjwuTsSR6KeYS5rvPRy-ftC-P0SYYFYkd2WDU8JvC1OiUDSA49qzQlOvjKqk9KHt3f_YD', 'width': 1472}]",ChIJUZZ3F7Z9hYARjWG2iXRboAk,"{'compound_code': 'VQ55+J5 Berkeley, CA, USA', 'global_code': '849VVQ55+J5'}",4.5,ChIJUZZ3F7Z9hYARjWG2iXRboAk,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1860,"41 Tunnel Road, Berkeley",,
OPERATIONAL,"{'location': {'lat': 37.8697958, 'lng': -122.267582}, 'viewport': {'northeast': {'lat': 37.8711490302915, 'lng': -122.2663578197085}, 'southwest': {'lat': 37.8684510697085, 'lng': -122.2690557802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jupiter,{'open_now': False},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101494108871657541605"">Anthony Warthold</a>'], 'photo_reference': 'AW30NDzVIXQhStbiVCVncv3bumUpRJM36SJdu2Tzgs6_gb7D7VtT2lIKSUkYn5rMMBP4cOXBe7X8DUyC9hjAzhfrWUVD7RVK8_aM-wHAAqgHq7QHfLFkI3Mckj2voljG5DWB_FVhGbgmqq_QzzBA2CblDXfaeL9-QTvdB33arB_5Qzs5SZ_y', 'width': 2056}]",ChIJNwUiuJ1-hYARlmMobInl1SI,"{'compound_code': 'VP9J+WX Berkeley, CA, USA', 'global_code': '849VVP9J+WX'}",4.5,ChIJNwUiuJ1-hYARlmMobInl1SI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3290,"2181 Shattuck Avenue, Berkeley",2.0,
OPERATIONAL,"{'location': {'lat': 37.8462961, 'lng': -122.2521527}, 'viewport': {'northeast': {'lat': 37.8476167302915, 'lng': -122.2507140197085}, 'southwest': {'lat': 37.8449187697085, 'lng': -122.2534119802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zachary's Chicago Pizza,{'open_now': True},"[{'height': 949, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110672520293113127607"">EvoL Lime</a>'], 'photo_reference': 'AW30NDyz3cCt9fuKsr83gml_JmPQqpJHLiYUNVJbGJDsIbFTEKiLG5dNIw4SSLmIgt8njDdYXzIY-6mfksW9p8xdRaplg2bdzHE3W1n5vVjDX0xj_w_jHMb77pIxxunTrh7isMuZdoFuwWmb9nTr67dZ0y3113MWn4NI4aUuQ6XjU-U5K2TI', 'width': 1265}]",ChIJ9bZJbMN9hYARZ3JGwPCPnfc,"{'compound_code': 'RPWX+G4 Oakland, CA, USA', 'global_code': '849VRPWX+G4'}",4.7,ChIJ9bZJbMN9hYARZ3JGwPCPnfc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2442,"5801 College Avenue, Oakland",2.0,
OPERATIONAL,"{'location': {'lat': 37.8796069, 'lng': -122.2689248}, 'viewport': {'northeast': {'lat': 37.8809447302915, 'lng': -122.2676979697085}, 'southwest': {'lat': 37.8782467697085, 'lng': -122.2703959302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chez Panisse,{'open_now': False},"[{'height': 680, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110366650893191676525"">Kristen Self</a>'], 'photo_reference': 'AW30NDz1kvj1PX3Ke7eag3wES6LO8B6L7iPRDEeXUsBNVz6tyq6o2GJRKeIiXmWmYVYY_uHCf53B5pHDwb9Y_hOLA7ppyN4-RISxSVo_qb7S-NeZioeoBI_0o_VLRkJQ9T_b0E817deNg2djLqvtxXL9RPJGleoLKfXk8w-kz1Wu_BhuOM6j', 'width': 953}]",ChIJcYtcJaF-hYAR-VzrwZpQY0E,"{'compound_code': 'VPHJ+RC Berkeley, CA, USA', 'global_code': '849VVPHJ+RC'}",4.6,ChIJcYtcJaF-hYAR-VzrwZpQY0E,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1799,"1517 Shattuck Avenue, Berkeley",4.0,
OPERATIONAL,"{'location': {'lat': 37.8636571, 'lng': -122.3180164}, 'viewport': {'northeast': {'lat': 37.8649773802915, 'lng': -122.3164569197085}, 'southwest': {'lat': 37.86227941970851, 'lng': -122.3191548802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Skates On The Bay,{'open_now': True},"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111750859153444627866"">Skates On The Bay</a>'], 'photo_reference': 'AW30NDzRrwd7EOn7nxYAoWlPyjlYprygt6xcSv9pNMj6YSCB2GT3AJ595DEP6dIQweJFgh9euTx0sfzetIn3g6fz9FF0bOY1H_jRvdtlRYK-tCB7gA02XoHOWGAdxCqf3O3pxds8E9ePJnyjN-2xiPojLneXHcGJb98JKxMxmr2cyzYZmHtP', 'width': 864}]",ChIJjU9u7SN_hYARmRvUMMDgJXw,"{'compound_code': 'VM7J+FQ Berkeley, CA, USA', 'global_code': '849VVM7J+FQ'}",4.2,ChIJjU9u7SN_hYARmRvUMMDgJXw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2522,"100 Seawall Drive, Berkeley",3.0,
OPERATIONAL,"{'location': {'lat': 37.8474479, 'lng': -122.2519064}, 'viewport': {'northeast': {'lat': 37.84879643029149, 'lng': -122.2506438197085}, 'southwest': {'lat': 37.84609846970849, 'lng': -122.2533417802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Millennium,{'open_now': False},"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106720162391735966937"">Millennium</a>'], 'photo_reference': 'AW30NDyoZoMKl0TO-KypTEzVpl-_D_GC6WTUPdMrNYzS--3VXKR9Qw8BOC_sLYLEyvt0F5Jgq7bOQil4lZ_rmNzf4kDZy7-DNGBT5OYHeYoGuJ0GZXUJ-4chKzhEOPUrIEtkZLOEu3JVWwvefry4Lf69S-5FkcoXEREcx8fBEDKMwpPNtsMC', 'width': 4000}]",ChIJ6XYD2ZGAhYARhDX0sVfc6Cc,"{'compound_code': 'RPWX+X6 Oakland, CA, USA', 'global_code': '849VRPWX+X6'}",4.6,ChIJ6XYD2ZGAhYARhDX0sVfc6Cc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",995,"5912 College Avenue, Oakland",3.0,
OPERATIONAL,"{'location': {'lat': 37.8695038, 'lng': -122.2661179}, 'viewport': {'northeast': {'lat': 37.87089823029149, 'lng': -122.2646506197085}, 'southwest': {'lat': 37.8682002697085, 'lng': -122.2673485802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gather Kitchen,{'open_now': False},"[{'height': 3283, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110531395209138213212"">Gather Kitchen</a>'], 'photo_reference': 'AW30NDy1gbX1WvLWvAX5Uda2KdRWmw_EwC87HUQSztXvURpZ1gjtmGnmoKvRhsl1gPlhPXx7ciyfRUuciwewnnk21otbKwXAVoivmZZQ5LN1QLS1sCg8bFUzKdTu6VUGAMLfNXDFJbLzOaypjvsmmGNBhXdpRU4MiD7Xj8TVvMvtcj1UPTk', 'width': 5598}]",ChIJqUoig51-hYARUnXjcqs8-sg,"{'compound_code': 'VP9M+RH Berkeley, CA, USA', 'global_code': '849VVP9M+RH'}",4.4,ChIJqUoig51-hYARUnXjcqs8-sg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",972,"Between Allston, 2200 Oxford St, Kittredge Street, Berkeley",2.0,
OPERATIONAL,"{'location': {'lat': 37.867035, 'lng': -122.258725}, 'viewport': {'northeast': {'lat': 37.8683280302915, 'lng': -122.2574248197085}, 'southwest': {'lat': 37.86563006970851, 'lng': -122.2601227802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,CREAM Berkeley - Handcrafted and Warm Ice Cream Sandwich,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115058434799659415960"">Bill</a>'], 'photo_reference': 'AW30NDwMHZeR7ewbU4-Jz-HTE8mxnqqeqEkzbp949dRMA-Pk_VY8Rbbbvu-XhGKby7NQPUdmSt3fKzdhWpApFofmJT3Fqi4UsHsh27zVgkKGy97lafheWXG6iLC52g3KOsI42DGAzR8luJV-ZuRlbJnZ3NcPWi73lMUgeX680aDPIqSzEpAw', 'width': 4032}]",ChIJ22MUJC98hYARqoJqj5J4EMA,"{'compound_code': 'VP8R+RG Berkeley, CA, USA', 'global_code': '849VVP8R+RG'}",4.4,ChIJ22MUJC98hYARqoJqj5J4EMA,GOOGLE,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",716,"2399 Telegraph Avenue, Berkeley",1.0,
OPERATIONAL,"{'location': {'lat': 37.8530036, 'lng': -122.2659776}, 'viewport': {'northeast': {'lat': 37.8543747802915, 'lng': -122.2647417197085}, 'southwest': {'lat': 37.8516768197085, 'lng': -122.2674396802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Starry Plough Pub,{'open_now': True},"[{'height': 1899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107721404123505875377"">Trap Speed 1320</a>'], 'photo_reference': 'AW30NDxcbwFcsnEB9_gJ0Pi4mSVM2RcakbVceJZB0lozkTfkHL73TNKYOEqWst7-GC_pBnwHYiPuWtoZPkxvt9B9tLr4LVELlQKW2dZ4PUTtWx_xtxTZN7GVXDqi0j9xbfNSyIXntdh3klSFQ20eTYU6gQNgOvH45cd0uN_cZ4Q3O2eiPTpR', 'width': 2806}]",ChIJWYBpOYJ-hYARHM-pU3PMre4,"{'compound_code': 'VP3M+6J Berkeley, CA, USA', 'global_code': '849VVP3M+6J'}",4.6,ChIJWYBpOYJ-hYARHM-pU3PMre4,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",584,"3101 Shattuck Avenue, Berkeley",1.0,
OPERATIONAL,"{'location': {'lat': 37.87987229999999, 'lng': -122.2694794}, 'viewport': {'northeast': {'lat': 37.8812360302915, 'lng': -122.2680476697085}, 'southwest': {'lat': 37.8785380697085, 'lng': -122.2707456302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cheese Board Collective Pizzeria,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100349479710853497600"">Kristy Aki Oshiro</a>'], 'photo_reference': 'AW30NDyr4pIpwtZyc4CEw1v_i0JJNfvo9QU7CPLTN6HxRhDu9kpF4jmpSqCqliYRhKd5N2KG7z7u8F3kRj738Vg4jV9Ch3jWZ6rPfEXn7YSZPy2UjuQE0iClIrVP_Cwe1cq02VFhAalv5OicEtvOEExTIekkAOy3swmag4CaeSJtCvXDAstN', 'width': 4032}]",ChIJr5hMNKF-hYARxmkk-5t0SzE,"{'compound_code': 'VPHJ+W6 Berkeley, CA, USA', 'global_code': '849VVPHJ+W6'}",4.8,ChIJr5hMNKF-hYARxmkk-5t0SzE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2989,"1512 Shattuck Avenue, Berkeley",1.0,
OPERATIONAL,"{'location': {'lat': 37.86823329999999, 'lng': -122.2675528}, 'viewport': {'northeast': {'lat': 37.8696046302915, 'lng': -122.2663268197085}, 'southwest': {'lat': 37.8669066697085, 'lng': -122.2690247802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Angeline's Louisiana Kitchen,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104686852183174458768"">Paul Kordestani</a>'], 'photo_reference': 'AW30NDwnvfJtz2H6ZoMB47F3fgjp9lDU-Nitxcx9rGLZZIUfnESnw0LXXgkWgkbDHx-wx9XTYhfkPMGzoFSi8FfTiaEUVCrbMZRZ4_NhMJGZw_xelQiNSi15VnGygX-fSnZGGibhpnbd_05jLIJZnQIk4_RY5WZAUXQFaFAP2cWAGuyin0Sj', 'width': 3264}]",ChIJh_wjBJ1-hYARK2XCkZUkbg0,"{'compound_code': 'VP9J+7X Berkeley, CA, USA', 'global_code': '849VVP9J+7X'}",4.5,ChIJh_wjBJ1-hYARK2XCkZUkbg0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2437,"2261 Shattuck Avenue, Berkeley",2.0,
OPERATIONAL,"{'location': {'lat': 37.838108, 'lng': -122.307847}, 'viewport': {'northeast': {'lat': 37.83937573029149, 'lng': -122.3065659697085}, 'southwest': {'lat': 37.83667776970849, 'lng': -122.3092639302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Trader Vic's Emeryville,{'open_now': False},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108220034719802432515"">Petrina W</a>'], 'photo_reference': 'AW30NDzVFYnQ2aiqiZZdrZ228-r0-4JutDZ6VH6woxuvJpoCQvSTbgbJldrZkKm-TqKi2u4ngkPzQvQNzjZC8F9wujVtqz9ErzS1228BkylTNm_gOhI07ECcIqLd-ZUMJ96v7HaU-GZtCKO9qdClxdZBIyuN93yoQYs2QjsvpK9mD_MFXdls', 'width': 4080}]",ChIJH61_VFJ-hYARxvoUZ-jtdOY,"{'compound_code': 'RMQR+6V Emeryville, CA, USA', 'global_code': '849VRMQR+6V'}",4.4,ChIJH61_VFJ-hYARxvoUZ-jtdOY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1109,"9 Anchor Drive, Emeryville",3.0,
