business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 45.75577439999999, 'lng': -108.5893407}, 'viewport': {'northeast': {'lat': 45.7570091302915, 'lng': -108.5879883697085}, 'southwest': {'lat': 45.7543111697085, 'lng': -108.5906863302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Famous Dave's Bar-B-Que,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115816853337552425800"">אתה ברטון</a>'], 'photo_reference': 'AW30NDyXkIku090wJ40MIFKhkuKDSu_Wk6G8HeEtIebs3XEZF46HyUiaURVEbPxvyS8_6sO1Oxwmy7bDsqXSKPN2NVlTL5HA6JiDwDuL2bgKUmfHP81gac_Q9ci1h7nbc168eOq6Puuw7EGLLpB41vGvPaniGyNVOjMMzUID12nTHdr0Fo3P', 'width': 4032}]",ChIJ98B3DNRiSFMRlDa1m5D3YMw,"{'compound_code': 'QC46+87 Billings, MT, USA', 'global_code': '85QHQC46+87'}",2.0,4.4,ChIJ98B3DNRiSFMRlDa1m5D3YMw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1516.0,"2883 King Avenue West, Billings",
OPERATIONAL,"{'location': {'lat': 45.754395, 'lng': -108.562267}, 'viewport': {'northeast': {'lat': 45.75574393029149, 'lng': -108.5608454697085}, 'southwest': {'lat': 45.7530459697085, 'lng': -108.5635434302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117473178363836295746"">Steve Gasser</a>'], 'photo_reference': 'AW30NDzJf4WKMBnV9kiMz9A6ZBb-tqNCvLpSDdruUAjRwj2SePT7G0wHYg3SmhMXWux-v6mjYs-pUa6OezQIwpjbcpd-82BDOz_DOYEs4MFBG6QMQ5_CrwO1lRhsJ_YUwB7H04AcsMg57Xxib1NQgntS94y_ib3ZyHDHC0GkPqpLCLUR_C_V', 'width': 4032}]",ChIJ1YccljBjSFMRwYTSRJFTSeI,"{'compound_code': 'QC3Q+Q3 Billings, MT, USA', 'global_code': '85QHQC3Q+Q3'}",2.0,4.5,ChIJ1YccljBjSFMRwYTSRJFTSeI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3476.0,"1824 King Avenue West, Billings",
OPERATIONAL,"{'location': {'lat': 45.78267080000001, 'lng': -108.5042677}, 'viewport': {'northeast': {'lat': 45.7837499802915, 'lng': -108.5026317697085}, 'southwest': {'lat': 45.7810520197085, 'lng': -108.5053297302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Montana Sky Restaurant,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108023233904096500258"">Alan Tomalino</a>'], 'photo_reference': 'AW30NDzTUu6oCvGeDvS2t1g-BpmYMrXTM72b7hCzmW2Lo3l1sx7JU_gIENM2gZpnK7t-e7XJ4zDXjKxRoU6CZ2WSBcv88YO7eB-GpzfEnFKN5JOWJJLSRoN21Isz9v_HA3RGCabKyfcRMkXwSULEk8xPO80-hOnz98HZH6-nGMY7Widh9R1q', 'width': 3264}]",ChIJt4ZWRzB7SFMR2UcK7q7DaQM,"{'compound_code': 'QFMW+37 Billings, MT, USA', 'global_code': '85QHQFMW+37'}",,4.0,ChIJt4ZWRzB7SFMR2UcK7q7DaQM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",96.0,"27 North 27th Street, Billings",
OPERATIONAL,"{'location': {'lat': 45.8179492, 'lng': -108.4713994}, 'viewport': {'northeast': {'lat': 45.8192033302915, 'lng': -108.4698614197085}, 'southwest': {'lat': 45.8165053697085, 'lng': -108.4725593802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112605185166217631958"">Subway</a>'], 'photo_reference': 'AW30NDxoi3iQloSVzEQj-dUJhM16KNa_qIVCFDQTkRaWW-VS-FU7fyBHHChimcAA8hNgQCJmZOgbLcW2rtfIj2jLIp4o1acqsuuc_yZWpyc6awHhbW7q0vkWWNGADPUvBF0q7pApFFOseYDtBwar3SYf0JrJIzC-FFTVX-eliTzRU7bYyXSu', 'width': 1763}]",ChIJ7apKEYh6SFMR2F8cvP0osBk,"{'compound_code': 'RG9H+5C Billings, MT, USA', 'global_code': '85QHRG9H+5C'}",1.0,4.4,ChIJ7apKEYh6SFMR2F8cvP0osBk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",195.0,"1038 Main Street Unit 4, Billings",
OPERATIONAL,"{'location': {'lat': 45.75494140000001, 'lng': -108.5383169}, 'viewport': {'northeast': {'lat': 45.7562287302915, 'lng': -108.5368871197085}, 'southwest': {'lat': 45.7535307697085, 'lng': -108.5395850802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 918, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114177820866124651252"">Chad Debuff</a>'], 'photo_reference': 'AW30NDzTQqWsRhaPBueKqqWegt8FLT9EWGVXD9YalS6hXj6PHCZx4V67fqVvizvd2e_uiVkuuy1ItZl3M7-00lG0X0juvtbpmglNuq7h7Er17-lj0eYUsMk0XUtuHX9XDTZcb6_FUvlpbAG1ILmNxbsTvN_rCNLqoQJe-RmoWBxTgTWEE0Co', 'width': 1632}]",ChIJWZXmEltjSFMRxGwOUQd3LJQ,"{'compound_code': 'QF36+XM Billings, MT, USA', 'global_code': '85QHQF36+XM'}",1.0,4.0,ChIJWZXmEltjSFMRxGwOUQd3LJQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",143.0,"4705 Southgate Drive, Billings",
OPERATIONAL,"{'location': {'lat': 45.78437780000001, 'lng': -108.5282918}, 'viewport': {'northeast': {'lat': 45.7856847802915, 'lng': -108.5267967697085}, 'southwest': {'lat': 45.78298681970851, 'lng': -108.5294947302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100002428646352569394"">Jean Buer Mott</a>'], 'photo_reference': 'AW30NDyy1DAb5pRSjkT3NAq4Ag6oP1ylGV7zlQE18z84awGEYmywI2yWzwvBUwEOo5Q4dGUNU_dAvM8MlH8WUerLdz6LzirBkMgCtA-uw8sEdcTsystCsFrSupSgeLs2H7dgE_XA4baTohJWC8s_v3ChqnjCfrhkontgDxuFoYkpHz6qkCcZ', 'width': 4032}]",ChIJPanxfUR7SFMRhvF8MewdxY8,"{'compound_code': 'QFMC+QM Billings, MT, USA', 'global_code': '85QHQFMC+QM'}",1.0,3.7,ChIJPanxfUR7SFMRhvF8MewdxY8,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",300.0,"501 Grand Avenue, Billings",
OPERATIONAL,"{'location': {'lat': 45.78430269999999, 'lng': -108.5382072}, 'viewport': {'northeast': {'lat': 45.7855554802915, 'lng': -108.5368098197085}, 'southwest': {'lat': 45.7828575197085, 'lng': -108.5395077802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107407776942766173279"">Subway</a>'], 'photo_reference': 'AW30NDwkHfPl4vCkf6zgTP_tdxCQGwHPA9mOxZ9a2O7ZCA_VB4XyTyZdV8ShTvHKInbLwY-qdIpVvWfaK-oB0apBsapr8JQjfc11b4FTVCF90iMsCsi3zKBQdv3hM1hbw0ekxtB8VeQF_fVi7L6X-ah20JXmrgN4no2JlbcVZ8gp2Aa42_Y8', 'width': 1763}]",ChIJr9Q-H1x7SFMR8ctePu4amF0,"{'compound_code': 'QFM6+PP Billings, MT, USA', 'global_code': '85QHQFM6+PP'}",1.0,4.0,ChIJr9Q-H1x7SFMR8ctePu4amF0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",293.0,"875 Grand Avenue, Billings",
OPERATIONAL,"{'location': {'lat': 45.7827249, 'lng': -108.5059868}, 'viewport': {'northeast': {'lat': 45.7840189302915, 'lng': -108.5047725697085}, 'southwest': {'lat': 45.7813209697085, 'lng': -108.5074705302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Montana Brewing Company,{'open_now': True},"[{'height': 845, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116394983493410326816"">Montana Brewing Company</a>'], 'photo_reference': 'AW30NDzSoZn_Ls2by4OJi9UGK4qbqT4Yad6IzX7_eebJksON-Ah3SA8vnJXqaslA2-YmfR87xdvMXsnTNfaBoB-f5syFiH7SBGKxi3qDpLJ3vG7uEDuWY3734e4Ab9nkkFiPi8qu6xTjVaR5ezmY7Itnohc8jXRZZuNvWlm2c5SV3IXXbhk', 'width': 1500}]",ChIJS2rXizB7SFMR-iRKEUZwSew,"{'compound_code': 'QFMV+3J Billings, MT, USA', 'global_code': '85QHQFMV+3J'}",2.0,4.5,ChIJS2rXizB7SFMR-iRKEUZwSew,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",828.0,"113 North Broadway, Billings",
OPERATIONAL,"{'location': {'lat': 45.7547909, 'lng': -108.6145735}, 'viewport': {'northeast': {'lat': 45.7560311302915, 'lng': -108.6132134697085}, 'southwest': {'lat': 45.7533331697085, 'lng': -108.6159114302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103383144328058983008"">Bennie Good</a>'], 'photo_reference': 'AW30NDyAN-0VpAMx4XexjIQWNIukKb4zisCirss_72b9Wh-97lpdpTUX-fJIaRnG9EpDQuilTJ6QmEpEwOHC9ppExGA1aQm8v7nkvEbprH-MOaVf-Jj4KD7KCQQotvfr15StyLt64vbuBzeWOxkcnmI5EOK50U9O21ZeX6Nyokh4JH5eu_gk', 'width': 4640}]",ChIJKVfo97RiSFMRXJDtRkbWe90,"{'compound_code': 'Q93P+W5 Billings, MT, USA', 'global_code': '85QHQ93P+W5'}",1.0,4.2,ChIJKVfo97RiSFMRXJDtRkbWe90,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",117.0,"820 Shiloh Crossing Boulevard Suite F, Billings",
OPERATIONAL,"{'location': {'lat': 45.81008529999999, 'lng': -108.4718518}, 'viewport': {'northeast': {'lat': 45.8114812802915, 'lng': -108.4706626197085}, 'southwest': {'lat': 45.8087833197085, 'lng': -108.4733605802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3542, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108980891962235928547"">Colby Hernandez (ColbyFromMT)</a>'], 'photo_reference': 'AW30NDy8dQVtvhmwD3IV2gvM4AcLpOIKNnEIErQcabLRUcBaliezIJfWgpooYMMz33OFWmcf51EVF0ZKwGa-pOJCW8ETneFBCVHFAliZujfW5K9uJ_bWDIhLTBGpHqed6Ji1_Va_BO5eUn0FWfR4omzx4W5up_RXkIbKJDyCi1ZMn_mIn3KL', 'width': 4303}]",ChIJ97NJ3o16SFMRgMtMwtT3A_M,"{'compound_code': 'RG6H+27 Billings, MT, USA', 'global_code': '85QHRG6H+27'}",1.0,3.3,ChIJ97NJ3o16SFMRgMtMwtT3A_M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",137.0,"605 Main Street, Billings",
