business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.4939355, 'lng': -86.8025637}, 'viewport': {'northeast': {'lat': 33.49538433029149, 'lng': -86.80117256970848}, 'southwest': {'lat': 33.49268636970849, 'lng': -86.80387053029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dreamland BBQ,{'open_now': True},"[{'height': 684, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108482629270785176742"">Dreamland BBQ</a>'], 'photo_reference': 'AW30NDythF2d6_LafuG3Y5U_P6kD32T0Poh3WOVVXa0dPH4o3qacUJhudCjmh3E7i3lf-urLm-AD2XbmAZilMEZyAke1swY6aAt8_vld3XYfQE5yHqgYnvCJOHAqpBaY9s0kEUj5BJm0e24TxgghDrJ3tMsqy1YTT_fkLYqiTFj4fKEcQQcQ', 'width': 1216}]",ChIJQSf0aOcbiYgRlxU44PzVg7Q,"{'compound_code': 'F5VW+HX Birmingham, AL, USA', 'global_code': '865MF5VW+HX'}",2.0,4.4,ChIJQSf0aOcbiYgRlxU44PzVg7Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2450.0,"1427 14th Avenue South, Birmingham",
OPERATIONAL,"{'location': {'lat': 33.5164433, 'lng': -86.7905031}, 'viewport': {'northeast': {'lat': 33.5177321802915, 'lng': -86.78903066970848}, 'southwest': {'lat': 33.5150342197085, 'lng': -86.7917286302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hot and Hot Fish Club,{'open_now': False},"[{'height': 1667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116971088258289340295"">Hot and Hot Fish Club</a>'], 'photo_reference': 'AW30NDyOFExVKcCMgtCnT2kzAdPjymem9QBed9WF7SYQX-chFmbzBX1yBVU_6CPmh72wkwgKEQdl009T5hH5XTxUmicbG0pafjPnE0TPssEsGNA_AVuxrIxSmKyizq0ffoepBVSjv_50kQ5TSZnaJ8zCIV_ae5doSG6wVuvwwwfRJhuFHvNH', 'width': 2500}]",ChIJOY_Ccc8biYgRD1LafG_cotI,"{'compound_code': 'G685+HQ Birmingham, AL, USA', 'global_code': '865MG685+HQ'}",2.0,4.5,ChIJOY_Ccc8biYgRD1LafG_cotI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",498.0,"2901 2nd Avenue South Suite 110, Birmingham",
OPERATIONAL,"{'location': {'lat': 33.5088889, 'lng': -86.7980556}, 'viewport': {'northeast': {'lat': 33.5101528302915, 'lng': -86.79672216970849}, 'southwest': {'lat': 33.5074548697085, 'lng': -86.79942013029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Iron City Bham,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110555338908686251600"">Iron City Bham</a>'], 'photo_reference': 'AW30NDzKLpb2gnZjjpR79CWlmkjiThUtjVFfxn6hRa4qPBBvRupkmJX23cdPJJBd-sHaunOu2G6OxYvuC4CfD_CgbbDIFU9xjS_voitQX-UTLk42HjEu5NiV1fI5DOMocmWJsJSeqVHym25QZBDcfcNxtjnxBfdX-LTRrATsNCK6FhEmFWHG', 'width': 2048}]",ChIJVTtEocAbiYgRTmjc2sDDl8M,"{'compound_code': 'G652+HQ Birmingham, AL, USA', 'global_code': '865MG652+HQ'}",,4.7,ChIJVTtEocAbiYgRTmjc2sDDl8M,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1698.0,"513 22nd Street South, Birmingham",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.5005864, 'lng': -86.7954871}, 'viewport': {'northeast': {'lat': 33.5020051802915, 'lng': -86.79415036970849}, 'southwest': {'lat': 33.4993072197085, 'lng': -86.7968483302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Highlands Bar & Grill,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102577263695329855193"">Jeremy Lyman</a>'], 'photo_reference': 'AW30NDx7FxuQp_HayvCzNAFFwpPsjyRTUc3BkN-QgpTv4WakS1lUixN9yODGos3IpsOALwvb7yfz8CXqEkfDpEd1ditLFm4bhdxzmmLQ3blHiM3iAnlKgLPeF4od79vc3uy4GaAJEugYRN1dBPqzMljiFeiPKn2cDmgIwZlPdz0qwIIyata5', 'width': 4032}]",ChIJFYBl9cQbiYgRT7IvpqqDqQM,"{'compound_code': 'G623+6R Birmingham, AL, USA', 'global_code': '865MG623+6R'}",3.0,4.8,ChIJFYBl9cQbiYgRT7IvpqqDqQM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",481.0,"2011 11th Avenue South, Birmingham",True
OPERATIONAL,"{'location': {'lat': 33.488765, 'lng': -86.78848959999999}, 'viewport': {'northeast': {'lat': 33.4902059302915, 'lng': -86.7869793197085}, 'southwest': {'lat': 33.4875079697085, 'lng': -86.7896772802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ruth's Chris Steak House,{'open_now': True},"[{'height': 3838, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115446640930751960130"">Ruth&#39;s Chris Steak House</a>'], 'photo_reference': 'AW30NDzZpOgoqc-Io4cwEIirjjdg3Cp9YCD9r7hrbVacHKW3554OOcLf62HWK7WVTYGea-mz2UN8GuwcAhYWnu0uYTtCI7GQ1Jg1UE23KxvqzlK5FPRk5p3rPA1J-Pe8fDrzZp7K33uhWsmjN0z0GPDv5bSGdB-Wztjbkjz6Y2Kp2pL245D1', 'width': 5758}]",ChIJz5nYcNYbiYgR3-NlwIHUssw,"{'compound_code': 'F6Q6+GJ Birmingham, AL, USA', 'global_code': '865MF6Q6+GJ'}",4.0,4.3,ChIJz5nYcNYbiYgR3-NlwIHUssw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1126.0,"Embassy Suites Hotel, 2300 Woodcrest Place, Birmingham",
OPERATIONAL,"{'location': {'lat': 33.50782979999999, 'lng': -86.7980908}, 'viewport': {'northeast': {'lat': 33.5091372802915, 'lng': -86.79687816970849}, 'southwest': {'lat': 33.5064393197085, 'lng': -86.7995761302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Fish Market | Southside,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112368992450776603380"">John Sanders</a>'], 'photo_reference': 'AW30NDxlgnnhJg-1taNxsnbQL6jOjtanR_xZzkilmx3fKLAVi3-g0Wobhb3a9xcHmt8jMUTN1Xk8B8NIK4OMyhH8fa3D1rzyCn4mrktDP4VduoXlR9TbNomAoFAQ8eYNTm1niaDrkQfjjRrU9108-Ya3MjSP7GT7yM1ZWiYRq-LNAhaQIz3y', 'width': 4608}]",ChIJ28HCu8AbiYgR9b7DOapNXI4,"{'compound_code': 'G652+4Q Birmingham, AL, USA', 'global_code': '865MG652+4Q'}",2.0,4.3,ChIJ28HCu8AbiYgR9b7DOapNXI4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3715.0,"612 22nd Street South, Birmingham",
OPERATIONAL,"{'location': {'lat': 33.5168053, 'lng': -86.8030184}, 'viewport': {'northeast': {'lat': 33.5182193302915, 'lng': -86.80166396970849}, 'southwest': {'lat': 33.5155213697085, 'lng': -86.80436193029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Barrio,{'open_now': False},"[{'height': 467, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114498047601632474797"">El Barrio</a>'], 'photo_reference': 'AW30NDyyzfOHZT8eNvZvE-8HiJoktG5K6PTdTHcutLlQVaGdeJtxLn3-pVTbTWI8LBE5hSPYrletjdHoJnd8Y8_cszAbAv6AMcBMcEaRO2JlhKZvb1kXv9peYk-NWfep-n7FVWTcnuyLQkdBrrbRg7BbX2AY2waGFWQeJPfXx5E6mC9MjE6S', 'width': 700}]",ChIJe7GI7E0QiYgRxQMp2_VSJug,"{'compound_code': 'G58W+PQ Birmingham, AL, USA', 'global_code': '865MG58W+PQ'}",2.0,4.7,ChIJe7GI7E0QiYgRxQMp2_VSJug,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1473.0,"2211 2nd Avenue North, Birmingham",
OPERATIONAL,"{'location': {'lat': 33.5104872, 'lng': -86.7865039}, 'viewport': {'northeast': {'lat': 33.5119023302915, 'lng': -86.78513026970849}, 'southwest': {'lat': 33.5092043697085, 'lng': -86.78782823029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,FIVE Birmingham,{'open_now': False},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108924643814539876752"">FIVE Birmingham</a>'], 'photo_reference': 'AW30NDyXZ1lsioqc6cb4hs72puxzQgFUauip-x5lnJf9OmZWeeBIxZQkYDoavsvz7eZD4_vPsXm2MO8Cf7eIl9zAf-_uu_cZRys5xgvh1EJb0eIIFGmpQB-y-UgxXEsto6wjPUwrEXbQiF9xk671hB5OgYRPfDdIBQMwsUXRcvRr0nI0bB_4', 'width': 2048}]",ChIJ67Bd3rUbiYgRFNMkpfgNADw,"{'compound_code': 'G667+59 Birmingham, AL, USA', 'global_code': '865MG667+59'}",2.0,4.4,ChIJ67Bd3rUbiYgRFNMkpfgNADw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",681.0,"744 29th Street South, Birmingham",
OPERATIONAL,"{'location': {'lat': 33.5097292, 'lng': -86.8073778}, 'viewport': {'northeast': {'lat': 33.5111729802915, 'lng': -86.8062512697085}, 'southwest': {'lat': 33.5084750197085, 'lng': -86.8089492302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Planet Smoothie,{'open_now': False},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111956463109665367761"">Planet Smoothie</a>'], 'photo_reference': 'AW30NDxaYIazhMvr3QBkFF4fQgiBCXxfytxR9t7BYtz78KuwNGlxV7KODAtxzdwuDuCfmoOEVm8IINeh5nntaVIne-nHnV9QsYPAPipBSbZ3P2P-T1lPeGsXQXa1ACCS1frkZdpFm1Wg2TDRBXHuAe2xutR97MtMGtvezOZLWZSU4dBG-2hy', 'width': 1080}]",ChIJ6R9hT5AbiYgRBkO2PEZ7aNA,"{'compound_code': 'G55V+V2 Birmingham, AL, USA', 'global_code': '865MG55V+V2'}",1.0,4.0,ChIJ6R9hT5AbiYgRBkO2PEZ7aNA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",65.0,"1701 1st Avenue South Unit 105, Birmingham",
OPERATIONAL,"{'location': {'lat': 33.4966956, 'lng': -86.8039515}, 'viewport': {'northeast': {'lat': 33.4980607302915, 'lng': -86.8026638197085}, 'southwest': {'lat': 33.4953627697085, 'lng': -86.8053617802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107470307621542437194"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDwEKVOQHhEKUqpLg_BWEETreD0puKJV0s2OImdQCnXPBAwebkL7Rn4nEw-Mf4ee1-mMm3YPg80epcM8EKK5DVUfygoXECmP--wO0937nDGXJJZlrH9IdSPAIdWB9xCdAeE_i2FlyLbvXkY2MgHIHUfninxTFc8k4e-Vz6zOEik3fT9H', 'width': 1444}]",ChIJt28yyOcbiYgRlZ4PuQqWbr0,"{'compound_code': 'F5WW+MC Birmingham, AL, USA', 'global_code': '865MF5WW+MC'}",1.0,3.0,ChIJt28yyOcbiYgRlZ4PuQqWbr0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",202.0,"1429 11th Avenue South, Birmingham",
