business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 43.6140498, 'lng': -116.2021779}, 'viewport': {'northeast': {'lat': 43.6153156302915, 'lng': -116.2008898197085}, 'southwest': {'lat': 43.6126176697085, 'lng': -116.2035877802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bardenay Restaurant & Distillery - Boise,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116611650429351312613"">Beside Bardenay Events</a>'], 'photo_reference': 'AW30NDxsDPWXpnBsMNUZ12zUB9fzbwDauHJt1BXV7GTks2X2pNH0hFhsvWWLvbIvHWtndv7dstEU9LIBr7kCBAW_HvSaNZF6lRPDY-Y-P-rMFLW9e7MYMNM08CNTPdSxAigtAQHNBg8HK88LFOyu6chfM53sInUWidMzXEFv2NkQYDF33P-c', 'width': 1536}]",ChIJN8rsMvv4rlQRk0ZIq_0dQxI,"{'compound_code': 'JQ7X+J4 Boise, ID, USA', 'global_code': '85M5JQ7X+J4'}",2.0,4.6,ChIJN8rsMvv4rlQRk0ZIq_0dQxI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2329.0,"610 West Grove Street, Boise",
OPERATIONAL,"{'location': {'lat': 43.6163889, 'lng': -116.2030556}, 'viewport': {'northeast': {'lat': 43.6176841302915, 'lng': -116.2015574197085}, 'southwest': {'lat': 43.6149861697085, 'lng': -116.2042553802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fork,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112283839043679804235"">Jim Paulson (Boise Realtor)</a>'], 'photo_reference': 'AW30NDys2HqYfP2HgqS7P2vsZWLeHk6T63UwVn_zd2m7CH_CF8aXgALf8wHlNv9Fy3DWTyWw6KBjTVDjyaG7s5rMINcBG0xD4mDaYbemcuPMyJR7Tn5KtOp6mDdUUF-3MqIxvUEG1xceCh9uLDOnUBXUwrYwvffglGPjGjFqf7rFm_F_N2Nj', 'width': 4032}]",ChIJhZiKh-T4rlQRwIe2dmc7VAI,"{'compound_code': 'JQ8W+HQ Boise, ID, USA', 'global_code': '85M5JQ8W+HQ'}",2.0,4.5,ChIJhZiKh-T4rlQRwIe2dmc7VAI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3098.0,"199 North 8th Street, Boise",
OPERATIONAL,"{'location': {'lat': 43.60454259999999, 'lng': -116.1926394}, 'viewport': {'northeast': {'lat': 43.6059658302915, 'lng': -116.1913461697085}, 'southwest': {'lat': 43.6032678697085, 'lng': -116.1940441302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ram Restaurant & Brewery,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114983057022542445341"">J. Colt Dickman</a>'], 'photo_reference': 'AW30NDyDFiqgIQqK5P_t-4_GcvbsELYrhwHdvj14-wVEjWTDutf21A5E_rEktrsbE5_LSDTBlR91kMGbUOtj3uMQZqQaplpNkWSb-T0ynMf8rotj18FgNYwC9pJVpiqlG9y34qI44aKSJApu-hu1XalzFYSP21iDOQbRn-aU5atQTxxftqVw', 'width': 3024}]",ChIJwft8X1b4rlQRbtC7COtLCP0,"{'compound_code': 'JR34+RW Boise, ID, USA', 'global_code': '85M5JR34+RW'}",2.0,3.9,ChIJwft8X1b4rlQRbtC7COtLCP0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",602.0,"709 East Park Boulevard, Boise",
OPERATIONAL,"{'location': {'lat': 43.6109596, 'lng': -116.2101043}, 'viewport': {'northeast': {'lat': 43.6122939302915, 'lng': -116.2086070197085}, 'southwest': {'lat': 43.6095959697085, 'lng': -116.2113049802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cottonwood Grille,{'open_now': True},"[{'height': 515, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116442426318666300856"">Cottonwood Grille</a>'], 'photo_reference': 'AW30NDwK6DKHhwM3LJafU2G69lsAygqZWzWPZZXHN2E-kPdwAuc3MJxYKILGszVBo5Nuuhan2pSkWNs75CCaJT-ZqhOIk2vw4nizeTZ5yts0TqZyGxUmzpN7YRgbz4YVkhQHJYQq454QRu46PQ6rhKmsLpSLhSLWh7hmJFnAqkF1Rj48izeh', 'width': 951}]",ChIJT08rwPH4rlQRumpBoAGnsMw,"{'compound_code': 'JQ6Q+9X Boise, ID, USA', 'global_code': '85M5JQ6Q+9X'}",3.0,4.4,ChIJT08rwPH4rlQRumpBoAGnsMw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1427.0,"913 West River Street, Boise",
OPERATIONAL,"{'location': {'lat': 43.6165919, 'lng': -116.2023165}, 'viewport': {'northeast': {'lat': 43.6178679302915, 'lng': -116.2011888697085}, 'southwest': {'lat': 43.6151699697085, 'lng': -116.2038868302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bittercreek Alehouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111273349697372989977"">Spencer Paul</a>'], 'photo_reference': 'AW30NDyDMW-Xx6aMkBanxxt7OLfIChUvAcWSoJ0-S-LfLKy7dwjw7Aua4KubnlrwrsybKqjD9pKydeFUIPk8XYXQTZl6k61OT0tYX1xdZfg8KC6mQqS8dvccf9nerKqOfz5QMpoNHiTGUEBW6ru7ohdpgQBMNOBRGe9VmcM14w8zVDlmlv2P', 'width': 4032}]",ChIJh5cdf-T4rlQRoLk7ABLyeH8,"{'compound_code': 'JQ8X+J3 Boise, ID, USA', 'global_code': '85M5JQ8X+J3'}",2.0,4.6,ChIJh5cdf-T4rlQRoLk7ABLyeH8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2320.0,"246 North 8th Street, Boise",
OPERATIONAL,"{'location': {'lat': 43.6135563, 'lng': -116.2068776}, 'viewport': {'northeast': {'lat': 43.6149839802915, 'lng': -116.2056144697085}, 'southwest': {'lat': 43.6122860197085, 'lng': -116.2083124302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108918956167991527969"">xoxo_Linna</a>'], 'photo_reference': 'AW30NDxVPdaadpNxLRdB2QU7gdg1UVKqkuSTDml60OASpH_sPh1mCVLJOKAikhwFsuFVMPmejq-ThJz7wb8JlOvofHexu3IXFlY51KS8V5sJwQ9JGdAACvVVatC_J_MqOxR4OZxHEOhnYWbBrsDZ-O7SdrH5FJfCI5dkTLR-onruq-keyypc', 'width': 4032}]",ChIJgVqCV-X4rlQRKcB05B_ilsk,"{'compound_code': 'JQ7V+C6 Boise, ID, USA', 'global_code': '85M5JQ7V+C6'}",2.0,4.4,ChIJgVqCV-X4rlQRKcB05B_ilsk,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",803.0,"855 West Broad Street, Boise",
OPERATIONAL,"{'location': {'lat': 43.5977804, 'lng': -116.2056553}, 'viewport': {'northeast': {'lat': 43.5989396302915, 'lng': -116.2042576197085}, 'southwest': {'lat': 43.5962416697085, 'lng': -116.2069555802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Big Jud's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104641095422852249098"">Matty B</a>'], 'photo_reference': 'AW30NDyY-LGrfPIvZGmQfYypqevhs6cw8oXk5AVsK4Cro-DsmkvcqsO5RuqRXgKIdqcsPF71tgKxZsfsAAbgb4NYnx9WsKs0ovEqE7rtwa8fScfZSbmhqIn6L8Fo75xoabzdXCP7-z-PkJy-b4Rtq8yw_emnIOlrQce6j-ZBJxWRUgIZBhMh', 'width': 4032}]",ChIJ0cGd6134rlQRH9Gittgzfyo,"{'compound_code': 'HQXV+4P Boise, ID, USA', 'global_code': '85M5HQXV+4P'}",2.0,4.6,ChIJ0cGd6134rlQRH9Gittgzfyo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1339.0,"1289 South Protest Road, Boise",
OPERATIONAL,"{'location': {'lat': 43.617864, 'lng': -116.202757}, 'viewport': {'northeast': {'lat': 43.6191050802915, 'lng': -116.2015266197085}, 'southwest': {'lat': 43.61640711970851, 'lng': -116.2042245802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,10 Barrel Brewing Boise,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112283839043679804235"">Jim Paulson (Boise Realtor)</a>'], 'photo_reference': 'AW30NDy3AZlLd4c-ZvV0_dDWaD3NEFuf5Pf34eHQr2gQ19Ygm0vccUCp3EWRBP4-m5ltD8CE0QEwWfOvLvFOpGhrJkZmUDSzuvmYThGLYKpyiEIR2D_O7I-5SPwCv3jDu1UMNcgFQw-RCPQHGI__KpzqItdIygoWSAlMICpouHMfnq2NJyVW', 'width': 4032}]",ChIJWTpx9OP4rlQRKLnvy5AaroU,"{'compound_code': 'JQ9W+4V Boise, ID, USA', 'global_code': '85M5JQ9W+4V'}",2.0,4.4,ChIJWTpx9OP4rlQRKLnvy5AaroU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1414.0,"826 West Bannock Street, Boise",
OPERATIONAL,"{'location': {'lat': 43.61666330000001, 'lng': -116.2022481}, 'viewport': {'northeast': {'lat': 43.6179037302915, 'lng': -116.2011546697085}, 'southwest': {'lat': 43.6152057697085, 'lng': -116.2038526302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Feather Lounge,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113752293880357932283"">Red Feather Lounge</a>'], 'photo_reference': 'AW30NDxWZ5kRo-eUMOeSPlNhHXcufTidq958k7abQJI3_U5dBUkM4EzIMHqE13NISQJouVQUTUTSS515mNJX0uzXdKet_8s4LJRU7QBNC7SqySs6jsaagWMt2SvsQPcI0LjYGAUOEoWW3_qvwJFt2LCGEk4UGFBXS-36APSbjC937oDys1JF', 'width': 2048}]",ChIJh5cdf-T4rlQRiyAF4bY3vkk,"{'compound_code': 'JQ8X+M4 Boise, ID, USA', 'global_code': '85M5JQ8X+M4'}",2.0,4.6,ChIJh5cdf-T4rlQRiyAF4bY3vkk,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",629.0,"246 North 8th Street, Boise",
OPERATIONAL,"{'location': {'lat': 43.61807379999999, 'lng': -116.2031764}, 'viewport': {'northeast': {'lat': 43.6193800802915, 'lng': -116.2017269197085}, 'southwest': {'lat': 43.6166821197085, 'lng': -116.2044248802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yen Ching Restaurant,{'open_now': True},"[{'height': 2153, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108918956167991527969"">xoxo_Linna</a>'], 'photo_reference': 'AW30NDzqDUZaBZmHU9j0R3YyQkemyp6Gbl1fTLQHSK4sPXfslPs1pKX8cvopkAV9xSLnKJZmpHG5iCn4KUjMSipO_QTgBtv7Z0XD4UEkj_PMqbjNYxb4t2hPhEAa3cKIZMtGK0Qd3KsfLtgUaigXBBi-dj-pH-6eAIJs10ZVwJAp6yK9_0PO', 'width': 2978}]",ChIJD1s29-P4rlQR0QVGxC9AWY0,"{'compound_code': 'JQ9W+6P Boise, ID, USA', 'global_code': '85M5JQ9W+6P'}",2.0,4.3,ChIJD1s29-P4rlQR0QVGxC9AWY0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",612.0,"305 North 9th Street, Boise",
