business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.0085813, 'lng': -105.2764048}, 'viewport': {'northeast': {'lat': 40.0099882802915, 'lng': -105.2749650697085}, 'southwest': {'lat': 40.0072903197085, 'lng': -105.2776630302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Sink,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108492737999220691083"">The Sink</a>'], 'photo_reference': 'AW30NDwIMmwWpHSQdb44t_hT9iMuNy1hCXoe0eL_zp10hS4KhyX7axtflQtA29x2qOUd7QZhWEWHVWzLmTB1-dGKXDmTklu9ImK7MoHsnXueacid2192ZwbtrbKGLox1FmMfBhY_BJn6RoNwyHQhny2118kMqq8yrIcfsjgGy5QqKloB9YJ6', 'width': 4032}]",ChIJ5TW3jDDsa4cRkSewKsCsNSE,"{'compound_code': '2P5F+CC Boulder, CO, USA', 'global_code': '85GP2P5F+CC'}",2.0,4.5,ChIJ5TW3jDDsa4cRkSewKsCsNSE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2179.0,"1165 13th Street, Boulder",
OPERATIONAL,"{'location': {'lat': 40.01545610000001, 'lng': -105.2772039}, 'viewport': {'northeast': {'lat': 40.01676143029152, 'lng': -105.2761122697085}, 'southwest': {'lat': 40.01406346970852, 'lng': -105.2788102302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,The Boulder Dushanbe Teahouse,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101574085911854527771"">Mohit Paul</a>'], 'photo_reference': 'AW30NDydwTM03Mt1MAi0_ibKyY-T3IZGbhrYIunMZIQS97WOY9vHInnOpt1DUgpireVbs95CbnsQP5v6aO4JJcjGPFOlbH6fBIYgqiWvPKhW0vZwFlRhH2g4GKCsW4dTggMXrxvLKvAtSP2FarivCcXPl8J1SXclP9qyQlcjLCjloeblvpkq', 'width': 3024}]",ChIJ4-dlTy_sa4cRd978vIqVG1Y,"{'compound_code': '2P8F+54 Boulder, CO, USA', 'global_code': '85GP2P8F+54'}",2.0,4.5,ChIJ4-dlTy_sa4cRd978vIqVG1Y,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",3256.0,"1770 13th Street, Boulder",
OPERATIONAL,"{'location': {'lat': 40.01901239999999, 'lng': -105.2752075}, 'viewport': {'northeast': {'lat': 40.0202995802915, 'lng': -105.2738377197085}, 'southwest': {'lat': 40.0176016197085, 'lng': -105.2765356802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Mountain Sun Pub & Brewery,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112054639152540237232"">Derek DeHart</a>'], 'photo_reference': 'AW30NDwuYUE3jzfYLmzEy1evDIAsDoyqj5oIOBJ154lciTuYFme9wGOJPKLPN7y7t17gZEMFGjbsKtAgklXoYtWmc0XUCP5IcduOXyTL2BAoX6v1hHPXZqBRNfEQzA0noxTnKwBJwDamWwaaezxlSt70EsPowQAXBdADWGQO44QaAtXI-Oky', 'width': 4048}]",ChIJIVg0_ijsa4cRGkwGu-Jw-fo,"{'compound_code': '2P9F+JW Boulder, CO, USA', 'global_code': '85GP2P9F+JW'}",1.0,4.6,ChIJIVg0_ijsa4cRGkwGu-Jw-fo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2133.0,"1535 Pearl Street, Boulder",
OPERATIONAL,"{'location': {'lat': 40.016533, 'lng': -105.282066}, 'viewport': {'northeast': {'lat': 40.01781718029149, 'lng': -105.2806416197085}, 'southwest': {'lat': 40.0151192197085, 'lng': -105.2833395802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brasserie Ten Ten,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115096810931940691452"">A D</a>'], 'photo_reference': 'AW30NDzmqyvNo50A-ADNWquUkV7VdzCc_e3SE5qIG1FxhLLCF9D8ZED67arW-D0anjc3xfogr2yy0or-nk_DZuRRMWWV8vo1UhamgaS15yCxxSQhPMb1qT1wh-_0poIY4iO-MGl_u_PDyahi-jL2MOLSZqA3B8V5rQnoGljxGxJsPAXPv936', 'width': 4032}]",ChIJSwe1libsa4cRCuiSkJqfezQ,"{'compound_code': '2P89+J5 Boulder, CO, USA', 'global_code': '85GP2P89+J5'}",2.0,4.6,ChIJSwe1libsa4cRCuiSkJqfezQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1127.0,"1011 Walnut Street, Boulder",
OPERATIONAL,"{'location': {'lat': 40.01781459999999, 'lng': -105.2817688}, 'viewport': {'northeast': {'lat': 40.0190256302915, 'lng': -105.2803678197085}, 'southwest': {'lat': 40.0163276697085, 'lng': -105.2830657802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Kitchen American Bistro,{'open_now': True},"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105660640445613550160"">Upstairs® Cocktail Lounge</a>'], 'photo_reference': 'AW30NDwgznbrUhm7z443bGgGpvO2aLy8YI2Dz5i4EJtCnKxOi7Iqgc_oLhHexbB6hSD-gGs4fwylT0gLqKHfrUnmuKI6735hL79BXkmA0cN9-LiKJbqdrZ-K195KlxGnE4eSttJOhQPMyzsV4EdEGJVpztWnYzxQLqOnF8OYvYiNrJuMrI4-', 'width': 1024}]",ChIJbfI25Sbsa4cRMz0wQhLNRB4,"{'compound_code': '2P99+47 Boulder, CO, USA', 'global_code': '85GP2P99+47'}",3.0,4.5,ChIJbfI25Sbsa4cRMz0wQhLNRB4,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1091.0,"1039 Pearl Street, Boulder",
OPERATIONAL,"{'location': {'lat': 39.999115, 'lng': -105.2551923}, 'viewport': {'northeast': {'lat': 40.0003517802915, 'lng': -105.2537796197085}, 'southwest': {'lat': 39.9976538197085, 'lng': -105.2564775802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dark Horse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116843696288450331507"">Ahmadreza Jalali</a>'], 'photo_reference': 'AW30NDwnxeuE0eGlTSj-g5RWhjlK5VkX2wfmzMPdAv-xJxS8ctDKUdzp7xeEctIvyTQVug2oNWaCzsK2_vF4__QWOi0OSApYXG2gF3wnfmzGCg6kP_aisaNnpQ9iaTdrI4tVz5z0YkZYhzJijdSGrIiLyhw2b6nepsOxZ8CqsgrVAa93WynG', 'width': 4032}]",ChIJDdODrrDta4cRxRvqDA8jbRo,"{'compound_code': 'XPXV+JW Boulder, CO, USA', 'global_code': '85FPXPXV+JW'}",1.0,4.5,ChIJDdODrrDta4cRxRvqDA8jbRo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3197.0,"2922 Baseline Road, Boulder",
OPERATIONAL,"{'location': {'lat': 39.98431779999999, 'lng': -105.2493687}, 'viewport': {'northeast': {'lat': 39.9855438302915, 'lng': -105.2479716697085}, 'southwest': {'lat': 39.9828458697085, 'lng': -105.2506696302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Southern Sun Pub & Brewery,{'open_now': True},"[{'height': 375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111212690468850084560"">Southern Sun Pub &amp; Brewery</a>'], 'photo_reference': 'AW30NDzFoqC6eg2B8p8xcFrIIh8RXEa9b1u_QxRUQW5giJe7VXkAMMnsHBtC6UmyV4fuwrt4l9xo0cDdXAMoTlNuBUo-XTWknLaupGgO-4Eecxyx83FsAV3f0BJI7wYuE8zqqZ3BXMfulSRFqoQLdOvT2o9OJ0LqmQOdhkO8_CoDbN6E1_Em', 'width': 500}]",ChIJo4V38Anta4cRLCiqcjrj9mc,"{'compound_code': 'XQM2+P7 Boulder, CO, USA', 'global_code': '85FPXQM2+P7'}",2.0,4.6,ChIJo4V38Anta4cRLCiqcjrj9mc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2174.0,"627 South Broadway ste e, Boulder",
OPERATIONAL,"{'location': {'lat': 40.020506, 'lng': -105.2510531}, 'viewport': {'northeast': {'lat': 40.0218422302915, 'lng': -105.2496163697085}, 'southwest': {'lat': 40.0191442697085, 'lng': -105.2523143302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Twisted Pine Brewing Co,,"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100789159280855854873"">Twisted Pine Brewing Co</a>'], 'photo_reference': 'AW30NDxRv_f-zjqPUiFgMHUNJSxFmD7WVTKGD0UecWHJBrQdsxdRsS-JAUlIIFf6FBScUvty2YorFQkSXxNj__AT8oOVQrODlTwYKAnJHW7DOKODll0GmPlR6GL9codYy3NRsTiZXHZV-6R9XNOftYo_HyQC-gz4-42NC1_-SgG8LyEI9RkD', 'width': 851}]",ChIJ0YswZdnta4cRqludvCGJrQ8,"{'compound_code': '2PCX+6H Boulder, CO, USA', 'global_code': '85GP2PCX+6H'}",,4.5,ChIJ0YswZdnta4cRqludvCGJrQ8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",567.0,"3201 Walnut Street ste a, Boulder",
OPERATIONAL,"{'location': {'lat': 40.0192049, 'lng': -105.2724745}, 'viewport': {'northeast': {'lat': 40.0206710802915, 'lng': -105.2711532697085}, 'southwest': {'lat': 40.0179731197085, 'lng': -105.2738512302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Frasca Food and Wine,{'open_now': False},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105352454462342764042"">Frasca Food and Wine</a>'], 'photo_reference': 'AW30NDxX2rdgoPMwM32-lw3swze8yxsWawKAeV8p2w5wel7U8nfSQmEKbWF1-56ZbzQdizPuCe7lTS1xk016lNuPsKtpMTtMEtWzd4NLcA4KgTj7s9Y9bbRT6OH2RpkPdHBT1rTpp62n8mIj3ao-mZuXuP6TrgvI_wL_LKLiKpkRXjV9pHIq', 'width': 900}]",ChIJ32ggfCnsa4cReukO2DP2hXY,"{'compound_code': '2P9H+M2 Boulder, CO, USA', 'global_code': '85GP2P9H+M2'}",4.0,4.6,ChIJ32ggfCnsa4cReukO2DP2hXY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",506.0,"1738 Pearl Street, Boulder",
OPERATIONAL,"{'location': {'lat': 40.0187604, 'lng': -105.2790604}, 'viewport': {'northeast': {'lat': 40.0200968302915, 'lng': -105.2776209697085}, 'southwest': {'lat': 40.0173988697085, 'lng': -105.2803189302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bohemian Biergarten,{'open_now': False},"[{'height': 585, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118249069248574369367"">Bohemian Biergarten</a>'], 'photo_reference': 'AW30NDxYbTWT4ilR-6LO5fXT9OwVpkrkfvzB_vdzLu6u_ElzxI26YQbFPSvAylsXyLDU7uVP66YsBPfjBL5TNFc8PPO1VTazJs0rS7lcRn-0I5hTFimUV0AR8xacKeowkEBNUl4q8tKPik8GJavY2FTS639hNlGl0PApomD4qMa2RYq0_0ZK', 'width': 1038}]",ChIJ4SO6Mibsa4cRBZeP0LJs6xs,"{'compound_code': '2P9C+G9 Boulder, CO, USA', 'global_code': '85GP2P9C+G9'}",2.0,4.6,ChIJ4SO6Mibsa4cRBZeP0LJs6xs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1728.0,"2017 13th Street, Boulder",
