business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.1756596, 'lng': -73.18860939999999}, 'viewport': {'northeast': {'lat': 41.17701913029151, 'lng': -73.1871679197085}, 'southwest': {'lat': 41.17432116970851, 'lng': -73.1898658802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ralph 'n' Rich's,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105913427205617344105"">Jennifer Isaacs</a>'], 'photo_reference': 'AW30NDxZKPsn49XHsf1UjZxTJzEC6WrNm8vRxQ_wQgSfD9poCYvoFY4dQf1BzRnbI6ozUIEQdjIANgebHNNW906dZHlQEmSNrAyyQyf4YM5AEiNUC2fRQYgyZB5vHBnA3AzMmZPnz0jtyVzWhWgzTJNv0WAZX9wm02224gVQRiC4-NODpSJ5', 'width': 3024}]",ChIJpbb4UXEO6IkRwbFx2MTyxa4,"{'compound_code': '5RG6+7H Bridgeport, CT, USA', 'global_code': '87H85RG6+7H'}",2.0,4.6,ChIJpbb4UXEO6IkRwbFx2MTyxa4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1044.0,"815 Main Street, Bridgeport",
OPERATIONAL,"{'location': {'lat': 41.17721359999999, 'lng': -73.18841920000001}, 'viewport': {'northeast': {'lat': 41.1784745302915, 'lng': -73.1872761197085}, 'southwest': {'lat': 41.1757765697085, 'lng': -73.18997408029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113014466379579881436"">Christian Hernandez</a>'], 'photo_reference': 'AW30NDxR5DALRCNMHDfdsIjYw0XceJkQENuC-JR17jyMucqqXYnZkP2eoDuJvk3ByQwQqksh1qoIbZ41ZS4pggqFrbB-nyAA-iefZfI3ZGCAslb8jFA124zLbb6nch4wW8QRK9jay3KAYce3ujxkNv9XoUQBF7UubqRf56BvbBe8fQkdQksO', 'width': 3264}]",ChIJry-s23AO6IkRRNNr7bEhXCs,"{'compound_code': '5RG6+VJ Bridgeport, CT, USA', 'global_code': '87H85RG6+VJ'}",1.0,3.8,ChIJry-s23AO6IkRRNNr7bEhXCs,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",59.0,"930 Main Street, Bridgeport",
CLOSED_TEMPORARILY,"{'location': {'lat': 41.1960725, 'lng': -73.1930149}, 'viewport': {'northeast': {'lat': 41.1973989302915, 'lng': -73.19176726970848}, 'southwest': {'lat': 41.1947009697085, 'lng': -73.1944652302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117839698269898801808"">Danny Rosé</a>'], 'photo_reference': 'AW30NDxZz2rBMH4ii-UOTgE5wkqUgRINDu1R-gALeJsqy7-LIw_mlPtEt8o9k3ZL94uN7aUfmFRaFzm28yt5fH5k8EHy82xiIy9_fILg02Yd_sRwT7l5Xl4FJGwQbLUiWDgz_IrmIQASpUke5T8gog1nlzCOZzbxV4263w137icfI6G1RoAM', 'width': 1960}]",ChIJ-bcZ84UO6IkRq0LVNv3pxS0,"{'compound_code': '5RW4+CQ Bridgeport, CT, USA', 'global_code': '87H85RW4+CQ'}",1.0,4.2,ChIJ-bcZ84UO6IkRq0LVNv3pxS0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",104.0,"529 North Avenue Unit 2, Bridgeport",True
OPERATIONAL,"{'location': {'lat': 41.19153, 'lng': -73.21954250000002}, 'viewport': {'northeast': {'lat': 41.1929178302915, 'lng': -73.21827286970851}, 'southwest': {'lat': 41.1902198697085, 'lng': -73.22097083029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103830148590991460419"">baricko</a>'], 'photo_reference': 'AW30NDw7ZFbTXvMa_tQjK-BUfxxkrk4d1Md8w9_MiiKHnXgBIcwL3ed2SpA-q1xLnxJVZy9FXL5ulT0a0uAhMdjw0h2u6hnmOzZtaWiskR2JlhtXN8rvDbcZ4CtOUH1Yu63aeWiQAyNfPbgSMKo25hzhCkzol9OXNL6BfcfIuuwDiG7H8PCy', 'width': 4618}]",ChIJ9YPBD1cO6IkRuuL27qiG8Ow,"{'compound_code': '5QRJ+J5 Bridgeport, CT, USA', 'global_code': '87H85QRJ+J5'}",1.0,4.6,ChIJ9YPBD1cO6IkRuuL27qiG8Ow,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",81.0,"1552 Wood Avenue, Bridgeport",
OPERATIONAL,"{'location': {'lat': 41.1770052, 'lng': -73.22645349999999}, 'viewport': {'northeast': {'lat': 41.17825638029149, 'lng': -73.2251777697085}, 'southwest': {'lat': 41.17555841970849, 'lng': -73.2278757302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103830148590991460419"">baricko</a>'], 'photo_reference': 'AW30NDx5iMfNhwjMXSR3Ekzv7B1lRpGm2co8a9Z667NINc2gBULubytrvpGGG6R6ZUrh5bDTGfFD7VkLfMz-SF_qXnDgl7_TyNEJavWV16Ryey_B9y2qlnmr0tpNodeKm3SUPz2Tfrn2PDTxKn3koytfOp9nwwGR5avaZeEMqCF8T_tBAgcm', 'width': 4032}]",ChIJ_1m1r0oO6IkRnduZG-4Iij0,"{'compound_code': '5QGF+RC Fairfield, CT, USA', 'global_code': '87H85QGF+RC'}",1.0,4.2,ChIJ_1m1r0oO6IkRnduZG-4Iij0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",85.0,"200 Tunxis Hill Road, Fairfield",
OPERATIONAL,"{'location': {'lat': 41.16705269999999, 'lng': -73.2279257}, 'viewport': {'northeast': {'lat': 41.1684213802915, 'lng': -73.22650521970849}, 'southwest': {'lat': 41.1657234197085, 'lng': -73.2292031802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Frank Pepe Pizzeria Napoletana,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107850371023237918519"">Adeel Zubair</a>'], 'photo_reference': 'AW30NDxvnA7IqnZvcX-SA4xk-dDF-fMFAQ4yq5knV4VlCN-HCUjPrBro22RvbjA_6pRcitXhwLdsY0CNiQ1CAFFogeMhixGQtbcWLFu2LZl35HFaPRQkRNu3yaRA7o52kUwXG43Q2gUvrDDUWmktLoKMM29b6Jt-_uhMvCqTPK2hwZPd_srC', 'width': 4000}]",ChIJU6bRlzIO6IkRnieBa69RzjY,"{'compound_code': '5Q8C+RR Fairfield, CT, USA', 'global_code': '87H85Q8C+RR'}",2.0,4.5,ChIJU6bRlzIO6IkRnieBa69RzjY,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2027.0,"238 Commerce Drive, Fairfield",
OPERATIONAL,"{'location': {'lat': 41.2128409, 'lng': -73.2112971}, 'viewport': {'northeast': {'lat': 41.21423428029149, 'lng': -73.2099002697085}, 'southwest': {'lat': 41.21153631970849, 'lng': -73.2125982302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2753, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114723846422929411032"">Dr. Giraffe</a>'], 'photo_reference': 'AW30NDyfhjSFb5cDcb9SBoMmzk-0uiSLQjkZ8vU9j7g_jv7xUfwb9FB_8bioENGw45nDpFpZc0xRwH5NfVUevzok5HeycQb7ONCWi-ft8ZT7kpYWZDfGZ7kLqJvhtM6oosiRw08EvmqplzzwP0JYhx_AMGTVzRLa86Y9ci8FScTS_w4OJi_Q', 'width': 4538}]",ChIJNbyN_MEO6IkRPOMQjfoWkqQ,"{'compound_code': '6Q7Q+4F Bridgeport, CT, USA', 'global_code': '87H86Q7Q+4F'}",1.0,3.8,ChIJNbyN_MEO6IkRPOMQjfoWkqQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",72.0,"3811 Main Street First Floor, Bridgeport",
OPERATIONAL,"{'location': {'lat': 41.19688840000001, 'lng': -73.1369461}, 'viewport': {'northeast': {'lat': 41.1983202802915, 'lng': -73.1356452197085}, 'southwest': {'lat': 41.1956223197085, 'lng': -73.1383431802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107744517051293507168"">Tango Papa Juliet</a>'], 'photo_reference': 'AW30NDxiJROn6SV-LWULjNKlBteCd5dDq3TyOcfLft-XhL9w8NVuirmy1rnQBjROReH9iZtHXGMvSZ08R8wHaK8liS3WjEycXM_0Xhj5KgUDZ3Vsdy4lQIvl_NiXpodCOlqhbfEQPABdDLvWxsP8OD5kpMZh0Ocd9McW1ZLDSwsBIAHVnAzn', 'width': 3024}]",ChIJZ_5gLV8M6IkRM1DswyhzrkA,"{'compound_code': '5VW7+Q6 Stratford, CT, USA', 'global_code': '87H85VW7+Q6'}",1.0,3.3,ChIJZ_5gLV8M6IkRM1DswyhzrkA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",104.0,"1345 Barnum Avenue, Stratford",
OPERATIONAL,"{'location': {'lat': 41.1945729, 'lng': -73.1987092}, 'viewport': {'northeast': {'lat': 41.1959178802915, 'lng': -73.1974178697085}, 'southwest': {'lat': 41.1932199197085, 'lng': -73.20011583029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104001491879964044128"">David Roach</a>'], 'photo_reference': 'AW30NDxP0sLm9nqo1DsvshVtDnlJcGBP9GrAlfhjIakzKmIx4vhfusD8DYtC5gAWFJJDbWjIfWbqSIrohT5CmdNNluoyYe3Iw22dGADHSPfEkWmLcxf5CjAcoEAaIFCjBwkWk5SI4f2cEngSqmbrgNOHqN6pvQoMYmyH6jeGWVPbishJtgZk', 'width': 4032}]",ChIJcTtybIkO6IkRZCJBBBa6gds,"{'compound_code': '5RV2+RG Bridgeport, CT, USA', 'global_code': '87H85RV2+RG'}",1.0,3.2,ChIJcTtybIkO6IkRZCJBBBa6gds,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",429.0,"2308 Main Street, Bridgeport",
OPERATIONAL,"{'location': {'lat': 41.1896946, 'lng': -73.1953742}, 'viewport': {'northeast': {'lat': 41.19099593029149, 'lng': -73.1941556697085}, 'southwest': {'lat': 41.18829796970849, 'lng': -73.1968536302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taqueria La Michoacana,{'open_now': False},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101474680474909092900"">Salvador Garibay</a>'], 'photo_reference': 'AW30NDxzS0mxcC3IQM27nRAVgAjmbx4kyIswg8U8cZuSk06Z_PCvkmFVzLTPjM7DYgtQ6JGELFMwdqTEL3rNcZXM3nVf6nr2mxdv-lL6vw-iOqNV1Mhy-Ox4ehfYb1sLr8qrdvTDQ9wPWr0Zr5uHLOoJACJkADe1fI_PliBuCq1vllruXT_z', 'width': 640}]",ChIJq8YmlWIO6IkR-3BD9viNNd8,"{'compound_code': '5RQ3+VV Bridgeport, CT, USA', 'global_code': '87H85RQ3+VV'}",2.0,3.9,ChIJq8YmlWIO6IkR-3BD9viNNd8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",164.0,"1914 Main Street, Bridgeport",
