business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.0941282, 'lng': -71.0524417}, 'viewport': {'northeast': {'lat': 42.09542688029151, 'lng': -71.0511051197085}, 'southwest': {'lat': 42.09272891970851, 'lng': -71.0538030802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Westgate Mall,{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101874508321852019583"">Charlie&#39;s Cooking Show</a>'], 'photo_reference': 'AW30NDxdx0zHMWOjB8dg1I3HrZAkWsX90C2i8pi9s8kP9YZUMC7_0PLHUgY2DjBJLvSnCyvgTN4TfrfnIzV_K03XhzYeWq3BmdUNY1jaNESRZxAiL1P7X5LjTR9UBfvebPdG4YotfAgPuyw1VFvZJUThQ-8Ye4uhtJcmZiboz9TH8JWiwc0Y', 'width': 4608}]",ChIJtZwvNliE5IkRRYuVkpBXA1k,"{'compound_code': '3WVX+M2 Brockton, MA, USA', 'global_code': '87JC3WVX+M2'}",3.9,ChIJtZwvNliE5IkRRYuVkpBXA1k,GOOGLE,"['shopping_mall', 'clothing_store', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",4307.0,"200 Westgate Drive, Brockton",,
OPERATIONAL,"{'location': {'lat': 42.08695249999999, 'lng': -70.9872955}, 'viewport': {'northeast': {'lat': 42.08826588029149, 'lng': -70.9859287197085}, 'southwest': {'lat': 42.08556791970849, 'lng': -70.98862668029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106073288566472735411"">Subway</a>'], 'photo_reference': 'AW30NDwZWAuFUq1NlgYcwBHd_a7zwkMTcH8x7udkppF8j5W56UFA2aeKHH4tHg5MRT00x0Wr9uRenh8CX4xkDp9Zhu5in06i4nkgIhJJc26oKeKyfxXF45hY5Zjej0t_9ujGB3myWz7klQ_5RFoFnORk2-PX0kj0PSyOfHVey-K4A03Vjb0I', 'width': 766}]",ChIJfwukyzub5IkRaeG6TjYtGsI,"{'compound_code': '32P7+Q3 Brockton, MA, USA', 'global_code': '87JF32P7+Q3'}",4.2,ChIJfwukyzub5IkRaeG6TjYtGsI,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",159.0,"768 Centre Street, Brockton",1.0,
OPERATIONAL,"{'location': {'lat': 42.0660726, 'lng': -71.01654359999999}, 'viewport': {'northeast': {'lat': 42.06748563029149, 'lng': -71.01522991970847}, 'southwest': {'lat': 42.0647876697085, 'lng': -71.0179278802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cape Cod Cafe Pizza,{'open_now': False},"[{'height': 323, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116453168629497401670"">Cape Cod Cafe Pizza</a>'], 'photo_reference': 'AW30NDzYURMIYpvmcY5k-bZz6b8k2OiGsbb2oixASIbnhjM-gkhzCB2Mqe5DZAJSExZ995GhNYWnQHt-3DVjmF9oQR4ie0c_uyFvDHIHkv3BddtF-zFL__7L4yGfQDgX_zi17f-phyi3cazgXxIb850rQzW3TLjiUyMRmCVbOkd9rxG3HGUG', 'width': 512}]",ChIJezxQRTqF5IkRcBulOD2ucRs,"{'compound_code': '3X8M+C9 Brockton, MA, USA', 'global_code': '87JC3X8M+C9'}",4.6,ChIJezxQRTqF5IkRcBulOD2ucRs,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1400.0,"979 Main Street, Brockton",2.0,
OPERATIONAL,"{'location': {'lat': 42.06819100000001, 'lng': -71.0487258}, 'viewport': {'northeast': {'lat': 42.0696244802915, 'lng': -71.0474116197085}, 'southwest': {'lat': 42.0669265197085, 'lng': -71.0501095802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107591533008515354408"">Felisha Rogers</a>'], 'photo_reference': 'AW30NDzkwDAStOyJmZ7ALbvoVK3QSguOpbZGEgA2xXSzSZ-pRffEn2fwpZ3m_qCWrADtpHBFd0pBfHJIzW-s_0oz3GgktZkm20fVxZxNl3H9RUdDzczWCkWa89zTCumCCYOsPmO2NBmRfu2i-NjNJCYX-YipwEy5TDT0YjjxGW7cFexOfeT1', 'width': 5312}]",ChIJz2S_cgqF5IkRRCB1J-7ctAA,"{'compound_code': '3X92+7G Brockton, MA, USA', 'global_code': '87JC3X92+7G'}",4.4,ChIJz2S_cgqF5IkRRCB1J-7ctAA,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",155.0,"768 Belmont Street, Brockton",1.0,
OPERATIONAL,"{'location': {'lat': 42.091804, 'lng': -71.050418}, 'viewport': {'northeast': {'lat': 42.09308968029151, 'lng': -71.0490198697085}, 'southwest': {'lat': 42.09039171970851, 'lng': -71.05171783029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103545930502453623599"">Christine Anderson (Celtsvintage)</a>'], 'photo_reference': 'AW30NDwzboWzCSmNZS3wceKaOp8EwEaXgnHeURpS2N_t8ewskWG8rxfK4gaWHtga--8F7PYX0YZNMb_L3QcDJ0GuGKFuSGMaqDD998KT7XXOyNtA7gpGW7c9D66O0REUNhVDCZ428qQ8IVAUt2p6WBGHQK1VXxjG1i7mMkOs0B7LSVqiJVnm', 'width': 2160}]",ChIJ3fY6IfaE5IkRk-uuIGpRZ4E,"{'compound_code': '3WRX+PR Brockton, MA, USA', 'global_code': '87JC3WRX+PR'}",4.2,ChIJ3fY6IfaE5IkRk-uuIGpRZ4E,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",2548.0,"124 Westgate Drive, Brockton",2.0,
OPERATIONAL,"{'location': {'lat': 42.0924683, 'lng': -71.05358389999999}, 'viewport': {'northeast': {'lat': 42.09383723029151, 'lng': -71.05240566970849}, 'southwest': {'lat': 42.09113926970851, 'lng': -71.0551036302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yamato Japanese Steakhouse,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101874508321852019583"">Charlie&#39;s Cooking Show</a>'], 'photo_reference': 'AW30NDyzI07LbHnmmQO1kHdwUgl6fnVjZwZKoGD1HrpT7XjergzkPYICT8XgNlll9WMGmuC6jDpiuXL1SNxAij-2TsbamCqNeGDXnnnJonUU5xWY5VNQP8Ie-h8yCcLReQqMP_k21J1qvkgjdBXZrUYHfOofDatMNcrojd6A2mshg0w6hRZv', 'width': 4032}]",ChIJMZeCVFaE5IkR_1imd4GjTa8,"{'compound_code': '3WRW+XH Brockton, MA, USA', 'global_code': '87JC3WRW+XH'}",4.2,ChIJMZeCVFaE5IkR_1imd4GjTa8,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",619.0,"510 Westgate Drive, Brockton",2.0,
OPERATIONAL,"{'location': {'lat': 42.0748111, 'lng': -71.0422194}, 'viewport': {'northeast': {'lat': 42.0760434802915, 'lng': -71.0408246697085}, 'southwest': {'lat': 42.0733455197085, 'lng': -71.0435226302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Westside Pizza,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114665774934257510227"">Fadolo</a>'], 'photo_reference': 'AW30NDyC5gX-TicmiVrGnGmtwKsK-PNb9ITlF6owp7h74UQYgLOR5_zlofH_CymT2m0bUh9uN9ft0UFzqQ---IkaJTPgUcj0uCh6Wz7KsNaxLkKrzkEw9Zj7qkZQ7d3ikIPfjzwUb7YkN0qg8ox3ubolGpBj3De-RQ4Bmb4awJiSEaCS6m6F', 'width': 4160}]",ChIJIV6KvgWF5IkRjK8qyX9JwMI,"{'compound_code': '3XF5+W4 Brockton, MA, USA', 'global_code': '87JC3XF5+W4'}",4.3,ChIJIV6KvgWF5IkRjK8qyX9JwMI,GOOGLE,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",346.0,"35 Torrey Street, Brockton",2.0,
OPERATIONAL,"{'location': {'lat': 42.0883407, 'lng': -71.06472769999999}, 'viewport': {'northeast': {'lat': 42.0896887802915, 'lng': -71.06332161970849}, 'southwest': {'lat': 42.0869908197085, 'lng': -71.06601958029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Stelios Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105455565002070214849"">Patrick McPherson</a>'], 'photo_reference': 'AW30NDyDeCpUnjf78y2sBk-GqHCJ3SuaE03Hwvf0chcwfYQWJT76y-zYbDjPApUurxVVc609QFju0bCa3BgwGY7Ya1j3j5EbQKKKcTI2g8UL4ti0oOtTVD_Ajaa00xERz9RkWUN7uKaz-VfyLnHTzbGpVy92LMHUy-kYhgi6ZaxNwJiq9r7o', 'width': 3024}]",ChIJ-czsq02E5IkRAmP9o8NjV8Y,"{'compound_code': '3WQP+84 Brockton, MA, USA', 'global_code': '87JC3WQP+84'}",4.2,ChIJ-czsq02E5IkRAmP9o8NjV8Y,GOOGLE,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",256.0,"25 Pearl Street, Brockton",1.0,
OPERATIONAL,"{'location': {'lat': 42.10708590000001, 'lng': -71.0230332}, 'viewport': {'northeast': {'lat': 42.1083711802915, 'lng': -71.02182406970849}, 'southwest': {'lat': 42.10567321970851, 'lng': -71.02452203029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bell,{'open_now': True},"[{'height': 300, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107822235557890793010"">Taco Bell</a>'], 'photo_reference': 'AW30NDw_7cft7b5L9gKY2gcFrQiCwT5tQgoJeZEnBnbhNzP0QVKN5GH9i0PonP7hE2gxNV0_MzWssjS7hc-cU-aiNipcrhmzUg7RrLXZ9K5eMaM6kBeSa-2N1ZKW5bIxgdaA997JMSl0e4680QRo6zU7FtxgbK_6G4BU7G1NB4STpToT8osm', 'width': 300}]",ChIJgy-O-byE5IkRZ8dMI-RnH4s,"{'compound_code': '4X4G+RQ Brockton, MA, USA', 'global_code': '87JC4X4G+RQ'}",3.7,ChIJgy-O-byE5IkRZ8dMI-RnH4s,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",674.0,"875 North Montello Street, Brockton",1.0,
OPERATIONAL,"{'location': {'lat': 42.0843297, 'lng': -71.0208885}, 'viewport': {'northeast': {'lat': 42.08564278029149, 'lng': -71.01946151970849}, 'southwest': {'lat': 42.08294481970849, 'lng': -71.0221594802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brockton Panda,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111326291251859712041"">Amyzz Z</a>'], 'photo_reference': 'AW30NDzBBIgNbfFfcP7h9uDa8pIdLklmuUgGlaNQKRGqpJ9aCaB7cZETdJ2oZpSMGeUCz1EQrORipbRsmmRzZXi7_RthzcNFdTUmhYYXaaHAQnLw0aGfFqVVyvvtytAwBoZvJcMhhwtef-uxDdLMDz3iSBIQ-5OP-i__o_jBm7W67Uim18V_', 'width': 4032}]",ChIJz2rSHNyE5IkRWIQ4KfvY9wk,"{'compound_code': '3XMH+PJ Brockton, MA, USA', 'global_code': '87JC3XMH+PJ'}",3.6,ChIJz2rSHNyE5IkRWIQ4KfvY9wk,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",255.0,"43 Legion Parkway, Brockton",1.0,
