business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.0623619, 'lng': -95.79685049999999}, 'viewport': {'northeast': {'lat': 36.0636564302915, 'lng': -95.79549616970849}, 'southwest': {'lat': 36.06095846970851, 'lng': -95.7981941302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2140, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104528160077936524619"">Sean Surber</a>'], 'photo_reference': 'AW30NDyghlheusEKPmXD-FItDalQU3lo0XHBwY13q_3FIyvHFLt4e-IfXqAMkLjW0v1ZakA4Qa-TNR8IKfEu1hBQ45LQ5WZcfozvlwTb6wKfszYcLxR0uc5LL69bzvwaQGpSCsQiL44PH8R3INJSDrMtAkk5DOAarDkWOBzp8Ez1n2g3g8uY', 'width': 1877}]",ChIJjRNbZpSLtocR-z_hO5FbEtk,"{'compound_code': '3663+W7 Broken Arrow, OK, USA', 'global_code': '86863663+W7'}",1.0,3.9,ChIJjRNbZpSLtocR-z_hO5FbEtk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",205,"1003 North Elm Place, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.0592775, 'lng': -95.8147219}, 'viewport': {'northeast': {'lat': 36.0607116802915, 'lng': -95.8134069697085}, 'southwest': {'lat': 36.0580137197085, 'lng': -95.8161049302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104120939855906091575"">Travis Law</a>'], 'photo_reference': 'AW30NDyItYhbSEWIozwyBA7wFemOtsuA6CyDnCamYIv-J-_MiN4VX923goBWB8cyzCLuKAgGLSCwXvk4eO9P90_li7pGTCjuZU4oDDnmSz10NmN9WOPUIz5SpEX1-clr_ApcEypa-vZfrFzEU4VgT9lENA1gluI4zGWrCozLguc4B4NECeOW', 'width': 4032}]",ChIJlaMifoqLtocRZ8gApWW0abk,"{'compound_code': '355P+P4 Broken Arrow, OK, USA', 'global_code': '8686355P+P4'}",1.0,3.5,ChIJlaMifoqLtocRZ8gApWW0abk,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",552,"701 North Aspen Avenue, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.0700864, 'lng': -95.7904006}, 'viewport': {'northeast': {'lat': 36.0717532802915, 'lng': -95.788551}, 'southwest': {'lat': 36.0690553197085, 'lng': -95.7919318}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Los Cabos Mexican Grill and Cantina,{'open_now': True},"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113699715643485876917"">Los Cabos Mexican Grill and Cantina</a>'], 'photo_reference': 'AW30NDyo97jneSzf3eV2RrOiUB2WiZj3AudJ0N2EiEuwgy5bv_rB4AQlYo6McBxsax87gT-f5v76-wcfepDJbkJqLeJIcW9WtY51vgxtuvJcCIwSzX6Hz0Qy0vDDUC1M0OFLotAD1lhTfOH12Ggbj_lo-qX-VHcslajRPch5eY85V4f9gqIC', 'width': 4032}]",ChIJafMyIaOLtocRHNwwZf0EOvs,"{'compound_code': '36C5+2R Broken Arrow, OK, USA', 'global_code': '868636C5+2R'}",2.0,4.4,ChIJafMyIaOLtocRHNwwZf0EOvs,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",3277,"151 Bass Pro Drive, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.01696, 'lng': -95.801617}, 'viewport': {'northeast': {'lat': 36.0185332302915, 'lng': -95.80026791970849}, 'southwest': {'lat': 36.0158352697085, 'lng': -95.8029658802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bueno,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100140878501251206304"">DC Mackin</a>'], 'photo_reference': 'AW30NDyo93-AI_XvtxbXV0B_lAHFzjXLg_mrxJqouFQ997GMPGU3MoRZWhGWk2sQEXuV1mKmwT9Hmof_stkF-imJ-rL8Vef7CmhwUK-JeJQF9tZI0VZ43L2DemUrNbpqHq6gwsh30IKVlW_qJhexbNh_udnjOQex61YF1acCAczPcW6FfkLi', 'width': 1920}]",ChIJTTPvrUeJtocRH5Xm3O1E8ng,"{'compound_code': '258X+Q9 Broken Arrow, OK, USA', 'global_code': '8686258X+Q9'}",1.0,3.3,ChIJTTPvrUeJtocRH5Xm3O1E8ng,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",894,"1001 West New Orleans Street, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.0512715, 'lng': -95.79098750000001}, 'viewport': {'northeast': {'lat': 36.0526723302915, 'lng': -95.78965176970851}, 'southwest': {'lat': 36.0499743697085, 'lng': -95.79234973029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Main Street Tavern,{'open_now': True},"[{'height': 445, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105430031136437917512"">Main Street Tavern</a>'], 'photo_reference': 'AW30NDxIMdc3ymhX4U0FgQuN5X51nn-ih_4HzqLyrt43p1y2kelkcSKILeoA4CIYkMcK4S-fVbvwKEXpYanQ0vA0UZkYkyI6DvcOpTvWr6DN7xQ7M7D7pPTVIkx77xjPv8NCuYyCzqsKIoJM_1APR-P3fqtfs5UofCyENtnoFVFBKPHKOXTC', 'width': 550}]",ChIJdREoT8KLtocRBxauvJs3JOM,"{'compound_code': '3625+GJ Broken Arrow, OK, USA', 'global_code': '86863625+GJ'}",2.0,4.4,ChIJdREoT8KLtocRBxauvJs3JOM,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1526,"200 South Main Street, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.06440379999999, 'lng': -95.7751648}, 'viewport': {'northeast': {'lat': 36.0657065802915, 'lng': -95.77397831970849}, 'southwest': {'lat': 36.0630086197085, 'lng': -95.7766762802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117606200095264312166"">Paul Blair</a>'], 'photo_reference': 'AW30NDylfSYhJzRY5sERyXKvpD5NCVKqYN-ktPSqrDCprQUn0vulZtufrTUhy7BFfETIasqCzK4y-uahC49EvnWgiVOT97_WiUYjoVqMToBlG_N6EbFadul5S2UtMbEy_7OwXxa37H25QqeYC3JX4eXBTkNCOXCLGghweNUl7_DIeHljf_nK', 'width': 3072}]",ChIJn-L3eLSLtocROAQAi0A68Es,"{'compound_code': '367F+QW Broken Arrow, OK, USA', 'global_code': '8686367F+QW'}",2.0,4.3,ChIJn-L3eLSLtocROAQAi0A68Es,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2821,"1301 East Hillside Drive, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.06138069999999, 'lng': -95.8143108}, 'viewport': {'northeast': {'lat': 36.0626402802915, 'lng': -95.8130012197085}, 'southwest': {'lat': 36.0599423197085, 'lng': -95.8156991802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101357423043587853814"">Osprey Flyer</a>'], 'photo_reference': 'AW30NDz0ZOJJbAyFug8f38viLBKtj5YK7AChOS7FBgL4jaSlwA-QkD7bKmGZLkLjBcSRdOdNsQziYYMZW0lLM1PgjLBmT7IaGjV3JAhitOcIMTaOKP6zc0aFPIYbkuN5UGqKHJybnQbURD6aAQfBoFwm68fK8wkni80Tk2Tnfgbs8PjbnBvY', 'width': 2048}]",ChIJmy3rS3SMtocRdfA7f2d6HiM,"{'compound_code': '356P+H7 Broken Arrow, OK, USA', 'global_code': '8686356P+H7'}",2.0,4.2,ChIJmy3rS3SMtocRdfA7f2d6HiM,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",809,"2050 West Kenosha Street, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.0613574, 'lng': -95.7643686}, 'viewport': {'northeast': {'lat': 36.0625073302915, 'lng': -95.7630192697085}, 'southwest': {'lat': 36.0598093697085, 'lng': -95.7657172302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza Hut,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101225327771247809290"">Keith Hathorn</a>'], 'photo_reference': 'AW30NDwCM-g2N3jHQhZy_G9tIda3purpPkTzREbazXxgedWB6JTjGguI1RHtI7YDbOvCzuj4f8Lnnyu44HoY6OKCtvKdy3AlJUYdwySj76POBm9eWdXuAu2Yj1wvJTdmm8xcLSNPN2mt4wkPk5CDFETCHqhmnxuLAtQawt4OGCrwKaZuBFyf', 'width': 4032}]",ChIJT6sQckiKtocRarZDNplCBqQ,"{'compound_code': '366P+G7 Broken Arrow, OK, USA', 'global_code': '8686366P+G7'}",1.0,4.0,ChIJT6sQckiKtocRarZDNplCBqQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",170,"2350 East Kenosha Street, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.060381, 'lng': -95.817239}, 'viewport': {'northeast': {'lat': 36.0617573802915, 'lng': -95.81583181970849}, 'southwest': {'lat': 36.0590594197085, 'lng': -95.8185297802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100044149752133788923"">Teresa D</a>'], 'photo_reference': 'AW30NDxpNV7F0ILJ0dT5NCS-s7SmnPM5yuAWhPFt948M_FsRkN1pQGZpblNcn0rNumPWBLH9hIfmUHUTWTp7R9s6v6zN0CHRrPEE2Ns8pbYuCm516pYqVNoLMUvhKeJaQN_t7YAy4GKYocqQQelboCclbhqyrqWb2--E-nhku5vtzouWZkpH', 'width': 4030}]",ChIJe7PzUXSMtocRQpk3sS5xbG8,"{'compound_code': '356M+54 Broken Arrow, OK, USA', 'global_code': '8686356M+54'}",1.0,4.1,ChIJe7PzUXSMtocRQpk3sS5xbG8,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",343,"2311 West Kenosha Street, Broken Arrow",
OPERATIONAL,"{'location': {'lat': 36.06043369999999, 'lng': -95.8202271}, 'viewport': {'northeast': {'lat': 36.06183783029149, 'lng': -95.81883086970849}, 'southwest': {'lat': 36.0591398697085, 'lng': -95.8215288302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cicis Pizza,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101260938018085665924"">Steven Attaway</a>'], 'photo_reference': 'AW30NDw09XsqstO74GWUxn3yqCvGhoc-0-0EiyrK3tbhqPAYJ5MK4ZSvxV1qBj5q_KJKhBUegtyDCIFlx1XeaHnyElokYy1ezxC5s6wANo7aWpFaHvkUYChkHTI5srABg54aWKiMjG-L9CXnrQi9XibxrKXK8iffevN1b4_Z95-HNM3gfsOT', 'width': 2576}]",ChIJKR_g7UaJtocR_qIxwD-s4CI,"{'compound_code': '356H+5W Broken Arrow, OK, USA', 'global_code': '8686356H+5W'}",1.0,4.2,ChIJKR_g7UaJtocR_qIxwD-s4CI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1317,"2435 West Kenosha Street, Broken Arrow",
