business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 25.9826361, 'lng': -97.48599879999999}, 'viewport': {'northeast': {'lat': 25.9839051802915, 'lng': -97.4847178197085}, 'southwest': {'lat': 25.98120721970849, 'lng': -97.48741578029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107780144357999712576"">Arturo Ramos</a>'], 'photo_reference': 'AW30NDw_aQfSBwQTMBjESbBbai1GaJJ1_kQMpHhMURb4OaA9zKB0PecRbL6Aldk-EDaYwuMfkGWFN3GoQgwq2sNPRUPOzyQkesQPnc_YSZJuOiVTmwsIEfpdrliOfmnkSpQVmami_AvtrvWnxi8Uk8aNRh8zM8jdr4ahw1_GBeXUY0LYlBVm', 'width': 4032}]",ChIJf2-nXPmWb4YRd8AiWnrkc54,"{'compound_code': 'XGM7+3J Brownsville, TX, USA', 'global_code': '76Q4XGM7+3J'}",1.0,4.2,ChIJf2-nXPmWb4YRd8AiWnrkc54,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",505.0,"1601 East Alton Gloor Boulevard, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.9825336, 'lng': -97.4828034}, 'viewport': {'northeast': {'lat': 25.9838286802915, 'lng': -97.4815296697085}, 'southwest': {'lat': 25.9811307197085, 'lng': -97.4842276302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102959928472677168522"">Danica Pena</a>'], 'photo_reference': 'AW30NDzTTGUw9lYeA3SsRTt9ntplmn88KEWDdusCmFCtc8Z2oZmcQU0T3_BtBPX3poL8EqAPiucmdMxn6Ztn59447ZHTn9Q0vkZC_cTkCEaTFDDoKYUklC4GVcX-aHtF7ZLxwpwxkjD2rYL5hYsm4OMbhJuPafTb-czdZoquCQ9nmzcjHE9l', 'width': 4032}]",ChIJ--x4v_iWb4YRS18beQn76q8,"{'compound_code': 'XGM8+2V Brownsville, TX, USA', 'global_code': '76Q4XGM8+2V'}",1.0,4.4,ChIJ--x4v_iWb4YRS18beQn76q8,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",378.0,"5460 Paredes Line Road, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.9448622, 'lng': -97.4295901}, 'viewport': {'northeast': {'lat': 25.9462447302915, 'lng': -97.4282726197085}, 'southwest': {'lat': 25.94354676970849, 'lng': -97.4309705802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116230472959303427963"">Julian Z.</a>'], 'photo_reference': 'AW30NDyqhRfXYaBV-zXolRDaNU5kJ1yxwlN_QwfcAWRemce7TfmJHt8LTEj2M-P8OgymKGdjw6Vh3n1fAcbzxjdO6xso4j1uKpqrPIxBFa0WRP_nIcvsEkGhzKtIEUaLT5pD76_Dpel8HFMNLOXaJfxk4eX7SakBiafpNu4ZbLBTylPOfpto', 'width': 5984}]",ChIJV2ycoge-b4YRokqqjXoQu9E,"{'compound_code': 'WHVC+W5 Brownsville, TX, USA', 'global_code': '76Q4WHVC+W5'}",1.0,4.2,ChIJV2ycoge-b4YRokqqjXoQu9E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",230.0,"5850 Ruben M Torres Boulevard Space A8, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.97767929999999, 'lng': -97.4852449}, 'viewport': {'northeast': {'lat': 25.9790430302915, 'lng': -97.48379991970849}, 'southwest': {'lat': 25.9763450697085, 'lng': -97.48649788029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100386937235767607030"">Leo Carreon</a>'], 'photo_reference': 'AW30NDxK6H1KWEZ9p7bA_VyuK8JBwuHpshAOjAUPTo0H-lUmdLbiXk2Dz9c_Uuw_xQt_7hUzpKtsHBs6MUeto6gDxBTCylDbhOxftJovRm0gOpqD1zodPZ-0Kk9QxRYOKFOhluOTAHcpX2nrSE4ASq9fm29k-98mACVvKB4ZqswLBpAxgrzU', 'width': 1932}]",ChIJq-izrfmWb4YRiiwxiBz2UlM,"{'compound_code': 'XGH7+3W Brownsville, TX, USA', 'global_code': '76Q4XGH7+3W'}",1.0,4.3,ChIJq-izrfmWb4YRiiwxiBz2UlM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"5015 Paredes Suite A, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.9850155, 'lng': -97.4845058}, 'viewport': {'northeast': {'lat': 25.9863438802915, 'lng': -97.48287736970849}, 'southwest': {'lat': 25.9836459197085, 'lng': -97.4855753302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Denny's,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114612088255210458506"">Erick Solórzano Pérez</a>'], 'photo_reference': 'AW30NDzfw0pFGimr6gidyoWSZAkYqdj-yTUi5BZM2uuCYkXyhjyp9f_iymWmdSHqWtkFcvUjUwlJYmpPc7bCoLdeAdHBRi7Igv4VtZ7dQaWHxyhnlCMSQDW1DXhVQtsTILdfMH4CpjThMJ01AjFM2yBT3rcXL816XPZkcudIpGiqhI-j_oP_', 'width': 3264}]",ChIJFa-7yf-Wb4YRsX-6oB_4cGo,"{'compound_code': 'XGP8+25 Brownsville, TX, USA', 'global_code': '76Q4XGP8+25'}",1.0,4.2,ChIJFa-7yf-Wb4YRsX-6oB_4cGo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1455.0,"6131 Paredes Line Road, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.977152, 'lng': -97.48517299999999}, 'viewport': {'northeast': {'lat': 25.97868178029151, 'lng': -97.4836308197085}, 'southwest': {'lat': 25.9759838197085, 'lng': -97.4863287802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza Patrón Paredes Line,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103849431339817458537"">Olga Torres</a>'], 'photo_reference': 'AW30NDybTnZATEWPwCIO57DmdzHKZyb_PZS-G-n95-O2vss-_OCm8jTE7loPI8DN6xyt5J3YvnTRHl1ZLbztCKCtC7pGNX7cH-GUHZTC1rWAhgKnecgx5lij3iJ5IIc8dsCD86DymysFWDVVSXFBawHu90PJYVdBGVLXa6XBTx2tGFKRXd1N', 'width': 2576}]",ChIJle38rfmWb4YRIOU1hK-MEkw,"{'compound_code': 'XGG7+VW Brownsville, TX, USA', 'global_code': '76Q4XGG7+VW'}",1.0,4.5,ChIJle38rfmWb4YRIOU1hK-MEkw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",252.0,"5005 Paredes Line Road # A, Brownsville",
CLOSED_TEMPORARILY,"{'location': {'lat': 25.9805988, 'lng': -97.49205599999999}, 'viewport': {'northeast': {'lat': 25.9819485802915, 'lng': -97.4904314197085}, 'southwest': {'lat': 25.97925061970849, 'lng': -97.4931293802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mi Casa,,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103494673412248269684"">Jeanneth Hernandez</a>'], 'photo_reference': 'AW30NDxYSTvxhgdiHx1yI4ULQzbHMH1QfliSjbeTdUUP0Ff_EP3K1kdgsIoOyVEuCW9gU3v-RjR1Fm4NQO9QWXLWIOG2YeRKlp0B303IGjabEhJmfTJTt2BYGzgveTrpk4FMNVLEHkX5oQhOoNaDTlA4DMLkeZx3ITunzzBkMiYjDwE-8lgI', 'width': 5312}]",ChIJG8n_LvuWb4YRIJ-Hs-RpfWg,"{'compound_code': 'XGJ5+65 Brownsville, TX, USA', 'global_code': '76Q4XGJ5+65'}",1.0,3.7,ChIJG8n_LvuWb4YRIJ-Hs-RpfWg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",74.0,"1393 East Alton Gloor Boulevard, Brownsville",True
OPERATIONAL,"{'location': {'lat': 25.9489903, 'lng': -97.4688181}, 'viewport': {'northeast': {'lat': 25.9505217302915, 'lng': -97.4673328697085}, 'southwest': {'lat': 25.9478237697085, 'lng': -97.4700308302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Louie & Eric’s New York Pizzeria,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105329600783263714232"">Louie &amp; Eric’s New York Pizzeria</a>'], 'photo_reference': 'AW30NDxNfnKhxWn9BPPQ6lYlPXOF5UtLnN_xR2hkg_AYr2X-FrbA7etGn-W_oE0JXb70PhTHfbrHM7QXznq20Xm1Vk7zljNFxZ5rZ-3niSWY6m2LMYpPl460lubaSs0P-YAFAXxoIZANOwgyUiVoa0asaBWwCMBHY3zHC9kykr1Og2bjcHA5', 'width': 3024}]",ChIJsehxxk-Ub4YRGgtpi43GRH4,"{'compound_code': 'WGXJ+HF Brownsville, TX, USA', 'global_code': '76Q4WGXJ+HF'}",,4.6,ChIJsehxxk-Ub4YRGgtpi43GRH4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",228.0,"3380 East Ruben M Torres Boulevard #107, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.98045189999999, 'lng': -97.49460760000001}, 'viewport': {'northeast': {'lat': 25.9817964302915, 'lng': -97.49334351970849}, 'southwest': {'lat': 25.9790984697085, 'lng': -97.4960414802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bigo's Express,{'open_now': True},"[{'height': 719, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105904352673028514223"">Bigo&#39;s Express</a>'], 'photo_reference': 'AW30NDx9-DjYjyl3M3XAj71CpWeKT0v8tj7pMhVY7x4aapufT4j9HrnzIg9SAsFIxcrNFBa5xVM7ORHurrLA0TQHowz2ZD13Jx4ldDAR2iDBLgzZkuwydHtd6q8KBvrJ5mj6Y27NSmOHLkeGLeOLcDo6HccPS6hNDby57DY7yAAjCjGexNKG', 'width': 1280}]",ChIJkZg9y-WWb4YRp2LR0hqurz8,"{'compound_code': 'XGJ4+55 Brownsville, TX, USA', 'global_code': '76Q4XGJ4+55'}",2.0,3.9,ChIJkZg9y-WWb4YRp2LR0hqurz8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"1233 East Alton Gloor Boulevard #2, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.9453988, 'lng': -97.43221480000001}, 'viewport': {'northeast': {'lat': 25.9469287802915, 'lng': -97.4310712697085}, 'southwest': {'lat': 25.9442308197085, 'lng': -97.4337692302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ke Buen Taco,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110850315390595968068"">adolfo ramirez</a>'], 'photo_reference': 'AW30NDx0uRzABv5fnU6w_2XqUWCIO4_8aKVp0SiH4br0-oLgn5o7MTlSpjdp12aWyG7H6CvACgDXJ9EJRsg1RL6GWiJgwYk0zX3OY4dWcZQ3Mv-zuS6tRLDy6YQKzNyEYc0s_j_B1NXA3jm6XWmG1X_sLLwaYfq1uH2eemWSpL2-i-JN8HYQ', 'width': 3024}]",ChIJiawI9v29b4YReJOwJ2IkeyU,"{'compound_code': 'WHW9+54 Brownsville, TX, USA', 'global_code': '76Q4WHW9+54'}",,4.3,ChIJiawI9v29b4YReJOwJ2IkeyU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",272.0,"5560 Ruben M Torres Boulevard #12, Brownsville",
OPERATIONAL,"{'location': {'lat': 25.9416958, 'lng': -97.44572559999999}, 'viewport': {'northeast': {'lat': 25.9430440302915, 'lng': -97.4443603697085}, 'southwest': {'lat': 25.94034606970849, 'lng': -97.44705833029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,C & C Wings Inc.,,"[{'height': 4208, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114646191218846249521"">Joel Tabares</a>'], 'photo_reference': 'AW30NDwVzsnZ6PxLyVlM1l6I55X_-FOATXsMczSW81i7IKGgWwGwCjdQ3wkPWdzH85NAAtseqk6l-mi9RP6y_sNzgc3TogAQocT85waucpSJRAyaoj54H7AkJIk8XZZoPZKUK9hInGQAyCu4Gpk1jI86kvdVPRz-rLmivzgIUWXUWu84ERGN', 'width': 2368}]",ChIJAWAmrf2Vb4YRn2F5UcMz5HU,"{'compound_code': 'WHR3+MP Brownsville, TX, USA', 'global_code': '76Q4WHR3+MP'}",,4.0,ChIJAWAmrf2Vb4YRn2F5UcMz5HU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"2034 North Central Avenue, Brownsville",
