business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.43123529999999, 'lng': -112.5917991}, 'viewport': {'northeast': {'lat': 33.4327824302915, 'lng': -112.5902055197085}, 'southwest': {'lat': 33.4300844697085, 'lng': -112.5929034802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101029653320374329366"">張向東玩遍美國環遊世界Around The World</a>'], 'photo_reference': 'AW30NDzvsKHtliogk2DIvHhsLcYkRGGng2KP7oK3RvbElOKpmTUJjVuZTeuVlE2fUh1IWmZb13E2Enpc3yIOPk5Nf6y4F5ocmLS-xLuE1eBbl6ltM_VMC-HVBW2pFlQ905Oy1SOnEoqHZaIRyHhWhGHZ9FANRbXxmkUGeHjz5nyyepi4KVTP', 'width': 4618}]",ChIJPbbz5GE1K4cReygoED8VUmw,"{'compound_code': 'CCJ5+F7 Buckeye, AZ, USA', 'global_code': '8559CCJ5+F7'}",1.0,4.0,ChIJPbbz5GE1K4cReygoED8VUmw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",359.0,"1610 S. Miller Rd, Buckeye",
OPERATIONAL,"{'location': {'lat': 33.43837719999999, 'lng': -112.5584347}, 'viewport': {'northeast': {'lat': 33.43980778029149, 'lng': -112.5572534697085}, 'southwest': {'lat': 33.4371098197085, 'lng': -112.5599514302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108536645381779362114"">amir Djash</a>'], 'photo_reference': 'AW30NDwE94rvQg7zZvqSDrGlIb7ws2TZYe2_cFAbPwRprY-rczUfH_eaiVMQF0J4ayex9is7khr8C-WgSauA8-GLkLCWDNPmBvpQ8bjiQ7szD71EWu8cYFUIAbSvzGWuxl1JP085kuH6_1_dw9iQTHUC9SSGxTKLOqpIiU5yGXdyaxvQ2o5m', 'width': 5312}]",ChIJV1ilsGlKK4cRBAYDr9RCsIs,"{'compound_code': 'CCQR+9J Buckeye, AZ, USA', 'global_code': '8559CCQR+9J'}",1.0,2.8,ChIJV1ilsGlKK4cRBAYDr9RCsIs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",160.0,"944 South Watson Road 103 Ste 103, Buckeye",
OPERATIONAL,"{'location': {'lat': 33.4414469, 'lng': -112.5569628}, 'viewport': {'northeast': {'lat': 33.4428694802915, 'lng': -112.5553924697085}, 'southwest': {'lat': 33.4401715197085, 'lng': -112.5580904302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cracker Barrel Old Country Store,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114012305579672499093"">Cracker Barrel Old Country Store</a>'], 'photo_reference': 'AW30NDyjPa-mUqrOC-NmYuX6cF6Ayy7wLZ28HfcbhGZHYIZCCMN2IIUoi11HixcFOHDd80jq6dBVXXoaN49JUmsTD_xNkp8SqGvJGAieLlq-8pZxfPmxNRINq4crcqhbBcAowOXLxMHu-3vpa-g8_QPmNlwrzD2C96ThecRnNCmnCBm7b1IW', 'width': 1080}]",ChIJlzTN43ZKK4cRpFqNma13e0o,"{'compound_code': 'CCRV+H6 Buckeye, AZ, USA', 'global_code': '8559CCRV+H6'}",2.0,4.2,ChIJlzTN43ZKK4cRpFqNma13e0o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2903.0,"606 South Watson Road, Buckeye",
OPERATIONAL,"{'location': {'lat': 33.4330367, 'lng': -112.557823}, 'viewport': {'northeast': {'lat': 33.4344788802915, 'lng': -112.5564616197085}, 'southwest': {'lat': 33.4317809197085, 'lng': -112.5591595802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4205, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102196723844046040870"">Karen</a>'], 'photo_reference': 'AW30NDx9PKgyjYhge3lJf50YVdbwErTu5C8IeaKcZvt90ajuWWWTFY8FE5nFNtpF7sBmeOHiswkDcGCIOKo92ycBl_vRCtT5CQ60DxbVNQPfKiVqJYVjpGTKTGzI7hN2gTduVN53C4Ainfu3KUBGpTmvkWEkTe02X3IYSTPaL5Fnck8-BO5K', 'width': 2592}]",ChIJaeM1zI41K4cRlfFKP02ya-o,"{'compound_code': 'CCMR+6V Buckeye, AZ, USA', 'global_code': '8559CCMR+6V'}",1.0,3.8,ChIJaeM1zI41K4cRlfFKP02ya-o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",233.0,"1510 South Watson Road Suite B106, Buckeye",
OPERATIONAL,"{'location': {'lat': 33.43650459999999, 'lng': -112.5568464}, 'viewport': {'northeast': {'lat': 33.43795443029149, 'lng': -112.5554723197085}, 'southwest': {'lat': 33.4352564697085, 'lng': -112.5581702802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107705958879934082527"">Scott Ralston</a>'], 'photo_reference': 'AW30NDzzbeu1FeiEFaZLXfB2IiGgwq98r8tMDxNxjAAWgPNerc14Bd9QrbyhO6p-4E_kBQ27seMo6aFp9xMv85WlliQZlCs7stHnezaLqGzHZKIU5B5iJCCGuiRML91Nu2EDJa1y5xA4VBQJXcMy-ulntNa7KUGV3tqsGXyIUr6BtR_35lly', 'width': 4032}]",ChIJnRCz0GlKK4cRsIJ5WD5jdTE,"{'compound_code': 'CCPV+J7 Buckeye, AZ, USA', 'global_code': '8559CCPV+J7'}",1.0,3.1,ChIJnRCz0GlKK4cRsIJ5WD5jdTE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",942.0,"1100 South Watson Road, Buckeye",
OPERATIONAL,"{'location': {'lat': 33.3703601, 'lng': -112.5867149}, 'viewport': {'northeast': {'lat': 33.3717674802915, 'lng': -112.5853666697085}, 'southwest': {'lat': 33.3690695197085, 'lng': -112.5880646302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rancheros Rodeo Restaurant,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114113912025224716794"">Rancheros Rodeo Restaurant</a>'], 'photo_reference': 'AW30NDzBCEQFCHigAf5L-pdaHwRsDYxHLcjET-lr0OI24EU7FZpuiDVvr8mPvhGwp6cqHLc0dH_f9el_-Q7aydHbOQ0WLTcV-zQBABLp8xiJMnekB8HGAc1QRLFdlF6bCYDxkSClq7IqUPATzUr-ot8d1Esnf1e9pTffj2utY2ufTE5uVVo', 'width': 4032}]",ChIJi4qXDO00K4cRncxDJImuIDI,"{'compound_code': '9CC7+48 Buckeye, AZ, USA', 'global_code': '85599CC7+48'}",1.0,4.2,ChIJi4qXDO00K4cRncxDJImuIDI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",330.0,"343 Monroe Avenue Suite 105, Buckeye",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.370156, 'lng': -112.577509}, 'viewport': {'northeast': {'lat': 33.3716706302915, 'lng': -112.5760915197085}, 'southwest': {'lat': 33.3689726697085, 'lng': -112.5787894802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Kitch'n,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101752622133736091878"">The Kitch&#39;n</a>'], 'photo_reference': 'AW30NDwujnchHf8QAWdlNffjSWqbPkYH-vndcSMPaSVcbL7fyi9ahwXNszyXWQ3aV7nk10qLGFDIMru23Fl6JqALHw-cNv__EAOUSqYzepC6szjsAHvz3GMufpc5gH_YCUVU-MJQdNB7bmvMw4gBUl9VHuZBVLZ1g4mN4qNGk3_gtrb9QVjW', 'width': 2448}]",ChIJ1zM-rfQ0K4cRHmPvtTOv6ZM,"{'compound_code': '9CCC+3X Buckeye, AZ, USA', 'global_code': '85599CCC+3X'}",,,ChIJ1zM-rfQ0K4cRHmPvtTOv6ZM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"903 Monroe Avenue, Buckeye",True
OPERATIONAL,"{'location': {'lat': 33.3727958, 'lng': -112.5740063}, 'viewport': {'northeast': {'lat': 33.3741528802915, 'lng': -112.5725513697085}, 'southwest': {'lat': 33.3714549197085, 'lng': -112.5752493302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,Circle K,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117425814842484882902"">Louie Olmos</a>'], 'photo_reference': 'AW30NDwCP_axZTHxSuDH-yPNjRMI86-VZUAg7sySRg0X4lKEclUoMa10UvSwI7a6NmFyFYrBbGsfeva4gVD8T0yWLVe94sD2nFUjpajXXOL2Bw-zycQvp3USQ2FP4fHat2kB2Z8SxLVHFve4mA5H9zYlFNmWDW_HC0Xd3WiUAG_8gG5zkrgi', 'width': 4032}]",ChIJmUguDvU0K4cRZofHUtsOqRE,"{'compound_code': '9CFG+49 Buckeye, AZ, USA', 'global_code': '85599CFG+49'}",1.0,3.4,ChIJmUguDvU0K4cRZofHUtsOqRE,GOOGLE,"['convenience_store', 'atm', 'gas_station', 'cafe', 'meal_takeaway', 'finance', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",50.0,"307 West MC 85, Buckeye",
OPERATIONAL,"{'location': {'lat': 33.3734059, 'lng': -112.573807}, 'viewport': {'northeast': {'lat': 33.3748164802915, 'lng': -112.5725717197085}, 'southwest': {'lat': 33.3721185197085, 'lng': -112.5752696802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107831447549355129945"">Kelly “Foxyfatass” Townley</a>'], 'photo_reference': 'AW30NDyJbt8K8AYWhFrgE32DVdkvDehuE4Zz19TLLxDz68poXUW9oCsnC0s05Ctv5Yx3QYXTK2gg8N87pw6ScfieOPPY8-Xr2W-fO2K1B7HGoK8oRFO5f_QdL-4mTS0-VzosG1h8DtWVY6VQcyzdbLboBZzPI-OkFcF4NakaDUAPn8JaJf5n', 'width': 4032}]",ChIJ9dWhBe00K4cR8hPJCrjP67w,"{'compound_code': '9CFG+9F Buckeye, AZ, USA', 'global_code': '85599CFG+9F'}",1.0,4.1,ChIJ9dWhBe00K4cR8hPJCrjP67w,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",220.0,"410 West MC 85 Suite B, Buckeye",
OPERATIONAL,"{'location': {'lat': 33.37638799999999, 'lng': -112.5712645}, 'viewport': {'northeast': {'lat': 33.37770223029149, 'lng': -112.5699593697085}, 'southwest': {'lat': 33.37500426970849, 'lng': -112.5726573302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sonic Drive-In,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105023473252667352897"">Sonic Drive-In</a>'], 'photo_reference': 'AW30NDyFBXYZwEEbLw5cBj5_8w3uQVqJ9fO0iKmTPeuPGb6uetz_o04rjX4S0Um9hhdljOACLa7g3o5KaKoz2xyIiTzB6EovoMgEl9wq17tuVyDsvy-ev364Wc9Jd1c8B5Q_56Ug8ZeQfWQJwXNkVa9qPlt-fwI8y0eqvEp7OkrnK1j-s0us', 'width': 1280}]",ChIJnadalJvU1IARoFfMD3bWQo4,"{'compound_code': '9CGH+HF Buckeye, AZ, USA', 'global_code': '85599CGH+HF'}",1.0,3.6,ChIJnadalJvU1IARoFfMD3bWQo4,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1633.0,"1111 East Hwy 85, Buckeye",
