business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.91767129999999, 'lng': -78.87685739999999}, 'viewport': {'northeast': {'lat': 42.9190294802915, 'lng': -78.8755895697085}, 'southwest': {'lat': 42.9163315197085, 'lng': -78.8782875302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,SPoT Coffee,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116999101241838797316"">SPoT Coffee</a>'], 'photo_reference': 'AW30NDwixXKJ5MFxLnsAVgbSkGpR1j6njQmlOMorw0TvFDDgeH0TyJdQSWxqkTznRzf9WveHXgJNLcP0KDXg9PwYZKuuB8blqHpd02UmTrbreUisYVUPoZShPwqESBuaMct6pcNriW02mlQ0jdpT76ADT0FUagGevDdXW1wouJ-qw2odhSrQ', 'width': 960}]",ChIJBzblouYS04kRBbiEFAENCtg,"{'compound_code': 'W49F+37 Buffalo, NY, USA', 'global_code': '87J3W49F+37'}",2.0,4.4,ChIJBzblouYS04kRBbiEFAENCtg,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",651.0,"765 Elmwood Avenue, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.91435570000001, 'lng': -78.7635401}, 'viewport': {'northeast': {'lat': 42.91595463029149, 'lng': -78.76234671970849}, 'southwest': {'lat': 42.9132566697085, 'lng': -78.76504468029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dave & Buster's,{'open_now': True},"[{'height': 2584, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109902608342015517597"">Dave &amp; Buster&#39;s</a>'], 'photo_reference': 'AW30NDy9V5d75QxTHPmHiU5gDByWKtZeK10J_L5e9D-EQh8KWvFeP-BIhiwHqcZi_dgzo56lq4hlqKfOnmtCduIgdhBObtvSlCMAhufJvk0aVkmw4vpw3GGwCBHLTwwiaxZIycHq0v1JvX_UCOupsOySVdTzPjdHxvxHE5XDCKqTsnj6xjKf', 'width': 3828}]",ChIJV1VXILJ104kRpgoyCihOk2c,"{'compound_code': 'W67P+PH Buffalo, NY, USA', 'global_code': '87J3W67P+PH'}",2.0,4.1,ChIJV1VXILJ104kRpgoyCihOk2c,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2571.0,"1 Galleria Drive, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.873955, 'lng': -78.8704198}, 'viewport': {'northeast': {'lat': 42.8753368302915, 'lng': -78.86807265}, 'southwest': {'lat': 42.8726388697085, 'lng': -78.87202805000001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Seneca Buffalo Creek Casino,{'open_now': True},"[{'height': 562, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108009139222720333280"">Seneca Buffalo Creek Casino</a>'], 'photo_reference': 'AW30NDzlWLr2Oq5ajXRPfAxyKbdtz-US32q6QaKB0yaV-mZ-_64hvw7gHNLyrB55DBpA8Tdqer29IzonRalh9G2ntfd9L_aHO2uDhUDDGfOslKI8inxh6IQ9TXpJ1A-_4dvT1wGufxnkR5-mcNB3GRMOl43FmPrtaOQEW6sMp3MwBWql4gPE', 'width': 843}]",ChIJqzvysToS04kR-SbwgJ0P93s,"{'compound_code': 'V4FH+HR Buffalo, NY, USA', 'global_code': '87J3V4FH+HR'}",,3.8,ChIJqzvysToS04kR-SbwgJ0P93s,GOOGLE,"['casino', 'tourist_attraction', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4860.0,"1 Fulton Street, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.927331, 'lng': -78.8772113}, 'viewport': {'northeast': {'lat': 42.9286731302915, 'lng': -78.87576701970849}, 'southwest': {'lat': 42.9259751697085, 'lng': -78.87846498029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cole's,{'open_now': False},"[{'height': 730, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111719219215411994893"">Hecatonic</a>'], 'photo_reference': 'AW30NDyJuA56qCe_Jv18v1HdlgAIX16Dl_Qm2jeEjoGMDTBnNJgvMTUBtsBAvb97bzqU_3IgAJQSD_O8u_n_QMd32F3ug2Y9mT0S4mXUt_Jyz8KNnDCfN88qDXrlljp6peYjYJV5vgCCuY7jg8mxsb7GaCwZxm1XWysDqti3Zu2_6QZwf8sl', 'width': 1353}]",ChIJFdbo-NsS04kRV_f17ZG2zxc,"{'compound_code': 'W4GF+W4 Buffalo, NY, USA', 'global_code': '87J3W4GF+W4'}",2.0,4.3,ChIJFdbo-NsS04kRV_f17ZG2zxc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1024.0,"1104 Elmwood Avenue, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.9141533, 'lng': -78.76326990000001}, 'viewport': {'northeast': {'lat': 42.9177101, 'lng': -78.75904659999999}, 'southwest': {'lat': 42.9096109, 'lng': -78.7656242}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Charleys Cheesesteaks,{'open_now': False},"[{'height': 478, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109975813867803288674"">Charleys Cheesesteaks</a>'], 'photo_reference': 'AW30NDyA7vXj3snrvq833TxygFaPSd4a6aBVcNgEApCuvIw2f7NM25GPvXVv7bfNwWuHFrAU0tsgGYayW1RxLHPfytL8C2rfn-SMln0gaBme_NGjWpP3MpT_-EnCVeXUaMmE6LEHyHP1J_72DmUY-Xap8lcjnBlyPPyTWRXYknR7KLtFPNNf', 'width': 850}]",ChIJJfg5lb0M04kRGmsV7FtZj88,"{'compound_code': 'W67P+MM Buffalo, NY, USA', 'global_code': '87J3W67P+MM'}",1.0,3.6,ChIJJfg5lb0M04kRGmsV7FtZj88,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",130.0,"1 Walden Galleria Suite F-205, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.8856085, 'lng': -78.8746503}, 'viewport': {'northeast': {'lat': 42.8870211802915, 'lng': -78.8732038197085}, 'southwest': {'lat': 42.8843232197085, 'lng': -78.8759017802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tim Hortons,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100967150166951794473"">Food Travel</a>'], 'photo_reference': 'AW30NDw7cPhiQWH3vXiIfffJ_IiOJlwoAofPrXpL9T838TCb_IxYGuwKshqfFCvPrziZtrDZfLRRmkFjwRukfytVllowf_nCQiLZmpBTX5PDOwQr1iHA9-lMQCN3Ey6y8G3iiKbv7rRlQaxWb72jTzRZ_w0cpTLQcZnllZCMDAi3gicdGkOY', 'width': 4032}]",ChIJm-srU0gS04kR4JLrzxDz1fY,"{'compound_code': 'V4PG+64 Buffalo, NY, USA', 'global_code': '87J3V4PG+64'}",1.0,3.7,ChIJm-srU0gS04kR4JLrzxDz1fY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",303.0,"424 Main Road, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.87481289999999, 'lng': -78.85078}, 'viewport': {'northeast': {'lat': 42.87611893029149, 'lng': -78.8493801197085}, 'southwest': {'lat': 42.8734209697085, 'lng': -78.8520780802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Larkin Development Group,{'open_now': False},"[{'height': 854, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115361893553006681607"">Larkin Development Group</a>'], 'photo_reference': 'AW30NDxm2lCf9qSOsf38S8WBubfRFfQnQcuyrl8kCcbCBOcuLBv0ihJtzcq28PJdUcBkMcEAvw-iDnxx8iKvNfOyB_ZsNVzXWtjDQyB74wQYhGnBx94eNitplueLrv80u6-PBXowrVDpDjqx96H9rr0ZrN0mUyy5KYfkN1o0YllZnCckfKlr', 'width': 1280}]",ChIJg7DXIA4S04kR0K7lxKVHeYk,"{'compound_code': 'V4FX+WM Buffalo, NY, USA', 'global_code': '87J3V4FX+WM'}",,4.5,ChIJg7DXIA4S04kR0K7lxKVHeYk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'general_contractor', 'establishment']",8.0,"726 Exchange Street #825, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.91281099999999, 'lng': -78.882955}, 'viewport': {'northeast': {'lat': 42.91420653029149, 'lng': -78.88166536970849}, 'southwest': {'lat': 42.9115085697085, 'lng': -78.88436333029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Left Bank,{'open_now': True},"[{'height': 2641, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117535772467995380769"">Michael Lee</a>'], 'photo_reference': 'AW30NDy2puNB9NqxoiyIs-J5Kd0-gHCHoR-vYGUHvgp_u8Qv3pdDkWLgxfdUn8-b3Pe_5k7WTpIjurKpaDCylDuWOcg94BAImlyxXjq9M1Jf-EiBipfQiRzILgE2eqZ9xX1xeWiYgckKcifXEJK7BrB8_U4mlDI18y_ZndTd-xbHV2Urtu5f', 'width': 3712}]",ChIJDbkRUf0S04kRBPQ2bU4R7tM,"{'compound_code': 'W478+4R Buffalo, NY, USA', 'global_code': '87J3W478+4R'}",3.0,4.6,ChIJDbkRUf0S04kRBPQ2bU4R7tM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",876.0,"511 Rhode Island Street, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.88775259999999, 'lng': -78.8714933}, 'viewport': {'northeast': {'lat': 42.8891178302915, 'lng': -78.8700617197085}, 'southwest': {'lat': 42.8864198697085, 'lng': -78.87275968029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tappo Restaurant,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112741137246669047824"">Tappo Restaurant</a>'], 'photo_reference': 'AW30NDyXqq8tjbEKC4rjclalgVzQL3dWcNG_vJ6PYdc_Ez7DpZy_-nVwSs14UYKc7GFr9m77OdVgzstvgXgIIhi8AyXfx_DfwNqAX7zZM3JxQmS1HH75fDaasBqmjCWqjyXb1ym_yrWRPtvlx6A0RekvJ2JI-YYkl3RsnLUPkBJ3Y5wqT4Q7', 'width': 2048}]",ChIJdWrOBUYS04kRsOSWLI-xFK0,"{'compound_code': 'V4QH+4C Buffalo, NY, USA', 'global_code': '87J3V4QH+4C'}",2.0,4.4,ChIJdWrOBUYS04kRsOSWLI-xFK0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1509.0,"338 Ellicott Street, Buffalo",
OPERATIONAL,"{'location': {'lat': 42.9147477, 'lng': -78.7634722}, 'viewport': {'northeast': {'lat': 42.9161853802915, 'lng': -78.76226171970849}, 'southwest': {'lat': 42.9134874197085, 'lng': -78.7649596802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100841875660191525797"">Niagara DJServices</a>'], 'photo_reference': 'AW30NDzLmHfTlt9B-4k1447SCF54mAiQJ9EOUHOjxlPhmrcD44hacktFEC2dllaS0JCIYFiJJ7-xhgjyyMomGRtN3zy4wvQPKOxzd9GHh2d_Fijkc0mMlLeL43YmvKhzB34E0LPNq6ELcTVOmGcn6a4KGSrGc9N-uItJ850b8_P2wbMQeFCE', 'width': 4032}]",ChIJJfg5lb0M04kRbEuPnwFk1lo,"{'compound_code': 'W67P+VJ Cheektowaga, NY, USA', 'global_code': '87J3W67P+VJ'}",2.0,4.2,ChIJJfg5lb0M04kRbEuPnwFk1lo,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",4288.0,"1 Walden Galleria, Cheektowaga",
