business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.3636722, 'lng': -71.10150159999999}, 'viewport': {'northeast': {'lat': 42.3650502302915, 'lng': -71.1002586197085}, 'southwest': {'lat': 42.3623522697085, 'lng': -71.1029565802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Middle East Restaurant and Club,{'open_now': False},"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109164029996442987650"">Middle East Restaurant and Club</a>'], 'photo_reference': 'AW30NDznVdWXtWRFkhfe2xYe25hPigHWOkimsF6oGTe_RsCAYyvNXgaevz8pGsI7Jz2NotMMQw6kgDavoDC64tgCyfXvgc4dZ8Qoc9B8WpeXH60WkLTBj1Vy5H7Jkv1f8_1OM7d9IRHUAb3Gpbm7RtaBtCU3A2qjbpp_lBzt9Jkea0fk-QEK', 'width': 600}]",ChIJTxLlbVR344kRmTrohl7Eo94,"{'compound_code': '9V7X+F9 Cambridge, MA, USA', 'global_code': '87JC9V7X+F9'}",2.0,4.4,ChIJTxLlbVR344kRmTrohl7Eo94,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1565.0,"472-480 Massachusetts Avenue, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.373158, 'lng': -71.11945899999999}, 'viewport': {'northeast': {'lat': 42.3744878302915, 'lng': -71.11821821970848}, 'southwest': {'lat': 42.3717898697085, 'lng': -71.1209161802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Russell House Tavern,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115986162546703905645"">Russell House Tavern</a>'], 'photo_reference': 'AW30NDzE4uUz3OoGT3AVOpgBayrdwihIClbWIxWdQw9YiCul9C-2uSnj5YSNho8vKZvLfSQEiBd-48yQCZrnb-k5-D5ODpgfSFx-Q5Cjjd5udUsQCaDURxycl3LU3j4Qkff1RKcIC_epEMWPNqMRaNKhC1fR0U6WdxP28N8Sj1_fe2dH4oUR', 'width': 1363}]",ChIJ2w69uEJ344kRKVe3Zf0YBK8,"{'compound_code': '9VFJ+76 Cambridge, MA, USA', 'global_code': '87JC9VFJ+76'}",2.0,4.3,ChIJ2w69uEJ344kRKVe3Zf0YBK8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2346.0,"14 John F. Kennedy Street, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.3687255, 'lng': -71.0949554}, 'viewport': {'northeast': {'lat': 42.3700878302915, 'lng': -71.0935248197085}, 'southwest': {'lat': 42.3673898697085, 'lng': -71.09622278029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Lord Hobo Cambridge,{'open_now': True},"[{'height': 3504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102510736316485957137"">Lord Hobo Cambridge</a>'], 'photo_reference': 'AW30NDwBsM3esdVw3vuo6CeSFS_7xbdJ0SaH80Wji1VJe-k0oAWiHTgR0NZ8yVx9MD3DJmYPH2WGXuqLjUGuR7GFnZSg-8uMYl9MUCzociwSYBj22WgE-hgTiCjo7qXwdPXUKwQHtyCGYvTIgCMfXzYadJSY8GQadC8MqSVsV-BhGIVe-aP4', 'width': 2336}]",ChIJYTIckLJw44kRoddGC6tQeOU,"{'compound_code': '9W94+F2 Cambridge, MA, USA', 'global_code': '87JC9W94+F2'}",2.0,4.4,ChIJYTIckLJw44kRoddGC6tQeOU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1207.0,"92 Hampshire Street, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.3722974, 'lng': -71.1232471}, 'viewport': {'northeast': {'lat': 42.3738435802915, 'lng': -71.12196621970848}, 'southwest': {'lat': 42.3711456197085, 'lng': -71.12466418029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Henrietta's Table,{'open_now': False},"[{'height': 1928, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118007272989427812473"">Henrietta&#39;s Table</a>'], 'photo_reference': 'AW30NDwvzHMZZmmmQaiN5TuX1QmDEF8wPsAGggH_eyZQgLhZkk6vrDa7No5wamm-TLnA5L72dQVgXMeEv4JDnmsvb00Z9yhFOlW_RrioIOxyY_wFqeFK_u-H9AzZS5VPZYgpajqC3H_zCriIee6LhABBFPd0iZyty4HqusJJHRCDxTJBKMj_', 'width': 2048}]",ChIJWRo43Wd344kRZB2ft4Hpt5o,"{'compound_code': '9VCG+WP Cambridge, MA, USA', 'global_code': '87JC9VCG+WP'}",3.0,4.3,ChIJWRo43Wd344kRZB2ft4Hpt5o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",674.0,"1 Bennett Street, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.366664, 'lng': -71.105402}, 'viewport': {'northeast': {'lat': 42.36794363029149, 'lng': -71.10415681970849}, 'southwest': {'lat': 42.3652456697085, 'lng': -71.1068547802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Life Alive Organic Cafe Central Square,{'open_now': True},"[{'height': 4896, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106739680506256719174"">Life Alive Organic Cafe Central Square</a>'], 'photo_reference': 'AW30NDx013T24WT67EPKCztfWZcETJzF-FFwlmWWC3E9pdu7cRA2EDAcXXt0lYTONEqhKLOlH-uNMAwyyZsd4wSiwphFig8XbSAe9xbp76KOMH9uQ4oHktjTke76Jgk2Zxi_46lutlJ1dguDZt0TERtZaMUd9GAcsyG3FAC5vH4oNv5GLAbP', 'width': 3264}]",ChIJLb3sGVF344kRl8CdANSNwDI,"{'compound_code': '9V8V+MR Cambridge, MA, USA', 'global_code': '87JC9V8V+MR'}",2.0,4.6,ChIJLb3sGVF344kRl8CdANSNwDI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1911.0,"765 Massachusetts Avenue, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.37179400000001, 'lng': -71.12099289999999}, 'viewport': {'northeast': {'lat': 42.37314913029149, 'lng': -71.11957336970849}, 'southwest': {'lat': 42.3704511697085, 'lng': -71.1222713302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Grafton Street Pub & Grill,{'open_now': True},"[{'height': 4020, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110763514327507212070"">Grafton Street Pub &amp; Grill</a>'], 'photo_reference': 'AW30NDx8DMn70EP1aekxgVtSPbS-4Au95WbfYknRvtbRvLRQ-CnjHI__VsqE8IaeThgsfeo3sANny0qYT6w5o5IqI6ZUNXY4nh38nWdJXZt_mv8S-B-Ho2a9XakJIH06gCPgf7nKiU8ZXjmJTwlyDd0drCGzk5y3Ev68ir5OP0365W7caIvH', 'width': 6036}]",ChIJO4akUEN344kRUk5s2KK2a-Y,"{'compound_code': '9VCH+PJ Cambridge, MA, USA', 'global_code': '87JC9VCH+PJ'}",2.0,4.2,ChIJO4akUEN344kRUk5s2KK2a-Y,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1080.0,"59 John F. Kennedy Street, Cambridge",
CLOSED_TEMPORARILY,"{'location': {'lat': 42.3634836, 'lng': -71.09855569999999}, 'viewport': {'northeast': {'lat': 42.3647698302915, 'lng': -71.09726431970849}, 'southwest': {'lat': 42.3620718697085, 'lng': -71.0999622802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Craigie On Main,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115832882436993992452"">Sheraz Choudhary</a>'], 'photo_reference': 'AW30NDy5p2bdu77uporcFNFwENSAE-wNPZbxqjFW_ZcSSz_ZiKlLhfvd5H7gr9WIQgUG8JQSmC3OU4eXqu3oLrgUawlRfdBR2Wn3VmnErebgyFpg5Qc6645xQegE95peiMg6KSYosboeq_9xjwIhrLXZ06YX78LrWxWQkBwhJ5dyEwmm302R', 'width': 4032}]",ChIJAQfAolR344kR1yuDBmJxyLc,"{'compound_code': '9W72+9H Cambridge, MA, USA', 'global_code': '87JC9W72+9H'}",4.0,4.6,ChIJAQfAolR344kR1yuDBmJxyLc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",668.0,"853 Main Street, Cambridge",True
OPERATIONAL,"{'location': {'lat': 42.3705494, 'lng': -71.0971859}, 'viewport': {'northeast': {'lat': 42.3719657302915, 'lng': -71.0958078697085}, 'southwest': {'lat': 42.3692677697085, 'lng': -71.0985058302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Oleana,{'open_now': True},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109876017779487344261"">Oleana</a>'], 'photo_reference': 'AW30NDzF6gsi6Fh0dS0lE1qJNY5uzGXxWiZRM7xq21Jqibhp1-0ENPmTxkLgQIqLOtgqtfCN3WTOkFdnpZN4edCRCGqw0-jSu0XDQ8yV0kiyN67pChNxRTloSChEzgQW8j4vu_w-jBP4yM5S4WAXmtRMbUdzBRacKvgWGjNAhRsNDQL2E-45', 'width': 2016}]",ChIJr3IT1LJw44kRT5T9CYsihK4,"{'compound_code': '9WC3+64 Cambridge, MA, USA', 'global_code': '87JC9WC3+64'}",3.0,4.7,ChIJr3IT1LJw44kRT5T9CYsihK4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1420.0,"134 Hampshire Street, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.37367990000001, 'lng': -71.12187410000001}, 'viewport': {'northeast': {'lat': 42.3749453302915, 'lng': -71.12051111970851}, 'southwest': {'lat': 42.3722473697085, 'lng': -71.12320908029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harvest,{'open_now': True},"[{'height': 1383, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101679474037633605063"">Harvest</a>'], 'photo_reference': 'AW30NDzcl4sus_8IGOePaOYCexHhsI3WqZr-t36tE24pGdZTrVWghQtuCUXe5HqwPbhNqjIVpRv2wNnOfVEo9FaG0G5-ZLEmEv149vGSDP-pHVkH5OegIVg6iOOnMoiGrfSYLHNPjodCZwc561lx1I74_SlfNV-YvrWE7-bj31ZBMgCTCRH2', 'width': 2167}]",ChIJyaRIImh344kRXHrC1JeNh1g,"{'compound_code': '9VFH+F7 Cambridge, MA, USA', 'global_code': '87JC9VFH+F7'}",3.0,4.5,ChIJyaRIImh344kRXHrC1JeNh1g,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",795.0,"44 Brattle Street, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.3617273, 'lng': -71.09720349999999}, 'viewport': {'northeast': {'lat': 42.3630511802915, 'lng': -71.09594201970849}, 'southwest': {'lat': 42.3603532197085, 'lng': -71.0986399802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beantown Taqueria,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109267107548591972973"">Rajesh Prabhu</a>'], 'photo_reference': 'AW30NDyWiwY0q0Nl-ZXMpySIg2cfrU_Ztf9obgCpqmEFTS3UmFT8ru31PNnoZhuIPcojITyUjGabL3qUiC4Fk2ezIcF-aBHNMGpBoUMYOlk0V7uTl1m3-WIo15nVF6Umdw0Hn8Em0jXoD-ql4Ff34NohorDIyQDSiX3JonfAV1kQBXi6iL4T', 'width': 4000}]",ChIJ40i31FR344kRhDUXhw1zopQ,"{'compound_code': '9W63+M4 Cambridge, MA, USA', 'global_code': '87JC9W63+M4'}",1.0,4.2,ChIJ40i31FR344kRhDUXhw1zopQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",551.0,"245 Massachusetts Avenue, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.3630936, 'lng': -71.09242549999999}, 'viewport': {'northeast': {'lat': 42.3643360302915, 'lng': -71.0910953197085}, 'southwest': {'lat': 42.3616380697085, 'lng': -71.09379328029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Area Four,{'open_now': False},"[{'height': 3839, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106927959558954206134"">Area Four</a>'], 'photo_reference': 'AW30NDx-rNwNoKLszFfY4b-Kpyr7H09tO66mzldarzArBZ94QJmOj2tkPB3oj-eEIGXvq2zSi3CKa-2tYrLBIgU8FqhEl0RMzHSyQUSmnmQIkm5frVO2s0CoWcQWhgwg6LKfVECplt_eO6txmz-fQa9kqRLw5vkExHbqjIToLCXI9N-vNsyC', 'width': 5751}]",ChIJKaXoBqxw44kRjXSBtvbq1j0,"{'compound_code': '9W75+62 Cambridge, MA, USA', 'global_code': '87JC9W75+62'}",2.0,4.5,ChIJKaXoBqxw44kRjXSBtvbq1j0,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1855.0,"500 Technology Square, Cambridge",
OPERATIONAL,"{'location': {'lat': 42.3636597, 'lng': -71.1011111}, 'viewport': {'northeast': {'lat': 42.3650616802915, 'lng': -71.09967741970848}, 'southwest': {'lat': 42.3623637197085, 'lng': -71.1023753802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Veggie Galaxy,{'open_now': False},"[{'height': 394, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113692771121310976747"">Veggie Galaxy</a>'], 'photo_reference': 'AW30NDyuoRyKH4k65FnM_Cbk2bdDBS3wFOnrL9bLssaIenGHE8ALuby4xkHqkWz5bOBg6zL_PCdm8TSLwhKCF4npsG_2ZDVpfa5QxCH-JXrfYto_W5dm60Kypd0G-gaatAZObWEo424h0rYZ-FH9BWVo6cD_cidcvr5UppxIbgg2j4kU4Hpi', 'width': 796}]",ChIJJ5JOZVR344kRd62Nb9Yo06s,"{'compound_code': '9V7X+FH Cambridge, MA, USA', 'global_code': '87JC9V7X+FH'}",2.0,4.6,ChIJJ5JOZVR344kRd62Nb9Yo06s,GOOGLE,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3356.0,"450 Massachusetts Avenue, Cambridge",
