business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 26.6095669, 'lng': -81.97357389999999}, 'viewport': {'northeast': {'lat': 26.6106898302915, 'lng': -81.97232926970848}, 'southwest': {'lat': 26.6079918697085, 'lng': -81.97502723029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110846211122295191253"">Kathleen Gomez</a>'], 'photo_reference': 'AW30NDziVceuKeUQbsriNNYU2QYTwmoXYtAjecSN3VPZpiIK-NnPIMe6vWcjT81ahnqASJuaDBXyti17AcYpXOD3TWWS2uNtrp13OyNPJARLaMrH_gjgVnRQ3_JSAZHSLcmkn8UVmDG5UW_kikzm292L2Za5aXg8IZstScnMJgcrMStU27se', 'width': 3840}]",ChIJByBYXCJH24gRC33h7Insljo,"{'compound_code': 'J25G+RH Cape Coral, FL, USA', 'global_code': '76RWJ25G+RH'}",2.0,4.2,ChIJByBYXCJH24gRC33h7Insljo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",602.0,"2311 Santa Barbara Boulevard, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6410239, 'lng': -81.9979841}, 'viewport': {'northeast': {'lat': 26.6422966302915, 'lng': -81.99661161970849}, 'southwest': {'lat': 26.6395986697085, 'lng': -81.9993095802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114905810502215082197"">Janet Eck</a>'], 'photo_reference': 'AW30NDwC7gy6l7LgtVzsdnylQ-pKwD3pQg3FmpRHpnBup0sNTB9g2h_QnDYTpIu_WpjWW0b3VGkNNfHjxjSajNNaFCKM4aDb5KjY0HrORJAHzAbA5dAhbDen5ap-UtLvemcJlf7psU9fK5hT0qJKDlWNcFZL3PQDpDuvv0BYQxguXBY7lBDa', 'width': 4032}]",ChIJrVsD-l9G24gRgjUtlgq4ZNQ,"{'compound_code': 'J2R2+CR Cape Coral, FL, USA', 'global_code': '76RWJ2R2+CR'}",2.0,4.4,ChIJrVsD-l9G24gRgjUtlgq4ZNQ,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1603.0,"900 Southwest Pine Island Road, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6049127, 'lng': -81.9774508}, 'viewport': {'northeast': {'lat': 26.6063680302915, 'lng': -81.9761135697085}, 'southwest': {'lat': 26.6036700697085, 'lng': -81.97881153029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116276262542155581277"">Subway</a>'], 'photo_reference': 'AW30NDyVwQ2GVl1-cUxup-ZgmdXju0g51sKYXZgieQBSXLHwuzUjiuzZde5suhLWC2PiQPjTN6z2Z5ORdCXNVE3Hc1r--4FxteQu1K2Eoin79uuPXrrfPPD0bEMPG7Ovw9zj7HQq8kaEkUa-dhB-DoNIfVnsygB4D_lesWhYHdXZCBnhYRfP', 'width': 1763}]",ChIJYU0mmxdH24gRYzfpMapZmYs,"{'compound_code': 'J23F+X2 Cape Coral, FL, USA', 'global_code': '76RWJ23F+X2'}",1.0,4.0,ChIJYU0mmxdH24gRYzfpMapZmYs,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",96.0,"2522 Santa Barbara Boulevard Store #5, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6450779, 'lng': -81.9756933}, 'viewport': {'northeast': {'lat': 26.6464079802915, 'lng': -81.97425271970849}, 'southwest': {'lat': 26.6437100197085, 'lng': -81.97695068029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowland Cape Coral,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107360762073836180304"">Bowland Cape Coral</a>'], 'photo_reference': 'AW30NDyw1WATg3Xn2mphkqyuaVOjX2AZCpurTQpTXAvoxESvkOi-imtQdaCCe6gjaVPxGHFOrogJUnwUaa-mDN50nGYI11PVw_z1h7KUfg5xPL0zMNMWXx2H6amSuJw-3z7E3VFXU6MSwHskRwZg_vBxd5nYSW9Pithu46oTErZTJAdoiADy', 'width': 3264}]",ChIJyUo8jphG24gRg1yRMpDG76I,"{'compound_code': 'J2WF+2P Cape Coral, FL, USA', 'global_code': '76RWJ2WF+2P'}",,4.3,ChIJyUo8jphG24gRg1yRMpDG76I,GOOGLE,"['bowling_alley', 'restaurant', 'food', 'point_of_interest', 'establishment']",794.0,"42 Mid Cape Terrace, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6380195, 'lng': -82.01839129999999}, 'viewport': {'northeast': {'lat': 26.6392868802915, 'lng': -82.01674976970848}, 'southwest': {'lat': 26.63658891970849, 'lng': -82.0194477302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bubba's Roadhouse & Saloon,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117613746725943562681"">Bubba&#39;s Roadhouse &amp; Saloon</a>'], 'photo_reference': 'AW30NDxGtgmdACqL2z1d43YGXwsKUUW6SlIvCBZ-4dKE65UjyIOlU7dajfSEodeM6L-4GMraJQrZRETPCO4NyKmYT7F2LDzm9auINKZlDO07qAO8k1CbnpAohr5WJrGm-okRKdr4rS_0d2zLmgZmhAi1mgf4N49Y7NxCNFl-JCfgqprsnS0t', 'width': 1366}]",ChIJXUiTvEBG24gRHwXf5diKiJE,"{'compound_code': 'JXQJ+6J Cape Coral, FL, USA', 'global_code': '76RVJXQJ+6J'}",2.0,4.0,ChIJXUiTvEBG24gRHwXf5diKiJE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2140.0,"2121 Southwest Pine Island Road, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6058177, 'lng': -81.9738533}, 'viewport': {'northeast': {'lat': 26.6070807802915, 'lng': -81.9726675197085}, 'southwest': {'lat': 26.6043828197085, 'lng': -81.9753654802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kumo Japanese Steakhouse,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114742466298420470339"">lisa rathmell</a>'], 'photo_reference': 'AW30NDznOmpKB4CU2Btgi_qLySE5-gCb_lKJtNS5lubrKXlqUj8AqAm5gtcnVr5ThQB9CMKcbZ19jTsb7OMo-97BEx6E1fQaYqEwwtcI7ldO56CucIE6YZqOuNUYyeHy6FoSZsHjtqu5GUbbOhhoKVghkEKjLMdHU1KKAyVjWdh3mlUzC_gl', 'width': 4032}]",ChIJ2RdzyyJH24gRfK6IVy8WlF8,"{'compound_code': 'J24G+8F Cape Coral, FL, USA', 'global_code': '76RWJ24G+8F'}",2.0,4.4,ChIJ2RdzyyJH24gRfK6IVy8WlF8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1533.0,"2517 Santa Barbara Boulevard #12, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6398553, 'lng': -81.94236649999999}, 'viewport': {'northeast': {'lat': 26.64129438029151, 'lng': -81.9411743197085}, 'southwest': {'lat': 26.6385964197085, 'lng': -81.9438722802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},,ChIJt1ZO8kdB24gR3Ej40xCaCCU,"{'compound_code': 'J3Q5+W3 Cape Coral, FL, USA', 'global_code': '76RWJ3Q5+W3'}",1.0,3.5,ChIJt1ZO8kdB24gR3Ej40xCaCCU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",58.0,"636 Del Prado Boulevard South, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6253452, 'lng': -81.94235809999999}, 'viewport': {'northeast': {'lat': 26.6267912302915, 'lng': -81.9409471697085}, 'southwest': {'lat': 26.6240932697085, 'lng': -81.9436451302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cicis Pizza,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103086002024417425249"">Hailey Kim</a>'], 'photo_reference': 'AW30NDzt-a93Yony6WdF9NZphH_k7JDYnRJr7OZk2k2pU-QLgogKxeByHwWryEuk7PoVAmEjdoC4TdRPB96HiLQdkOq5NuKkCP7nrXtGXiA_-oCagv1n4lFQcicOd4re50jF2tgfkuHGe4l6uuvJFw5myrg3_rJG_Vxt8fN1943DJ6l31ouK', 'width': 3024}]",ChIJO2EpDCVB24gRGNuGpk3JZbU,"{'compound_code': 'J3G5+43 Cape Coral, FL, USA', 'global_code': '76RWJ3G5+43'}",1.0,4.3,ChIJO2EpDCVB24gRGNuGpk3JZbU,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",1507.0,"1430 Del Prado Boulevard South, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6139791, 'lng': -81.9962618}, 'viewport': {'northeast': {'lat': 26.6157804302915, 'lng': -81.99455561970849}, 'southwest': {'lat': 26.6130824697085, 'lng': -81.9972535802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Palmetto-Pine Country Club,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117753742752973478627"">Jason L. Thompson</a>'], 'photo_reference': 'AW30NDwEQ6FCjdqk9T1w4KYubRMz0DNEoK-cw8FAAkAou9Zak43YX2bXaXgWJHWmjQ2JlVQWSvTb-6aPRnpYKi0XyDDV9LiJOytRYBjxEFRZ7W7hMJhF0hr0yOmqrJPFzA60u2AgccwP9XmzoqJM3nNO9jsk6cXgTjdVwi4sqL_g4fSQcakt', 'width': 4032}]",ChIJGbW396pH24gR0ySVF2WMh5s,"{'compound_code': 'J273+HF Cape Coral, FL, USA', 'global_code': '76RWJ273+HF'}",,4.1,ChIJGbW396pH24gR0ySVF2WMh5s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",425.0,"1940 Southwest 9th Court, Cape Coral",
OPERATIONAL,"{'location': {'lat': 26.6430372, 'lng': -81.9939162}, 'viewport': {'northeast': {'lat': 26.6443618802915, 'lng': -81.9926997697085}, 'southwest': {'lat': 26.6416639197085, 'lng': -81.9953977302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108508066757345952804"">Jim Reilly</a>'], 'photo_reference': 'AW30NDxKzM6FMGgfHq7v7v6_1lXY1DnlaVQ1mqWwuuAMLSDx8VG9NzpIaF32c1X8KnxY9D-6RwaYPBi3Eyh1qdJKOLuDve9aNbuLIUBn6cxabE_WvuqUB5lIiij-EfwfVisZzyc06p51nTj-Y0lr_yWfyITdptGOPjE0uh5SX8Gp5ow_EANb', 'width': 4032}]",ChIJQzIrIotG24gRDp61lCA3KsE,"{'compound_code': 'J2V4+6C Cape Coral, FL, USA', 'global_code': '76RWJ2V4+6C'}",2.0,4.2,ChIJQzIrIotG24gRDp61lCA3KsE,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1640.0,"762 Southwest Pine Island Road, Cape Coral",
