business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.6160608, 'lng': -86.4786209}, 'viewport': {'northeast': {'lat': 39.6173746802915, 'lng': -86.4774184697085}, 'southwest': {'lat': 39.61467671970851, 'lng': -86.4801164302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110121674675326681415"">Mike Skrzynka</a>'], 'photo_reference': 'AW30NDzDx430H73zvwi-I3J-MLn_BGZWaGmGIPY52WWDr5LRLeSUUv0uzVSgmrCwrTLUjDpJm8mfdTTK_LFttAEW10JVnp6SiG7UYXiTZN0auKPRX61IHcSP83n89FLKOSwzPCy0pugW95FJ8co7_P0q_CUE5CTRaSvCGPNzbpgsf7cIMlzT', 'width': 4160}]",ChIJo-R29ja5bIgRgmMAMSMAEYQ,"{'compound_code': 'JG8C+CH Mooresville, IN, USA', 'global_code': '86FMJG8C+CH'}",1.0,4.0,ChIJo-R29ja5bIgRgmMAMSMAEYQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",180.0,"2299 Koger Street, Mooresville",
OPERATIONAL,"{'location': {'lat': 39.521857, 'lng': -86.6416543}, 'viewport': {'northeast': {'lat': 39.5231957802915, 'lng': -86.6402251197085}, 'southwest': {'lat': 39.5204978197085, 'lng': -86.64292308029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Eminence Dairyland,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105020087133312514396"">Tim Smead</a>'], 'photo_reference': 'AW30NDzFHuNX6R3NLsx6Oaj793zz0tmiisBY_xtkfzF9FByMrSGnLnarQSjtRUq2RKsY1voUvseG7DWwT48GA4VS4npEkZDP0btGsUcVGjYohwobOmRFbM1f6nhnFHwrpi6TQZjGa6c5A0PpsgHVkF2BdokNlA4KT3vKWMrlP-kYo7TfBFi3', 'width': 3024}]",ChIJbacDUPXrbIgR7Se5lvEXgOI,"{'compound_code': 'G9C5+P8 Eminence, IN, USA', 'global_code': '86FMG9C5+P8'}",,4.6,ChIJbacDUPXrbIgR7Se5lvEXgOI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",147.0,"6540 Indiana 42, Eminence",
OPERATIONAL,"{'location': {'lat': 39.578721, 'lng': -86.48315649999999}, 'viewport': {'northeast': {'lat': 39.58014998029149, 'lng': -86.48189101970848}, 'southwest': {'lat': 39.5774520197085, 'lng': -86.48458898029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111937352746004044046"">Robert Walsh</a>'], 'photo_reference': 'AW30NDwt81SKBxy-2uW1ZoapDwgOYeisTHKPelbyU5ZERkhjhxOycvsinEGisZOKkrxrkDEKk4kHjpPhE11hcB5OWOQj1yYvE7vflk1TofL7yv0kWKoWK-D_1jLRt-iQZwsRyr5OovpIlsMtwdTPK6aqMI000VFthjORYjIZ7fOUCPFbFxvr', 'width': 3024}]",ChIJFSC1yRSWbIgRxgzaZk4z2xY,"{'compound_code': 'HGH8+FP Monrovia, IN, USA', 'global_code': '86FMHGH8+FP'}",1.0,3.9,ChIJFSC1yRSWbIgRxgzaZk4z2xY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",163.0,"255 West Main Street, Monrovia",
OPERATIONAL,"{'location': {'lat': 39.6892186, 'lng': -86.4443325}, 'viewport': {'northeast': {'lat': 39.6907234302915, 'lng': -86.4426186697085}, 'southwest': {'lat': 39.6880254697085, 'lng': -86.44531663029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Brew Link Brewpub,{'open_now': True},"[{'height': 350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106360350558164020377"">Brew Link Brewpub</a>'], 'photo_reference': 'AW30NDy4OG1LFAQxLILXFogT194R5Uupo0GdKNQo3Ghnv8mZbx2ecHpeQ2bmsOpujmozmF8c0SF_DsogPUSYiYYljJXWiMC3-83YfY_SpoUkodk8YgQNYzKlAZfHk6RMIJJW0vsUr4Ei3QYw6i2k8X0iHngYqKAORlXLZ7ospDj6AccIK6qj', 'width': 940}]",ChIJl7N85ku7bIgRz3HKkkeM4Wo,"{'compound_code': 'MHQ4+M7 Plainfield, IN, USA', 'global_code': '86FMMHQ4+M7'}",,4.6,ChIJl7N85ku7bIgRz3HKkkeM4Wo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",343.0,"4710 East, U.S. 40, Plainfield",
OPERATIONAL,"{'location': {'lat': 39.616141, 'lng': -86.478616}, 'viewport': {'northeast': {'lat': 39.61779548029151, 'lng': -86.4773468697085}, 'southwest': {'lat': 39.61509751970851, 'lng': -86.4800448302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109179281993706657120"">Larry Dukes</a>'], 'photo_reference': 'AW30NDzfCC-A6-cFatPY8v2S6pN-erf_kOouNM5tQFSM9lw8okoRfwrXL7y2qZM_YeeEttNBCzvaE5uEZersfJnroMFcJival7zpCk70UwzQtVcj3Iir3bbUTOHZQe83DEduZ1N9DLD7LXncpTvayv7XN95ZJe_YSZ0sjwbFJVCt2zJMjDpr', 'width': 4608}]",ChIJQVbn2pS9bIgR2r1uyyfVG6Q,"{'compound_code': 'JG8C+FH Mooresville, IN, USA', 'global_code': '86FMJG8C+FH'}",1.0,3.6,ChIJQVbn2pS9bIgR2r1uyyfVG6Q,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1145.0,"2299 Koger Street, Mooresville",
OPERATIONAL,"{'location': {'lat': 39.5671851, 'lng': -86.63231309999999}, 'viewport': {'northeast': {'lat': 39.56855993029151, 'lng': -86.63134631970848}, 'southwest': {'lat': 39.56586196970851, 'lng': -86.6340442802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,APNA DHABA INDIAN RESTAURANT,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108290334665243678875"">Goldy Bassian</a>'], 'photo_reference': 'AW30NDzqTWW8hzQs59Unsc6mFXdwsYggsuVj9sGRcZvUFAlykTXXaqZxm_M8_0djO9fV7z1wjabWaeCTcPln-14RD-xfE6jiFRKl1Xu4dp9i29ygBBwFRmOwNy3mU842beqXsIbgg_rc2MwT_w-3oqVWE7dFgOHDa34xjMYjYr7g6hn8h98q', 'width': 4032}]",ChIJab_2PQXrbIgRxcTC5Sj-w9o,"{'compound_code': 'H989+V3 Stilesville, IN, USA', 'global_code': '86FMH989+V3'}",,4.7,ChIJab_2PQXrbIgRxcTC5Sj-w9o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",70.0,"9620 North Little Point Road, Stilesville",
CLOSED_TEMPORARILY,"{'location': {'lat': 39.57911379999999, 'lng': -86.4825352}, 'viewport': {'northeast': {'lat': 39.5803447302915, 'lng': -86.4811727197085}, 'southwest': {'lat': 39.5776467697085, 'lng': -86.48387068029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Main Street Bar and Grill,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106254080164027378126"">JEFF MEEKS</a>'], 'photo_reference': 'AW30NDxmj78ptza3gnDmru5F-eV6AraZEdCVYvGzQhQ_H6y9JH5fDvZlnliDP5tgDXAvF9BahJ3NzcQbRxJ6f3WVOHu8v_--f70BjkFIyPmfupzwZ_8hqdSEBcMgFkzGQxgCskasRMVI3gs8MXtQwz6gvxar9Kpn_NftxxMkn54iM6_CWyWM', 'width': 3024}]",ChIJdxDd3BSWbIgRdDHi0u4cO-g,"{'compound_code': 'HGH8+JX Monrovia, IN, USA', 'global_code': '86FMHGH8+JX'}",2.0,4.3,ChIJdxDd3BSWbIgRdDHi0u4cO-g,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",401.0,"220 West Main Street, Monrovia",True
OPERATIONAL,"{'location': {'lat': 39.5790796, 'lng': -86.4823942}, 'viewport': {'northeast': {'lat': 39.58032748029149, 'lng': -86.48104571970849}, 'southwest': {'lat': 39.57762951970849, 'lng': -86.48374368029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,MONROVIA FAMILY RESTAURANT,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100697522418288757188"">MONROVIA FAMILY RESTAURANT</a>'], 'photo_reference': 'AW30NDwktgGdRzP4N-Y6zC-S0-_Osavu4APEUzL0SGPKYfhpC8B4yzZR6mblabwK_BVxNJreo-ga88H7zKl7ufG0YOHbks6YgMnLnsETNVq83alrlyrrD18XM1juObOhvatFPnfcDtTWJPHvP-OGfE2RQ2hP90Wuy3rUJl0Jey7cZNivGj6c', 'width': 3024}]",ChIJ908yMtiXbIgRLPFLgC7BJvQ,"{'compound_code': 'HGH9+J2 Monrovia, IN, USA', 'global_code': '86FMHGH9+J2'}",,4.5,ChIJ908yMtiXbIgRLPFLgC7BJvQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",152.0,"200 West Main Street, Monrovia",
OPERATIONAL,"{'location': {'lat': 39.5790254, 'lng': -86.482136}, 'viewport': {'northeast': {'lat': 39.58029983029149, 'lng': -86.48080491970849}, 'southwest': {'lat': 39.5776018697085, 'lng': -86.4835028802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dawg House Pizza,{'open_now': False},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100051071890259142486"">Dawg House Pizza</a>'], 'photo_reference': 'AW30NDysBEEm3fOzFU8_EPjdfomF_8ZeOIM5Rvb97s_nk4-uehV21e0VD9xJWe7MQgtUIayThvoOGKFFI6CkkW6f6y5aD7XeW9n5-YU9itPC0wJv1IG8l5ycho2WcG7-_1B0ClnvJU9SCNWC5bC7IEdBwjSisMjT-h5opnHVCDPxTKRHAhUr', 'width': 3456}]",ChIJUZqy2xSWbIgRaqzREgqa2Eg,"{'compound_code': 'HGH9+J4 Monrovia, IN, USA', 'global_code': '86FMHGH9+J4'}",2.0,4.5,ChIJUZqy2xSWbIgRaqzREgqa2Eg,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",230.0,"160 West Main Street, Monrovia",
OPERATIONAL,"{'location': {'lat': 39.6114452, 'lng': -86.4807352}, 'viewport': {'northeast': {'lat': 39.6128522802915, 'lng': -86.4793307697085}, 'southwest': {'lat': 39.6101543197085, 'lng': -86.4820287302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Country Pride,{'open_now': False},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111906445434262046796"">Wirayen Albert</a>'], 'photo_reference': 'AW30NDwkSLVU5woY1vkWAjYFik3B6bj1uHeucpePWd7tJrlbX9GIKcccl_6BxEhqhZuxGRzsrqhNXz4ypLdvKdxZ7cvX5araa636XbAlBbvkK6ZQZDLSPboagUG5KLFg8D5m6w56-yfS6x9qlTi5YEr66I20MtwejcQlpt9vbzLBjgDsYEb3', 'width': 1024}]",ChIJnV6DH-29bIgR6V3foF8wvfk,"{'compound_code': 'JG69+HP Clayton, IN, USA', 'global_code': '86FMJG69+HP'}",,3.4,ChIJnV6DH-29bIgR6V3foF8wvfk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",113.0,"10346 Indiana 39, Clayton",
