business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.9811574, 'lng': -96.9077095}, 'viewport': {'northeast': {'lat': 32.9825036302915, 'lng': -96.9065099197085}, 'southwest': {'lat': 32.9798056697085, 'lng': -96.9092078802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BBQ Tonite Indo Pak Kitchen and Caterers,{'open_now': True},"[{'height': 801, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104824367911217496579"">BBQ Tonite Indo Pak Kitchen and Caterers</a>'], 'photo_reference': 'AW30NDy6x_5D9WJwEWSK0p3CPtLbfxL1q3wTrkikgN62qbOo9-BueNZibKU_bW0S5zRqJuxq37OJnWQ2ugOwWmVwig9SKt125jMD0P5-0PWw3DEEP_rR5F41QkmjQ752fCYCyGIQDCj1rGMAv484ByYtGNOsAph8nHgCih6qZ8QlLxLibvIg', 'width': 1011}]",ChIJhRveGeMlTIYRC2C-m7LwfeI,"{'compound_code': 'X3JR+FW Carrollton, TX, USA', 'global_code': '8645X3JR+FW'}",2.0,3.9,ChIJhRveGeMlTIYRC2C-m7LwfeI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1149.0,"2540 Old Denton Road #112, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.97463859999999, 'lng': -96.8894371}, 'viewport': {'northeast': {'lat': 32.9760684802915, 'lng': -96.88816691970848}, 'southwest': {'lat': 32.9733705197085, 'lng': -96.89086488029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Quiznos,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108118274630500740848"">Denton (Denton)</a>'], 'photo_reference': 'AW30NDzmwMKJMtwotkk-C4suqztifvGjKU-t34qmEYYbz2aMzcL5omcdkikbSZAagHn2yH_wcKMvzA16qB3qpUu0xdPgMA2O50P4-bl8mTRRi8F24lTP6TQf46gqglW5rOLQoFg-egzNTTOCjrURkwLdkeXy1PaSpne-gptfhESdnI7IAqga', 'width': 5312}]",ChIJzUplAXomTIYRGNopYGfxTjo,"{'compound_code': 'X4F6+V6 Carrollton, TX, USA', 'global_code': '8645X4F6+V6'}",1.0,4.1,ChIJzUplAXomTIYRGNopYGfxTjo,GOOGLE,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",215.0,"2150 North Josey Lane Ste 122, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.9990204, 'lng': -96.8871872}, 'viewport': {'northeast': {'lat': 33.0003675302915, 'lng': -96.8857469697085}, 'southwest': {'lat': 32.9976695697085, 'lng': -96.88844493029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110950890857076008117"">B Jacob</a>'], 'photo_reference': 'AW30NDwt7CGjLyiLGzOYY4yq9I-woLY9zR8DQlS19aoh6_fN0pP1NUWJJjXFrhFSitTDjJEZYeUjD90uVw_QV5CEYOi_umYtn8kypVPlK3UUvG4iCdBITtOcS_jrVxsDDk4kY7q3ff1t0s8zCtTyz_n5QqDa26Fmk4K6NBff2bX75XRqFzzi', 'width': 4032}]",ChIJYcD7Ax0lTIYR9WzmXh8T77w,"{'compound_code': 'X4X7+J4 Carrollton, TX, USA', 'global_code': '8645X4X7+J4'}",1.0,3.2,ChIJYcD7Ax0lTIYR9WzmXh8T77w,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",410.0,"3065 North Josey Lane #82, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.98360289999999, 'lng': -96.8896187}, 'viewport': {'northeast': {'lat': 32.98494693029149, 'lng': -96.8883579697085}, 'southwest': {'lat': 32.98224896970849, 'lng': -96.89105593029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Brazil,{'open_now': True},"[{'height': 448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108674712528680624988"">Cafe Brazil</a>'], 'photo_reference': 'AW30NDy5E08UZzYNq7gW5dxmrTB8qIWE32nFxJh2_T_nxRSBkK-Z1hsP-hm4hnaoHlYwrpBp8nctYKvxqe3XWlJbp7bJvTVaJw16IKscWa1NEIsbgOxikBknN_XVol_THyoP1zSkOHO2Q6Vw9-edEx_ifl3Ux9pzVP2xbi5LmUZxxTJ1Yr8', 'width': 604}]",ChIJAQ-869klTIYR2XBwtYGhhxA,"{'compound_code': 'X4M6+C5 Carrollton, TX, USA', 'global_code': '8645X4M6+C5'}",2.0,4.2,ChIJAQ-869klTIYR2XBwtYGhhxA,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1006.0,"2510 North Josey Lane #106, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.998312, 'lng': -96.88762709999999}, 'viewport': {'northeast': {'lat': 32.9997368302915, 'lng': -96.8862090197085}, 'southwest': {'lat': 32.9970388697085, 'lng': -96.88890698029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nico's Cocina,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111127793388079927255"">Aline Green</a>'], 'photo_reference': 'AW30NDyNaGSYzA9qG5J0sdxiqqOrq7XKVZCylHgZ9ceeQoSs7KUV6F4euevgI4XAfv9Hg33AuHl9cVtdPxk9yxkPUOQ7su3QYzGo7I5vEp5nu0Y8s6s6K-Oks4KSlPlDqSxO0e7gSj2Xn77bfWHg7lFloNQv8PWuz9sCKTmby_vxYnRD4tRg', 'width': 4032}]",ChIJy1LDXsglTIYRR4exjIAttek,"{'compound_code': 'X4X6+8W Carrollton, TX, USA', 'global_code': '8645X4X6+8W'}",2.0,4.4,ChIJy1LDXsglTIYRR4exjIAttek,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1239.0,"3065 North Josey Lane Apt 24, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.99897660000001, 'lng': -96.8871696}, 'viewport': {'northeast': {'lat': 33.00032393029151, 'lng': -96.8857388197085}, 'southwest': {'lat': 32.99762596970851, 'lng': -96.8884367802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wing Street,{'open_now': True},,ChIJy1LDXsglTIYRgxdwWAV752E,"{'compound_code': 'X4X7+H4 Carrollton, TX, USA', 'global_code': '8645X4X7+H4'}",2.0,3.8,ChIJy1LDXsglTIYRgxdwWAV752E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"3065 North Josey Lane Apt 82, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.987718, 'lng': -96.890062}, 'viewport': {'northeast': {'lat': 32.98898068029151, 'lng': -96.88886446970848}, 'southwest': {'lat': 32.98628271970851, 'lng': -96.89156243029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112944630735481324772"">Jojan Paul</a>'], 'photo_reference': 'AW30NDzNS_USRU5kfMzxsqrcBlzWRdhsndj7N5ssJciz5fTf-K07-5tKAuJdJ3WTfKUzwX5i8cOm4GhqzmtO1A8EaSZGrRO-IKV4LmfVD5TVXoHgvs8mNSKGWxkDzv6LR9RxX7VuP0u6qdH-PrrRtjIvORyVgKt4tSDHH6zEs2bPk7CQKXoX', 'width': 4032}]",ChIJl2_t89olTIYRdrG0tzCmpuc,"{'compound_code': 'X4Q5+3X Carrollton, TX, USA', 'global_code': '8645X4Q5+3X'}",2.0,4.0,ChIJl2_t89olTIYRdrG0tzCmpuc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1681.0,"2624 North Josey Lane, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.9743448, 'lng': -96.890552}, 'viewport': {'northeast': {'lat': 32.9754819802915, 'lng': -96.8892510697085}, 'southwest': {'lat': 32.9727840197085, 'lng': -96.8919490302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Paparazzi Pizza,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112840928088424017885"">Carl</a>'], 'photo_reference': 'AW30NDztHO2OQvv1o9GETmtThbZqU-UTZMyKAbtyJuv39j0obRsREjsc3bGO8iqX1AnTefgPtrBZ72y-m4g0eED6NXEN19gl3w4khVVplhZnK-k_fXJ5fenhiBtVBYxIylTbjheKisoPr1hYJG6-7FGXMLz7kSPBYgWYkIuaikPCtvgpJEKA', 'width': 4000}]",ChIJByz7OncmTIYRBsjoRe_Qzn4,"{'compound_code': 'X4F5+PQ Carrollton, TX, USA', 'global_code': '8645X4F5+PQ'}",1.0,4.7,ChIJByz7OncmTIYRBsjoRe_Qzn4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",391.0,"2145 North Josey Lane # 114, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.9742582, 'lng': -96.8905777}, 'viewport': {'northeast': {'lat': 32.9756641302915, 'lng': -96.88916136970849}, 'southwest': {'lat': 32.9729661697085, 'lng': -96.8918593302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108118274630500740848"">Denton (Denton)</a>'], 'photo_reference': 'AW30NDzy0jl5HcmIZgqv7u6VZBheWUeWsgfz8YNs9vqGHqvnElX4HGN7DYYPSHNdRD3iIiZCRvYjBayd6SlsfokshtWvJV4l68J1G8JvqD-uWSeL7CcZ8xHuVHTlq8XS-MYAcnhtrBU_BR7M4HFhNo9qYFPUVwOgLTQ4RnouBCXIZWsHqAV-', 'width': 5312}]",ChIJByz7OncmTIYRfZKou_ImkDU,"{'compound_code': 'X4F5+PQ Carrollton, TX, USA', 'global_code': '8645X4F5+PQ'}",1.0,3.6,ChIJByz7OncmTIYRfZKou_ImkDU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",90.0,"2145 North Josey Lane #112, Carrollton",
OPERATIONAL,"{'location': {'lat': 32.9716306, 'lng': -96.87734239999999}, 'viewport': {'northeast': {'lat': 32.9729771302915, 'lng': -96.8760857697085}, 'southwest': {'lat': 32.9702791697085, 'lng': -96.8787837302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105360570832151793694"">Pizza Hut</a>'], 'photo_reference': 'AW30NDzs011dM1VrWHm5tBnskB8DuyOESgkU_tOYAzz-7-A8XFv7_U3dMYGnbbE_SFaAbxu7oOJCiY6V5jgs5bv6j9upVG1NpME6W22aNuTwMqer90MW-AWGDJuvBMFnF8OJX3oQkdRZDJ9Xf0nwynSbee9ljbiQR2TgEzj69PDoA5sYbSWr', 'width': 1025}]",ChIJ6Tr4e4cmTIYRSUMlDkW5msc,"{'compound_code': 'X4CF+M3 Carrollton, TX, USA', 'global_code': '8645X4CF+M3'}",1.0,3.5,ChIJ6Tr4e4cmTIYRSUMlDkW5msc,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",348.0,"2204 Kelly Boulevard Suite 103, Carrollton",
