business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.9468717, 'lng': -91.71906659999999}, 'viewport': {'northeast': {'lat': 41.9484529802915, 'lng': -91.71771331970851}, 'southwest': {'lat': 41.9457550197085, 'lng': -91.72041128029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105865278733229172959"">Juan Ortiz</a>'], 'photo_reference': 'AW30NDwGY2oD_sFHdqJO7goNBkOGhsM9tCwgAA4uIzJPduCKcySgn2XzJd54e3nn7DS_0hRqZhKriN5hBQTYM1ZF5zqoANmK2exQQMfMTjyxkte1E1yn0tRD2ljgOX6naXH3__9IN2G0sgAx_2mpNO023aP7qv3mgue-qac3miwAIZT44q_P', 'width': 2448}]",ChIJ_5HzwwH55IcRERfoIpmYhAk,"{'compound_code': 'W7WJ+P9 Cedar Rapids, IA, USA', 'global_code': '86HCW7WJ+P9'}",1.0,3.6,ChIJ_5HzwwH55IcRERfoIpmYhAk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",38.0,"3601 29th Avenue Southwest, Cedar Rapids",
OPERATIONAL,"{'location': {'lat': 41.90388339999999, 'lng': -91.6552718}, 'viewport': {'northeast': {'lat': 41.90559073029149, 'lng': -91.65389116970849}, 'southwest': {'lat': 41.90289276970849, 'lng': -91.6565891302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Class Act,{'open_now': True},"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105436257887477133732"">The Class Act</a>'], 'photo_reference': 'AW30NDzAOF5cWVDFOe2GAKn0TDmgZRJuXIo1s7iu4FdCk9Q4spvNZTP5_vj9h3tK43syygJVXp6L-WQUSA5WQOHGdeLv2df2DT7mWrry92xMJBqf6iCqQA6BCNw1NvQ88R9NkX-bdLqN_6g6SxMoRbEftw3RmhQOZy0OGH8DpxkvxGyCvgpn', 'width': 4288}]",ChIJAVvhlXRY5IcRjWDfLrt6mGU,"{'compound_code': 'W83V+HV Cedar Rapids, IA, USA', 'global_code': '86HCW83V+HV'}",,4.5,ChIJAVvhlXRY5IcRjWDfLrt6mGU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",152.0,"7725 Kirkwood Boulevard Southwest, Cedar Rapids",
OPERATIONAL,"{'location': {'lat': 41.97105879999999, 'lng': -91.65773809999999}, 'viewport': {'northeast': {'lat': 41.97229103029151, 'lng': -91.6565904197085}, 'southwest': {'lat': 41.96959306970852, 'lng': -91.6592883802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,NewBo City Market,{'open_now': False},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103457549681048743218"">Phil Fristad</a>'], 'photo_reference': 'AW30NDwxLIaeIIH4w7_gU-zfQTa9s0WZbZwL_R2F1zEgXgI0hqVo-WOPuQVpnC1B80YxM5sx-ewUxOAXmsNDypuZLRi7IyykSk9eqYLesdkLkuv2nnIMn0UM8Zagt3xX5K01c9aKIc6wYah3cyD232KH-zUUURB7E7Alr7H1xlhLfGHtfJ6x', 'width': 4656}]",ChIJBZ6A3UD35IcRc8DFaMDXlto,"{'compound_code': 'X8CR+CW Cedar Rapids, IA, USA', 'global_code': '86HCX8CR+CW'}",,4.5,ChIJBZ6A3UD35IcRc8DFaMDXlto,GOOGLE,"['shopping_mall', 'art_gallery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2522.0,"1100 3rd Street Southeast, Cedar Rapids",
OPERATIONAL,"{'location': {'lat': 41.9889965, 'lng': -91.6499848}, 'viewport': {'northeast': {'lat': 41.9903840302915, 'lng': -91.64871111970848}, 'southwest': {'lat': 41.9876860697085, 'lng': -91.6514090802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110061835486318078885"">Matthew Hoffner</a>'], 'photo_reference': 'AW30NDxCpUpcesv10SUAIi_JGmHsDjdk5MPrMpxNmDnrXo8XNscreeP5d4NXrRTdQFUdCFdrJmVj35siVNHXVQwgPJTGEYbXOh-yXr0EM9r6fhwgJc_A1553l_1Aj-IglNfuHar949J2UbhppqCTOekMaVTNTP0dtJa2oyQEwEYkA2S7Ln5G', 'width': 3264}]",ChIJX1KQkMzw5IcRZCYRlNxIKj4,"{'compound_code': 'X9Q2+H2 Cedar Rapids, IA, USA', 'global_code': '86HCX9Q2+H2'}",1.0,4.1,ChIJX1KQkMzw5IcRZCYRlNxIKj4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",218.0,"1561 1st Avenue Southeast, Cedar Rapids",
CLOSED_TEMPORARILY,"{'location': {'lat': 41.9783434, 'lng': -91.6663267}, 'viewport': {'northeast': {'lat': 41.97964933029149, 'lng': -91.6650398697085}, 'southwest': {'lat': 41.9769513697085, 'lng': -91.6677378302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,White Star Ale House,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107414039338792934891"">Todd Moen</a>'], 'photo_reference': 'AW30NDzahQHtI4iNe1riKj6BqrfAP4NplKzYpvM-wavYpjZwkfhQQD2I49nrIfySUP9sDlT1h1rb2QlDz39qZEm2S5Pmd0YybjyQaubWLS1XOInnkq8eXgi24mGHvbNWfVo8-cTCInCxVhDV55A_4pjl8MarC-e0ql5Tglj0SBuEoLcTDRvU', 'width': 3024}]",ChIJcf7PJlD35IcRdftLAT2gyxA,"{'compound_code': 'X8HM+8F Cedar Rapids, IA, USA', 'global_code': '86HCX8HM+8F'}",2.0,4.3,ChIJcf7PJlD35IcRdftLAT2gyxA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",849.0,"305 2nd Avenue Southeast, Cedar Rapids",True
OPERATIONAL,"{'location': {'lat': 41.9454157, 'lng': -91.67592450000001}, 'viewport': {'northeast': {'lat': 41.9468259302915, 'lng': -91.6744804697085}, 'southwest': {'lat': 41.9441279697085, 'lng': -91.67717843029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1075, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110732051410290739374"">Don Jeffrey</a>'], 'photo_reference': 'AW30NDz2xI1tcY069lwjV09VvSxZscPEnAwvqxd0JhQI6zJ3iaQ7lftzSF80g75MBLS9-bWvrTFtuH5aNxyCqa0-SkKzCZIYqmbmdN7CnwsOjy5c9YhLWXZvFDIImcS5UYP2RmKl_fyBoOjpgqhkCvqfBMTA0UpBKW-63AGGsZBUYlpCMWZg', 'width': 2149}]",ChIJWyYud4D35IcRyKmQmAhe2c0,"{'compound_code': 'W8WF+5J Cedar Rapids, IA, USA', 'global_code': '86HCW8WF+5J'}",1.0,4.0,ChIJWyYud4D35IcRyKmQmAhe2c0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",116.0,"555 Gateway Place Southwest, Cedar Rapids",
OPERATIONAL,"{'location': {'lat': 42.0100448, 'lng': -91.63463899999999}, 'viewport': {'northeast': {'lat': 42.01141493029149, 'lng': -91.6331842697085}, 'southwest': {'lat': 42.00871696970849, 'lng': -91.6358822302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Irish Democrat,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104109840434580494857"">John Baker</a>'], 'photo_reference': 'AW30NDxtAtjxZie8yP8KCdkzvNTBsTxKTAbT4TWLm2Ynh7XvFlkhEmAPptaFlWaN6OjduR6PMQL9U9FO6NmpIsU99kKLk6hpVdBVY_ZAOUtGzD_TYTXVfmBpVxdEv5DYkfs8iwmKoQrWPdm7McyR0xiB4qREEwrkhbz9SHXgALQw3cADYf6y', 'width': 12000}]",ChIJk3VcVh7x5IcR4nVdfVTRquU,"{'compound_code': '2968+24 Cedar Rapids, IA, USA', 'global_code': '86JC2968+24'}",2.0,4.4,ChIJk3VcVh7x5IcR4nVdfVTRquU,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1110.0,"3207 1st Avenue Southeast, Cedar Rapids",
OPERATIONAL,"{'location': {'lat': 41.952591, 'lng': -91.71518499999999}, 'viewport': {'northeast': {'lat': 41.9540066302915, 'lng': -91.71383066970849}, 'southwest': {'lat': 41.9513086697085, 'lng': -91.71652863029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105246212010528656596"">Leonardo Carsol</a>'], 'photo_reference': 'AW30NDz2q3hbsusQKOqZ0m2t_YPVc6o8DoC-90Jk7HU4RCVW00OKowdtH6XB1SfMuA3IGOao1WDV6xJtlePSx5TV-uSZ3lZ794vQEA8eFg7-nMxp8a4csSRcl74ngrpx_6CC7Ng1pSZfvUiV4OuuNMsNRa56tE3LCTkzJqjp3BEDbxwCIo9R', 'width': 3472}]",ChIJvUImXAf55IcREygL6VWvp48,"{'compound_code': 'X73M+2W Cedar Rapids, IA, USA', 'global_code': '86HCX73M+2W'}",2.0,4.4,ChIJvUImXAf55IcREygL6VWvp48,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3810.0,"2605 Edgewood Road Southwest, Cedar Rapids",
OPERATIONAL,"{'location': {'lat': 42.02607049999999, 'lng': -91.6269605}, 'viewport': {'northeast': {'lat': 42.02760078029149, 'lng': -91.6249480697085}, 'southwest': {'lat': 42.02490281970849, 'lng': -91.6276460302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Pretzelmaker,{'open_now': False},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110918841434313458405"">Pretzelmaker</a>'], 'photo_reference': 'AW30NDwpIVVvv258qIFStX1bKG3kEYjTUQ3xYRmCJCTYGSCpvyteG8aLsto-8wZReT0dyxuLPmn49d5aeo4HrdJywrhIssN088A6DTkT2ZTwSam_Oyv_FgIykyiCrEIoj4q5wHAaZLkUMn_mPnw9oixjUA4QicitCrG0tE4j5R3E16kvLyzR', 'width': 1080}]",ChIJi2XPlgjx5IcRF8Mi4SMT3_E,"{'compound_code': '29GF+C6 Cedar Rapids, IA, USA', 'global_code': '86JC29GF+C6'}",1.0,3.9,ChIJi2XPlgjx5IcRF8Mi4SMT3_E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",62.0,"LINDALE MALL, 4444 1st Avenue Northeast #112, Cedar Rapids",
OPERATIONAL,"{'location': {'lat': 42.02513, 'lng': -91.62140000000001}, 'viewport': {'northeast': {'lat': 42.0261411802915, 'lng': -91.61995471970849}, 'southwest': {'lat': 42.0234432197085, 'lng': -91.62265268029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Granite City Food & Brewery,{'open_now': True},"[{'height': 2115, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116547103460593077782"">Raquela Sgro-Gibson</a>'], 'photo_reference': 'AW30NDzYf8CYmwcXA9FHZbMtD4ohpoNQYN68DsIFbuwxOuiXpbewDjmk4E4CBnKOppGIunTYu61iOljcISgdgK6FGlndj-koSmQ9JYrAJ-0CNeUGpEYfTDfxBbc7UhAwSdg4kOIJCujgxMNwhsbmIL8sg5PimofJEj7yLHNpwb4k6T2mL5_g', 'width': 2821}]",ChIJN3XuSwrx5IcRm3A7Bvbiz9k,"{'compound_code': '29GH+3C Cedar Rapids, IA, USA', 'global_code': '86JC29GH+3C'}",2.0,4.3,ChIJN3XuSwrx5IcRm3A7Bvbiz9k,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1222.0,"4755 1st Avenue Southeast, Cedar Rapids",
