business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.5819926, 'lng': -104.876076}, 'viewport': {'northeast': {'lat': 39.5833951302915, 'lng': -104.8744833697085}, 'southwest': {'lat': 39.5806971697085, 'lng': -104.8771813302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Maggiano's Little Italy,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113274532431772938741"">Joe “#JoeEatz”</a>'], 'photo_reference': 'AW30NDyoNiu5bZQLfczM5SJ41KFCbb8VgahG-Gy8pBRvysA8Lun6vu9mlWTDREuy57gSRnBvE6iSIJaY4fiTl-UVD28QuJOeOvouMFzNXZXDp-uF7-fmj1g_6doLc9_S_J06R4XMuu9rt1Kz--EPEWxBOMbQgLYm_dlkGNTo8TqYerIfigIJ', 'width': 4032}]",ChIJJcFZRNuFbIcRDF-4McVqyug,"{'compound_code': 'H4JF+QH Englewood, CO, USA', 'global_code': '85FQH4JF+QH'}",2.0,4.5,ChIJJcFZRNuFbIcRDF-4McVqyug,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",5179,"7401 South Clinton Street, Englewood",
OPERATIONAL,"{'location': {'lat': 39.56209, 'lng': -104.878899}, 'viewport': {'northeast': {'lat': 39.56338058029149, 'lng': -104.8774437697085}, 'southwest': {'lat': 39.5606826197085, 'lng': -104.8801417302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The White Chocolate Grill,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107645648540363071035"">dan george</a>'], 'photo_reference': 'AW30NDxfCmCSRmoWHEBX1d_90_PT3q-QqjK1vTUVO_5zAeG04zMPfMgPcgf6XALW0LxrXpU7wxX4EoHX-5_c1qPmSy_NZ1Wui4wyaldQZut7_MF3WJ2Mt3ri1PE0v8kHedEUjFblFIPRTy6r2VGoWhxcxJR32s2nhGX1Cia_QlTOPBKFJsqT', 'width': 12000}]",ChIJZ9HNk6SFbIcRAX3r1ZUCZ8o,"{'compound_code': 'H46C+RC Lone Tree, CO, USA', 'global_code': '85FQH46C+RC'}",3.0,4.5,ChIJZ9HNk6SFbIcRAX3r1ZUCZ8o,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1709,"8421 Park Meadows Center Drive, Lone Tree",
OPERATIONAL,"{'location': {'lat': 39.56170180000001, 'lng': -104.878533}, 'viewport': {'northeast': {'lat': 39.5631669802915, 'lng': -104.8771439697085}, 'southwest': {'lat': 39.5604690197085, 'lng': -104.8798419302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yard House,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112313078918070480005"">Johnnie Medina</a>'], 'photo_reference': 'AW30NDxE8wp5R5jElxuITABfeTU5ap27i3fQgI6bGYWV8PKzkFrMiJ1oDU_gRJe1FblXXrOMc2lX2YsF-Wp9K-pwcFopKngMglLJ61pwlGzs_zpGP9YaYVa2qlY5P_p-Al99XbiPICOjLl8STiY0bOQNKEMNSnoZh_9omfWerxr_Jk4i9YDU', 'width': 6000}]",ChIJp5IYpqSFbIcRiLp7OwIP10M,"{'compound_code': 'H46C+MH Lone Tree, CO, USA', 'global_code': '85FQH46C+MH'}",2.0,4.3,ChIJp5IYpqSFbIcRiLp7OwIP10M,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2037,"8437 Park Meadows Center Drive, Lone Tree",
OPERATIONAL,"{'location': {'lat': 39.5677576, 'lng': -104.8704309}, 'viewport': {'northeast': {'lat': 39.5692283802915, 'lng': -104.8689588197085}, 'southwest': {'lat': 39.56653041970851, 'lng': -104.8716567802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fleming’s Prime Steakhouse & Wine Bar,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110266502474272333028"">Tammy Cole</a>'], 'photo_reference': 'AW30NDwjHdlkHG0wQUBc1NgIa143-n5cLwvYt5iQaeIGDqX3sHzBxAKMO_c6GwQBFD7z1DfSfFE1Ol4f6ns-rLbJlQ7yd3Hc_KmDf0OqHROADUQDoxfIVOQQo2amVmSh3_yjQYTX9eHaiNBeO3sfopIFEBIC8ly7iDmGDzyiBBSurT-H1A1l', 'width': 4000}]",ChIJcfUBa76FbIcRFRUJIYs_Ijw,"{'compound_code': 'H49H+4R Englewood, CO, USA', 'global_code': '85FQH49H+4R'}",4.0,4.6,ChIJcfUBa76FbIcRFRUJIYs_Ijw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1152,"191 Inverness Drive West, Englewood",
OPERATIONAL,"{'location': {'lat': 39.564522, 'lng': -104.874363}, 'viewport': {'northeast': {'lat': 39.5660136802915, 'lng': -104.8730920697085}, 'southwest': {'lat': 39.5633157197085, 'lng': -104.8757900302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Earls Kitchen + Bar,{'open_now': True},"[{'height': 4480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103089276112076067646"">Earls Kitchen + Bar</a>'], 'photo_reference': 'AW30NDyA9oREgU-3ew5r3a41zKL3aB7lOvgFaWzgcUw2IHOB2_MGau-mDznyN4PZDM5gIoBBqY9kDMRu42achik7aIG6kj7wtxL2LT9A7Xv741IiIM8M3yg83m7Z_nEXQA5waxz6yelf97SqkpYVN5ugddW_7zLNHk06oiaOOkoUjFJTIlmx', 'width': 6720}]",ChIJPdO5dryFbIcRhgMn0zqFVik,"{'compound_code': 'H47G+R7 Lone Tree, CO, USA', 'global_code': '85FQH47G+R7'}",2.0,4.3,ChIJPdO5dryFbIcRhgMn0zqFVik,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1206,"8335 Park Meadows Center Drive, Lone Tree",
OPERATIONAL,"{'location': {'lat': 39.60891770000001, 'lng': -104.8915277}, 'viewport': {'northeast': {'lat': 39.6102011802915, 'lng': -104.8899017197085}, 'southwest': {'lat': 39.60750321970851, 'lng': -104.8925996802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Del Frisco's Double Eagle Steakhouse,{'open_now': True},"[{'height': 1335, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114929588792548106264"">Del Frisco&#39;s Double Eagle Steakhouse</a>'], 'photo_reference': 'AW30NDwD6deKFICgBfOoGljpnBf21NAD8zcssUmMDDdGIMbdBHt6CXItuwrGDUWZGlWiLX0RKHj5n1ICsqTC2SGkombUcW2xwKVz7sotysdPZS-TA1LSGnXohPd72geeXtYMC6fIQDu4grSvTIpVbFuL2lGZGVN5OUd5KY-VuwMrFTH9s_OW', 'width': 1920}]",ChIJByosEmCGbIcRvBG-QZTjEWg,"{'compound_code': 'J455+H9 Denver, CO, USA', 'global_code': '85FQJ455+H9'}",4.0,4.4,ChIJByosEmCGbIcRvBG-QZTjEWg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2123,"8100 East Orchard Road, Denver",
OPERATIONAL,"{'location': {'lat': 39.55307920000001, 'lng': -104.8822227}, 'viewport': {'northeast': {'lat': 39.5544975802915, 'lng': -104.8805679697085}, 'southwest': {'lat': 39.5517996197085, 'lng': -104.8832659302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowlero Lone Tree,{'open_now': True},"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110318640629643050836"">Bowlero Lone Tree</a>'], 'photo_reference': 'AW30NDy9cuwqbqNG1xHjzBEy70NnVGADmK_RAqKuH5Xy5yru7mOQd7ZHQvueBz2KvCiP5OLt9Z6U0ItQ4wpf-NWQYqfj3Ch_VVHzoKuBVGCp42GYY3gGcB6GY3wrRpHDn8knQgNEn-pnLnCD9UG4Z1GEN1OL9HTfqWeRnkcf97sAKXDghQHE', 'width': 3600}]",ChIJc6G-g6iFbIcRWO1ZYE9c4CA,"{'compound_code': 'H439+64 Lone Tree, CO, USA', 'global_code': '85FQH439+64'}",,4.0,ChIJc6G-g6iFbIcRWO1ZYE9c4CA,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1822,"9255 Kimmer Drive, Lone Tree",
OPERATIONAL,"{'location': {'lat': 39.59424060000001, 'lng': -104.8864264}, 'viewport': {'northeast': {'lat': 39.5954742802915, 'lng': -104.8851329697085}, 'southwest': {'lat': 39.59277631970851, 'lng': -104.8878309302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Twin Peaks,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106134220850436155130"">Dan Cottrell</a>'], 'photo_reference': 'AW30NDzPv3s1-LjOfgiBDnVDeGhmAbU92g_Rc7V6AXv_qoJ81I0M4Ug9ldwKZQ0MTjRlUSo0W2oS9sbWjbAzQiRNfGv-Jc5kZE56V3YhDXxfHcOsg4Xdz-BlGmDEhwUcS1ytokaqv9J0Zjieofr2ocrAUWphz5Ww9yoSYylVs18ui4TGA2S5', 'width': 4000}]",ChIJby-StH6GbIcRQXA5a6U1oCI,"{'compound_code': 'H4V7+MC Centennial, CO, USA', 'global_code': '85FQH4V7+MC'}",2.0,4.3,ChIJby-StH6GbIcRQXA5a6U1oCI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3603,"8840 East Arapahoe Road, Centennial",
OPERATIONAL,"{'location': {'lat': 39.568697, 'lng': -104.873617}, 'viewport': {'northeast': {'lat': 39.5701331802915, 'lng': -104.8724060197085}, 'southwest': {'lat': 39.5674352197085, 'lng': -104.8751039802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,J. Alexander's Restaurant,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112796173631551474822"">Rita Wauters</a>'], 'photo_reference': 'AW30NDxERBLQ1bdWDCTbH4zIVTynqpaeM4PbfcUmyxJaKkvfa9lKBk3IchQn87oXIb0q7QtRnUcjSlUpb-M2krlG3d8Xt9kU-_toPpLbESpJHHTPBSCFDYa-ldU83sIXymFqVedCAenw0W13I9mY4gYiG_7d-o5cX8JJNwAjzgyW6TwXByLe', 'width': 4000}]",ChIJeaf9H7yFbIcRSFgfVGE-90w,"{'compound_code': 'H49G+FH Centennial, CO, USA', 'global_code': '85FQH49G+FH'}",3.0,4.5,ChIJeaf9H7yFbIcRSFgfVGE-90w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",996,"9709 East County Line Road E County Line Rd, Centennial",
OPERATIONAL,"{'location': {'lat': 39.56334469999999, 'lng': -104.8779743}, 'viewport': {'northeast': {'lat': 39.5645019302915, 'lng': -104.8766720197085}, 'southwest': {'lat': 39.5618039697085, 'lng': -104.8793699802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112436080629542337329"">Aaron Sibs</a>'], 'photo_reference': 'AW30NDxeEBekSYfAZFgx6qpQgsR5uYxPrq5yPpbvP0d8rA-zH96QBT57SUmuxFGLoqK9pCR7dK6LPq7gshCZs9HLPscBgQIXn5bWmt1Kfoh3YjRjK_7VJnlIjBYuT5kGRU-sNk16uLFogwrtYjqkS_GB0eO55_LXsjZ0zAI5UG3sn_hTDKGb', 'width': 4608}]",ChIJQ4-m7KSFbIcREKSvCe3i8E8,"{'compound_code': 'H47C+8R Lone Tree, CO, USA', 'global_code': '85FQH47C+8R'}",2.0,4.0,ChIJQ4-m7KSFbIcREKSvCe3i8E8,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",4198,"8405 Park Meadows Center Drive, Lone Tree",
