business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.2747666, 'lng': -111.8600787}, 'viewport': {'northeast': {'lat': 33.2761798802915, 'lng': -111.8587324697085}, 'southwest': {'lat': 33.2734819197085, 'lng': -111.8614304302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beijing Restaurant,{'open_now': False},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114583591961826001565"">Mario Franklin</a>'], 'photo_reference': 'AW30NDzAgwuAhR8VwtFJTf5M-P3DmNnGdU_b1SuDb_T8zUx8_EnsQaiJ44U39N2O6iNfrH1Vr3XzrvxBSl4Do-_CILgUr5DDD-ED7nEAfIvq58nqSxRKD97ZUSJ2Ee_LvsqT2CYm57stg4oRtsrH32xGBerY9DPxwJc14dxYNjSgHc9iDIHF', 'width': 4000}]",ChIJT9b0eYEAK4cRdBbOqwGqlog,"{'compound_code': '74FQ+WX Chandler, AZ, USA', 'global_code': '855C74FQ+WX'}",1.0,3.9,ChIJT9b0eYEAK4cRdBbOqwGqlog,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",199,"2040 South Alma School Road #13, Chandler",
OPERATIONAL,"{'location': {'lat': 33.3032883, 'lng': -111.8422192}, 'viewport': {'northeast': {'lat': 33.30469453029151, 'lng': -111.8408338197085}, 'southwest': {'lat': 33.30199656970851, 'lng': -111.8435317802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,SanTan Brewing - Downtown Chandler,{'open_now': True},"[{'height': 1051, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117512716734632250558"">SanTan Brewing - Downtown Chandler</a>'], 'photo_reference': 'AW30NDyPk3_Gv5sVIblRofzeYwuh3RH5hyagz8lMkeo_aeGIWFqQGU7yfWC1P6sss_WcbMYGGp0VB8M18kvirGBSlENsab8F1f3X-cVYLqTg18W6jC611Pd1GDy1ArNwooCOskqU0YACh2xuQ9ygQpfenmg3mikMqntDF8iV6ZICTfIBnAyg', 'width': 2048}]",ChIJD8d-UBCqK4cRfCciu_P_BX4,"{'compound_code': '8535+84 Chandler, AZ, USA', 'global_code': '855C8535+84'}",2.0,4.5,ChIJD8d-UBCqK4cRfCciu_P_BX4,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1559,"8 South San Marcos Place, Chandler",
OPERATIONAL,"{'location': {'lat': 33.27475349999999, 'lng': -111.8598022}, 'viewport': {'northeast': {'lat': 33.27617393029149, 'lng': -111.8584814697085}, 'southwest': {'lat': 33.27347596970849, 'lng': -111.8611794302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rosati's Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104435637916370700677"">Jeff W</a>'], 'photo_reference': 'AW30NDyg7xpWL4A8orVJYQLGMDomqT-J2VgqEJRrHAcNpPac6AmGwNdiGsYJg0PzSlyZejRY-WWoXGlStQgZg6Lv855fKct9O53FuNpQ3jSrTAfGc7nYMwsPPSxpgBWfFx6R6emkv5NdAyGYlM1mrnmRVdAGDfiSaowNSZAJs0-7lcSLi3sl', 'width': 1920}]",ChIJT9b0eYEAK4cREdYrBaRGSXU,"{'compound_code': '74FR+W3 Chandler, AZ, USA', 'global_code': '855C74FR+W3'}",2.0,4.1,ChIJT9b0eYEAK4cREdYrBaRGSXU,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",685,"2040 South Alma School Road 11 Ste 11, Chandler",
OPERATIONAL,"{'location': {'lat': 33.2853124, 'lng': -111.8409028}, 'viewport': {'northeast': {'lat': 33.28658293029149, 'lng': -111.8395986197085}, 'southwest': {'lat': 33.2838849697085, 'lng': -111.8422965802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108150656969011945691"">Kory LaVelle</a>'], 'photo_reference': 'AW30NDxChJQxAz0H_kwKe1lpRdXwp0NdrVDPhCztXu2SWa9GwZX-XlUtocXGdZW-6WXaV_faeNxQ3S-ZAPolroKsYvaB0nrmsbTP7uU70ICFx1EXKcAQV2a2xdViWdVcRhhtIPMKOnEnJ6mLDH0X_hV4rjz5FUb4-_G6Idv60aIOZkwecY_q', 'width': 3024}]",ChIJDdROZm-qK4cR58ExdMXF1Ck,"{'compound_code': '75P5+4J Chandler, AZ, USA', 'global_code': '855C75P5+4J'}",2.0,4.1,ChIJDdROZm-qK4cR58ExdMXF1Ck,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",632,"1395 South Arizona Avenue, Chandler",
OPERATIONAL,"{'location': {'lat': 33.2777514, 'lng': -111.8756485}, 'viewport': {'northeast': {'lat': 33.2789907802915, 'lng': -111.8743687197085}, 'southwest': {'lat': 33.2762928197085, 'lng': -111.8770666802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Oregano's,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104062233619215493181"">kregor</a>'], 'photo_reference': 'AW30NDzPkrHKxoHgdbVg4DA2_uwlb12AWCz1SwRhD6WfdLI2I5cbqNWJQ32CeN4hKDxR8gEKjEN1ifA3CmJaaC4e-_iC5GqNat3jB3X1DVeRWso5Wen0EyCbBdlssDy4NYlpHlefWTRxPouaFodhAmtcEEbjMrPnenzjhT92KPYg6VuXLtJ3', 'width': 4200}]",ChIJp_hz7o0AK4cRsMIyKPfpkhk,"{'compound_code': '74HF+4P Chandler, AZ, USA', 'global_code': '855C74HF+4P'}",2.0,4.3,ChIJp_hz7o0AK4cRsMIyKPfpkhk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1394,"1960 West Germann Road, Chandler",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.303044, 'lng': -111.84221}, 'viewport': {'northeast': {'lat': 33.3044001302915, 'lng': -111.8407911197085}, 'southwest': {'lat': 33.3017021697085, 'lng': -111.8434890802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Zocalo Mexican Grill,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114996023338256410163"">Jonathan McKinney</a>'], 'photo_reference': 'AW30NDzX0hHt8IeolmzFSlq3LIdSjfNF8z3yx6TwYKfFqJKc0eHQPnJfS-1Q3Mi43tIoOhmrgQ1bnp6xBx9r-tPXFXtxa5Zs8dkywAb9SvoVFTfUjXGNqdjilZ3axh5K59jM9SxfJZ8OUXdSNh0xIZA_SiEzVL7tbtB9lw0WILQLaU6byOUC', 'width': 3264}]",ChIJodWoURCqK4cRA6JmP0oOTRE,"{'compound_code': '8535+64 Chandler, AZ, USA', 'global_code': '855C8535+64'}",2.0,4.2,ChIJodWoURCqK4cRA6JmP0oOTRE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",635,"28 South San Marcos Place, Chandler",True
OPERATIONAL,"{'location': {'lat': 33.3051366, 'lng': -111.845873}, 'viewport': {'northeast': {'lat': 33.30640998029149, 'lng': -111.8444192197085}, 'southwest': {'lat': 33.3037120197085, 'lng': -111.8471171802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/golf-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/golf_pinlet,San Marcos Golf Course,{'open_now': True},"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118053837052203589862"">San Marcos Golf Course</a>'], 'photo_reference': 'AW30NDyzJCbsrHPSqAxJ3lFCFQvPbT48_k34r_kENOzhEnbsVNx4KfZiL9WW0UQpVZZKO3qjWBxaeep4cjb9MwS6d42QimnPDJg54NPpVEBkHHGArRB8a5V3-7mbBTCEvEuUsLu0v_jC_roq8vLN-cTzbwAah-DQqSN3XgYeM2xghrzdnJJE', 'width': 3835}]",ChIJOcV0ZRCqK4cRUbdAfhSYAk0,"{'compound_code': '8543+3M Chandler, AZ, USA', 'global_code': '855C8543+3M'}",,4.3,ChIJOcV0ZRCqK4cRUbdAfhSYAk0,GOOGLE,"['restaurant', 'food', 'health', 'point_of_interest', 'store', 'establishment']",503,"100 North Dakota Street, Chandler",
OPERATIONAL,"{'location': {'lat': 33.3015718, 'lng': -111.8413001}, 'viewport': {'northeast': {'lat': 33.30293148029149, 'lng': -111.8398865197085}, 'southwest': {'lat': 33.30023351970849, 'lng': -111.8425844802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Serranos Mexican Food Restaurants,{'open_now': False},"[{'height': 918, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112366696033827475299"">Serranos Mexican Food Restaurants</a>'], 'photo_reference': 'AW30NDzj16DSPq8cRjLD42PgDxyt0_0wJefU3h27cHZMWUYt5T-BCb48WpXYOvkjau6mrSkLm3j_9e009virt6mOsz1pCftcLjGxIrWfYCcL67wvfn18Y3KDvKWRON6jbSNLz81BX-yYzk-QwXDZOf-rTKnYQDXDDaMQ5cR1Oav6PRBYJfTb', 'width': 1784}]",ChIJhakkbRGqK4cRyYo8Q74QDqM,"{'compound_code': '8525+JF Chandler, AZ, USA', 'global_code': '855C8525+JF'}",2.0,4.3,ChIJhakkbRGqK4cRyYo8Q74QDqM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1355,"141 South Arizona Avenue, Chandler",
OPERATIONAL,"{'location': {'lat': 33.26132990000001, 'lng': -111.8568498}, 'viewport': {'northeast': {'lat': 33.2627238802915, 'lng': -111.8555043697085}, 'southwest': {'lat': 33.2600259197085, 'lng': -111.8582023302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102891827217738233665"">China Page</a>'], 'photo_reference': 'AW30NDzjBQ3Evng3P3pXBpxAWzDHUpRCIVI9Siq-f9GRNxwKh67qlAtBhKZ42YXhRvguLNpEpdaUGiLbugPBFbHYsCn6QCXmoRYsCtpSAJGouTf4BZZosz8Ct2qwRwVZUs1wGY8zSGHRZv21u1mn7cN1kBASFdnFgKqTl7fgvUjApfYT470R', 'width': 2448}]",ChIJTUL1c3gAK4cRj_60i8J8Nkg,"{'compound_code': '746V+G7 Chandler, AZ, USA', 'global_code': '855C746V+G7'}",1.0,3.9,ChIJTUL1c3gAK4cRj_60i8J8Nkg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",168,"3125 South Alma School Road Suite 5, Chandler",
OPERATIONAL,"{'location': {'lat': 33.2769153, 'lng': -111.8746979}, 'viewport': {'northeast': {'lat': 33.2781895302915, 'lng': -111.8734340197085}, 'southwest': {'lat': 33.2754915697085, 'lng': -111.8761319802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BLD Chandler,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116121696922932936019"">Hal Halladay</a>'], 'photo_reference': 'AW30NDyQKcoIWmvKP8tGnhAOy0P-HUY3ZemY-4GuPX7TB4MRfknbgH4D39Uxp3xAPL90N8iJV94C_eL6cSYJeXgJXOwrH2Dk4gyTjPI87S0rMb5dd3PxkFFtJFQ9rUykx3uBL9JP_Up-4fbgdUUV-o6v4cCk83oTz0e8BsV50DVc0rGdrHDB', 'width': 4032}]",ChIJn1303I0AK4cRAs75MeNPELk,"{'compound_code': '74GG+Q4 Chandler, AZ, USA', 'global_code': '855C74GG+Q4'}",2.0,4.3,ChIJn1303I0AK4cRAs75MeNPELk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1370,"1920 West Germann Road, Chandler",
OPERATIONAL,"{'location': {'lat': 33.2648321, 'lng': -111.8591694}, 'viewport': {'northeast': {'lat': 33.2661130302915, 'lng': -111.8578307197085}, 'southwest': {'lat': 33.2634150697085, 'lng': -111.8605286802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tom's BBQ - Chandler,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101461864021492221165"">Tom&#39;s BBQ - Chandler</a>'], 'photo_reference': 'AW30NDx--cqEFlBml3-O-bts_RNUlWTMXxqqJBvjxTpHbLRB4MMwbwy2hi7CX1F4EKYr7f-Mz4ZkQlZiJfF0WhIzyVz6hDbBq2xid9QHfXxCjfm1siwQgTIpH8hzt2tRHcSdbyjpxq-UbgOmSmYdYbxkul6oNVBOe4b6P208WSK_t-Mn2ySe', 'width': 4000}]",ChIJ-1OLz3gAK4cRkp5PXd3-JlU,"{'compound_code': '747R+W8 Chandler, AZ, USA', 'global_code': '855C747R+W8'}",1.0,4.1,ChIJ-1OLz3gAK4cRkp5PXd3-JlU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",327,"2820 South Alma School Road #6, Chandler",
OPERATIONAL,"{'location': {'lat': 33.3011807, 'lng': -111.8417637}, 'viewport': {'northeast': {'lat': 33.3024825302915, 'lng': -111.8402961697085}, 'southwest': {'lat': 33.2997845697085, 'lng': -111.8429941302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,DC Steak House,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104003599269448157449"">DC Steak House</a>'], 'photo_reference': 'AW30NDxhe0fLNd8V8_Xf2Nm9iXLBLK7BahdjMw6b78_7KORyXbsdvkoaZOfc0CsXKZWT-pDtPogS3Kq_O1vqEfgLEigoK-QY0C56d5X5QHpPhoIT6xF1HrQh2NKheHK5zPV52Alw6dYGrHnXad9VKbka9H583iNPIan-qQ0nwzc25bbLeRv3', 'width': 4032}]",ChIJ7wR6qxGqK4cRU3XN6ugWH6A,"{'compound_code': '8525+F7 Chandler, AZ, USA', 'global_code': '855C8525+F7'}",2.0,4.2,ChIJ7wR6qxGqK4cRU3XN6ugWH6A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1344,"180 South Arizona Avenue Ste 106, Chandler",
OPERATIONAL,"{'location': {'lat': 33.2782485, 'lng': -111.8593652}, 'viewport': {'northeast': {'lat': 33.2796430302915, 'lng': -111.8579462197085}, 'southwest': {'lat': 33.2769450697085, 'lng': -111.8606441802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barro's Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109416879865742927053"">Samhith Padala</a>'], 'photo_reference': 'AW30NDzNtWgWzdiwXyMUP3_cfQUPG5-QfQhiQ1U841AZ50EtVXVL0xXBY32kJ4r_drY65dCRxpprZ0HcgaL3B_eEpyibPitM32VTNCWTAuwmMs7AZRxwjpRQpVjlnCZuCPtjRR6GU-YtTSeaApH-w8cZOnTtnODEpCtMoxgq8SeqnW-I1zAx', 'width': 5312}]",ChIJ-eVd-YIAK4cRUdOi2s9Q8Nc,"{'compound_code': '74HR+77 Chandler, AZ, USA', 'global_code': '855C74HR+77'}",1.0,4.3,ChIJ-eVd-YIAK4cRUdOi2s9Q8Nc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",607,"1880 South Alma School Road, Chandler",
OPERATIONAL,"{'location': {'lat': 33.302775, 'lng': -111.8423453}, 'viewport': {'northeast': {'lat': 33.3041496302915, 'lng': -111.8408587197085}, 'southwest': {'lat': 33.3014516697085, 'lng': -111.8435566802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Murphy's Law Irish Pub,{'open_now': True},"[{'height': 2561, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110467765997627737182"">Sarah Aupperlee</a>'], 'photo_reference': 'AW30NDzlV1qe56LhYBV30ZknS_NegMqGuZLI6zG9g1g7bPPkJjz-8WquzX2xivWb5h5JLEmkM9HIsumfT0hYVNNV4-2AkwCgUbyvjs1ym1mDOMnwTTbQOSwokn715bjMzsdYMkpDFUXCW-VrnzEBxUxFSIqkgI66PcDcS__ZUrJwZigIx6PO', 'width': 4032}]",ChIJhRQRVRCqK4cREncFxyB0nJs,"{'compound_code': '8535+43 Chandler, AZ, USA', 'global_code': '855C8535+43'}",2.0,4.4,ChIJhRQRVRCqK4cREncFxyB0nJs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2064,"58 South San Marcos Place, Chandler",
