business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.70082969999999, 'lng': -76.2333287}, 'viewport': {'northeast': {'lat': 36.7021091802915, 'lng': -76.2320697697085}, 'southwest': {'lat': 36.6994112197085, 'lng': -76.23476773029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109852714916337250658"">Pizza Hut</a>'], 'photo_reference': 'AW30NDwi5oXidf4QyuVGrqr3CJoKRBNWW3XKzakzwFyGJBFZBR_OOsBcrBI5cnNB5qchMM65rPtj8yLdZsK1eyNGZ73NHAbphZVarCIws25wU_jKnI7MPG76Z-2mTDQoLmb5qDSOd6gqhorJNp82hYUSbp8HQ73FUDMr6T_kp408DIXmalyo', 'width': 1025}]",ChIJ46seahG7uokREe1XgvCY-0A,"{'compound_code': 'PQ28+8M Chesapeake, VA, USA', 'global_code': '8785PQ28+8M'}",1.0,3.7,ChIJ46seahG7uokREe1XgvCY-0A,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",175.0,"717 South Battlefield Boulevard, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.7246598, 'lng': -76.2970399}, 'viewport': {'northeast': {'lat': 36.7260681302915, 'lng': -76.29568036970849}, 'southwest': {'lat': 36.7233701697085, 'lng': -76.2983783302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108382951567818210214"">Subway</a>'], 'photo_reference': 'AW30NDwZ_UBp0ttKxkerNKENIp0fNkg6tsDqQA7duO7sDZOsJ2GbifLg_qPiGPwO8OgyKPUUdOJqfPV0MJzXbqyFYmoqKcXKuJCA6_7MSoc0dAYyYWxg8nmiBds53vTjRr_XiASnDdiYMg1hmW9W9d6-6eqNLNkspK4JhnXPvTCxgpGeRdv8', 'width': 1763}]",ChIJizterdmkuokRCgFmR_4-HJ0,"{'compound_code': 'PPF3+V5 Chesapeake, VA, USA', 'global_code': '8785PPF3+V5'}",1.0,4.1,ChIJizterdmkuokRCgFmR_4-HJ0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",32.0,"1501 Cedar Road Suite 111, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.7203811, 'lng': -76.30855799999999}, 'viewport': {'northeast': {'lat': 36.72188723029149, 'lng': -76.30724366970848}, 'southwest': {'lat': 36.7191892697085, 'lng': -76.30994163029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109343375078538670971"">Subway</a>'], 'photo_reference': 'AW30NDw0ZbB2dN3chwndeoSLclLZ1dkdBC6dwKli_rtzpCnf3CFgabnxnblJUl7yuLe9EYBhj0ULzBnRbUEJUfGGcJ5qu4sBFCgIb3tIGkmPwGQg3kdPcbl0i7KW-XoXc5RY1YE7guaHsYJaoU_hrT7ycooCAhzYrXIpDXr8LbB1I_j8Ptjl', 'width': 1763}]",ChIJl_-0hvykuokRQH_S-HBl40M,"{'compound_code': 'PMCR+5H Chesapeake, VA, USA', 'global_code': '8785PMCR+5H'}",1.0,3.9,ChIJl_-0hvykuokRQH_S-HBl40M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"632 Grassfield Parkway, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.7232784, 'lng': -76.24038089999999}, 'viewport': {'northeast': {'lat': 36.72461518029149, 'lng': -76.23910311970849}, 'southwest': {'lat': 36.72191721970849, 'lng': -76.2418010802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Big Woody's Bar & Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112303896393020735711"">Run-A-Way Bill</a>'], 'photo_reference': 'AW30NDys29yjcHfxi2TzAusPPaNC6hVdek_C-dJIfsflmd-Vyha1tgDmAHf5v3oIDlT2jD0lofMnt_pdUtScIrvTwfjaj9d5Gby4bah7Z8oO0s4qoSnBGtcbQgP3BAx7nDJoo6otlHL2PISJL0p_mwu5brAhUPwJGDuOa8XmQsDJpmvtkQQ', 'width': 4032}]",ChIJdQKSbhG7uokRpCn0G0wj8oo,"{'compound_code': 'PQF5+8R Chesapeake, VA, USA', 'global_code': '8785PQF5+8R'}",2.0,4.3,ChIJdQKSbhG7uokRpCn0G0wj8oo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1445.0,"123 North Battlefield Boulevard suite h, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.7009298, 'lng': -76.2334197}, 'viewport': {'northeast': {'lat': 36.7021645302915, 'lng': -76.2321450197085}, 'southwest': {'lat': 36.6994665697085, 'lng': -76.2348429802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pollard's Chicken at Battlefield Blvd.,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101146779702799494608"">Pollard&#39;s Chicken at Battlefield Blvd.</a>'], 'photo_reference': 'AW30NDxW_ttHOByaljnSpE4uPIUHFbcwoAEf4evs1ehnVH6UlHietCFpv1d2X6wQBzsGcHxG_DUwBoqiJ3ZPfdrpZQKIjdrT86YsQEqWUjsxMEhiNEWm4h_8fSlSJqW6FGl5U_sx9DfVqchsh12RH8Xwg0FigNJgSKGaPHpOncHx9kj5m3V4', 'width': 4928}]",ChIJ3TNMdvu6uokROuIyXDnOfs4,"{'compound_code': 'PQ28+9J Chesapeake, VA, USA', 'global_code': '8785PQ28+9J'}",1.0,4.1,ChIJ3TNMdvu6uokROuIyXDnOfs4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",204.0,"717 South Battlefield Boulevard, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.6602439, 'lng': -76.23365419999999}, 'viewport': {'northeast': {'lat': 36.66157663029149, 'lng': -76.23224766970849}, 'southwest': {'lat': 36.6588786697085, 'lng': -76.2349456302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gran Rodeo Mexican Bar & Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116683085050190608264"">Clay E</a>'], 'photo_reference': 'AW30NDxrgejtTrAarxpkvF_ff9T4KXT8HNlTxG-aZjjW8O3dI85S500kU1jxoW_BVyr_Y8_GTEOw1IDxrAZysW6B5Go_2nbbK0Sa66CrRQ-xynW-8u-N0-UPSLAuZiQo2OvpGn9hHIRf54S1_HXEAwialEgCvtoBBqsd3wIrx-GIqV-6fgaF', 'width': 3024}]",ChIJAVRwnXmwuokR9Vaf0pIBvEQ,"{'compound_code': 'MQ68+3G Chesapeake, VA, USA', 'global_code': '8785MQ68+3G'}",2.0,4.5,ChIJAVRwnXmwuokR9Vaf0pIBvEQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",564.0,"236 Carmichael Way #310, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.7133772, 'lng': -76.2380632}, 'viewport': {'northeast': {'lat': 36.7147862802915, 'lng': -76.23668701970851}, 'southwest': {'lat': 36.7120883197085, 'lng': -76.23938498029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116217647045992902414"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDyrVfU6Sntm-QpD4T1Fsh2todVQ9CJVNflAsI7jCcN6fHefMqdotm8l6MYllaZDuzr0lHwj2mlO5dEec-JuGoJcSzxkllBbGmFxulfA8-A5QNvBb4BIZ-w-qhpXMyoYaO8zWE_qqqSRbbwKHnbPjOCeGuX97Mf-jS7wr-KD_WzQc3Yk', 'width': 1444}]",ChIJ95L9YBu7uokRnSk6UDjEqlw,"{'compound_code': 'PQ76+9Q Chesapeake, VA, USA', 'global_code': '8785PQ76+9Q'}",1.0,3.3,ChIJ95L9YBu7uokRnSk6UDjEqlw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",108.0,"359 South Battlefield Boulevard, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.7155248, 'lng': -76.2373586}, 'viewport': {'northeast': {'lat': 36.7168744302915, 'lng': -76.23605436970848}, 'southwest': {'lat': 36.7141764697085, 'lng': -76.2387523302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100423444854578248665"">Troy Nahrwold (Locara)</a>'], 'photo_reference': 'AW30NDyXuOyhfPPwXhnuCEejdqOYeZycpk8jkFLXI0GMi5ZKSWOGrsHaq-IY0dvqWHOqJ-cIPubwkWtgTilKP_uiBjkkyfCUYM8Z5_rMNgkgEE4x6z24WO604XbwyCymEfP4nzce7ZVnu4-_Y6Y09rhoww3eJqNF5QCbBDyK_C9x3By_IoeR', 'width': 1920}]",ChIJP-VB2Rq7uokRKVD287kVz5M,"{'compound_code': 'PQ87+63 Chesapeake, VA, USA', 'global_code': '8785PQ87+63'}",1.0,4.3,ChIJP-VB2Rq7uokRKVD287kVz5M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",144.0,"237 South Battlefield Boulevard #20, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.660252, 'lng': -76.233954}, 'viewport': {'northeast': {'lat': 36.6615477302915, 'lng': -76.23261586970848}, 'southwest': {'lat': 36.6588497697085, 'lng': -76.23531383029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Perfectly Frank,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109704056452610553568"">M Shawn Rogers</a>'], 'photo_reference': 'AW30NDw5iR5cPHb5ruqU7s6YUJjyrARRJi8ah74Ck8OLRooDD0jsr9YdGKspsKOVkzAQVTEn6goMvP66a5w_TZ2-shfPnyHMMM7UC3jZffSRINVlApcAOlh8FUPKNBc-JoEIvWWIEPq6wC8SjDOcIgAv3e_URY4z2b-W33P80Ub0KPyrdFs', 'width': 1080}]",ChIJAVRwnXmwuokRzVfxKpi94Jc,"{'compound_code': 'MQ68+4C Chesapeake, VA, USA', 'global_code': '8785MQ68+4C'}",1.0,4.6,ChIJAVRwnXmwuokRzVfxKpi94Jc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",275.0,"236 Carmichael Way # 314, Chesapeake",
OPERATIONAL,"{'location': {'lat': 36.6585707, 'lng': -76.2321053}, 'viewport': {'northeast': {'lat': 36.65982923029149, 'lng': -76.23076646970848}, 'southwest': {'lat': 36.65713126970849, 'lng': -76.23346443029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick-fil-A,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109994667343351547153"">Ethan Pistella</a>'], 'photo_reference': 'AW30NDwdtV4fzZditPXq3mOWMDZXDWyIZ9EFWsjrE0B6qsmNRZGEpYRZCuZItTNGoAkv-Y26xD3Rz-WzAVVg7BJlA9_uq3ynJc2kRVzwzG8JWn5eehSuWryBP7cM43A9DSDG7bnoBjWfCJ4pmbMjznFxZu5ylCpovDGJStILLXrdVrYUxEnC', 'width': 4048}]",ChIJnfuUwHuwuokR02AMUYGs0j0,"{'compound_code': 'MQ59+C5 Chesapeake, VA, USA', 'global_code': '8785MQ59+C5'}",1.0,4.7,ChIJnfuUwHuwuokR02AMUYGs0j0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1431.0,"205 Carmichael Way, Chesapeake",
