business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.8299807, 'lng': -87.6658922}, 'viewport': {'northeast': {'lat': 41.8314765302915, 'lng': -87.66441561970849}, 'southwest': {'lat': 41.8287785697085, 'lng': -87.6671135802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106861854349681154448"">Violeta Fierro</a>'], 'photo_reference': 'AW30NDz0CNFIvPPjI8TSpAb1AiFoHry95oJ_a_OTmXBEvSVPOjy8QAjuQylM-TUklPha0UCUHhSSx6h3ykeUWOHpZ-oO-RSSxCvtaBEjja4RYkR3T7Lk8msQy0Db3cj6GqCTZw8CjnPAM-2MgldHznIEgcXe4KCXlwG-PqvjlFk-wZEdBq1P', 'width': 4128}]",ChIJA2A9Gc8tDogRUORJd7XIod8,"{'compound_code': 'R8HM+XJ Chicago, IL, USA', 'global_code': '86HJR8HM+XJ'}",1.0,3.9,ChIJA2A9Gc8tDogRUORJd7XIod8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",83.0,"3510 South Ashland Avenue, Chicago",
OPERATIONAL,"{'location': {'lat': 41.82366260000001, 'lng': -87.68908549999999}, 'viewport': {'northeast': {'lat': 41.82492478029151, 'lng': -87.68765271970848}, 'southwest': {'lat': 41.82222681970851, 'lng': -87.69035068029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tio Luis Tacos,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110887029808250724722"">Sonny Chan</a>'], 'photo_reference': 'AW30NDyszQXAFfLT44sRQaIMiS0tiQAUpnahVOIhczDmFU8KCkIDaKE0Tl_8yvW5Fqzuu1VYz1k1H2Cx04T38L4QClWI437ZlerpodNEMRZUT0FKE-bMNgTMI-KSeCYaiB4lNNmJPbEEjnmAlE0X8pN4DO1hrNXklak-NlzUz6lnLPZZcJob', 'width': 4032}]",ChIJG5L2FfstDogR2NdGjSslBU8,"{'compound_code': 'R8F6+F9 Chicago, IL, USA', 'global_code': '86HJR8F6+F9'}",2.0,4.2,ChIJG5L2FfstDogR2NdGjSslBU8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1265.0,"3856 South Archer Avenue, Chicago",
OPERATIONAL,"{'location': {'lat': 41.8403941, 'lng': -87.7044155}, 'viewport': {'northeast': {'lat': 41.84175173029149, 'lng': -87.70313586970849}, 'southwest': {'lat': 41.8390537697085, 'lng': -87.7058338302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104055592232621869084"">Amin</a>'], 'photo_reference': 'AW30NDy4jYXw0wmvUulFTFkaNcxm7oSY0B0otc-qFxdBvJ8Zm2YOn1moGxQpAC7Bq8T8F4U0e1ttStcJeCtW9iXroCKp64U4l4y9R5gBh8cfqvoiCDQyIlLgN5DmPIBNwfY47Vwg9pdwN9VyWEu4nvD410FXdPwjN_VxcQZ6HyZ36HI1HUsn', 'width': 5760}]",ChIJv8ufsnMyDogRqvvOWIijOD0,"{'compound_code': 'R7RW+56 Chicago, IL, USA', 'global_code': '86HJR7RW+56'}",1.0,3.8,ChIJv8ufsnMyDogRqvvOWIijOD0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",112.0,"2811 South Kedzie Avenue, Chicago",
OPERATIONAL,"{'location': {'lat': 41.8476402, 'lng': -87.68333439999999}, 'viewport': {'northeast': {'lat': 41.8489384302915, 'lng': -87.68202361970849}, 'southwest': {'lat': 41.8462404697085, 'lng': -87.6847215802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bruna's Ristorante,{'open_now': True},"[{'height': 470, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113298972474953084943"">Bruna&#39;s Ristorante</a>'], 'photo_reference': 'AW30NDwu9nv6A59-PXn0ZRJ2I_DbrhjLxHwlp8AIZTXPe1BRkF11qzk5f8h-UssXVJTpS2N8YW02icep7KTro8wG9rVvuuRnwqIGNERqvv9ul7sjuW60sWT750-AOGxIM8BMUohKpbYR7RqyqE6VDi_CjosQBLLj_HbVllYGxm4h3R7c-SgV', 'width': 915}]",ChIJp8RUGZotDogRmqMcnYjxS_0,"{'compound_code': 'R8X8+3M Chicago, IL, USA', 'global_code': '86HJR8X8+3M'}",2.0,4.5,ChIJp8RUGZotDogRmqMcnYjxS_0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",442.0,"2424 South Oakley Avenue, Chicago",
OPERATIONAL,"{'location': {'lat': 41.84802370000001, 'lng': -87.6829477}, 'viewport': {'northeast': {'lat': 41.8493792802915, 'lng': -87.6816074697085}, 'southwest': {'lat': 41.8466813197085, 'lng': -87.6843054302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bacchanalia,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108644339080133746935"">Dan Panattoni</a>'], 'photo_reference': 'AW30NDyEWaOsIkOiUIb1KEMUHbq41-0_ofqw0fsUGHL5xfvV9jT0tEmNL90KsW2eDJGtzkBH7AR8SUnp1Mqud8XLAvjo_fgf2dCYkdPs-rYLKEvHiiJ6GtUHkp7vmQHdrKDqDP8rB6I2_4W7e1Hc00_2jPg_uc2SFbAIARAbWDEKsVk-Y_md', 'width': 3024}]",ChIJjYofIpotDogRfgpYauTYNps,"{'compound_code': 'R8X8+6R Chicago, IL, USA', 'global_code': '86HJR8X8+6R'}",2.0,4.7,ChIJjYofIpotDogRfgpYauTYNps,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",482.0,"2413 South Oakley Avenue, Chicago",
OPERATIONAL,"{'location': {'lat': 41.83103699999999, 'lng': -87.68539400000002}, 'viewport': {'northeast': {'lat': 41.8324154302915, 'lng': -87.6838816197085}, 'southwest': {'lat': 41.8297174697085, 'lng': -87.68657958029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Caza Alebrije Restaurant,{'open_now': True},"[{'height': 1170, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111839096071963162911"">Caza Alebrije Restaurant</a>'], 'photo_reference': 'AW30NDwBWojUGaXaWU1Yd1PpdNBharh92OXz4xYkbCML6TjRYPTy0cZFpwpEY2sB1E34-L8sN8vBH9POj0PnK6vY74T4T9u7t9WwKa3uk-iLakdpkrjtrzwcR-XiMaYq4ykXTNIOeO2HjW5DLJ3ysa4vlVFBRhi1NTqltXPG9Oce5u8nAOR9', 'width': 1170}]",ChIJm3qzY-4tDogRlBiFx4dneG8,"{'compound_code': 'R8J7+CR Chicago, IL, USA', 'global_code': '86HJR8J7+CR'}",,4.4,ChIJm3qzY-4tDogRlBiFx4dneG8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",126.0,"3434 South Western Avenue, Chicago",
OPERATIONAL,"{'location': {'lat': 41.8202575, 'lng': -87.6948115}, 'viewport': {'northeast': {'lat': 41.82153348029149, 'lng': -87.6934454697085}, 'southwest': {'lat': 41.81883551970849, 'lng': -87.6961434302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Falco's Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102183504148084662591"">Dave Hardin</a>'], 'photo_reference': 'AW30NDzHgrWFZMNFbnDsp_4DrdQ0w1VtwbrUKkqsKFHQCKZpG6oFfkxDFuBO33u22qQ-2ajp6nk9D_0APa6-QYaOe6irRmUgwUAQFz2GQ0L6JwPqJk8_3yWHIyIqDFu1IWouS7oqqWkxhSwAOWHma18IkadPgjisTTesprLbyUCvbR4wtBlh', 'width': 3024}]",ChIJfd-z_P4tDogRV7147ELK0ns,"{'compound_code': 'R8C4+43 Chicago, IL, USA', 'global_code': '86HJR8C4+43'}",2.0,4.3,ChIJfd-z_P4tDogRV7147ELK0ns,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1215.0,"2806 West 40th Place, Chicago",
OPERATIONAL,"{'location': {'lat': 41.85239509999999, 'lng': -87.68530469999999}, 'viewport': {'northeast': {'lat': 41.8536495802915, 'lng': -87.68395856970851}, 'southwest': {'lat': 41.8509516197085, 'lng': -87.68665653029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115754246106287874807"">República Vereliana</a>'], 'photo_reference': 'AW30NDxREDuAj6ApFq-WFD5Pf9lSIeq9McM0Y8Eh8W_fN_ldb1OzRhrM19CHJVdnomoak3oi8yXJfT_EViPYpkz7ajdeRX5KTxtPkdNqylBWkexTCfdHWOTe1LN6UvJ83kSf-bTiJg3pJLzvAWRZ35enyJANfzlKX7XVIUj0j7edERDvRvwg', 'width': 4032}]",ChIJ93TDe5wtDogRQktQ8Myit6o,"{'compound_code': 'V827+XV Chicago, IL, USA', 'global_code': '86HJV827+XV'}",1.0,3.7,ChIJ93TDe5wtDogRQktQ8Myit6o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",125.0,"2352 West Cermak Road, Chicago",
OPERATIONAL,"{'location': {'lat': 41.83721380000001, 'lng': -87.66520720000001}, 'viewport': {'northeast': {'lat': 41.8385660802915, 'lng': -87.6639717197085}, 'southwest': {'lat': 41.8358681197085, 'lng': -87.66666968029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100555971292347246079"">Riley Lynch</a>'], 'photo_reference': 'AW30NDwg9jI4dIK5VOBWTlWd31GiJqzBhyGdr5uAlZJ7o5O_1sQ1W2YHYHnYDkZI_xITW3WbVjdnaJYLbPa9ruV_RZ8wdVOw4HvMAmZxeD_bMqrFSwC-nbddqNWqxpjG1KKpM1w_aU5-qN2psWJztBdjyq1enB2c5YbLOcdLIamdOe4udQJi', 'width': 3024}]",ChIJ8zVdtLctDogR_W-GQPV6dPU,"{'compound_code': 'R8PM+VW Chicago, IL, USA', 'global_code': '86HJR8PM+VW'}",1.0,3.8,ChIJ8zVdtLctDogR_W-GQPV6dPU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",98.0,"3125 South Ashland Avenue Unit 19, Chicago",
OPERATIONAL,"{'location': {'lat': 41.8223811, 'lng': -87.6914431}, 'viewport': {'northeast': {'lat': 41.8236802802915, 'lng': -87.6900387697085}, 'southwest': {'lat': 41.8209823197085, 'lng': -87.6927367302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3894, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104219005585956166819"">Bhupen Patel</a>'], 'photo_reference': 'AW30NDwoEhMYkyYYSGZpytb5dCHO-WjlqkbSwDQbxctPNFa9JYlQKqx4fZIv2pby8oVqhxhxmdW4libUPl-Jow9oz7BRBGPrupwlG3PQwFZwi3RFDwlg3NA_HXSiMGFIjicxroItlVOjPrQsk1xeJAUM3hg25o0p_iA39IIZo-7AxuumrHyJ', 'width': 6934}]",ChIJ4YOGd_stDogRlYftkDG2ufU,"{'compound_code': 'R8C5+XC Chicago, IL, USA', 'global_code': '86HJR8C5+XC'}",1.0,4.3,ChIJ4YOGd_stDogRlYftkDG2ufU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",142.0,"3924 South Archer Avenue Unit C, Chicago",
