business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.7233597, 'lng': -121.8159439}, 'viewport': {'northeast': {'lat': 39.72541215, 'lng': -121.8141480197085}, 'southwest': {'lat': 39.72267554999999, 'lng': -121.8168459802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sierra Nevada Brewing Co.,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104501071165455334841"">abesh mubaraki</a>'], 'photo_reference': 'AW30NDzowP3uh5jExod_-ymy9gfYXhX5MuU19PfY5-FbGN_jMAkx8r1A23ZaJBxrgU5SwyOu0DZJHvzWSYgO49O9FrpsvZLI2k1W497PcU2rOEZnLJciZQEhgLMWEi3rKvXZhkuze8vN2OHY09BW9A_nBwNUaI0QABZBjW-Ml8CVybWjgaRd', 'width': 4032}]",ChIJh_tJgysmg4ARc_aM-076-8U,"{'compound_code': 'P5FM+8J Chico, CA, USA', 'global_code': '84FWP5FM+8J'}",4.7,ChIJh_tJgysmg4ARc_aM-076-8U,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",806.0,"1075 East 20th Street, Chico",,
OPERATIONAL,"{'location': {'lat': 39.76014120000001, 'lng': -121.8465095}, 'viewport': {'northeast': {'lat': 39.7614107302915, 'lng': -121.8451698197085}, 'southwest': {'lat': 39.7587127697085, 'lng': -121.8478677802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Chico 14 and XD,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109312414994557614376"">Vanessa Engineer</a>'], 'photo_reference': 'AW30NDyU__lhwtaHHf8Ud5gdBAIe0IymNNgakfdcLzl7lSy_7D2109Ljq4WuGJoqAFVD1iHqNGsHs6uQUHS49l5Lw2MyqKlblNyU-DdEnJcCb6Ck7fV-ogE-rHe9Jp0uLQr7OZyrjySwiSBqdjX0ApT68VxXMWr2Rb_EG_-pe7KkwejIWRZ-', 'width': 4032}]",ChIJMzWaqXDYgoARe7ELHxlLa1M,"{'compound_code': 'Q563+39 Chico, CA, USA', 'global_code': '84FWQ563+39'}",4.4,ChIJMzWaqXDYgoARe7ELHxlLa1M,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1524.0,"801 East Avenue Suite 200, Chico",,
OPERATIONAL,"{'location': {'lat': 39.76149439999999, 'lng': -121.8201235}, 'viewport': {'northeast': {'lat': 39.76265783029149, 'lng': -121.8191160697085}, 'southwest': {'lat': 39.75995986970849, 'lng': -121.8218140302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1130, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110993373549320069217"">Anna Borders</a>'], 'photo_reference': 'AW30NDxeQROozBoq93t2z_Y4hVlMzgGhHeiyA0zz1LXdIYH5vhxHtu62sjiYy7uFYNvw-7gO68GpCSYdW5QpBdepm3d0GI4kc5-f4vsz1Bkb8KHQkMNzrHUHf7_draAeXea0z5AwQY_PfxHSniRfJ-p8VPXNY3vcI9rS6qrala8f7ObijEZr', 'width': 2887}]",ChIJ1VHSUfgng4ARbpCXzghjX4w,"{'compound_code': 'Q56H+HX Chico, CA, USA', 'global_code': '84FWQ56H+HX'}",4.1,ChIJ1VHSUfgng4ARbpCXzghjX4w,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",95.0,"1398 East Avenue Suite 200, Chico",1.0,
OPERATIONAL,"{'location': {'lat': 39.7369513, 'lng': -121.8338077}, 'viewport': {'northeast': {'lat': 39.7383124302915, 'lng': -121.8325959197085}, 'southwest': {'lat': 39.7356144697085, 'lng': -121.8352938802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112953126523033023333"">David Proebstel</a>'], 'photo_reference': 'AW30NDw31Rv-Nle0_-BhBRcpJkjSacITDueGuNl1D2bxPDtesUsH26Q55Zuw5dnF4GQVogSl7BUDSHTNkRfqon-o9VUygoDMHtMi46NGDFuPJxoOfYzAILWnVfwrlRa5T2UXVrM9E6Cq0mhaSa53OxUgPcSQJoWcafOPVaVcTVwUduOzcmHp', 'width': 2988}]",ChIJxWyxOr8ng4ARxo1sp3vu6qE,"{'compound_code': 'P5P8+QF Chico, CA, USA', 'global_code': '84FWP5P8+QF'}",3.7,ChIJxWyxOr8ng4ARxo1sp3vu6qE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",52.0,"722 Mangrove Avenue, Chico",1.0,
OPERATIONAL,"{'location': {'lat': 39.730329, 'lng': -121.8587073}, 'viewport': {'northeast': {'lat': 39.7315874802915, 'lng': -121.8574148197085}, 'southwest': {'lat': 39.7288895197085, 'lng': -121.8601127802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106727475840399421217"">Subway</a>'], 'photo_reference': 'AW30NDzijMzRUi6LeItaoSNuq3IDt5Q60re2yVtPZrqBcU-1c1pSAFRkgkLQAh4Wul3T28JcizfvJLWj8v7TnDAL3VNpqin3J_gRS9AM70QI1pqooPgelXdI2Jg_rcKfsn-51OFS0daGcOQ3cOhMXhI1_D0txCf9rAXVGad1O5pOIcjmMFxe', 'width': 766}]",ChIJh6nP6Aong4ARH2AG1ZTylLQ,"{'compound_code': 'P4JR+4G Chico, CA, USA', 'global_code': '84FWP4JR+4G'}",3.6,ChIJh6nP6Aong4ARH2AG1ZTylLQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",110.0,"959 Nord Avenue, Chico",1.0,
OPERATIONAL,"{'location': {'lat': 39.7161602, 'lng': -121.7932306}, 'viewport': {'northeast': {'lat': 39.7174236802915, 'lng': -121.7919242697085}, 'southwest': {'lat': 39.7147257197085, 'lng': -121.7946222302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106114408676224799363"">Shanon Thill</a>'], 'photo_reference': 'AW30NDzV6a_KaLMg3H9zK28e6dGnurhFRz4sTa8KIncD3QIHNQqBhS7-I4QZdka320MOtoVCCcKuPG1i4uXmRyC2_D9_-2Nq-bWtWEFCQYpffnJxP1uN-4s5Y2MuGiDamUQk0UOwyipOjqOPmHJWL4Qg7a_3QRO2zzhkyzkGvjKsgrLST4OW', 'width': 3024}]",ChIJTd-bQZYog4AR2lscHdr484A,"{'compound_code': 'P684+FP Chico, CA, USA', 'global_code': '84FWP684+FP'}",3.7,ChIJTd-bQZYog4AR2lscHdr484A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",72.0,"2485 Notre Dame Boulevard Suite 380, Chico",1.0,
OPERATIONAL,"{'location': {'lat': 39.72962769999999, 'lng': -121.8399917}, 'viewport': {'northeast': {'lat': 39.73087273029149, 'lng': -121.8385910697085}, 'southwest': {'lat': 39.7281747697085, 'lng': -121.8412890302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Woodstock's Pizza Chico,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102954186432055717468"">Woodstock&#39;s Pizza Chico</a>'], 'photo_reference': 'AW30NDxBe1WPqp6gcoJa6ZWNr-X4HX7kv_KDt6pkOX2EJoB60da8KpRvMu-JT1F1QBIexDMEpT2PNf5npqLGUgO-kpf_cgNESHlZCRYFK7KuKMMp5M0RB6_o3LGR0pQmgn_dQj7grsZfQwgZbENbSA50NrwVyMNAopKA8ucVOcydUJcWtsEl', 'width': 960}]",ChIJwUmGOrong4ARhjhtlnaA2l0,"{'compound_code': 'P5H6+V2 Chico, CA, USA', 'global_code': '84FWP5H6+V2'}",4.4,ChIJwUmGOrong4ARhjhtlnaA2l0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1120.0,"240 Main Street, Chico",2.0,
OPERATIONAL,"{'location': {'lat': 39.72909930000001, 'lng': -121.842517}, 'viewport': {'northeast': {'lat': 39.7303682802915, 'lng': -121.8411597697085}, 'southwest': {'lat': 39.72767031970851, 'lng': -121.8438577302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Madison Bear Garden,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104800299782480389163"">Mykle Williams</a>'], 'photo_reference': 'AW30NDwfHNr4FPrgD-09RknssrcFj3l6QWyYyr3lhR9Pkx-WVNRfT1RJ-IjB2PLmMJiJvfm3MTKKCCnP3ZUmCvm9-Socqrl-9kAxSlZOLafP7F7K_aEKpOfJnCVzky_7jTkTViTQtHdGi72QHb1qRZhDRt_UVY6BP2h8om-_TXeK-UMyV5nn', 'width': 12000}]",ChIJawuFjbong4ARTAl0O7nb6k4,"{'compound_code': 'P5H4+JX Chico, CA, USA', 'global_code': '84FWP5H4+JX'}",4.4,ChIJawuFjbong4ARTAl0O7nb6k4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1942.0,"316 West 2nd Street, Chico",1.0,
OPERATIONAL,"{'location': {'lat': 39.7269057, 'lng': -121.8035977}, 'viewport': {'northeast': {'lat': 39.7281725802915, 'lng': -121.8022725697085}, 'southwest': {'lat': 39.7254746197085, 'lng': -121.8049705302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104227900800526892479"">Christine Maness</a>'], 'photo_reference': 'AW30NDyU_VV0_9Nc0dl11QCpfG-D6hP7KbXLkrEDoYNBmh9JvlCX9QkE8thexBr05ry6kHolMqCnqm9PL13x-rbVhjEXhLi1CgfgHjtl-cErYgUnCcmy13qmfYWJbwMv8JwQrCdqVIWyRj2mDNsrjm7i4w7_YcGhsg6aO9n-jxI0XrU7Y-Bc', 'width': 4032}]",ChIJ0wv7vYYog4AR7eYF2G4irik,"{'compound_code': 'P5GW+QH Chico, CA, USA', 'global_code': '84FWP5GW+QH'}",3.8,ChIJ0wv7vYYog4AR7eYF2G4irik,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",124.0,"1947 East 20th Street a, Chico",1.0,
OPERATIONAL,"{'location': {'lat': 39.726389, 'lng': -121.84043}, 'viewport': {'northeast': {'lat': 39.7277965802915, 'lng': -121.8391937697085}, 'southwest': {'lat': 39.7250986197085, 'lng': -121.8418917302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,5th Street Steakhouse,{'open_now': False},"[{'height': 639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108658954497290797391"">5th Street Steakhouse</a>'], 'photo_reference': 'AW30NDwRpGKLLor7MlIgAKHohp0ST_Bfm7hrfWBWHa9N_FkQtsXpEIvdAOqy_C1jkh28RZNRLDq4EYQ5U9flSwLWNY6D28Ogw7EIdkyt5KsUwJ8EtG9TziGyBCiFY1VkUbQ4f1pBJOm_2kplgZKDU2Wq3IOBWju3xMBL_lQwk3vCXIlie8xD', 'width': 960}]",ChIJcZqnIbEng4AROSy833TP6IQ,"{'compound_code': 'P5G5+HR Chico, CA, USA', 'global_code': '84FWP5G5+HR'}",4.7,ChIJcZqnIbEng4AROSy833TP6IQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",960.0,"345 West 5th Street, Chico",4.0,
