business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.6150048, 'lng': -117.0265337}, 'viewport': {'northeast': {'lat': 32.6163858802915, 'lng': -117.0250586197085}, 'southwest': {'lat': 32.6136879197085, 'lng': -117.0277565802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2732, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111873729574905530164"">David R</a>'], 'photo_reference': 'AW30NDyV_fkzQ8HZaNCqr93YNjXssuLkhd2dJCm2_apW_u7xuyWDnyANrvlE-Fv9dYWmaxtWoWF0qydWrLgGI-4Y-j_wfkq6An-E7iUFzBxODocFAyL993E13R0OO3OWVb9mbOXlrOBcqzKcygnqPwLVp-BqZ5Ylfrc_pwkk1ih9bjvGRB9l', 'width': 1960}]",ChIJpW8IEwRP2YARX2wfDS6zNCA,"{'compound_code': 'JX8F+29 Chula Vista, CA, USA', 'global_code': '8544JX8F+29'}",1.0,3.5,ChIJpW8IEwRP2YARX2wfDS6zNCA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",68.0,"601 East Palomar Street Suite C4, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.6234399, 'lng': -116.9973564}, 'viewport': {'northeast': {'lat': 32.6246211802915, 'lng': -116.9960336697085}, 'southwest': {'lat': 32.6219232197085, 'lng': -116.9987316302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tastea Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101406402418931812915"">Johnny McGahee</a>'], 'photo_reference': 'AW30NDyNPRnSrqaL0SlbXkDKKA_jSEYp6eTRNsMPGqn_VPW7AH7Scr1gtXvy5-fhQxwIStEtFC_hu1v0IZgO5GJINIp0f12x6iyNWC-93pAyN-2D6RQUZvixcrkVMFjq8eu7sFH6RaYFgOhm6CukTEfJ1cwJyRsoxoIwgYSqv816P_yjMPWx', 'width': 4032}]",ChIJl8edXXdP2YARozc2iAYQ-xA,"{'compound_code': 'J2F3+93 Chula Vista, CA, USA', 'global_code': '8545J2F3+93'}",1.0,3.7,ChIJl8edXXdP2YARozc2iAYQ-xA,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",67.0,"1392 East Palomar Street #305, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.6149686, 'lng': -117.0264677}, 'viewport': {'northeast': {'lat': 32.6163293302915, 'lng': -117.0249123197085}, 'southwest': {'lat': 32.61363136970851, 'lng': -117.0276102802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lolita's Mexican Food,{'open_now': True},"[{'height': 1816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108539704365949622298"">Mary</a>'], 'photo_reference': 'AW30NDzUllpSELzPwdf0tKdob1E6AeapHc5i3EP6noAph3FHn7pyDOZ-eNLiHi0Ah_hYKoq1FQz2rDiCJAQmcNObCWAaTjXbwSEgquxkaPqGhWPeqodrONStNZ_qaw9xIeYslLL3Hq49warZaDAMHInHp9wMZaWkYtDo6QfFp0HSjkyB-WMP', 'width': 4032}]",ChIJpW8IEwRP2YARHGpN8xuMtgI,"{'compound_code': 'JX7F+XC Chula Vista, CA, USA', 'global_code': '8544JX7F+XC'}",1.0,4.1,ChIJpW8IEwRP2YARHGpN8xuMtgI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",847.0,"601 East Palomar Street, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.63701049999999, 'lng': -117.0198148}, 'viewport': {'northeast': {'lat': 32.63827913029149, 'lng': -117.0185116697085}, 'southwest': {'lat': 32.63558116970849, 'lng': -117.0212096302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 1207, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114553694211353786268"">Zulu Juliet</a>'], 'photo_reference': 'AW30NDyruJaJV_LVvaHdfJe8U3PSU4zlXI-KxFB4OksxEX7PFBmNc2yTJscOpUvCc0x4IJN-jfCQ61xr4BU5FmJP_h3OycTiN8yEuLupndgoFtAmGABA7nwe93SXi6SfpXNyAetWYeNDeoAMhQio6NyENM_xZBT15jt547uVZmAbRiGF-VSK', 'width': 2148}]",ChIJy8LdArpP2YARALbgo8Om5Yk,"{'compound_code': 'JXPJ+R3 Chula Vista, CA, USA', 'global_code': '8544JXPJ+R3'}",1.0,3.7,ChIJy8LdArpP2YARALbgo8Om5Yk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",122.0,"1020 Tierra Del Rey, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.636485, 'lng': -117.028775}, 'viewport': {'northeast': {'lat': 32.6379357802915, 'lng': -117.0273719197085}, 'southwest': {'lat': 32.6352378197085, 'lng': -117.0300698802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112909893343009566618"">Malcolm B</a>'], 'photo_reference': 'AW30NDxj1KQAhermz1ToeQO-v_ULAJL-mPie-Fphz2kSVKQxv_V_bdyVG2YtAOJ_mOQ5cvVdnXO4jooTgTuFS9otZgyUGcDpLOHCxnHrsZgF0lw13bRlMaPRo2W7QJD2Xqc3cRxMLlRb4qb025gvVmKk4oadGUaMgzPSwjys8zzmUVDeGWK-', 'width': 1920}]",ChIJ9WSLb7RP2YARYTtRTv548ro,"{'compound_code': 'JXPC+HF Chula Vista, CA, USA', 'global_code': '8544JXPC+HF'}",2.0,4.2,ChIJ9WSLb7RP2YARYTtRTv548ro,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1930.0,"800 Paseo del Rey, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.636627, 'lng': -117.02666}, 'viewport': {'northeast': {'lat': 32.6380404302915, 'lng': -117.0253215197085}, 'southwest': {'lat': 32.6353424697085, 'lng': -117.0280194802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowlero Chula Vista,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105044924566250073900"">Travis Free</a>'], 'photo_reference': 'AW30NDw-fvbpq3TbdS4bI8vJKkfqbTME9RaeysyUUvQ97rQfroDdMj9U1A4Jj2WBBCy0Af93GGt8i7VC6nIqYxeCHJ5RmmBWQqn-l6AKK-73WpPzYI8dYGoSF2H_XBCvlLTS4zgrXuHCYaBmrUpRcra8RUvrr66rEhKt5p-erSkNf20mco8Z', 'width': 4032}]",ChIJ6YSiAbRP2YAR_yw5SnXONLE,"{'compound_code': 'JXPF+M8 Chula Vista, CA, USA', 'global_code': '8544JXPF+M8'}",,4.3,ChIJ6YSiAbRP2YAR_yw5SnXONLE,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1794.0,"845 Lazo Court, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.6150759, 'lng': -117.0264676}, 'viewport': {'northeast': {'lat': 32.6163824302915, 'lng': -117.0249045197085}, 'southwest': {'lat': 32.6136844697085, 'lng': -117.0276024802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,TJ Oyster Bar,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116263461471861414137"">Kirsten Running</a>'], 'photo_reference': 'AW30NDzhEPOfh9pCNnU8W8M2WAO-Tcaopz7El6gdk30-Zmrrp32-QXqAwoFdzUU97URMiTPzP-c03c95WW4Oy1HWGJibTInioDFtQmxsupNG8IUtwhr8GWXa48LgdylHof3ql7vievTkv0cn8uqY8BJfXW4eRQYS6VjZO0eorNFSY2gYI79J', 'width': 3264}]",ChIJ9dNU_wNP2YAR_nocWiiHdyE,"{'compound_code': 'JX8F+2C Chula Vista, CA, USA', 'global_code': '8544JX8F+2C'}",1.0,4.3,ChIJ9dNU_wNP2YAR_nocWiiHdyE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",210.0,"601 East Palomar Street, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.6290335, 'lng': -117.0391155}, 'viewport': {'northeast': {'lat': 32.6303211802915, 'lng': -117.0377240197085}, 'southwest': {'lat': 32.6276232197085, 'lng': -117.0404219802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pho Hiep & Grill,{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110614795939195185201"">Don Tennant</a>'], 'photo_reference': 'AW30NDw6dtED200d9dZOv99wVLwQTIQwyo5is8BoxGUgnbTk_nCurBpcfJB_HLYgJuJLbgWSxHpwV6-Vf0yGjK-Q4R2lF1HDn0os_B-qxkzWZ0XuYqTMxB8fhVDMkbFaNhQoM9d2ioTGZvMUf05MXJAy7QijCAOsCoNWlVmfXHrWnw0VKhc8', 'width': 2048}]",ChIJTVHGJE5O2YARvVp7EmunyI8,"{'compound_code': 'JXH6+J9 Chula Vista, CA, USA', 'global_code': '8544JXH6+J9'}",2.0,4.0,ChIJTVHGJE5O2YARvVp7EmunyI8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",396.0,"539 Telegraph Canyon Road, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.6289097, 'lng': -117.038297}, 'viewport': {'northeast': {'lat': 32.63021268029151, 'lng': -117.0369167197085}, 'southwest': {'lat': 32.62751471970851, 'lng': -117.0396146802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103032643623010293114"">D w</a>'], 'photo_reference': 'AW30NDyxvRxjuZwTB81p2ouJnlty0BUoxQ2ja18zddkKkvSPy3GGnwpAGzJpQVR9Rj7Ztnt9ZbNk8svxqjXVw_Tzpmosyy4YziESAOz4i0DuWDFDoFSuQ4HnjaemeuTIi5vfLRnCcBtV6r443WOaRMpZ4DQ3G8NKSeV4kfqQwgKPZ2UEZLom', 'width': 4032}]",ChIJ99pkBlJO2YARPkZ5L36FY9k,"{'compound_code': 'JXH6+HM Chula Vista, CA, USA', 'global_code': '8544JXH6+HM'}",1.0,2.9,ChIJ99pkBlJO2YARPkZ5L36FY9k,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",45.0,"517 Telegraph Canyon Road Space 559, Chula Vista",
OPERATIONAL,"{'location': {'lat': 32.6052629, 'lng': -117.0400632}, 'viewport': {'northeast': {'lat': 32.6065478802915, 'lng': -117.0387362697085}, 'southwest': {'lat': 32.6038499197085, 'lng': -117.0414342302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jochi Resto Grill,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100154377780750377324"">Pooping Machine</a>'], 'photo_reference': 'AW30NDx13gP8zLLSA2Gr59sqZMHLl9VxRsK9SAVVaW4h7EytJrlivIHjYEb7JccFTkT6TdjK42AeEef0A0fSYpSG_tczNNzTGStfo25qmIxlNlyEjz4E1_mWzDt-h0hIXqXuF0SXgBaVf5I9YibOc-a-B1luqETj5iBZfTKzDQRhpWptfy99', 'width': 4080}]",ChIJdVX7YeRO2YARQuwkRTmxXx8,"{'compound_code': 'JX45+4X Chula Vista, CA, USA', 'global_code': '8544JX45+4X'}",1.0,4.5,ChIJdVX7YeRO2YARQuwkRTmxXx8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",306.0,"289 East Orange Avenue, Chula Vista",
