business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.10395539999999, 'lng': -84.49468519999999}, 'viewport': {'northeast': {'lat': 39.1056032802915, 'lng': -84.49322181970848}, 'southwest': {'lat': 39.1029053197085, 'lng': -84.49591978029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Montgomery Inn The Boathouse,{'open_now': False},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109415859086884599188"">Montgomery Inn The Boathouse</a>'], 'photo_reference': 'AW30NDyj3EuRU6Mx-7xaT5BScKv44SdB6BNDQCzMrDoWsiVuRvEwBeU6MGF4tMxHgy6C7iNRn6yjVK04FKvGE3wrovboH6hcaTBMTaXERwfq7OnX65BAUWR4_xJInFdQj1N_szZkigxYKkQcnODupuUjhKYaee20NNv4QTDFxJW7tgpCbgsG', 'width': 2160}]",ChIJ1YpO6mOxQYgRavAlyMV6XLo,"{'compound_code': '4G34+H4 Cincinnati, OH, USA', 'global_code': '86FQ4G34+H4'}",3.0,4.4,ChIJ1YpO6mOxQYgRavAlyMV6XLo,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",3924.0,"925 Riverside Drive, Cincinnati",
OPERATIONAL,"{'location': {'lat': 39.1033356, 'lng': -84.5120189}, 'viewport': {'northeast': {'lat': 39.1047052302915, 'lng': -84.5105937197085}, 'southwest': {'lat': 39.1020072697085, 'lng': -84.5132916802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nicholson's Fine Food & Whiskey,{'open_now': True},"[{'height': 2701, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112985685430103494693"">Nicholson&#39;s Fine Food &amp; Whiskey</a>'], 'photo_reference': 'AW30NDxI_RAmV3Fc5c3LrYrbmAycXtRs79f3sYgiBfdyHJpqqH2dRabXXKsLZ9noVqBDHjn9nMe7-mH63ADGE5nkeDfaCzTAKijHrvWZjhelCR9QuPuMXS5nHNpEOSB7JOO-O-pr97Tx7CvLSIDJu47F3Dde-fxp5FNUmxf6cgEHE2uuSMqS', 'width': 4050}]",ChIJt-5Dq1CxQYgRdum1akpW7h8,"{'compound_code': '4F3Q+85 Cincinnati, OH, USA', 'global_code': '86FQ4F3Q+85'}",2.0,4.4,ChIJt-5Dq1CxQYgRdum1akpW7h8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1346.0,"625 Walnut Street, Cincinnati",
OPERATIONAL,"{'location': {'lat': 39.1258098, 'lng': -84.4918361}, 'viewport': {'northeast': {'lat': 39.1272138302915, 'lng': -84.49039416970848}, 'southwest': {'lat': 39.1245158697085, 'lng': -84.4930921302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fireside Pizza,{'open_now': True},"[{'height': 348, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101788078116677110743"">Fireside Pizza</a>'], 'photo_reference': 'AW30NDzT2GsHuU02_IkYu0-12gKgMKHRPnnQcbiilI_YSO2hkLI9OKSm1bD9ZGi63HzQxig8BmFRvaTT9XjaUVQNJ_EEeHlhnRGWrdmA6vO9IaW5gFoumgqI2icP6c-j5ybhZWtBsG8TTOVjAveC9hBJgE8B1vNpImxvB6-SGZUWnVqdfL4U', 'width': 348}]",ChIJK5kw-3WwQYgR0_FcrZ0LnSw,"{'compound_code': '4GG5+87 Cincinnati, OH, USA', 'global_code': '86FQ4GG5+87'}",1.0,4.5,ChIJK5kw-3WwQYgR0_FcrZ0LnSw,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",902.0,"773 East McMillan Street, Cincinnati",
OPERATIONAL,"{'location': {'lat': 39.1028992, 'lng': -84.5113634}, 'viewport': {'northeast': {'lat': 39.10424073029149, 'lng': -84.5102081197085}, 'southwest': {'lat': 39.10154276970849, 'lng': -84.5129060802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nada,{'open_now': True},"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107821133652873121034"">Nada</a>'], 'photo_reference': 'AW30NDxL5sUB2Ow5aTRdrhKPOHM463-X2lJzbS2b0-0lXyi7mUIDt82XRMz6FyfkNROdTOZvKFDEXdeGtqeB1Q_Vxq-vzMScPWbwyqA2IKVfcdC-vVL93ZezncQZdNeCtIwmSCiucynYc-2Oy4bBauZAvDBKXkmJXLuJ6amJ89V1BkghC18B', 'width': 5616}]",ChIJ9UWCBlqxQYgRoH9ooQSY_jI,"{'compound_code': '4F3Q+5F Cincinnati, OH, USA', 'global_code': '86FQ4F3Q+5F'}",2.0,4.4,ChIJ9UWCBlqxQYgRoH9ooQSY_jI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2716.0,"600 Walnut Street, Cincinnati",
OPERATIONAL,"{'location': {'lat': 39.0951021, 'lng': -84.4937989}, 'viewport': {'northeast': {'lat': 39.0965237302915, 'lng': -84.49263561970848}, 'southwest': {'lat': 39.0938257697085, 'lng': -84.4953335802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hofbräuhaus - Newport,{'open_now': True},"[{'height': 2403, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102891590769041819100"">Hofbräuhaus - Newport</a>'], 'photo_reference': 'AW30NDxsrqNiG97ZDO8CtFrTz8HVX6rDKKn2yW9N9uFKCgwiCf4-oyzMvWV8T3QOmNKQO-5_WhW-C6ULCR2p0axx3PYvukbZphPKzY9KoE_lmPr1JzzXqQHdmyK6_H5dbAgLuOGK1IbgnDfy_VMuoaTDmOizrysErKt-l9FIHR0CKSVriUyb', 'width': 3600}]",ChIJI86THG-xQYgRejQQ5jfFn-8,"{'compound_code': '3GW4+2F Newport, KY, USA', 'global_code': '86FQ3GW4+2F'}",2.0,4.5,ChIJI86THG-xQYgRejQQ5jfFn-8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3171.0,"200 3rd Street, Newport",
OPERATIONAL,"{'location': {'lat': 39.09518780000001, 'lng': -84.49605489999999}, 'viewport': {'northeast': {'lat': 39.09622993029151, 'lng': -84.49521706970847}, 'southwest': {'lat': 39.09353196970851, 'lng': -84.49791503029148}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Newport on the Levee,{'open_now': True},"[{'height': 1535, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102444216483169582766"">Newport on the Levee</a>'], 'photo_reference': 'AW30NDylyApSvBUm0c5QGlMP8TPvBcOh_cBfBNADzR3qqaj8kMPUJqNis-Z35rxaXxAoxykEvANO4eRvfIwQC0RVBt4XjppG19-8e6zt972h4f6oiOn0WX7gfqIPwN-rRQ4buTSCco-EtjDMGzQ1RlBBJlwvwk9gWV6EEu1mhDcRijedvhAr', 'width': 1024}]",ChIJj5FhLG-xQYgRNhr-7ontbKo,"{'compound_code': '3GW3+3H Newport, KY, USA', 'global_code': '86FQ3GW3+3H'}",,4.4,ChIJj5FhLG-xQYgRNhr-7ontbKo,GOOGLE,"['shopping_mall', 'movie_theater', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",14760.0,"One Levee Way, Newport",
OPERATIONAL,"{'location': {'lat': 39.1371329, 'lng': -84.49963679999999}, 'viewport': {'northeast': {'lat': 39.1385175802915, 'lng': -84.49870796970849}, 'southwest': {'lat': 39.1358196197085, 'lng': -84.5014059302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114113171544185055298"">Russ</a>'], 'photo_reference': 'AW30NDyAnNtnnPe9lRhq07xeOEL2I8Sqw4c0qLlAH-reCRw26WeS-9Hh3m2okrN2nXcN-wxb0CZq_-BlwVxhU7eO-tH-3uIRQVDQeg-1UAHupHcbEKLkz92103nJ06N18PfNcKdfGf6F9G4bTkQOKubE5_DpAj3PaonpXJOHvctGp_v4LYUb', 'width': 1638}]",ChIJi2rNDb2zQYgR3QHTiUFnNls,"{'compound_code': '4GP2+V4 Cincinnati, OH, USA', 'global_code': '86FQ4GP2+V4'}",1.0,3.6,ChIJi2rNDb2zQYgR3QHTiUFnNls,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",31.0,"3200 Burnet Avenue, Cincinnati",
OPERATIONAL,"{'location': {'lat': 39.137262, 'lng': -84.537695}, 'viewport': {'northeast': {'lat': 39.1384926302915, 'lng': -84.5363466697085}, 'southwest': {'lat': 39.1357946697085, 'lng': -84.53904463029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Camp Washington Chili,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115288429400310138684"">Sun Lee</a>'], 'photo_reference': 'AW30NDwsJdtHdQBQ8St5KWuyS80bTkTbHAoP8g-co00NY4E348sBlRC6d5F6LPYoeqhXMlB1Vp3gXcztAnxlLqrk8m6B0fwufuH5NMVNBV-5ug7IVM43m_a_RRccT3-7j0LXZ1JOiVkeH5sNo8NgKpEp7dCjaGTfM01HgLZJXTwp9spgaaN1', 'width': 3024}]",ChIJP3I0ym60QYgRpUBBg0D61zM,"{'compound_code': '4FP6+WW Cincinnati, OH, USA', 'global_code': '86FQ4FP6+WW'}",1.0,4.3,ChIJP3I0ym60QYgRpUBBg0D61zM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3954.0,"3005 Colerain Avenue, Cincinnati",
OPERATIONAL,"{'location': {'lat': 39.10090529999999, 'lng': -84.5126452}, 'viewport': {'northeast': {'lat': 39.10234538029149, 'lng': -84.51135966970848}, 'southwest': {'lat': 39.09964741970849, 'lng': -84.5140576302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McCormick & Schmick's Seafood & Steaks,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113585405964227327498"">McCormick &amp; Schmick&#39;s Seafood &amp; Steaks</a>'], 'photo_reference': 'AW30NDx5orCrjtmd7b8FsREKTFvZ0vrC1eyrFkArV22ATzqrC1G1IYk_q6SvKL7Tb0Y1sdt_QBQiq0-e6QQye8BEajd7bHKItZ9bry17k4zRq4qtPu-ksajTRUF-E9fbMTfr4zIuBfDV1RDKUQlT5zsK8ULGfFVxDikg3qbCFJ3vw_z62Mo9', 'width': 3000}]",ChIJNQ_siVCxQYgR0ktQVfaZbiA,"{'compound_code': '4F2P+9W Cincinnati, OH, USA', 'global_code': '86FQ4F2P+9W'}",3.0,4.0,ChIJNQ_siVCxQYgR0ktQVfaZbiA,GOOGLE,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",1416.0,"21 East 5th Street, Cincinnati",
OPERATIONAL,"{'location': {'lat': 39.1017693, 'lng': -84.5127768}, 'viewport': {'northeast': {'lat': 39.1030889802915, 'lng': -84.51159686970848}, 'southwest': {'lat': 39.1003910197085, 'lng': -84.5142948302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Via Vite,{'open_now': True},"[{'height': 700, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114059208478324615081"">Via Vite</a>'], 'photo_reference': 'AW30NDzYLRjVqEoJamHbXwl4N1K8GNIwSitmVHVLx4oL4jS0XgC1tTERAi9AcWSzZ0YCyRVYA4bCjhl3sJzZkITqYt5RusVQ_CL3NZTwxmt2f-4JUupVWzpkKDMOIVeLWISUX6Jm8aMjeDSfstKgI8qFXpOe8lwugQy9-JlhXCPpd6gDlr-p', 'width': 1240}]",ChIJe_ZsklCxQYgR22PBtItVLjc,"{'compound_code': '4F2P+PV Cincinnati, OH, USA', 'global_code': '86FQ4F2P+PV'}",3.0,4.4,ChIJe_ZsklCxQYgR22PBtItVLjc,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",731.0,"520 Vine Street, Cincinnati",
