business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.52737299999999, 'lng': -87.35883690000001}, 'viewport': {'northeast': {'lat': 36.52881688029149, 'lng': -87.3575422697085}, 'southwest': {'lat': 36.52611891970849, 'lng': -87.36024023029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Blackhorse Pub & Brewery Clarksville,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113386379525087854868"">Blackhorse Pub &amp; Brewery Clarksville</a>'], 'photo_reference': 'AW30NDynF5smzo9sFGt_wKa0r4svdohbffIG5zVODoZqz05AF7dXTF28lyBLsvNffIdiEdV_i5C2-q7Ci_owd_bT7xWKAORnwmLBNRAdPei8M4gB4BHBFrq1Z5Za-M1vZKSI9LvQWsxSc0g4ELO8hedGK365144Pweb1mXypsr0PatG-D-pa', 'width': 2048}]",ChIJhcb0nrfZZIgR_me8KSXsIeQ,"{'compound_code': 'GJGR+WF Clarksville, TN, USA', 'global_code': '868JGJGR+WF'}",2.0,4.6,ChIJhcb0nrfZZIgR_me8KSXsIeQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3029.0,"132 Franklin Street, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.595658, 'lng': -87.28767800000001}, 'viewport': {'northeast': {'lat': 36.5969662802915, 'lng': -87.2862689197085}, 'southwest': {'lat': 36.5942683197085, 'lng': -87.28896688029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110016578401346051113"">Brian Copeland</a>'], 'photo_reference': 'AW30NDwiyXCuDy5h39AWi9dMsilcj1hAJqrQuo3gBJptAasjF_Uv_CSHu05J40KXSR1zRdN4tpOxggxuYMopnpObrJiS-eeqx1If9In8W-T6XIRp-XDrLlogM6WwkjXGrFYC9zFX1FmNByTV8BSzL0D1FlCyYs5KhscXfoIR5-tF0ve72qzK', 'width': 4032}]",ChIJcxQJQrkgZYgRLpgvdIWeqFw,"{'compound_code': 'HPW6+7W Clarksville, TN, USA', 'global_code': '868JHPW6+7W'}",2.0,4.0,ChIJcxQJQrkgZYgRLpgvdIWeqFw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2294.0,"3072 Wilma Rudolph Boulevard, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.5368156, 'lng': -87.3672327}, 'viewport': {'northeast': {'lat': 36.5381466302915, 'lng': -87.36605846970849}, 'southwest': {'lat': 36.53544866970851, 'lng': -87.36875643029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102339652422779297750"">Subway</a>'], 'photo_reference': 'AW30NDzLJ8Z2UQYJ0z1_9l6PJGbQ3susqZC865nD8zCiQC3YxKorZqpGHDCh0aqa3QruDWKYBGPGxZwbQL8G1iBLh9NnT6Hwjlw_n5ZxQetkIXnwhS6zdv7dXwSQTODViJ2orUhaAfmQgE7YHstPn7F9XGDhIRJhJo4c3-WzsffIff5fRkGR', 'width': 766}]",ChIJV5krsczZZIgRedX7fjhzYwk,"{'compound_code': 'GJPM+P4 Clarksville, TN, USA', 'global_code': '868JGJPM+P4'}",1.0,4.2,ChIJV5krsczZZIgRedX7fjhzYwk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",262.0,"651 North Riverside Drive, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.576477, 'lng': -87.4107329}, 'viewport': {'northeast': {'lat': 36.5781080302915, 'lng': -87.40932531970847}, 'southwest': {'lat': 36.5754100697085, 'lng': -87.41202328029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108051683851012216955"">Nelson Hernandez</a>'], 'photo_reference': 'AW30NDwtCw2RTOas8sGoT2-JiTAQEvjgzCYjiJdxYOLRj5KWORCDWEtcS_YVD3GlY_DpkCohfU9xlYmkj6k19QSqLYDj6gNvrYIW2QoblBE1_TGObDYUhliCrFgXUH69t58A6Hif-L2P9l7HKzIlCXJZiRupsxK5rxzUGApyQvlSosIWTESH', 'width': 3264}]",ChIJF5tYftnXZIgRj3XwsZubXwM,"{'compound_code': 'HHGQ+HP Clarksville, TN, USA', 'global_code': '868JHHGQ+HP'}",1.0,3.8,ChIJF5tYftnXZIgRj3XwsZubXwM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",205.0,"1620 Fort Campbell Boulevard, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.62447, 'lng': -87.31957}, 'viewport': {'northeast': {'lat': 36.6258653302915, 'lng': -87.31815331970849}, 'southwest': {'lat': 36.6231673697085, 'lng': -87.3208512802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115426224939048987256"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDzsdjORzw-jwwQPaZpreS1G3iE0WCALvGZURt2qzRwOBGTYC6uzcu-qz8a6akYm3FaDgP6AukPoWXoOxGTBUGVs2t9h5IAteejXjxXp5sOzwomJ-X0A-wdTX4zj2A1qdTBIi8mNti4hM_kqUlmwO9bijUI51TZZvpDbhidEz1xBtwtB', 'width': 1000}]",ChIJbUPEud8mZYgRRTKTc_PvbSc,"{'compound_code': 'JMFJ+Q5 Clarksville, TN, USA', 'global_code': '868JJMFJ+Q5'}",1.0,3.4,ChIJbUPEud8mZYgRRTKTc_PvbSc,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",247.0,"1780 Tiny Town Road Suite A, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.5016484, 'lng': -87.3723155}, 'viewport': {'northeast': {'lat': 36.50297183029149, 'lng': -87.37089401970849}, 'southwest': {'lat': 36.5002738697085, 'lng': -87.37359198029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112952621798149129844"">Phil Cook</a>'], 'photo_reference': 'AW30NDwBaPWNTLtpK1BcGgBgPC30osxYYg4PL7iyeI7IKQZHs0cO9TPtFp5P0rgj_llusMh1EHMerxYrfuJQa9AmqD8npP7pv6sRvXgQnvf06UUme_lf2Lo0nWPi_qeabdKYhwnUwEozvJyS7ajzem_2vup2w8Ooa4EDPFWM-2GKK5Iw9JTq', 'width': 4032}]",ChIJr45AEwDZZIgRp3xbrRymWcQ,"{'compound_code': 'GJ2H+M3 Clarksville, TN, USA', 'global_code': '868JGJ2H+M3'}",1.0,3.5,ChIJr45AEwDZZIgRp3xbrRymWcQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",97.0,"1200 State Highway 48, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.5778893, 'lng': -87.3011475}, 'viewport': {'northeast': {'lat': 36.57916178029149, 'lng': -87.29957136970849}, 'southwest': {'lat': 36.5764638197085, 'lng': -87.3022693302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115145782487733953773"">my tube</a>'], 'photo_reference': 'AW30NDxcy5fOOvxXOc7yMUGi5pEKHschGdD5tx-VOX-jwhR7lqBwfauX-ntV4gOpKa1-KdXFlC2oaSsHjzymk8nTZgeTc151zHGKQeRdcRILcbKkZSQDyvy2WNxKhO7hd8y7sw8iWnDNsCmpQIX2dXUs2Z0yJGMk0MicAaBdXGR7EStOtuX0', 'width': 2988}]",ChIJyxpyR1XfZIgROVycpzGaqjo,"{'compound_code': 'HMHX+5G Clarksville, TN, USA', 'global_code': '868JHMHX+5G'}",1.0,4.0,ChIJyxpyR1XfZIgROVycpzGaqjo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",301.0,"2512B Wilma Rudolph Boulevard, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.6271954, 'lng': -87.4327273}, 'viewport': {'northeast': {'lat': 36.6285698302915, 'lng': -87.4315407197085}, 'southwest': {'lat': 36.6258718697085, 'lng': -87.43423868029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100298184370731399629"">Justin Kolb</a>'], 'photo_reference': 'AW30NDwoZ4nlnS-zxctbJWjjZfiUUaOsOCkB4xdc8oCJBCBwFguxnDwnPWqP1qrGnm27SgnepOCtbVit-2XqcTXMg5trtt2CcWYG4t7idurDLGd092byIq-6yk7SRssv2yVjDXt3sgesVHdjyuHcXaNsaW33YpmJm-EyuBiAzEPzRmIJQhLG', 'width': 4032}]",ChIJf5MOswkpZYgRjUkDcpXjkbw,"{'compound_code': 'JHG8+VW Clarksville, TN, USA', 'global_code': '868JJHG8+VW'}",1.0,3.6,ChIJf5MOswkpZYgRjUkDcpXjkbw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",333.0,"2867 Fort Campbell Boulevard, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.5540543, 'lng': -87.39770329999999}, 'viewport': {'northeast': {'lat': 36.55531548029149, 'lng': -87.39628076970848}, 'southwest': {'lat': 36.5526175197085, 'lng': -87.3989787302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1164, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107001322984490015384"">Tammye Green</a>'], 'photo_reference': 'AW30NDwOwY202frUXuin6WV6BLF4lvckQY95f3SuRbinpG_RfJzJoYpXVsJuNfN1XNqHtcYSqIMznmuZEJdClJTfxOnCiHojLcKq2Xg8p1u38Z8W_mngvHfBWDvjKPaOwn7DqDQ4zYEWi4IxTkOHhlPqYq9q7tDoeX35tjTh2WGLoIyJ2miY', 'width': 1440}]",ChIJ_e-Pt5bXZIgRfeqR9fug-EY,"{'compound_code': 'HJ32+JW Clarksville, TN, USA', 'global_code': '868JHJ32+JW'}",1.0,3.8,ChIJ_e-Pt5bXZIgRfeqR9fug-EY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",105.0,"82 Dover Crossing Road, Clarksville",
OPERATIONAL,"{'location': {'lat': 36.575079, 'lng': -87.40838099999999}, 'viewport': {'northeast': {'lat': 36.5765622802915, 'lng': -87.4069092197085}, 'southwest': {'lat': 36.5738643197085, 'lng': -87.4096071802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112520604510717558948"">trevor eaddy</a>'], 'photo_reference': 'AW30NDy0ZS6_Pm87h-UuLeEMiPjvTkFnMck6KaMPXbAyCsDLJCgUmxa62cm4C1BTFEh_7KCav217t7Hay6LEmaqHqcET32EgPZrK3fDAyWloPEcSgxAW4Jp8WXGTfPhDwz_10rn2JbnFDc21nV6H--5DZcIeEdJp6RRofWSpgXa4x0vnFVX2', 'width': 4032}]",ChIJg8XczNvXZIgRsI7AvqDS-nI,"{'compound_code': 'HHGR+2J Clarksville, TN, USA', 'global_code': '868JHHGR+2J'}",1.0,3.5,ChIJg8XczNvXZIgRsI7AvqDS-nI,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",633.0,"1636 Fort Campbell Boulevard, Clarksville",
