business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 27.9644421, 'lng': -82.78638120000001}, 'viewport': {'northeast': {'lat': 27.9659214302915, 'lng': -82.78507151970851}, 'southwest': {'lat': 27.9632234697085, 'lng': -82.78776948029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Nature's Food Patch Market & Café,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106220877272330471602"">Eric Salberg</a>'], 'photo_reference': 'AW30NDzM02ZIoDwK6KNN1ZzD9qfr-YrcbwXpGivKeWoAbZiUIwlLAlIb6Q1mHSEyGaWhHqcYJGDlthbICwyZjTRVVm7--JyDumYjFvTqR8BtO_HEmARiDbzuxCYC-SWbhOpvcbFRbK95f9kzxVR9auDhzwaRApNI0bDirOCSwpfd_gTqopEv', 'width': 3264}]",ChIJxYlci_zwwogRReIbZmzPcw8,"{'compound_code': 'X677+QC Clearwater, FL, USA', 'global_code': '76VVX677+QC'}",4.3,ChIJxYlci_zwwogRReIbZmzPcw8,GOOGLE,"['supermarket', 'cafe', 'grocery_or_supermarket', 'health', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",654.0,"1225 Cleveland Street, Clearwater",,
OPERATIONAL,"{'location': {'lat': 27.9597095, 'lng': -82.7687598}, 'viewport': {'northeast': {'lat': 27.9610682802915, 'lng': -82.7674345197085}, 'southwest': {'lat': 27.9583703197085, 'lng': -82.77013248029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Capogna's Dugout,{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100811621162638978782"">Capogna&#39;s Dugout</a>'], 'photo_reference': 'AW30NDz88E8O9t0Oeh48jfmJN42VOocyGgwX7V0TyX6PYiQaMkSvH3oY3Hb8VoPStH3RjHD3rP2q2ivj72rXVJXkOJ3V_2uIgbZjpmlLh-cYn-HXUGG-kbQWDhHWJJRvqB_s5fo-h4vRnR4fjIV4Gg8FVhncIPBWr1NJetvKqgkecOHeTG2B', 'width': 3888}]",ChIJ0Ss0qlHwwogRXKoehbcvtkc,"{'compound_code': 'X65J+VF Clearwater, FL, USA', 'global_code': '76VVX65J+VF'}",4.4,ChIJ0Ss0qlHwwogRXKoehbcvtkc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1161.0,"1653 Gulf to Bay Boulevard, Clearwater",1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 27.9605254, 'lng': -82.7734423}, 'viewport': {'northeast': {'lat': 27.9618806302915, 'lng': -82.7720943697085}, 'southwest': {'lat': 27.9591826697085, 'lng': -82.7747923302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pierogi Grill,,"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110470576599521935725"">Audra Wajda</a>'], 'photo_reference': 'AW30NDyJyO9mk32nzUmKHyPgOYsI5Sctriu3VNHd60oIQ6Ebrntu0noNLD9WMsicvH7gUNman4hh6GFXVI87r9XGAisgE-OWTYRURcNpGdplwU7PYGRP0i9F2rx6guxOiecD7YgxkVefBvqhHR3zUSTaiH4CQx9B7O0buDnXFbsqGZhJpP75', 'width': 9000}]",ChIJKfGXJ1fwwogRD-pExlEbxKc,"{'compound_code': 'X66G+6J Clearwater, FL, USA', 'global_code': '76VVX66G+6J'}",4.5,ChIJKfGXJ1fwwogRD-pExlEbxKc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1377.0,"1535 Gulf to Bay Boulevard, Clearwater",2.0,True
OPERATIONAL,"{'location': {'lat': 27.9609323, 'lng': -82.76040410000002}, 'viewport': {'northeast': {'lat': 27.9623248802915, 'lng': -82.7588748197085}, 'southwest': {'lat': 27.95962691970849, 'lng': -82.76157278029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114959629937780164249"">McDonald&#39;s</a>'], 'photo_reference': 'AW30NDxGnVXXNOXzNOjdHrBNW6cYNg1wnHQWDpBg-CamTtFuWZP1q5ITcwKWIXT8wrGj7EHEH4s1xz5sAem_EFrVtQ7uYVoTlSPzd1hxpxXSRKIuwdjyWzGPCQ3O1feF7WHX1f08iqbApRC7zDqxPTmMi7m4KageLRhiZpUBZH5dWgbnfvRW', 'width': 2998}]",ChIJCXafPUnwwogRRuL7S-DUn6g,"{'compound_code': 'X66Q+9R Clearwater, FL, USA', 'global_code': '76VVX66Q+9R'}",3.7,ChIJCXafPUnwwogRRuL7S-DUn6g,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2046.0,"1860 Gulf to Bay Boulevard, Clearwater",1.0,
OPERATIONAL,"{'location': {'lat': 27.9676528, 'lng': -82.755517}, 'viewport': {'northeast': {'lat': 27.96913173029149, 'lng': -82.75416336970848}, 'southwest': {'lat': 27.96643376970849, 'lng': -82.75686133029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Westshore Pizza XIV,{'open_now': False},"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106533383416862848172"">Joseph Gallego (Broseph)</a>'], 'photo_reference': 'AW30NDxz88rFZQ2CJpGIS2ZEfiRoHqHZOSOvV0czT70PKgrZS7M52Kg1EVHAlLxPbOvgOXM_3G1P-4WsKAI_JOIGP9-k8hxUgI4twGRI2Jw7mGdhhZky9XqiZrD_x87X2YQUNe0yxJFYlAeT70Ttt03qatOa79l2Tk60lfcr3SvV8ag9Kdzb', 'width': 4032}]",ChIJMVuLTzXwwogRjA0gDJJSke8,"{'compound_code': 'X69V+3Q Clearwater, FL, USA', 'global_code': '76VVX69V+3Q'}",3.9,ChIJMVuLTzXwwogRjA0gDJJSke8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",299.0,"1969 Drew Street, Clearwater",1.0,
OPERATIONAL,"{'location': {'lat': 27.9598128, 'lng': -82.7871655}, 'viewport': {'northeast': {'lat': 27.9611077302915, 'lng': -82.7860034697085}, 'southwest': {'lat': 27.9584097697085, 'lng': -82.78870143029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107347288892036166382"">patrice milani</a>'], 'photo_reference': 'AW30NDwqOWxVlRurx55pnyjn89J8dZ-x8eYbjpMGIJizf5Es98ewmGk3UCmtLyZZlim9BUq26N6BGHQsmLUoFQ7MJvsYvjmudQiLxPvniE11mf6iK9U9kaw1IKLbqVMzgVgdB8CAwjkYOcadFliyCJGiG3N3reIHjc46nolV97XuV1RoRvER', 'width': 1920}]",ChIJsb04lPrwwogRD-uC40D3axQ,"{'compound_code': 'X657+W4 Clearwater, FL, USA', 'global_code': '76VVX657+W4'}",3.5,ChIJsb04lPrwwogRD-uC40D3axQ,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2080.0,"539 South Missouri Avenue, Clearwater",1.0,
OPERATIONAL,"{'location': {'lat': 27.968291, 'lng': -82.7593914}, 'viewport': {'northeast': {'lat': 27.9695728302915, 'lng': -82.7580396697085}, 'southwest': {'lat': 27.96687486970849, 'lng': -82.7607376302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hungry Howie's Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105798553357749349691"">Robert Helring</a>'], 'photo_reference': 'AW30NDwPPQxbA-mUgEGsXEfHCRTZMLoeMKUhL2QDPVtQzTYltsusXTB_HxzaC8O8pK4BBa3GlG_RUlS5bkHA_d3rksNUmIbNm7uxqfD3RrZILEC6yWfRdJEqNLdh1XRj0C4Y1Mc1snZYSsv59KDZdBebZTp_FevvkMx_yWDxkYkC-vtMHb9_', 'width': 3024}]",ChIJU1Q5KkvwwogRi7vaTytzUW8,"{'compound_code': 'X69R+86 Clearwater, FL, USA', 'global_code': '76VVX69R+86'}",3.5,ChIJU1Q5KkvwwogRi7vaTytzUW8,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",303.0,"1884 Drew Street, Clearwater",1.0,
OPERATIONAL,"{'location': {'lat': 27.96747909999999, 'lng': -82.7516002}, 'viewport': {'northeast': {'lat': 27.9690647802915, 'lng': -82.75004966970849}, 'southwest': {'lat': 27.96636681970849, 'lng': -82.75274763029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gorditas Don Huicho,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105378806016320435377"">Matthew Blackburn</a>'], 'photo_reference': 'AW30NDzOVzEvmGzbLDOkxdFcghcjLHz624feJIj359w3iChloS82TWx9nFGmkG12JIQXvoxbd2HrANPiiwXrtTk2mB0NgwA8LsAsLmu4ZRYPqljs42lL0IQgDOPT18ul2GGPaD9sO0Y7nM-nW0ZIg2csqmSRzQQBrO3wsv8g7StYDEi2HQIU', 'width': 12000}]",ChIJH0mxqDTwwogRs9d02t5OnUI,"{'compound_code': 'X68X+X9 Clearwater, FL, USA', 'global_code': '76VVX68X+X9'}",3.9,ChIJH0mxqDTwwogRs9d02t5OnUI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",605.0,"3120, 2071 Drew Street, Clearwater",1.0,
OPERATIONAL,"{'location': {'lat': 27.9682944, 'lng': -82.75396719999999}, 'viewport': {'northeast': {'lat': 27.9695967302915, 'lng': -82.75240726970848}, 'southwest': {'lat': 27.9668987697085, 'lng': -82.75510523029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4008, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108647035928676114170"">Nate Cocco</a>'], 'photo_reference': 'AW30NDwghpMKTNBkr_idUb0nfUc5BjLWpZj31bC2lXHh0Is1bt5L8Z8FuJ6OWFCWbIcl_vNPORX5p92wrHjDddYulbuRwW9QOPC4W9Nl0Ap9BiBcZqoWpTZ0Xe84erUW3R4otuYKw5pc7Qnp7nJ9rxnD1D91iEManl9lezIEp5GNZyHn6zx_', 'width': 5344}]",ChIJsz84KzXwwogRFhb1BOZTk0I,"{'compound_code': 'X69W+8C Clearwater, FL, USA', 'global_code': '76VVX69W+8C'}",4.0,ChIJsz84KzXwwogRFhb1BOZTk0I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",339.0,"2006 Drew Street, Clearwater",1.0,
OPERATIONAL,"{'location': {'lat': 27.9785304, 'lng': -82.7750208}, 'viewport': {'northeast': {'lat': 27.9799325302915, 'lng': -82.77367321970848}, 'southwest': {'lat': 27.9772345697085, 'lng': -82.77637118029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bar BQ Queen,{'open_now': False},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103212493704765503135"">Marcos L valdez</a>'], 'photo_reference': 'AW30NDwuuCqUlj8G4acPQJ3Q5F8wNwvICBZv3uZ8Z3-Fgroy8dRJGsZLDD17gTybGBU3ES35A0xBmTWSO0oohwm0EyUWL634_PQYBRlNUULIuLEq1shwyoo7esgMMgtAFN7B4EEkkKR4K1iGpwABuegqO1f-l-1TKBVufn43YRIGzW3ZPLv6', 'width': 2531}]",ChIJU8EVAVHwwogRIAxVDDhFl88,"{'compound_code': 'X6HF+CX Clearwater, FL, USA', 'global_code': '76VVX6HF+CX'}",4.7,ChIJU8EVAVHwwogRIAxVDDhFl88,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",249.0,"1267 North Highland Avenue, Clearwater",,
