business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.80588859999999, 'lng': -119.6951815}, 'viewport': {'northeast': {'lat': 36.80751478029149, 'lng': -119.6935298697085}, 'southwest': {'lat': 36.80481681970849, 'lng': -119.6962278302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hot Dog on a Stick,{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107385731547087564081"">Hot Dog on a Stick</a>'], 'photo_reference': 'AW30NDyWMMa2xUgrwHXev0BKG3rrHOvKWgn13l0PS0ai6X0c7d0672rDaNWxZF27gAEEJDUjqyoAXssgCGZ62BQQHtdSUIpfxdlBbtvTD9nTPhEPE1Ok4en0uJOYpH3j0gxM-jGhIREitR2ql5eN500PEJbuIE9jSNmlrvfV9MNfI4UGnq4', 'width': 1200}]",ChIJE133DopblIARZf7YMx0LyAw,"{'compound_code': 'R843+9W Clovis, CA, USA', 'global_code': '8582R843+9W'}",1.0,3.5,ChIJE133DopblIARZf7YMx0LyAw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",26,"1050 Shaw Avenue #1054, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8088088, 'lng': -119.7048463}, 'viewport': {'northeast': {'lat': 36.81027013029151, 'lng': -119.7035918197085}, 'southwest': {'lat': 36.80757216970851, 'lng': -119.7062897802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102939175500688522561"">Moe Bundy DeVries</a>'], 'photo_reference': 'AW30NDzUECrMxSC1ACP5TAlpBdnP_Tf2RifKTiAYa_eZ9_suZe8q478DiEd3aiuUlMBlX7hcILaszx0B2pnPCuSUwYoa2T1QoxkptuIBvpw5U1vhAKnlxlEJ2g35UpJ1bFOiBw-dumpVFAs-J3T7av72kY4cnVbCZaPhPb2VyQ9yS-Hy7teD', 'width': 4000}]",ChIJM50YfXpclIARGoxFetbmwXs,"{'compound_code': 'R75W+G3 Clovis, CA, USA', 'global_code': '8582R75W+G3'}",2.0,4.3,ChIJM50YfXpclIARGoxFetbmwXs,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3520,"389 Shaw Avenue, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8370794, 'lng': -119.6743353}, 'viewport': {'northeast': {'lat': 36.8381935802915, 'lng': -119.6728134197085}, 'southwest': {'lat': 36.83549561970851, 'lng': -119.6755113802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109789041850632480731"">Eric Larsen</a>'], 'photo_reference': 'AW30NDz9pnnSrsasj3mTUzkcohOq-hfIYkL29_s2gIQc5yxGSMlE4arXZ8cBbZlgWyHxSDNGS5IhNUsoFZ-OdseriqCQvWYwKRypuIgrbtBi9XjaaXT8i5C_pqcdKeYe3EDPD5LV-0rXnitOZVDKmJ2zQzWtTeDSnkoRxnP_qGqTUpDUNw3_', 'width': 1272}]",ChIJA6XVa21blIARAOXb-aB5UME,"{'compound_code': 'R8PG+R7 Clovis, CA, USA', 'global_code': '8582R8PG+R7'}",1.0,3.7,ChIJA6XVa21blIARAOXb-aB5UME,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",58,"Toll House Crossings, 2220 Herndon Avenue #108, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8214088, 'lng': -119.7096614}, 'viewport': {'northeast': {'lat': 36.8228647302915, 'lng': -119.7083823197085}, 'southwest': {'lat': 36.8201667697085, 'lng': -119.7110802802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111143625177850127010"">Richard Hurtado</a>'], 'photo_reference': 'AW30NDxoO6p_GA12OqzgcEhYcvy6dSAKA9fMH91bDKiEaMSmd3GPVBxULhhuJ-Z-uRm_sdaEycwwdznflxpx2mvjY4Scvuibzo2ezVt849FmPJPfASmRJ6lgBw-seiyrFiiz6XcgUtLQRG-04xbDdf0en1rRzCv0SnlliNVbE3gGdyZN8Nb0', 'width': 2048}]",ChIJIRK5OI9clIARn44cbAhjgBc,"{'compound_code': 'R7CR+H4 Clovis, CA, USA', 'global_code': '8582R7CR+H4'}",1.0,4.0,ChIJIRK5OI9clIARn44cbAhjgBc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",57,"50 West Bullard Avenue Suite 108, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8097841, 'lng': -119.7253388}, 'viewport': {'northeast': {'lat': 36.8113820302915, 'lng': -119.7240899197085}, 'southwest': {'lat': 36.80868406970851, 'lng': -119.7267878802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2687, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103805566300624935423"">espresso</a>'], 'photo_reference': 'AW30NDw5oDHU5SOODyIcmj4ZKtSaDbqWLGce1Ta8mwD9EpIy8LQC95k8PFvi3yZJQjY2CtVUVkQhyhOiY9aJTNEoW1ML7Lo8c4Ta2NRbMCJ2juZp3lVOC15Bom8Z9PvJaiHs3QRL8mhR5t1IQHNNeaJvgu4OXepYtpV30wJWK2yUiqdCmJ6z', 'width': 3719}]",ChIJCwd-3FhclIARh3-s_kLxI_Y,"{'compound_code': 'R75F+WV Clovis, CA, USA', 'global_code': '8582R75F+WV'}",1.0,3.6,ChIJCwd-3FhclIARh3-s_kLxI_Y,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",115,"711 West Shaw Avenue Suite 113, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8074784, 'lng': -119.7253616}, 'viewport': {'northeast': {'lat': 36.8088363802915, 'lng': -119.7241408697085}, 'southwest': {'lat': 36.8061384197085, 'lng': -119.7268388302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107103513472907129115"">Rick H</a>'], 'photo_reference': 'AW30NDwGzqG_97KFWDo3J2Bs0AMGY-tbNjrFb3mrV0akrmWk2J-7CNcHMk8wrH6WlojSY4S_snQUMgAzSA58cNm3aPipfPyDkKbXhb40qHbHr2xPafJFlrPCE_5IyTqt4ijC1IgnZh6PijEUgSvGHvw1fAodXrPs2AjYYkHYlUbfcH3q6O56', 'width': 5312}]",ChIJrUR2TllclIAR9TEFZZPqPwg,"{'compound_code': 'R74F+XV Clovis, CA, USA', 'global_code': '8582R74F+XV'}",1.0,4.0,ChIJrUR2TllclIAR9TEFZZPqPwg,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",432,"746 West Shaw Avenue, Clovis",
OPERATIONAL,"{'location': {'lat': 36.793295, 'lng': -119.6812323}, 'viewport': {'northeast': {'lat': 36.7949491302915, 'lng': -119.6799045197085}, 'southwest': {'lat': 36.79225116970851, 'lng': -119.6826024802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2218, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106234787331628604907"">DeWitt Senter</a>'], 'photo_reference': 'AW30NDyhPrX-qRhka76OrDFe8eS0n6hdyKakd670xS-ALBcIkyzLZMXqhSz7-sL2U9LjIP2zrmZlXsGiDfBJApwc0uXfmPztpMfoywxz6kGwrry6fXFFq8vgQJIEkybKrTpYk3iBAvxyCzn0e0MSbb9K4UC8N7mLP2xanxwUUG-vFCiBZ6IE', 'width': 4656}]",ChIJcXuir-VblIARYSifwpj2fp4,"{'compound_code': 'Q8V9+8G Clovis, CA, USA', 'global_code': '8582Q8V9+8G'}",1.0,3.9,ChIJcXuir-VblIARYSifwpj2fp4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",97,"1830 Ashlan Avenue, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8383158, 'lng': -119.6996039}, 'viewport': {'northeast': {'lat': 36.83962333029149, 'lng': -119.6981528197085}, 'southwest': {'lat': 36.8369253697085, 'lng': -119.7008507802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 2983, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101749664498625630176"">Cindy H</a>'], 'photo_reference': 'AW30NDzXQ3O_7o8iEBfbi4FRODDvteMS8cI28aJHPwjAhY4WGSV-B9umpIvpJv-hjlDWzMYq0zUxh-YxFvDKXyMjfTLHiVyOvxzDyGmvdM1ZbysgO_DzbH66KzfV4Nf3BdTNOGfqvC4NdlpR9rzzVgJMFPtYMth24-SSk85qaD3c6IOIvgoQ', 'width': 4560}]",ChIJI3pPdJ9clIARCNm31ZLHnB8,"{'compound_code': 'R8Q2+85 Clovis, CA, USA', 'global_code': '8582R8Q2+85'}",1.0,4.4,ChIJI3pPdJ9clIARCNm31ZLHnB8,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",299,"435 Clovis Avenue STE 108, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8380006, 'lng': -119.69418}, 'viewport': {'northeast': {'lat': 36.83936148029149, 'lng': -119.6926846697085}, 'southwest': {'lat': 36.83666351970849, 'lng': -119.6953826302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shila Korean BBQ,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113491968258146700117"">Roy Faustina</a>'], 'photo_reference': 'AW30NDzhhLHFun-kwlac4iuhuU41w5S7DvTEqXQmgxriS5h6Y5OL-1RHKuHtbJrNX9FQw_37TkSTMAj73iJbTuqFPtxwIbYgYCKk9HqNaHCApHzdflBHYhfVMvSgVFMautJYV4f5BS1HpjxHLVBLV-ROwco5ZryXWlnl_v54TQ_tygxs099S', 'width': 5312}]",ChIJg4Y-Lp5clIARhSS6SQDXoc8,"{'compound_code': 'R8Q4+68 Clovis, CA, USA', 'global_code': '8582R8Q4+68'}",2.0,4.1,ChIJg4Y-Lp5clIARhSS6SQDXoc8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",609,"1205 Herndon Avenue #104, Clovis",
OPERATIONAL,"{'location': {'lat': 36.8081645, 'lng': -119.6936529}, 'viewport': {'northeast': {'lat': 36.8094695802915, 'lng': -119.6921769697085}, 'southwest': {'lat': 36.80677161970851, 'lng': -119.6948749302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104797970087209771357"">Marisco Levante</a>'], 'photo_reference': 'AW30NDyLt4VSzi4nAmHfrANTjX10qfyaxg9ViDQ0Oy_ELpI7vtSiQfaEFifBYjDHI7eQ7d0Hka8JXvtGh2ZVgcAfZLXLYu0rdFH-OlN75R43wuhOD7qnCNYoNrhU8fj0dwjAbBUTNR0LkJFzMbCctVxZOdOgwlpfjBKQA38i9SaCItHdX497', 'width': 3024}]",ChIJ-2jKsYlblIAREc2H82iWxtU,"{'compound_code': 'R854+7G Clovis, CA, USA', 'global_code': '8582R854+7G'}",1.0,4.0,ChIJ-2jKsYlblIAREc2H82iWxtU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",542,"1210 Shaw Avenue Ste 101, Clovis",
