business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 30.597738, 'lng': -96.3007002}, 'viewport': {'northeast': {'lat': 30.5991198802915, 'lng': -96.29932576970849}, 'southwest': {'lat': 30.5964219197085, 'lng': -96.3020237302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105186729169395171527"">William May</a>'], 'photo_reference': 'AW30NDz0qYuLb2Ri2MzIfir7KF3T66gHNBVn2QdxVbjg2GE4s4LZ4IC1w_0HJkcMZItLpiIHrOYiwfDAFs0D1IvVtY2npLl5PXQQ8-JC6ulqgJbVFvBC2r4FYfPliERNKcWQohIKHHWO_3jkVzhgUXeT8-rKjhRI9kZtF-xru8tNKKblPIcV', 'width': 4032}]",ChIJf08qGPOERoYR-zLAJuw-aVY,"{'compound_code': 'HMXX+3P College Station, TX, USA', 'global_code': '8625HMXX+3P'}",1.0,3.5,ChIJf08qGPOERoYR-zLAJuw-aVY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",80,"1815 Brothers Boulevard, College Station",
OPERATIONAL,"{'location': {'lat': 30.6060801, 'lng': -96.3109242}, 'viewport': {'northeast': {'lat': 30.6075380802915, 'lng': -96.30934646970849}, 'southwest': {'lat': 30.60484011970851, 'lng': -96.3120444302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3002, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112211163110323359379"">Muhammad Yasin</a>'], 'photo_reference': 'AW30NDxIhkI0dtphyghxzzXW9HE-8HTf1kFPpoGZIDBrz0wpoKK2-B6tk0YTaw8WAYVnPFdMuLjxGmTF7SL3wrIBWnjcPrnqkk-5hF8yqQApxNcbFKCl71bSmmew1GQWSQEmFM-OVF4I4xLKDy-XiXQBjH6ObigL7x0KD1CmxlhSJktZiUn-', 'width': 3024}]",ChIJ48s1-GKERoYRszNlo4Lf6aQ,"{'compound_code': 'JM4Q+CJ College Station, TX, USA', 'global_code': '8625JM4Q+CJ'}",1.0,3.8,ChIJ48s1-GKERoYRszNlo4Lf6aQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",124,"2418 Texas Avenue South Suite D2, College Station",
OPERATIONAL,"{'location': {'lat': 30.5825676, 'lng': -96.288212}, 'viewport': {'northeast': {'lat': 30.5840040302915, 'lng': -96.2869224697085}, 'southwest': {'lat': 30.5813060697085, 'lng': -96.2896204302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110583114137193591029"">Cheska Youlton</a>'], 'photo_reference': 'AW30NDzgRjhR8NGAxwgVeuS_vgRLO9QCWYODS2epu721v6bnMOANgoCraSntBuoPMM_IaVmSjB84yDqlhnpz5DNn1QA-GFBqvT1OfnRt5ofiqfp97SRQnzxw60pbaMs3oBcL2v2L3X0i-RrY0Yd-KUy1zuU7xmvI4V7gbueGjQQbxuhaAmmM', 'width': 3024}]",ChIJDThbfN2ERoYRVuuhfZkLNig,"{'compound_code': 'HPM6+2P College Station, TX, USA', 'global_code': '8625HPM6+2P'}",1.0,4.0,ChIJDThbfN2ERoYRVuuhfZkLNig,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",130,"1722 Rock Prairie Road, College Station",
OPERATIONAL,"{'location': {'lat': 30.59388, 'lng': -96.293691}, 'viewport': {'northeast': {'lat': 30.5951822302915, 'lng': -96.29222256970849}, 'southwest': {'lat': 30.5924842697085, 'lng': -96.29492053029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wings 'N More Restaurant Southwood Valley,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116596879623571423448"">Wings &#39;N More Restaurant Southwood Valley</a>'], 'photo_reference': 'AW30NDz24dOwYl29MhbCFIn3UXQ_YJ5tekF5hyMd4k8XBHIaK_fjnPzc-tpS17leoLiutXXxAotVmaON9nvfp8KfFJS9HPSyMkLnDlaskYN6NrQKtSTFhJhfk8V5E9uMffMjpAh4GEBXCwRMOw3Ae0OYCsENVl6ymOoMEvFQQHoZw1gUb1eE', 'width': 4608}]",ChIJAa-kLO6ERoYRTiw2SxxvkZQ,"{'compound_code': 'HPV4+HG College Station, TX, USA', 'global_code': '8625HPV4+HG'}",2.0,4.4,ChIJAa-kLO6ERoYRTiw2SxxvkZQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1544,"3230 Texas Avenue South, College Station",
OPERATIONAL,"{'location': {'lat': 30.623895, 'lng': -96.303226}, 'viewport': {'northeast': {'lat': 30.6256052802915, 'lng': -96.3021295697085}, 'southwest': {'lat': 30.6229073197085, 'lng': -96.3048275302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Manchu Wok,{'open_now': True},"[{'height': 2807, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105186729169395171527"">William May</a>'], 'photo_reference': 'AW30NDzjBQCIeqLJLtSIwjewCCihjXi3uk7wEXqjD25aJyMAAgHQwDR-5EXzLt0e-RAnSekHbJNMfKtDkxPISzd_n9iiDFAwzE4yNsIuZB0U5Fox4TFU7p-9WGg8tSQ7yuTO9zFtXKZQWnOcP25cy-KnaMVms2lJ-dzjqnDsjbM-_SLg106u', 'width': 3478}]",ChIJPQ3ER2qERoYRQkyqTbDNu5E,"{'compound_code': 'JMFW+HP College Station, TX, USA', 'global_code': '8625JMFW+HP'}",1.0,3.8,ChIJPQ3ER2qERoYRQkyqTbDNu5E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",37,"1500 Harvey Road, College Station",
OPERATIONAL,"{'location': {'lat': 30.6239215, 'lng': -96.30265709999999}, 'viewport': {'northeast': {'lat': 30.6248579302915, 'lng': -96.3009881697085}, 'southwest': {'lat': 30.62215996970851, 'lng': -96.30368613029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Auntie Anne's,{'open_now': True},"[{'height': 359, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108276263118576147641"">Auntie Anne&#39;s</a>'], 'photo_reference': 'AW30NDwsS-wPMale9je42vNDk8IFvtxFxD7rYuBqdffYGd-RSHvTYqTp6fglzu5WGGDJKs19IiMHBhbmFdhHlT9UICCKG3GYnHMKHJcIOb_VZH8YiJWwT0GcniT-FPcNbF-LRRt-qGC1wdCyr2pmiKxh7QvGezrG8fywXrsMLV5LOSmdw39V', 'width': 537}]",ChIJPQ3ER2qERoYRUdRlBx8puxs,"{'compound_code': 'JMFW+HW College Station, TX, USA', 'global_code': '8625JMFW+HW'}",1.0,3.6,ChIJPQ3ER2qERoYRUdRlBx8puxs,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",22,"1500 Harvey Road, College Station",
OPERATIONAL,"{'location': {'lat': 30.6248209, 'lng': -96.30261229999999}, 'viewport': {'northeast': {'lat': 30.6262505802915, 'lng': -96.30121886970849}, 'southwest': {'lat': 30.6235526197085, 'lng': -96.3039168302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113501067583350048056"">Josh Abell</a>'], 'photo_reference': 'AW30NDwdoOej5Pgd2vi_hC5zqe-oJXIwjX1Pza5amdJcCerK8BB2I1rTK_vmQZ6J5KQnd1cHvMn0nqcDkW0DE72JMTSGW1-lBGMpR06BlwPm9uPvctZ0E6lSVZhBo4AOhbWJ6TQ-XqUyF9wQFyOaah0a4GRlNLsci_6Xm-sl5KFWN_weJSIT', 'width': 4032}]",ChIJPQ3ER2qERoYRgY9XqyqOAPE,"{'compound_code': 'JMFW+WX College Station, TX, USA', 'global_code': '8625JMFW+WX'}",2.0,4.1,ChIJPQ3ER2qERoYRgY9XqyqOAPE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",532,"1500 Harvey Road, College Station",
OPERATIONAL,"{'location': {'lat': 30.5831063, 'lng': -96.28740599999999}, 'viewport': {'northeast': {'lat': 30.5845205302915, 'lng': -96.28602236970849}, 'southwest': {'lat': 30.5818225697085, 'lng': -96.2887203302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112211163110323359379"">Muhammad Yasin</a>'], 'photo_reference': 'AW30NDwrS4Ky6txemx59evAKQEN1fjM-BZTVRCY7kBATLI5ytznI1aKsUnw_SYB1EKSSu1kEqMbnw8OBwmQCmPPHuHLfiIka_fiy7VYQiIpgKAWcDv5VWH9IohdUk0la-z9YwnfA6DJYSyJM8zpKLX-rqfQleyzu_ht3PwsshCFLggT42AY4', 'width': 4608}]",ChIJDe3Sf-eERoYRPHpwWmBOk_c,"{'compound_code': 'HPM7+62 College Station, TX, USA', 'global_code': '8625HPM7+62'}",1.0,3.5,ChIJDe3Sf-eERoYRPHpwWmBOk_c,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1075,"1750 Rock Prairie Road, College Station",
OPERATIONAL,"{'location': {'lat': 30.6110211, 'lng': -96.3160547}, 'viewport': {'northeast': {'lat': 30.6124633302915, 'lng': -96.3146457197085}, 'southwest': {'lat': 30.6097653697085, 'lng': -96.3173436802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Freebirds World Burrito,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105186729169395171527"">William May</a>'], 'photo_reference': 'AW30NDyktcRTwhKgD-FnsZJ4ySdTMna55q-ofLrCdy1lMB1-0ZRqLpAiUUWYE_m6dhZ6wis_byUztZZE7UZbYtwCZ0hzEPzr3Twrv2Sid1RZzto7P4hWfvkPUt6b_1n3tUQGrC7cEGaH1DXQ5DLVRyeV1RQ950K4Sb_-edXMt7bFMfLr43OX', 'width': 4032}]",ChIJ4TDE4hVQkIARcqjRl3Lf3sE,"{'compound_code': 'JM6M+CH College Station, TX, USA', 'global_code': '8625JM6M+CH'}",1.0,4.4,ChIJ4TDE4hVQkIARcqjRl3Lf3sE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",405,"2050 Texas Avenue South Ste. C, College Station",
OPERATIONAL,"{'location': {'lat': 30.601879, 'lng': -96.3040032}, 'viewport': {'northeast': {'lat': 30.6031666302915, 'lng': -96.30257281970849}, 'southwest': {'lat': 30.6004686697085, 'lng': -96.3052707802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112211163110323359379"">Muhammad Yasin</a>'], 'photo_reference': 'AW30NDzQOctb9TfZh2zpZJVbonLQeFmOXmAzTQ1AJXs819R8KQYo7t9i-VwJEJak2WhpAxRYGktksNwDU_sTrmD0XVFVILoRj7Q27co1rn5lxSMGtMy_M3De7oXAsil4FIwUIWyld-Ynpz39SuwkUuptWZzqcifsz-D_ugYvKGdXDJMmNg5I', 'width': 4608}]",ChIJAa-kLO6ERoYRaTBuF4y-ZRA,"{'compound_code': 'JM2W+Q9 College Station, TX, USA', 'global_code': '8625JM2W+Q9'}",1.0,4.1,ChIJAa-kLO6ERoYRaTBuF4y-ZRA,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",449,"1801 Valley View Drive, College Station",
