business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.876599, 'lng': -104.720852}, 'viewport': {'northeast': {'lat': 38.8778842802915, 'lng': -104.7195179197085}, 'southwest': {'lat': 38.8751863197085, 'lng': -104.7222158802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 1816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113523424918703586508"">Kenneth Parrilla</a>'], 'photo_reference': 'AW30NDyh7ScPhRLjt1-c04JeyS6yGwqQt7JnTQvW0HW2pHSkOKDiEf4Ed63USt94xzdUA60ObGJYoC1dh9RDrXXgquUNzZkulXt36qgwrxi8V9giAYX47Hcvs6hcZCHdXScsQkgwqFp0-mB9Qz6e0gm17-cBsWaNCPk15FRqm1Y6vaBbiQU4', 'width': 4032}]",ChIJwRrS4iZGE4cRyrYQw-ZQ4ic,"{'compound_code': 'V7GH+JM Colorado Springs, CO, USA', 'global_code': '85CQV7GH+JM'}",2.0,4.4,ChIJwRrS4iZGE4cRyrYQw-ZQ4ic,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6022.0,"3120 North Powers Boulevard, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.84304960000001, 'lng': -104.7641713}, 'viewport': {'northeast': {'lat': 38.8444238302915, 'lng': -104.7629087197085}, 'southwest': {'lat': 38.8417258697085, 'lng': -104.7656066802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hooters,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113732341185522496240"">Derrick Grant</a>'], 'photo_reference': 'AW30NDyZnCb_g_wl6USWNCSh_t4yErRwQW68lUzEtvUwBN_fElqgwJzd1asy-H8yxR7k5oHi2C5I8TStuX0sqbaNHLMGHbsJnArVWKCfDS348pb7KtGnDEa0i89s4OTazeiAtue4MMQTZgbLY7ng1DJtX5QOjglt-vP43HcRvg5qu-kl1FWM', 'width': 4032}]",ChIJV8YVEdpFE4cRmsyjduXrPOM,"{'compound_code': 'R6VP+68 Colorado Springs, CO, USA', 'global_code': '85CQR6VP+68'}",2.0,3.9,ChIJV8YVEdpFE4cRmsyjduXrPOM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1225.0,"750 Citadel Drive East Ste. 1012, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.840875, 'lng': -104.7737417}, 'viewport': {'northeast': {'lat': 38.8418548302915, 'lng': -104.7725510697085}, 'southwest': {'lat': 38.8391568697085, 'lng': -104.7752490302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fargo's Pizza,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116542540636866445983"">Matt Price</a>'], 'photo_reference': 'AW30NDxATo9FruK18grhz68IZZAzD7pcxzcLcXIqKrKVU-HoCSmcac8VIEUdwc8fOVPdjdmxsfDvrFzP1cFwtNxVUThnlgXHQQ5Lj5dly05Ka7c2E-j8RFv__Zzu3n6DkCX5r3AydD7xJYOux20lzmQtDJHyQgwzy_hq3yLMfPeOrxZfur6K', 'width': 4080}]",ChIJqfqURchFE4cR3pCbvlSykxU,"{'compound_code': 'R6RG+9G Colorado Springs, CO, USA', 'global_code': '85CQR6RG+9G'}",2.0,4.1,ChIJqfqURchFE4cR3pCbvlSykxU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5219.0,"2910 East Platte Avenue, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.8416004, 'lng': -104.7566163}, 'viewport': {'northeast': {'lat': 38.8429354302915, 'lng': -104.7554335697085}, 'southwest': {'lat': 38.8402374697085, 'lng': -104.7581315302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2660, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115612100339938523888"">Roland Drobeck</a>'], 'photo_reference': 'AW30NDxvTdBofq7xftZrtEl9b46gvwXos6YC6KvhTSPOIQ9XehryeGdto9oEveUK0rSxAkODjHbNb13ZF2uTHNrVP_d8lfYNMuKd3L2QKy2TnwWjJ6zE64-gsglYZm10mzrmYsz-HMS9r6xzu5FD6ymG8IsNPiNS8aAM6MI-12VRgZbBDBjO', 'width': 4730}]",ChIJzZl6KNdFE4cRoHo_HPfAaeU,"{'compound_code': 'R6RV+J9 Colorado Springs, CO, USA', 'global_code': '85CQR6RV+J9'}",2.0,4.2,ChIJzZl6KNdFE4cRoHo_HPfAaeU,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3997.0,"513 North Academy Boulevard, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.8585594, 'lng': -104.7752977}, 'viewport': {'northeast': {'lat': 38.8598000302915, 'lng': -104.7739276697085}, 'southwest': {'lat': 38.8571020697085, 'lng': -104.7766256302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101442492541472009959"">Mike Leeb</a>'], 'photo_reference': 'AW30NDyJ7b1UrFXwGVUbfL4KWBr7mAZ_vSKn7yQOlORbaF8FWG1KepG6vxf4klnRw_Gs8jvQqjVmkF55XVjxTla_EnfdYsTzh5lZ65Nr5YN0kAGzycoJVLmxk1abKVPhibrrvfbVir3nxc5ou-9eLfSj8f7tfYStEs1_Ro_o4v1bj_WdQow3', 'width': 1920}]",ChIJUcuiMpNFE4cRdNRosVHVukY,"{'compound_code': 'V65F+CV Colorado Springs, CO, USA', 'global_code': '85CQV65F+CV'}",1.0,3.9,ChIJUcuiMpNFE4cRdNRosVHVukY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",338.0,"1825 North Circle Drive, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.84621, 'lng': -104.77488}, 'viewport': {'northeast': {'lat': 38.8474751802915, 'lng': -104.7735251197085}, 'southwest': {'lat': 38.8447772197085, 'lng': -104.7762230802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,AMF Colorado Springs Lanes,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105970791431222649050"">Hannah Combs King</a>'], 'photo_reference': 'AW30NDyHiwLZzib0VIcXQiCsQqexDKfAhcrtRDJxxr1jq0caH3mmr-Z_BPT01wq9aEiu85mGuE-1IRPqXtqcnpL1mohPzSexXIsLcoECWgsNu0fa2zGk2UUf1_FV-qG3Tphg5s07DKLBPj863PyGfJ_O-rSDjf6l_eSbYskvz6pwMshq_UdS', 'width': 4608}]",ChIJrbYkV79FE4cRxuDeFGLY8w4,"{'compound_code': 'R6WG+F2 Colorado Springs, CO, USA', 'global_code': '85CQR6WG+F2'}",,4.0,ChIJrbYkV79FE4cRxuDeFGLY8w4,GOOGLE,"['bowling_alley', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1222.0,"999 North Circle Drive, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.8541066, 'lng': -104.7561255}, 'viewport': {'northeast': {'lat': 38.8555236302915, 'lng': -104.7547850697085}, 'southwest': {'lat': 38.8528256697085, 'lng': -104.7574830302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115960897829756978038"">Subway</a>'], 'photo_reference': 'AW30NDxSWe_INuqKJ52h6wPRUrIDzOQ3pmXX5JQwjCviokNRtEl63ElJe4zrWuZOwZ1FzW0NkvrnV4ngGQKnGI40slTmP-B1n2RLU01Dv6jrSnJjHpjd5RXpoDYh0YxvUucStzXUrBpHLkRhOD_YaZCaGPxse7rL00MgskLuALSqsAgom_0-', 'width': 766}]",ChIJ5ZrmJt5FE4cR2mVLFLFXWts,"{'compound_code': 'V63V+JG Colorado Springs, CO, USA', 'global_code': '85CQV63V+JG'}",1.0,3.9,ChIJ5ZrmJt5FE4cR2mVLFLFXWts,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",328.0,"1431 North Academy Boulevard, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.8592978, 'lng': -104.7193494}, 'viewport': {'northeast': {'lat': 38.86051898029149, 'lng': -104.7180037197085}, 'southwest': {'lat': 38.8578210197085, 'lng': -104.7207016802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118359120612145916155"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDzzrB16bxKpPsJrs59htGOO2KJggj5QirZ12YKmB20lrEWOA8a-ooSj80PP3_KKA4vAU-uH4OKOE565qNksuC5B6aggcPIFU3Zj6kkS6QxasUDKeqeo3R-1a8NM4EhkMFbZNPH2UAL3AM-IuZJdP4vC6Ch6DGks61yvdJZ_ge5DQ1_C', 'width': 960}]",ChIJN8BldzhGE4cRIiap0k9EBHE,"{'compound_code': 'V75J+P7 Colorado Springs, CO, USA', 'global_code': '85CQV75J+P7'}",2.0,3.9,ChIJN8BldzhGE4cRIiap0k9EBHE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3506.0,"1970 Waynoka Road, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.90477660000001, 'lng': -104.7731002}, 'viewport': {'northeast': {'lat': 38.9060475302915, 'lng': -104.7717118697085}, 'southwest': {'lat': 38.90334956970851, 'lng': -104.7744098302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mirch Masala,{'open_now': False},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101345250399708713345"">Michael Mangin</a>'], 'photo_reference': 'AW30NDyBTWe9cfcfYI8LfEh8WpZOZRyW7DiKsSSu79ceMxbX45UKFnQCkXP1rngfTUgOvuXFUKY7HTq5IGGPIFKavrqhmCPqdCbEELh6PZTF164XqDKQ4ztsP1PN7oCRef5yNkDmybuZHCjBaywNzhvOkuxOSz8V3u-pcS5Del4pTW2ml8j_', 'width': 1280}]",ChIJixrOZBhPE4cRyHsZISiH868,"{'compound_code': 'W63G+WQ Colorado Springs, CO, USA', 'global_code': '85CQW63G+WQ'}",2.0,4.0,ChIJixrOZBhPE4cRyHsZISiH868,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",504.0,"5047 North Academy Boulevard, Colorado Springs",
OPERATIONAL,"{'location': {'lat': 38.84671269999999, 'lng': -104.7749034}, 'viewport': {'northeast': {'lat': 38.8481620302915, 'lng': -104.7735465697085}, 'southwest': {'lat': 38.8454640697085, 'lng': -104.7762445302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 580, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110526356242517387556"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDxNBWyShS3LQsCs8BhCw1GxLnJg84liA_bIZ0ZavTKOT2-6TQ6hLNb5_QA2-p72JqKH4JA3XIMBce5GviLPp_DysBgml7ZP0rZCjRXfgyZfKFxTZAgKr4fNe35b0qRy0hOcZNpXwqk5_yipWVE_Q8IT7nWDAcDrA6PDAwdlKg1pB-Y1', 'width': 970}]",ChIJV72KrsBFE4cRCOJNzPbKKwI,"{'compound_code': 'R6WG+M2 Colorado Springs, CO, USA', 'global_code': '85CQR6WG+M2'}",1.0,4.0,ChIJV72KrsBFE4cRCOJNzPbKKwI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1213.0,"2909 Galley Road, Colorado Springs",
