business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.0180345, 'lng': -80.9639492}, 'viewport': {'northeast': {'lat': 34.01935358029149, 'lng': -80.96271796970848}, 'southwest': {'lat': 34.0166556197085, 'lng': -80.9654159302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Original Pancake House - Columbia,{'open_now': False},"[{'height': 1798, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106063398016479125301"">The Original Pancake House - Columbia</a>'], 'photo_reference': 'AW30NDxWwSScLrd837FVfwx4EodWVOE3IXRt8l5qLjisFkBDFlJHgtM3fO-SJ6kC7tu8UPmE9b6fW7SCL-KFWdLW0i6ydMbfyyLKJ1Q9OUut0HM93ENxkHgVlDhob7_GDSlcMtQq7kATam_qGySeOS5VcZvd0mx7sOhoP8LatwxYlYwk7qYN', 'width': 1200}]",ChIJuXgmxcGv-IgRWXvC_Qi65OM,"{'compound_code': '229P+6C Columbia, SC, USA', 'global_code': '866X229P+6C'}",2.0,4.5,ChIJuXgmxcGv-IgRWXvC_Qi65OM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1447,"4840 Forest Drive, Columbia",
OPERATIONAL,"{'location': {'lat': 33.9442024, 'lng': -80.8715495}, 'viewport': {'northeast': {'lat': 33.9457134802915, 'lng': -80.8699646197085}, 'southwest': {'lat': 33.9430155197085, 'lng': -80.87266258029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3860, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105713188078405207809"">Joseph Webb</a>'], 'photo_reference': 'AW30NDzzb7PjdogM0PMXvnBij18DEGwx7zrObRrDHRSrR04v3Yig3SMkYt-uboiGdqNJiAEvnJm0zsjwDHH5_r0aPRtniAVuFZgZuvQ8Fs9w54uqHo2EAyK9icaBtpOZ7PeUQp1ibvp_oOnQef467B-rdfZNdji6deHBIwb73SNLIbiLQ6_j', 'width': 10168}]",ChIJDTA74y27-IgRdA8_PyfigYk,"{'compound_code': 'W4VH+M9 Hopkins, SC, USA', 'global_code': '865XW4VH+M9'}",1.0,4.3,ChIJDTA74y27-IgRdA8_PyfigYk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",81,"9007 Garners Ferry Road Suite B, Hopkins",
OPERATIONAL,"{'location': {'lat': 34.0645386, 'lng': -80.9068803}, 'viewport': {'northeast': {'lat': 34.0660799802915, 'lng': -80.90565416970848}, 'southwest': {'lat': 34.0633820197085, 'lng': -80.9083521302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Pigs Barbecue,{'open_now': False},"[{'height': 2478, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113279713642523752653"">David McNamara</a>'], 'photo_reference': 'AW30NDwczatf558oQNJiqhvYtLuq3DP6iHCsR1k04KVQg-aQoTPvKWFMDg1oL19aD79PTLdSKW5W6Y9n5rub2X1_sThbnadltYHTs0NRjGaowDNarMQpAMQJ6vJCsIgLDaP2F7t79yMHlTaE11QFgluYfxS9xowHP02MqdHJPPN3PKKMIJr8', 'width': 3718}]",ChIJu7hDoKOu-IgRntqfQzdlhgc,"{'compound_code': '337V+R6 Columbia, SC, USA', 'global_code': '866X337V+R6'}",1.0,4.5,ChIJu7hDoKOu-IgRntqfQzdlhgc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2501,"4927 Alpine Road, Columbia",
OPERATIONAL,"{'location': {'lat': 34.02233599999999, 'lng': -80.955045}, 'viewport': {'northeast': {'lat': 34.02377418029149, 'lng': -80.95373411970849}, 'southwest': {'lat': 34.0210762197085, 'lng': -80.9564320802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109142395436264180039"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDzEUSGyUO_G1pOCqS4M3x0TS0BGZqaArVD6iKVM-KTj8AsvFA7_p647dQbhVsM9KZ-5SFtTCPUOGZPCOHWgw1SzeJKi84kAwDtwJrogwVzRHbbRN4Ic1pg18XSxm8erTt2rDjvLcjZAKcZKqRMh355ydgchNQG3QWEt7_Emwc8DAhEc', 'width': 960}]",ChIJdemTyrmv-IgRaHVeJjzpM-4,"{'compound_code': '22CV+WX Columbia, SC, USA', 'global_code': '866X22CV+WX'}",2.0,4.1,ChIJdemTyrmv-IgRaHVeJjzpM-4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",5496,"5300 Forest Drive, Columbia",
OPERATIONAL,"{'location': {'lat': 34.0190761, 'lng': -80.9697423}, 'viewport': {'northeast': {'lat': 34.0206266802915, 'lng': -80.9683201197085}, 'southwest': {'lat': 34.01792871970851, 'lng': -80.9710180802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 1137, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117002537574436815494"">Michael Young</a>'], 'photo_reference': 'AW30NDyj4F1zMfoFBpAaG0YV58iYxm3J4gE-29tOZZ7meehe_50YAh_eUWSS_xR5DWnjjJ2cYTG6jGnE6AmOD10Aq94FMWAC9UzvVdb-jld1vTtW8cY3Tn4e5nlcSPFcFvFLhCJxZm-CU7TcrkQxhKbhKcU3YOUF_UZ4DjU_rVYCSi1dhCLE', 'width': 1473}]",ChIJhx7Seuuv-IgRr7DCAptYQh0,"{'compound_code': '229J+J4 Columbia, SC, USA', 'global_code': '866X229J+J4'}",2.0,4.3,ChIJhx7Seuuv-IgRr7DCAptYQh0,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1262,"4708 Forest Drive, Columbia",
OPERATIONAL,"{'location': {'lat': 34.0761934, 'lng': -80.94371629999999}, 'viewport': {'northeast': {'lat': 34.0774838302915, 'lng': -80.94246141970851}, 'southwest': {'lat': 34.0747858697085, 'lng': -80.94515938029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lizard's Thicket Restaurant,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114280929721217273864"">Edward Bujak</a>'], 'photo_reference': 'AW30NDzRA5Ym16FC-u8wx2hK-vjiCbIRrMbFIbVBEqTrbtTuWFReaImWNMhmAoePKpG0BblJvwUHRHZYK5YeztizK8DvljAInvd6k6uUKQNrFSoHsTSxL4Hysblel1CUpz7m6d1QWdVs_5C4kswv_AWGYTgqSKd3o95DEafuysAD5na1Ffqv', 'width': 5312}]",ChIJlVNDPiiv-IgRXq_Mke--71k,"{'compound_code': '33G4+FG Columbia, SC, USA', 'global_code': '866X33G4+FG'}",1.0,4.3,ChIJlVNDPiiv-IgRXq_Mke--71k,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2166,"7411 Nates Road, Columbia",
OPERATIONAL,"{'location': {'lat': 34.06227850000001, 'lng': -80.9530528}, 'viewport': {'northeast': {'lat': 34.06358743029151, 'lng': -80.95176456970849}, 'southwest': {'lat': 34.06088946970851, 'lng': -80.95446253029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108682726179200912415"">Lee Lee Evans</a>'], 'photo_reference': 'AW30NDw6Xh94A7MZ5myFqe4-IK2ihRQ4cgs7qFTpEDBx8gfhvq8ZyY14UKTa2XOCVZeWNNtejV4o6Z87T6S61WG37dZDRbEnqNchBycqNNxIcA1oCp4OPOCbEE6iIZSV40EgTEywFlGUJxp6xEclceDmlb1j6idNmy9M8Si9D-Wzq5Vvuss5', 'width': 3024}]",ChIJN6JaMRiv-IgRNdRDo741Qow,"{'compound_code': '326W+WQ Columbia, SC, USA', 'global_code': '866X326W+WQ'}",1.0,4.1,ChIJN6JaMRiv-IgRNdRDo741Qow,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",100,"2720-A Decker Boulevard, Columbia",
OPERATIONAL,"{'location': {'lat': 33.9875422, 'lng': -80.9752202}, 'viewport': {'northeast': {'lat': 33.9889888302915, 'lng': -80.9738609197085}, 'southwest': {'lat': 33.9862908697085, 'lng': -80.9765588802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112367387295044218986"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDwUKYunQb4KU6GEAtV05rujOLB6gAZHTIHzi0kJh3wqruM5HvYamDO_rRnyAVrBlH1tIROkfgx_Uk2UfbBIy8VVOV6rNqXIjhIvECMqJr7MVCFOhdyBl0tedUo-UzjiBcrrBvyAJC_osrx6wanxA-LdfprMIlAO4RGwUAyPF5fywMEh', 'width': 720}]",ChIJg2PQAhCw-IgRcxLUMLbxffQ,"{'compound_code': 'X2QF+2W Columbia, SC, USA', 'global_code': '865XX2QF+2W'}",1.0,3.9,ChIJg2PQAhCw-IgRcxLUMLbxffQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",402,"4440 Rosewood Drive, Columbia",
OPERATIONAL,"{'location': {'lat': 33.9644563, 'lng': -80.9393498}, 'viewport': {'northeast': {'lat': 33.9656919802915, 'lng': -80.9381147697085}, 'southwest': {'lat': 33.9629940197085, 'lng': -80.94081273029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117330533929590571272"">paul huff</a>'], 'photo_reference': 'AW30NDznbwd6Rcokly3cGfRLmbtLAA_ojLP2_pWbKz-WN2BEOb9Iphi7kVwJ91UXOOYmusT7I20bQd10cv234K6F72_bnwL_-0MqYNUXu0OJpkGERJpW0h0MiH2GfoFSMEru_XluRMLbr6YpwUuvwW4gPHDFq8c8ExWBJW6ArQlw4ypkfgxo', 'width': 4032}]",ChIJs2fWEa2x-IgR2LPl4kxrqgQ,"{'compound_code': 'X376+Q7 Columbia, SC, USA', 'global_code': '865XX376+Q7'}",1.0,4.3,ChIJs2fWEa2x-IgR2LPl4kxrqgQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",134,"7520 Garners Ferry Road, Columbia",
OPERATIONAL,"{'location': {'lat': 34.0180763, 'lng': -80.9639854}, 'viewport': {'northeast': {'lat': 34.0194610302915, 'lng': -80.96277121970849}, 'southwest': {'lat': 34.0167630697085, 'lng': -80.96546918029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 1997, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100257723506841899582"">I L Perez</a>'], 'photo_reference': 'AW30NDzFU9ZrpRpcxwoIzU5YsN4NOXm7l0BLTBElekAo8BqA6SJpM1qWuzU02Om3ES2gJtA4NK6CwOc0tSLVj_OgB7TndMBW1wKat8wFNjbH81VYF8sh78CXUf3Iuba4GI7GsX1o_fnJ7kBVBx0_2fAjpYGwVf-cDEqb4WNHSX6E0lRhcMBg', 'width': 4032}]",ChIJ-TJDMsCv-IgRN2C0kaWma9E,"{'compound_code': '229P+6C Columbia, SC, USA', 'global_code': '866X229P+6C'}",2.0,4.1,ChIJ-TJDMsCv-IgRN2C0kaWma9E,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",553,"4840 Forest Drive, Columbia",
