business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.9815694, 'lng': -83.004593}, 'viewport': {'northeast': {'lat': 39.9828807302915, 'lng': -83.00314996970849}, 'southwest': {'lat': 39.9801827697085, 'lng': -83.0058479302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Northstar Cafe,{'open_now': True},"[{'height': 3188, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112005185750301526716"">Northstar Cafe</a>'], 'photo_reference': 'AW30NDzptF2PbaT0trox44W67q-Ovsp_SDgACr1T0M5gRhCAUL68SvUJyccP89HkYmSrwspTaLQjT6MaxqVAlU48TXic_l1iBN-26gfMuliNyJ5Ja1xZFMXj994kK6KDnbOr6IZBqSWP9908Lc4Edtq3Beyd9gE5cG2e8_LRl680PCGZyfFz', 'width': 2550}]",ChIJ_Zi8EtqOOIgR2WkIyzCsNO4,"{'compound_code': 'XXJW+J5 Columbus, OH, USA', 'global_code': '86FRXXJW+J5'}",2.0,4.5,ChIJ_Zi8EtqOOIgR2WkIyzCsNO4,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1987.0,"951 North High Street, Columbus",
OPERATIONAL,"{'location': {'lat': 39.9701604, 'lng': -83.00029099999999}, 'viewport': {'northeast': {'lat': 39.97126568029149, 'lng': -82.9988256697085}, 'southwest': {'lat': 39.9685677197085, 'lng': -83.0015236302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105578384603942990809"">Subway</a>'], 'photo_reference': 'AW30NDwSKNuHgLFF0TcgElmN-hJstYI1JRiqzyqpfdfTu-SS3LBOxDhNs4RHRL2gu_n-uqN6Du0lBkyY6fTK6SWmgi--hrcK8YOvrUDxJgnz9Oy8WGw0DeYpv0G34mXXMTLd46elQfywRq1IL_pk9Dh0wK0edp435v1ejWZm9N_LcIs_8ibW', 'width': 1763}]",ChIJSdi3BimPOIgRLACVfuHgOPU,"{'compound_code': 'XXCX+3V Columbus, OH, USA', 'global_code': '86FRXXCX+3V'}",1.0,3.3,ChIJSdi3BimPOIgRLACVfuHgOPU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",46.0,"400 North High Street Space M-3, Columbus",
OPERATIONAL,"{'location': {'lat': 39.97488329999999, 'lng': -83.0032976}, 'viewport': {'northeast': {'lat': 39.97624108029149, 'lng': -83.00183686970848}, 'southwest': {'lat': 39.9735431197085, 'lng': -83.0045348302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Marcella's,{'open_now': True},"[{'height': 459, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110360761016688488343"">Marcella&#39;s</a>'], 'photo_reference': 'AW30NDxrGR0QU7INPh0On3uFakCVf7bKnOQOELxq8VEOVZpKJxc1iecJY6xHyY2LHd6BYIjUVYBbdjJfngER3S6WGhhwnPigqzQubdbs5EBY7OTaUfgULCWLyyPdrImZ1vYJH94IzTc65rbqzukWS4QxzoxsPc0aUaNdgg2uq3BUz1bkGgGT', 'width': 690}]",ChIJ-yIOGyiPOIgRRcqIyo7ohFk,"{'compound_code': 'XXFW+XM Columbus, OH, USA', 'global_code': '86FRXXFW+XM'}",2.0,4.5,ChIJ-yIOGyiPOIgRRcqIyo7ohFk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1788.0,"615 North High Street, Columbus",
OPERATIONAL,"{'location': {'lat': 39.9752358, 'lng': -83.00329909999999}, 'viewport': {'northeast': {'lat': 39.9766213802915, 'lng': -83.0018840697085}, 'southwest': {'lat': 39.9739234197085, 'lng': -83.0045820302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Pearl,{'open_now': True},"[{'height': 288, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112050355052799688930"">The Pearl</a>'], 'photo_reference': 'AW30NDwVOmhfeV3hxndN4V7XsinbKEa03MeR5tBxtiXxvqLMAy2ugMMH_EJOs2TkEj6wZ6UqTSo1Gw_Lvh2LEe-19Zp_b-0OTjcI5-35lSwGef3W2euG0NCMJJyIkxgxH5wqet4lVTvdNZ5AUW7UdnDWVapyoe2tPyfMo76RjOSFvJJ8mWt9', 'width': 512}]",ChIJRa4b_deOOIgRJ7KonAxliHg,"{'compound_code': 'XXGW+3M Columbus, OH, USA', 'global_code': '86FRXXGW+3M'}",2.0,4.6,ChIJRa4b_deOOIgRJ7KonAxliHg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2051.0,"641 North High Street, Columbus",
OPERATIONAL,"{'location': {'lat': 39.97190949999999, 'lng': -83.00289579999999}, 'viewport': {'northeast': {'lat': 39.9732822302915, 'lng': -83.00135846970849}, 'southwest': {'lat': 39.9705842697085, 'lng': -83.0040564302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Barley's Brewing Company,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105416527649493065135"">D J</a>'], 'photo_reference': 'AW30NDz-KKaRc0fz_nZbSyTe7aOEoXxs8SaYW-ntVWkHAlsb8SYisT2QmyaSjWtVjbzvSV0nEweA8s8qlmAd0GzwJyxObSEBx5Jw2Kr75XAXIbbV5VzcAoYI-0VQrbM4ASFISGoyXQ04LMgW4l0bUYaFnly4WWSdqgyszrgCMhC5ome2sz4', 'width': 3666}]",ChIJ7bwgkiiPOIgR5rzouHhhSeo,"{'compound_code': 'XXCW+QR Columbus, OH, USA', 'global_code': '86FRXXCW+QR'}",2.0,4.4,ChIJ7bwgkiiPOIgR5rzouHhhSeo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",793.0,"467 North High Street, Columbus",
OPERATIONAL,"{'location': {'lat': 39.9698408, 'lng': -83.000388}, 'viewport': {'northeast': {'lat': 39.9710896802915, 'lng': -82.99890946970851}, 'southwest': {'lat': 39.9683917197085, 'lng': -83.00160743029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Siam Oriental Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112660510920386076403"">Robert Hamilton</a>'], 'photo_reference': 'AW30NDz4cH3RlqdZFsyGFFy0pXRPDn-vTGxV38O8pQenfy6yhRSQV5TOCooIqtLmJrQVDz9hQiigodA0ziVTo7SN0bEQqevtlZEn1HbvAa4OjEDZeKPqvM-YxLKnJ92mJwfeqE2JFWsJOgPCS-pyfD84_-Pvwi0MYOuoMN598xdaYtnEoClA', 'width': 4032}]",ChIJSdi3BimPOIgRqe0y23wFqEA,"{'compound_code': 'XX9X+WR Columbus, OH, USA', 'global_code': '86FRXX9X+WR'}",,4.0,ChIJSdi3BimPOIgRqe0y23wFqEA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",52.0,"400 North High Street, Columbus",
OPERATIONAL,"{'location': {'lat': 39.97220340000001, 'lng': -83.0043839}, 'viewport': {'northeast': {'lat': 39.9732593302915, 'lng': -83.00316701970848}, 'southwest': {'lat': 39.97056136970851, 'lng': -83.0058649802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nida's Sushi,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111171426021010902163"">Binté Amer</a>'], 'photo_reference': 'AW30NDwHHWN-RGtHlXYjUxkIDMkRJveCnLb3vtz6gwrcwty_FzGeMg_PgjCojY-0rc1e0JRFaSqsugzapMhnTjmz19oHb8xr1Gujbh9pgwqn_dJNXxu5IcbNCY0tsXrYwaVJQw9jwjjZS5NRRZvrOuC2cmCBwEGE6Tz5TgmLjFLYBKqY6qTU', 'width': 4032}]",ChIJt3XuLiaPOIgRINqETmIaGL0,"{'compound_code': 'XXCW+V6 Columbus, OH, USA', 'global_code': '86FRXXCW+V6'}",2.0,2.7,ChIJt3XuLiaPOIgRINqETmIaGL0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",62.0,"59 Spruce Street, Columbus",
OPERATIONAL,"{'location': {'lat': 39.97841559999999, 'lng': -83.0033098}, 'viewport': {'northeast': {'lat': 39.9798016802915, 'lng': -83.00220286970848}, 'southwest': {'lat': 39.9771037197085, 'lng': -83.0049008302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Union Cafe,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106884367944045859425"">Union Cafe</a>'], 'photo_reference': 'AW30NDxOrqfaAp0oGirEtdaUdKa-sooGS816QO9Ijqb7YtBMKv-dzNEN_HUZhHoxFtvgYi7qEdXcCnxwuuwKXinuOi4WJrQONerBKsjSoXjmorrqlnctOIUq0YJHWHGGJ3ifGgn8QaJfLaW5kBQsKzWRQFfxjfctLiKqO__VojPg8FurEQ4m', 'width': 5184}]",ChIJA3T2-tmOOIgRaOedKqtN2mg,"{'compound_code': 'XXHW+9M Columbus, OH, USA', 'global_code': '86FRXXHW+9M'}",2.0,4.0,ChIJA3T2-tmOOIgRaOedKqtN2mg,GOOGLE,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",469.0,"782 North High Street, Columbus",
OPERATIONAL,"{'location': {'lat': 39.9873529, 'lng': -83.0045916}, 'viewport': {'northeast': {'lat': 39.9886747802915, 'lng': -83.00333856970849}, 'southwest': {'lat': 39.9859768197085, 'lng': -83.00603653029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Brothers Drake Meadery,{'open_now': False},"[{'height': 2731, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106269547309793984145"">Brothers Drake Meadery</a>'], 'photo_reference': 'AW30NDz-LIF7jKl2PA38WboJUucz5D4qr-fxPjtTZ5__UEyYdiu4Is0GI06hhSmerTenHURtNae1rwu-ERwkeXCmieUkAWBlUJq36QQ6nZJyX8u7zJtbNyhlUQQWseJA3qp-NShEgfJznHatHJ2Gd6iXZ_CD_UYihNwmNi6n1-0s01Ck5wZC', 'width': 3468}]",ChIJZ4Vvb8WOOIgR4dKPWV-58Ts,"{'compound_code': 'XXPW+W5 Columbus, OH, USA', 'global_code': '86FRXXPW+W5'}",,4.8,ChIJZ4Vvb8WOOIgR4dKPWV-58Ts,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",383.0,"26 East 5th Avenue, Columbus",
OPERATIONAL,"{'location': {'lat': 39.9673451, 'lng': -82.99743699999999}, 'viewport': {'northeast': {'lat': 39.9686898302915, 'lng': -82.9961234197085}, 'southwest': {'lat': 39.9659918697085, 'lng': -82.9988213802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wolf's Ridge Brewing,{'open_now': False},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116659261885707959690"">Wolf&#39;s Ridge Brewing</a>'], 'photo_reference': 'AW30NDxhGM-W2z3ILHx-dgbOkGIm7Je-ItXn4bu32s__XL4FF3xH2TUAlCAO-ffBjsSzjzj9cEEWBOe8-sF-Tt8HQaGNu_mExOv9GEyp1EssX76MHpQ8tRehAkm3_BICwnC0fKM8efKcFa9zPsSeK5EEHAlu9BD7n2qq9iAyd9VuyLvUAASB', 'width': 1365}]",ChIJ3Ss8NSyPOIgRkGoQp2tpiwI,"{'compound_code': 'X283+W2 Columbus, OH, USA', 'global_code': '86FVX283+W2'}",2.0,4.6,ChIJ3Ss8NSyPOIgRkGoQp2tpiwI,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1085.0,"215 North 4th Street, Columbus",
