business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.5458728, 'lng': -84.9460154}, 'viewport': {'northeast': {'lat': 32.5471633302915, 'lng': -84.94452411970848}, 'southwest': {'lat': 32.5444653697085, 'lng': -84.9472220802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Smokey Bones Columbus,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114664884407702873527"">james bernard mcgrady (Groove)</a>'], 'photo_reference': 'AW30NDwhd96F6t62PahPpQM-4JSk5rgaxVahvmIXsS3ZQdooEJdBYjJF4qg1rR-Q4Y63_xrOf9Oq6WlCOsf7HLsT8TFIaqykO7AltAsKmhvEQFUvfcvXvFVK_7bzVUE-cNaH33ITA2cn4uotzbSdfup-NSdQ7-88qONhQlsO1zGCQtXVKRoN', 'width': 4032}]",ChIJQ_24N0rLjIgRXHvA6rK8uaI,"{'compound_code': 'G3W3+8H Columbus, GA, USA', 'global_code': '864QG3W3+8H'}",2.0,4.3,ChIJQ_24N0rLjIgRXHvA6rK8uaI,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2390.0,"5555 Whittlesey Boulevard, Columbus",
OPERATIONAL,"{'location': {'lat': 32.5012399, 'lng': -84.9409246}, 'viewport': {'northeast': {'lat': 32.5024482302915, 'lng': -84.9394484197085}, 'southwest': {'lat': 32.4997502697085, 'lng': -84.9421463802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Einstein Bros. Bagels,{'open_now': False},"[{'height': 700, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101681946117508428954"">Einstein Bros. Bagels</a>'], 'photo_reference': 'AW30NDyeXcm621sMDuGZipPS3ddQGy29E_r3VyblhbnyQYk8KWad2S9XM244n0ql-8OjXNKDAamPfZhi8i048yZi5riiP26IXyRK5g-3ggZ6zSwVYidAVnaMf8eATfvafu34QbWwTsTETnFXFqkP_hfD4sDBXEetKIuxkTq8THaHG5RTlLu4', 'width': 800}]",ChIJP3ENtcrMjIgRyRA57nik3Wc,"{'compound_code': 'G325+FJ Columbus, GA, USA', 'global_code': '864QG325+FJ'}",1.0,2.9,ChIJP3ENtcrMjIgRyRA57nik3Wc,GOOGLE,"['cafe', 'bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",35.0,"4225 University Avenue, Columbus",
OPERATIONAL,"{'location': {'lat': 32.389043, 'lng': -84.9552875}, 'viewport': {'northeast': {'lat': 32.3902687302915, 'lng': -84.9541597197085}, 'southwest': {'lat': 32.3875707697085, 'lng': -84.9568576802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,The National Infantry Museum,{'open_now': False},"[{'height': 638, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100458968130425414452"">The National Infantry Museum</a>'], 'photo_reference': 'AW30NDyyXvbfrDZLbe74a5VJ8G2zXQiGB3OdwIdZqFwGQgpJuVtvGyssD2CGO4NbOrfVZ61CPXACmIidTk1dOdlSziHw7M5duzK3Bb0U9YxVbT4qdheyKiEqK-C9CQCOuKaTEx6FvoLVcKV_oQzJHiWbwhWNXCqne-L8OqUwosU3FavrQKQ', 'width': 960}]",ChIJrbSrMSfTjIgR3nYx4rt_yPA,"{'compound_code': '92QV+JV Columbus, GA, USA', 'global_code': '864Q92QV+JV'}",,4.9,ChIJrbSrMSfTjIgR3nYx4rt_yPA,GOOGLE,"['movie_theater', 'tourist_attraction', 'museum', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",5354.0,"1775 Legacy Way #235, Columbus",
OPERATIONAL,"{'location': {'lat': 32.388514, 'lng': -84.955252}, 'viewport': {'northeast': {'lat': 32.3905885, 'lng': -84.9539164197085}, 'southwest': {'lat': 32.38782250000001, 'lng': -84.95661438029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fife & Drum Restaurant,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115875966160201147511"">Danny Curran</a>'], 'photo_reference': 'AW30NDy9PJ4ZGcxjLueYOH1NrsqfWriZVttxDrfwtgUktBsu-6CQbuBVtpiHdY43K21RzEH-FhRLf53ziLueXRSf1vUid7uOwPauLHjn9scDMxmomluvZH1izNJEdnx9AHnu5eZrct3E2LKFyRiQIIx5AIXG2OujDTdHiLtZyzLHZ5PzPXpr', 'width': 3024}]",ChIJrbSrMSfTjIgRifW_71hwZtY,"{'compound_code': '92QV+CV Columbus, GA, USA', 'global_code': '864Q92QV+CV'}",,4.3,ChIJrbSrMSfTjIgRifW_71hwZtY,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",90.0,"1775 Legacy Way #235, Columbus",
OPERATIONAL,"{'location': {'lat': 32.5580136, 'lng': -84.9048686}, 'viewport': {'northeast': {'lat': 32.5591439302915, 'lng': -84.9036105197085}, 'southwest': {'lat': 32.55644596970851, 'lng': -84.90630848029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2262, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109290885090656214099"">Bryan Hopkins</a>'], 'photo_reference': 'AW30NDzLSxt0MOMIvhdFNdVrzV_haeu8-MoPVEk8_r7SI2nwIlWHh09ig-ssIMvt9QAR1UgniFPKe4G0D6_MhFLNxTo_cpwRljhMSyhqZLqxvsvs3CBwZJC7Bwi-X32eFSFg_vY0SERzi8IGiA7v9g4U-43FxKCyWqQ0mQ4gweIB8ZohZREI', 'width': 2809}]",ChIJZTVGi_A084gRYtiTSqpTWwM,"{'compound_code': 'H35W+63 Columbus, GA, USA', 'global_code': '864QH35W+63'}",1.0,3.4,ChIJZTVGi_A084gRYtiTSqpTWwM,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",123.0,"7590 Schomburg Road, Columbus",
OPERATIONAL,"{'location': {'lat': 32.4809183, 'lng': -84.94401169999999}, 'viewport': {'northeast': {'lat': 32.4822931802915, 'lng': -84.94252576970848}, 'southwest': {'lat': 32.4795952197085, 'lng': -84.9452237302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108524365860537264786"">Scott</a>'], 'photo_reference': 'AW30NDyx9W-I7MX5-VW9L2_BtWS3l0ZQiPonMHTIT0pRvizyeFgJ-zqdOMHmrnAH6svFly98jWvAYWB77mt93B2KA0Z2J0_hQDJeVcTwRMYjVUjlfYLY7ncBG2swETFesNQI66EAtN3oXKvNBYHSz10I_y89ZXWxXb35N1tKwnr1pxabLf2I', 'width': 4032}]",ChIJv4fQbyrNjIgRRPX_f0DcHaw,"{'compound_code': 'F3J4+99 Columbus, GA, USA', 'global_code': '864QF3J4+99'}",2.0,3.8,ChIJv4fQbyrNjIgRRPX_f0DcHaw,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",828.0,"3201 Macon Road, Columbus",
OPERATIONAL,"{'location': {'lat': 32.4663515, 'lng': -84.9937114}, 'viewport': {'northeast': {'lat': 32.4676989302915, 'lng': -84.9921743197085}, 'southwest': {'lat': 32.46500096970851, 'lng': -84.9948722802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Cannon Brew Pub,{'open_now': False},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117162130259030614072"">The Cannon Brew Pub</a>'], 'photo_reference': 'AW30NDwX_qJnkk8pC2u7oqZEkMd1VxBobZOG1IZtIf97oiBdgQqXppLcazZhZpZd-K7wBfGFstRi2e_ygJH39XyaxVyKWeOedVYZ9kaU6p9FJIHpWfwsyIcif6gfWhrKOpwqRM-oduRZf-2NFqLmk6G4saQ-YO7S-A5QHRoGKMkafRFnVmUP', 'width': 1700}]",ChIJ2RYUYLvNjIgRy0drBckfQiU,"{'compound_code': 'F284+GG Columbus, GA, USA', 'global_code': '864QF284+GG'}",2.0,4.3,ChIJ2RYUYLvNjIgRy0drBckfQiU,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2263.0,"1041 Broadway, Columbus",
OPERATIONAL,"{'location': {'lat': 32.4970928, 'lng': -85.0161139}, 'viewport': {'northeast': {'lat': 32.49859423029149, 'lng': -85.0146530697085}, 'southwest': {'lat': 32.4958962697085, 'lng': -85.01735103029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Waffle House,{'open_now': True},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116214234583673369759"">Waffle House</a>'], 'photo_reference': 'AW30NDw6Vb29871mTqZXLpe1Dn27jsS90GiB4Scff1_7Fa9q5wciOGCKYObvgZbbMXq_BoJ8HOteD2fVXSONw829Nu4zxes_-2GUP7mT6BaoDV3mLSdiNenp3V4KJcBM9ho6LmvopVHwna3sGy74YpvObsFuIi4XJ-LrKth7ab8E1kJZEh-p', 'width': 854}]",ChIJOTNMriXMjIgRFmvYAYRuSE4,"{'compound_code': 'FXWM+RH Phenix City, AL, USA', 'global_code': '864PFXWM+RH'}",1.0,4.1,ChIJOTNMriXMjIgRFmvYAYRuSE4,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",558.0,"3707 Summerville Road, Phenix City",
OPERATIONAL,"{'location': {'lat': 32.4221209, 'lng': -84.9451205}, 'viewport': {'northeast': {'lat': 32.4235771302915, 'lng': -84.94380321970849}, 'southwest': {'lat': 32.42087916970851, 'lng': -84.9465011802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109199358874540792618"">Daniela Collier</a>'], 'photo_reference': 'AW30NDwjci7LFkX4JVZ25XzYhTI4do3QPdfr3ONnzFbTr69nIo4IjHS16hPNf_LdY72TM7dbOrYL7y0OFjXpqoBMNh5-7msjEz_bjuhO_U1s0r0aXf58Vb6sSrpsJ_0tSEG-IKcspY6oFvTfXOPx6PTMOm0waq4WyTYk6d0xvABrwhVlJfPA', 'width': 4032}]",ChIJoVcrTKXSjIgR4P4NkH6DH2M,"{'compound_code': 'C3C3+RX Columbus, GA, USA', 'global_code': '864QC3C3+RX'}",1.0,3.7,ChIJoVcrTKXSjIgR4P4NkH6DH2M,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",345.0,"3517 Victory Drive Suite A, Columbus",
OPERATIONAL,"{'location': {'lat': 32.5341214, 'lng': -84.9673967}, 'viewport': {'northeast': {'lat': 32.5354240802915, 'lng': -84.9660620197085}, 'southwest': {'lat': 32.5327261197085, 'lng': -84.96875998029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wasabi Sushi & Thai,{'open_now': True},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101827022635943035313"">Juli Snyder</a>'], 'photo_reference': 'AW30NDxPwQYJ4ylJmRqHXYTQCdLaDfcdo2TMiQ_JC25j1vKjIpCSObePnEvoLncgt4Vq31UfhkumWoF7tE6POqS5iKzg1U2oOJIEfhRt0n3yXiQajAXCqClqfETuzP5PoHg2fpcQsVo-LXUg_qb_-MMTesXFwLPQrMQalwSp3eizZJeWeWlE', 'width': 5344}]",ChIJi6hBVGHLjIgRGiLzILLG4Fs,"{'compound_code': 'G2MM+J2 Columbus, GA, USA', 'global_code': '864QG2MM+J2'}",2.0,4.2,ChIJi6hBVGHLjIgRGiLzILLG4Fs,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",779.0,"1639 Bradley Park Drive #800, Columbus",
