business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.9612646, 'lng': -121.9820641}, 'viewport': {'northeast': {'lat': 37.9626963802915, 'lng': -121.9806661697085}, 'southwest': {'lat': 37.9599984197085, 'lng': -121.9833641302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1438, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115684696663554981559"">shawna armstrong</a>'], 'photo_reference': 'AW30NDykg22UbU72o5Jl0SOIqjKWjgSK7ngm8HvB4dWu-ew3MnTyEQ4nW2flRHY58IDRLMO0cV5d5vCpq_3WMLIUUF6oSL6uetcufxnRsxqAzGGwSGqJQQCU6qJ9NMTOurrJJ5ewXA4LnNMe2N5e5jMutporWrQsVsTX6JPFUvEp8e8POgA', 'width': 1836}]",ChIJ2Xk7zyJehYARCXBPSg5IpHw,"{'compound_code': 'X269+G5 Concord, CA, USA', 'global_code': '849WX269+G5'}",1.0,3.3,ChIJ2Xk7zyJehYARCXBPSg5IpHw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",70.0,"4701C Clayton Road, Concord",
OPERATIONAL,"{'location': {'lat': 37.964019, 'lng': -121.993384}, 'viewport': {'northeast': {'lat': 37.9653123302915, 'lng': -121.9921240197085}, 'southwest': {'lat': 37.9626143697085, 'lng': -121.9948219802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,TOGO'S Sandwiches,{'open_now': True},"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105628601401588360568"">TOGO&#39;S Sandwiches</a>'], 'photo_reference': 'AW30NDxJKyKtR8xT9MzFwu5bvoPNX9xnrSPo1FxQ-IOLMhD0Z8HXnVDdZidks_zRRR-IEEhcQNm0_E98NwWCcJZnFzVnZ3yByij3hcujCYzuugolfH-QdPDeEe9kpE29oTld8tGlALW41kv3BaAiCZ0itEGjK1aK3GSz1LENq0ScGhrterVt', 'width': 1024}]",ChIJgU1Ps6BghYARTRs34b302Ec,"{'compound_code': 'X274+JJ Concord, CA, USA', 'global_code': '849WX274+JJ'}",1.0,4.0,ChIJgU1Ps6BghYARTRs34b302Ec,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",141.0,"4475 Treat Boulevard A, Concord",
OPERATIONAL,"{'location': {'lat': 37.9648359, 'lng': -121.9917833}, 'viewport': {'northeast': {'lat': 37.9662481302915, 'lng': -121.9905300697085}, 'southwest': {'lat': 37.9635501697085, 'lng': -121.9932280302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,ButtercuP,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113306912751960422594"">Anna Zemniakova</a>'], 'photo_reference': 'AW30NDyNrRm8Q2HawxReJPVQJRg_HXDMExoYDsNX6migvhzzIzyYpfhZk992TtBts2r26fzWbsTFoJK8sxJOV0HA7PziyK655mBnXKwyWqrupyRQow5fLP9aJ9jjFgOAKnM-pI_btg4qaf99bppg5KsOvaBsqrV3G4FydyV3dbOID6DE00iG', 'width': 4032}]",ChIJN8bm4x1ehYARR8pjpW2NjFY,"{'compound_code': 'X275+W7 Concord, CA, USA', 'global_code': '849WX275+W7'}",2.0,4.3,ChIJN8bm4x1ehYARR8pjpW2NjFY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",814.0,"4301 Clayton Road, Concord",
OPERATIONAL,"{'location': {'lat': 37.9625328, 'lng': -121.9853892}, 'viewport': {'northeast': {'lat': 37.9639676302915, 'lng': -121.9840787197085}, 'southwest': {'lat': 37.9612696697085, 'lng': -121.9867766802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111766568503796099864"">Hernan Padron</a>'], 'photo_reference': 'AW30NDxuxLhRmhjZGdZJ5DNblfQFFBwF2Qd3_A2zdlftjmDkDMQJNPKOPMTGWQwJIIQ2qNoNcgx1iWxS1fZ3GTREJG3CUczcUmX4UvsQFAhUJghVjoVsZiqnxXYWWJTSJdrqKDrVN9PZZHQqKyzVEjaI3-2pSxDCLgvuNnxp_qmZWVUJmfHu', 'width': 4032}]",ChIJt6e4lxhehYARfDI20GAKpaY,"{'compound_code': 'X277+2R Concord, CA, USA', 'global_code': '849WX277+2R'}",1.0,3.8,ChIJt6e4lxhehYARfDI20GAKpaY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",597.0,"4619 Clayton Road, Concord",
OPERATIONAL,"{'location': {'lat': 37.96379630000001, 'lng': -121.9888144}, 'viewport': {'northeast': {'lat': 37.9651112302915, 'lng': -121.9875307697085}, 'southwest': {'lat': 37.96241326970851, 'lng': -121.9902287302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Pollo Loco,{'open_now': True},"[{'height': 1228, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111675323707180004943"">El Pollo Loco</a>'], 'photo_reference': 'AW30NDzLxqTRbzLKneiybY1NEpIaKOY-kElgRtac9gFmzX77XYALqn1vfm1Ad_eUReUvwjY48PW-r8cMVQXPJT0Sf2VKiOwaOmliF6TxrrfMKbdPqs_R2uzF0ZMxn3y7-eElQHGxntaRybi0MPzrswkczd051JfKodI42XKt6eGCNbsq764j', 'width': 1840}]",ChIJ7zYz7x5ehYARadBxT8P_mTc,"{'compound_code': 'X276+GF Concord, CA, USA', 'global_code': '849WX276+GF'}",1.0,4.2,ChIJ7zYz7x5ehYARadBxT8P_mTc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",799.0,"4401 Clayton Road, Concord",
OPERATIONAL,"{'location': {'lat': 37.963656, 'lng': -121.9941975}, 'viewport': {'northeast': {'lat': 37.9649597302915, 'lng': -121.9927552697085}, 'southwest': {'lat': 37.9622617697085, 'lng': -121.9954532302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100328105449872792068"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDxA2DY__AmeI0MTbdEAOFftUluyc1Vw-L_H_3aZwXx43Gn3lxusjn9gWDsKmorTuoZ42J4ULtykBEWbSbMbEBfx9F1pKua7cb7QrzpJKsit1hSGGaUDirCdaAHG7pJWXQDkDKwsQjwHeXUyfMaweMhqUQFos3atYefYymniyFtelYeS', 'width': 720}]",ChIJgU1Ps6BghYARkODmdDMLoHQ,"{'compound_code': 'X274+F8 Concord, CA, USA', 'global_code': '849WX274+F8'}",1.0,3.6,ChIJgU1Ps6BghYARkODmdDMLoHQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",136.0,"4475 Treat Boulevard Suite E, Concord",
OPERATIONAL,"{'location': {'lat': 37.9783474, 'lng': -121.9925427}, 'viewport': {'northeast': {'lat': 37.97965063029149, 'lng': -121.9912555197085}, 'southwest': {'lat': 37.9769526697085, 'lng': -121.9939534802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109057380279334683987"">Briana</a>'], 'photo_reference': 'AW30NDw-0PpA_RNEpMa-BJCXB3X4yQKmr0JCE6i-EQ8PkSQ-JzGoz6svtSvN-sdRNgaVes-0KG6Ayd08H2rC8gOe8PEt7l0DDgld0NqjmZ_NPiFK1EM_S8A04GL1MWog6YV8zxZltbHpFx6qFC8hwKIPWu9FxbfKFpER7OPCcOPZN7V2PXgK', 'width': 1080}]",ChIJz6rdBgBehYARoHxZkafEGLw,"{'compound_code': 'X2H4+8X Concord, CA, USA', 'global_code': '849WX2H4+8X'}",1.0,2.3,ChIJz6rdBgBehYARoHxZkafEGLw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",35.0,"4115 4125 Concord Ave, Concord",
OPERATIONAL,"{'location': {'lat': 37.9624465, 'lng': -121.9868774}, 'viewport': {'northeast': {'lat': 37.9638220802915, 'lng': -121.9855850197085}, 'southwest': {'lat': 37.96112411970851, 'lng': -121.9882829802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taqueria Los Arcos,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104363633304372241365"">Assaf Barnir</a>'], 'photo_reference': 'AW30NDyUoaih2CAJNt4Gq_4-0HTDV4B5pKE1K7e8I1bgLCflU1pqOH1rKN2N2r5dRfwldX3zFRk5BkCcvLgiVi8mSGlWsNiqQ1W2zVGB_5Ea-HgxsIlTcS8nHL24rZK9qDIueWsPbp4MlL49cEm7Ty8bWGpWhFSjJbBSQaY8QW6eolbSpyZE', 'width': 4048}]",ChIJXx-LtRhehYAR-W2VZJQKRi0,"{'compound_code': 'X267+X6 Concord, CA, USA', 'global_code': '849WX267+X6'}",1.0,4.3,ChIJXx-LtRhehYAR-W2VZJQKRi0,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",389.0,"4530 Clayton Road, Concord",
OPERATIONAL,"{'location': {'lat': 37.96214899999999, 'lng': -121.986029}, 'viewport': {'northeast': {'lat': 37.96358068029149, 'lng': -121.9846591197085}, 'southwest': {'lat': 37.96088271970849, 'lng': -121.9873570802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nation's Giant Hamburgers & Great Pies,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116942675781061200936"">Kirt Gordon Ewing</a>'], 'photo_reference': 'AW30NDwWAIdAeDpiLzEiRCKjmyDGNhtqAVrNtNoaE8E6JZyYAIjwZDbu0Q4BulTwQ_hqjGPSFTjD4RW6g8h2YrxfXf_oemqeLnvkah2VcFG7Ke8mxG4B0yEXNP73vTw4_XkkjyjhjcErOfvShE1RTTVO-BXlAMlf23pMYGwpOJCGNnWo9udV', 'width': 4032}]",ChIJxx5fuxhehYARsTgNx0FPoyw,"{'compound_code': 'X267+VH Concord, CA, USA', 'global_code': '849WX267+VH'}",1.0,4.2,ChIJxx5fuxhehYARsTgNx0FPoyw,GOOGLE,"['bakery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",784.0,"4600A Clayton Road, Concord",
OPERATIONAL,"{'location': {'lat': 37.982771, 'lng': -122.0156676}, 'viewport': {'northeast': {'lat': 37.9841483302915, 'lng': -122.0142603197085}, 'southwest': {'lat': 37.9814503697085, 'lng': -122.0169582802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Digger's Diner Concord,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112620881336026601453"">Digger&#39;s Diner Concord</a>'], 'photo_reference': 'AW30NDyj519ma-UP5ilp6_iVdufTrl7oGc7NUhw9xWw4m6nTSiJvyocyViy773DhK8BUW9gVhNt58ikqoR2dMyEHJbWHYyMnN3DqR4EEr3pXeLuWisE4gxyjNwlIhcVV_rBDcOcrR4AeVMIFrm0WEn7KhmBDF1zWJZIptcaq21ZfHTS6wOzN', 'width': 1080}]",ChIJL6LSdzhnhYARKLGqAUWtsi4,"{'compound_code': 'XXMM+4P Concord, CA, USA', 'global_code': '849VXXMM+4P'}",1.0,4.5,ChIJL6LSdzhnhYARKLGqAUWtsi4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1308.0,"1895 Farm Bureau Road B, Concord",
