business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 26.24900109999999, 'lng': -80.2524873}, 'viewport': {'northeast': {'lat': 26.2503611302915, 'lng': -80.25128241970849}, 'southwest': {'lat': 26.24766316970849, 'lng': -80.2539803802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 909, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112340827479771083805"">Jordan Golding</a>'], 'photo_reference': 'AW30NDy20TIGKci7iTxFK3ldp80J9K7W-uSyjLTnm8qehM5MfbH9vpq7eehrEljV-gFmH1Oh2XpwAPU7jN-IiQcG5bh8kLo22STipG6bVji3gn1R1wReL3d3bdx8DYQqkz6SF3kV9XeFlNcpcblSYtf1AMgjrXmnpGZKfwMmaVVBebAv1srW', 'width': 1343}]",ChIJDfnW5BQF2YgRYehZAeoRx-c,"{'compound_code': '6PXX+J2 Coral Springs, FL, USA', 'global_code': '76RX6PXX+J2'}",2.0,4.4,ChIJDfnW5BQF2YgRYehZAeoRx-c,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1680.0,"1455 North University Drive, Coral Springs",
OPERATIONAL,"{'location': {'lat': 26.2535054, 'lng': -80.25357079999999}, 'viewport': {'northeast': {'lat': 26.2548189802915, 'lng': -80.25210426970848}, 'southwest': {'lat': 26.2521210197085, 'lng': -80.2548022302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Big Bear Brewing Company,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110676804847694570465"">David Whittemore</a>'], 'photo_reference': 'AW30NDzDxOkwoWl2KQYbLCWcV9P17zSyfuZCwOnwXehdr6GMVXbtsJssxdVHoctNIj3TZ7qSguqUqCJCKX1ihwIEoyt8JCGXrZBMQvG-7iakhpuiEfeEzxuNn8L63n726GuZyM20x2JbMHlKxi8vjGryewfvlzF8ti9Ve7ZUw8vMn2wZawbz', 'width': 3024}]",ChIJ774B9D8F2YgR3iRQlk_UPRA,"{'compound_code': '7P3W+CH Coral Springs, FL, USA', 'global_code': '76RX7P3W+CH'}",2.0,4.4,ChIJ774B9D8F2YgR3iRQlk_UPRA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1397.0,"1800 North University Drive, Coral Springs",
OPERATIONAL,"{'location': {'lat': 26.2528656, 'lng': -80.2523192}, 'viewport': {'northeast': {'lat': 26.2541507802915, 'lng': -80.2510805197085}, 'southwest': {'lat': 26.2514528197085, 'lng': -80.2537784802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113310454615224593574"">Abigail Jiron</a>'], 'photo_reference': 'AW30NDyCuviT4kdF2y2YyDG4Uyyb91-xlEf8GD49N0wBrdjJnvY48id0igYGTAphWG0aypvQBdLMg9908xDN4aX3usGpHV8dDuTAHMq2y2EbhZ0Fai5A7U5QwF8dsdK6rdBp-KrImG8OeHl0PDH9_touXSb63vPymyvXS2LXybGCU1m9KxYD', 'width': 3024}]",ChIJdUvb3D8F2YgR7WeP6FTadV8,"{'compound_code': '7P3X+43 Coral Springs, FL, USA', 'global_code': '76RX7P3X+43'}",1.0,4.0,ChIJdUvb3D8F2YgR7WeP6FTadV8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1213.0,"1775 North University Drive, Coral Springs",
OPERATIONAL,"{'location': {'lat': 26.2721412, 'lng': -80.2641186}, 'viewport': {'northeast': {'lat': 26.2735723302915, 'lng': -80.2627347697085}, 'southwest': {'lat': 26.2708743697085, 'lng': -80.26543273029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104726891196186531874"">Charlie Brown</a>'], 'photo_reference': 'AW30NDwRijJmVwFkkOqXgWk97xYedGetiKL1WG98PNX1tsU7fef0A9H583FvJBvW4S5VmpSEh0kh1kEUO90IdGg4sFUdzpFRNvdRoGR2_1XY_uHkpHFJW_5N6JDvHOlEW9d5jmmriCKNeBRwa-eZ5hCOJIQbjT2gP15Iwod7cSHIavtKbeiX', 'width': 4032}]",ChIJW_Hpv00F2YgR-IRRm6i2TvY,"{'compound_code': '7PCP+V9 Coral Springs, FL, USA', 'global_code': '76RX7PCP+V9'}",1.0,3.8,ChIJW_Hpv00F2YgR-IRRm6i2TvY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",271.0,"10344 West Sample Road, Coral Springs",
OPERATIONAL,"{'location': {'lat': 26.251285, 'lng': -80.253996}, 'viewport': {'northeast': {'lat': 26.2525490802915, 'lng': -80.25262291970849}, 'southwest': {'lat': 26.2498511197085, 'lng': -80.25532088029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109449211661452310815"">ChrisP Tacos84</a>'], 'photo_reference': 'AW30NDyKTbqsnWoniYswjJHHTDRBZ67WutKyfHDeAW_itFaTCDH4NnaeYGvPN9T9wkXZ6BOZ0ErnK6pDEiGLKKqWgys4yIIK14t3SPo47FvUUTws9o4GHyAiS3Lck_Ls9ho-bGkBAFuPSl4lA2SreKYw6vi8FX8FsNe7vjgkcF-BaBQZnQXV', 'width': 4096}]",ChIJnZH2NRUF2YgR4wt2ZegUbYc,"{'compound_code': '7P2W+GC Coral Springs, FL, USA', 'global_code': '76RX7P2W+GC'}",2.0,4.0,ChIJnZH2NRUF2YgR4wt2ZegUbYc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2174.0,"1650 North University Drive, Coral Springs",
OPERATIONAL,"{'location': {'lat': 26.256021, 'lng': -80.252426}, 'viewport': {'northeast': {'lat': 26.2573612302915, 'lng': -80.25102801970849}, 'southwest': {'lat': 26.2546632697085, 'lng': -80.25372598029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103377552674175948620"">Michael Bush</a>'], 'photo_reference': 'AW30NDz8l0LZ2oaUDLENdu-V6FJZN8bLXRQhi-VXgOzmzCKaRZ_u3rrJWo8iReh7j9ZquxbKq2mAJXfsvNDoWDr8T48Rr8xb5yI8BTi1NGyI9JPetu5oaU7YYT1L3Q19JOrmiv3EqObBwNua2TBUNg7XqYary3mKe5iBOAC1wAP7P_zF0uDe', 'width': 4000}]",ChIJweUKBT8F2YgRT3N92a0qI5s,"{'compound_code': '7P4X+C2 Coral Springs, FL, USA', 'global_code': '76RX7P4X+C2'}",2.0,4.0,ChIJweUKBT8F2YgRT3N92a0qI5s,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2406.0,"2000 North University Drive, Coral Springs",
OPERATIONAL,"{'location': {'lat': 26.2506047, 'lng': -80.25249459999999}, 'viewport': {'northeast': {'lat': 26.2519133802915, 'lng': -80.2512975697085}, 'southwest': {'lat': 26.2492154197085, 'lng': -80.2539955302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116686951981039054243"">Maichan Official</a>'], 'photo_reference': 'AW30NDxcLrwbrypsLDnUBs7OH4-UhnBne7iHHG9Io8kbOoX5ljS7S-0CAU5NWopdRj3KzNMIzP3Ulh4jSRgFJ5CrBCtH8Se3aVuCLRDTB25QGH8u1yE7Ve-jrwKPlLljW6-MXYoz3KAObOF83Xr2iQzI8lbKRDwpkdnXsOIGXG-gc0YcHyXA', 'width': 4032}]",ChIJ25UyEBUF2YgR5ZztoDnCHXU,"{'compound_code': '7P2X+62 Coral Springs, FL, USA', 'global_code': '76RX7P2X+62'}",2.0,4.3,ChIJ25UyEBUF2YgR5ZztoDnCHXU,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3305.0,"1555 North University Drive, Coral Springs",
CLOSED_TEMPORARILY,"{'location': {'lat': 26.2600833, 'lng': -80.2493559}, 'viewport': {'northeast': {'lat': 26.2614445802915, 'lng': -80.2481044697085}, 'southwest': {'lat': 26.2587466197085, 'lng': -80.2508024302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDwPM1bKkF2T4lztSR4s_U0SAAAB4NL1qnzwWuZimJEg84SNZoRANEw5bk4-2OmTeoRq7rDOp7crPr1-Wj2cX5NytcMcxbxo6xgdyYET4Vc6gBvxQ3qAbXYk1kYgbTNVwSbUNudb0oTClWcE-bGj9e3BGVJF_BAfQu4Q5NTTR-XlXwyu', 'width': 4032}]",ChIJ0eGlbjkF2YgRDUrhtAgxydQ,"{'compound_code': '7Q62+27 Coral Springs, FL, USA', 'global_code': '76RX7Q62+27'}",1.0,3.7,ChIJ0eGlbjkF2YgRDUrhtAgxydQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",64.0,"2359 North University Drive, Coral Springs",True
OPERATIONAL,"{'location': {'lat': 26.2549003, 'lng': -80.2510801}, 'viewport': {'northeast': {'lat': 26.2563595302915, 'lng': -80.2498848697085}, 'southwest': {'lat': 26.2536615697085, 'lng': -80.25258283029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fins & Things Caribbean Seafood Bar & Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105048629235359147847"">Deepti Agarwal</a>'], 'photo_reference': 'AW30NDwxQez2a1b1uR669plJbX7p9Pqa9YS7RbmLN49VhqwD6mjrzs4JwtXwBLPK6z8sw_RiRFCZC2reHlgfkRQo1stZ7lvggPq1Vqz4ALjpQ7v1YqjSJLhnaZ6OuQi1BojSsgcF8-3nksZfIndkCvmUYi4Nu1a4jrfaxhhDtHD3-bHv_s5j', 'width': 4032}]",ChIJHYeBcA0G2YgRFk7DcHjICNk,"{'compound_code': '7P3X+XH Coral Springs, FL, USA', 'global_code': '76RX7P3X+XH'}",2.0,3.9,ChIJHYeBcA0G2YgRFk7DcHjICNk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",792.0,"1933 North University Drive, Coral Springs",
OPERATIONAL,"{'location': {'lat': 26.27199, 'lng': -80.255736}, 'viewport': {'northeast': {'lat': 26.2734643302915, 'lng': -80.25438606970849}, 'southwest': {'lat': 26.2707663697085, 'lng': -80.25708403029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Ginger Asian Bistro,{'open_now': True},"[{'height': 820, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108201797550094821281"">Red Ginger Asian Bistro</a>'], 'photo_reference': 'AW30NDzIdT-xWWoA3VW8zhHYsJno_Z1ykcBPL2YUlOp-pcMTM9QJzJywpyQsFTTG6fY_MAkoPP0Lq5g8lHIMZoDQ8mDS-OkRG2n5_9FCvyRUth3veVG650AN2ehyUVnLS6UVLmPgyKg1AQXNaB7lpFlf0Z1XxTokwkL7DWrkOTdyEKi3M5sl', 'width': 1280}]",ChIJr-H8akoF2YgRszYn7UONJiE,"{'compound_code': '7PCV+QP Coral Springs, FL, USA', 'global_code': '76RX7PCV+QP'}",2.0,4.3,ChIJr-H8akoF2YgRszYn7UONJiE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1075.0,"9710 West Sample Road, Coral Springs",
