business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 27.7959504, 'lng': -97.08731949999999}, 'viewport': {'northeast': {'lat': 27.7972891802915, 'lng': -97.08588186970849}, 'southwest': {'lat': 27.79459121970849, 'lng': -97.08857983029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Black Marlin Bar and Grill,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116515593791307953060"">Abby Lewis</a>'], 'photo_reference': 'AW30NDxDc5Iy5vrICRvTWF_w5lxEXNvswTajdX_J86ikemUiX6CHCi-IQwcbr0rLJ0sbJZh80nuLzu1OkVGcqhi2ZWEH-4_m1o6DPm9kRRDcOp95PtIVv0U3kPBYryegK3fxm_L1FKAoNlgBuzeMc1n2bsntyKXGePBEdXlR1-qFh9A8bphk', 'width': 3024}]",ChIJC--x-CuraYYRc2o48Wno4As,"{'compound_code': 'QWW7+93 Port Aransas, TX, USA', 'global_code': '76V4QWW7+93'}",2.0,4.3,ChIJC--x-CuraYYRc2o48Wno4As,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",323.0,"258 Snapdragon, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.8073768, 'lng': -97.08625789999999}, 'viewport': {'northeast': {'lat': 27.8085514302915, 'lng': -97.08502866970848}, 'southwest': {'lat': 27.8058534697085, 'lng': -97.0877266302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Phoenix Restaurant & Bar,{'open_now': False},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115593950233668587655"">Kent Wells</a>'], 'photo_reference': 'AW30NDwvQVkaJ5eVZpS02LCCql5LawljxybM26KHcREdtfVbX4uBOg7eEAXbgen7b8KOC-7ilyd6_2RmHcDGO5ucM_cguIjOf3Z66A_FAGj9tX0R7QJf8sOmrVqhYgbYz4ziMhwZ0QvN87Di-lrFMA-j5XC2gFnip0dHEZ0kHdeKgxebK7lr', 'width': 2048}]",ChIJI7t74GKraYYRLiAR1TANWyI,"{'compound_code': 'RW47+XF Port Aransas, TX, USA', 'global_code': '76V4RW47+XF'}",,4.3,ChIJI7t74GKraYYRLiAR1TANWyI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",212.0,"3500-A Island Moorings Parkway, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.7736623, 'lng': -97.10639429999999}, 'viewport': {'northeast': {'lat': 27.7749541802915, 'lng': -97.10517946970849}, 'southwest': {'lat': 27.7722562197085, 'lng': -97.1078774302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lisabella's Bistro and Bar,{'open_now': False},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113066343046878263526"">Mark Feferman</a>'], 'photo_reference': 'AW30NDwt9JjB9HBpoYX3kN_9Pdw1ye032MvWD20txMfITJlWYrApH3IHPO-qV6HFhlppyyUsSdYauFb5JOvrn7wyUGNSce1Xwsg16bGhJQcApRxcGOIMnN-ZhNQUzNSA80jAxafrexfcsbupJbX3dryOm4ZQzJL98ocz-sD19Q7bx-Xe2ugb', 'width': 2736}]",ChIJY9u4ZX2raYYR1gmYpDHpF24,"{'compound_code': 'QVFV+FC Port Aransas, TX, USA', 'global_code': '76V4QVFV+FC'}",2.0,4.3,ChIJY9u4ZX2raYYR1gmYpDHpF24,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",157.0,"5009 Texas 361, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.7740563, 'lng': -97.10694389999999}, 'viewport': {'northeast': {'lat': 27.7754424802915, 'lng': -97.10556786970848}, 'southwest': {'lat': 27.7727445197085, 'lng': -97.1082658302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dylan's Coal Oven Pizzeria,{'open_now': True},"[{'height': 3600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116872885535543293924"">Dylan&#39;s Coal Oven Pizzeria</a>'], 'photo_reference': 'AW30NDw6JA5vDB1cSHG70URHCJ_hsWJ2WpVcXsTh0NUZlmELPC-EnwAgEbejJoNFy1-So6SK-HcSGkuhDZV9O5RcHAWu_mf6InneVagJgmlNtMbs9rPrTbuz7xgK7A8IqW5e4YLYxM_h3Og19YZMG32EWYHDTh1jXSEiD-xiTc1abbE3SUq_', 'width': 2403}]",ChIJieitfANVaIYRAlpT9TnlR6Q,"{'compound_code': 'QVFV+J6 Port Aransas, TX, USA', 'global_code': '76V4QVFV+J6'}",,4.5,ChIJieitfANVaIYRAlpT9TnlR6Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",277.0,"128 Market Street suite d, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.7710835, 'lng': -97.1047993}, 'viewport': {'northeast': {'lat': 27.7723820302915, 'lng': -97.1033701197085}, 'southwest': {'lat': 27.7696840697085, 'lng': -97.10606808029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,C Bar Cafe,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109407643595326092289"">John Ydo</a>'], 'photo_reference': 'AW30NDw3lkawwfBriWnHSf3OOr8kyTG9AS8Qm6nJMfgRN64ILHfb1HHNBfqDZQx6uemo1RddO94WQ4alOBvdYd24lyWyT5VOlzjzL5Hd6Hzx-iGxSgElTXt9RsLCgbAiu6BDl7hhwZ8Hm18hPmSwPMBBC1zCDehgZOSQXO4SrTshm99dDoYt', 'width': 3024}]",ChIJ72xe8jlVaIYR90NmXUTfYZM,"{'compound_code': 'QVCW+C3 Port Aransas, TX, USA', 'global_code': '76V4QVCW+C3'}",,4.4,ChIJ72xe8jlVaIYR90NmXUTfYZM,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",55.0,"169 Seaside Drive, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.8060422, 'lng': -97.082421}, 'viewport': {'northeast': {'lat': 27.80728583029151, 'lng': -97.0812834697085}, 'southwest': {'lat': 27.8045878697085, 'lng': -97.0839814302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,7-Eleven,{'open_now': True},"[{'height': 579, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115673690202074641797"">7-Eleven</a>'], 'photo_reference': 'AW30NDzOj2mA5D7-m3tLrVBXRyglt8SQS8oDs6Ba8JE_NICmAuElKySd23gxrARJbhMuEj7X-qFWfwf7_Ub1YP_QBHdaVq00DaXN7Qyi-KjmlhP56QedezTcaHvfH4rF9QpoV-2EDJM9CeQDHk11LeT233tuDlBgINA0j3j6yoFNuW68LX72', 'width': 864}]",ChIJQVl66c6raYYRMcW6kZ28NVg,"{'compound_code': 'RW49+C2 Port Aransas, TX, USA', 'global_code': '76V4RW49+C2'}",,,ChIJQVl66c6raYYRMcW6kZ28NVg,GOOGLE,"['convenience_store', 'gas_station', 'liquor_store', 'bakery', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,"3501 Texas 361, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.8055874, 'lng': -97.0801876}, 'viewport': {'northeast': {'lat': 27.8070207802915, 'lng': -97.0789681197085}, 'southwest': {'lat': 27.8043228197085, 'lng': -97.08166608029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Jackfish Cart Rentals,{'open_now': True},"[{'height': 2912, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117283619482517592082"">Jackfish Cart Rentals</a>'], 'photo_reference': 'AW30NDwkXSznHV6gpCcg7Sp36EwX0PAEbYwu1yJLQ35HOnbZGkJu9OwNDufHW05cmeVmh8tQz57cNtiA9Q9Tr8uLp62HmjF6jc_W-wDqtG4xpiynwd9pG9f67u1MPXyJ_sMp7KlcO1wR8g96Ny4_GE0OxeaPipakhrmUCgqpjdzriadVGrNC', 'width': 4317}]",ChIJbbXHXTqraYYRbcY9WshapZQ,"{'compound_code': 'RW49+6W Port Aransas, TX, USA', 'global_code': '76V4RW49+6W'}",,4.0,ChIJbbXHXTqraYYRbcY9WshapZQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",139.0,"3411 Eleventh Street, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.7959504, 'lng': -97.08731949999999}, 'viewport': {'northeast': {'lat': 27.7972891802915, 'lng': -97.08588186970849}, 'southwest': {'lat': 27.79459121970849, 'lng': -97.08857983029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Black Marlin Bar and Grill,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116515593791307953060"">Abby Lewis</a>'], 'photo_reference': 'AW30NDxhZMqR_UY103Z8ORlMNYUUDjGzpd2eDcEX-jcm-fVztloEbY-ERFLu1EEHPs_sJOAnhyTbuHuQE6a0mij3H4B_sBS1Pr0kcLlUzqNvd2BZDhiylakoKs_QE6t70Csmvpqm9B_1cIGXleJeDpguxJnXzBYd6m_jNzwnu8fteIxwTuv_', 'width': 3024}]",ChIJC--x-CuraYYRc2o48Wno4As,"{'compound_code': 'QWW7+93 Port Aransas, TX, USA', 'global_code': '76V4QWW7+93'}",2.0,4.3,ChIJC--x-CuraYYRc2o48Wno4As,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",323.0,"258 Snapdragon, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.8073768, 'lng': -97.08625789999999}, 'viewport': {'northeast': {'lat': 27.8085514302915, 'lng': -97.08502866970848}, 'southwest': {'lat': 27.8058534697085, 'lng': -97.0877266302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Phoenix Restaurant & Bar,{'open_now': False},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115593950233668587655"">Kent Wells</a>'], 'photo_reference': 'AW30NDzMWXjXocvOC0SM0ZWRO8nt1lNOCRX3lq7YINsLm9NPwZB-qiNS88Zk2bvNl6uVuU-YWGpV3-o6kdTeG8y8ghbigdxd25aqjA6MgVuwvG5B3bWY1Iei1LT6Va3HcvaMJ9yo1t7Jtuvr18S3IRVAOWQYafKZ7oQj0h283_efKkYmpK9C', 'width': 2048}]",ChIJI7t74GKraYYRLiAR1TANWyI,"{'compound_code': 'RW47+XF Port Aransas, TX, USA', 'global_code': '76V4RW47+XF'}",,4.3,ChIJI7t74GKraYYRLiAR1TANWyI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",212.0,"3500-A Island Moorings Parkway, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.7736623, 'lng': -97.10639429999999}, 'viewport': {'northeast': {'lat': 27.7749541802915, 'lng': -97.10517946970849}, 'southwest': {'lat': 27.7722562197085, 'lng': -97.1078774302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lisabella's Bistro and Bar,{'open_now': False},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113066343046878263526"">Mark Feferman</a>'], 'photo_reference': 'AW30NDxJaGYn80y_OvR9nMxMfsHOiQfhf4bBfiK6kpsnePlErXURXSMT3HLUk4MqeJ9E7SwweDTKO3zyTqLMxb_I1Xs_YlUOeJRqpBH40oDYXQz02jcCGlTne3pxKlmMiXwjlIHP1VzWrN_A-ViNspXf1onNAhk9T92asXlSMBKIn6ILBhRJ', 'width': 2736}]",ChIJY9u4ZX2raYYR1gmYpDHpF24,"{'compound_code': 'QVFV+FC Port Aransas, TX, USA', 'global_code': '76V4QVFV+FC'}",2.0,4.3,ChIJY9u4ZX2raYYR1gmYpDHpF24,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",157.0,"5009 Texas 361, Port Aransas",
OPERATIONAL,"{'location': {'lat': 27.7526773, 'lng': -97.11848649999999}, 'viewport': {'northeast': {'lat': 27.7539953302915, 'lng': -97.1170816697085}, 'southwest': {'lat': 27.7512973697085, 'lng': -97.1197796302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cbar Too,,,ChIJ69eL3L1VaIYRGZ-zY75d-rA,"{'compound_code': 'QV3J+3J Port Aransas, TX, USA', 'global_code': '76V4QV3J+3J'}",,,ChIJ69eL3L1VaIYRGZ-zY75d-rA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"225 Coastline Drive, Port Aransas",
