business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 33.65225059999999, 'lng': -117.9186521}, 'viewport': {'northeast': {'lat': 33.6536157302915, 'lng': -117.9172963197085}, 'southwest': {'lat': 33.6509177697085, 'lng': -117.9199942802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Norm's Restaurant,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115950067502473050418"">David Mudd</a>'], 'photo_reference': 'AW30NDzzvxzJH6er57hDSV7cnr8_XcpkQxJfUB18J4w3H7unV1XPRt6qMQqh1SRdwGuibzlydTk48TQn38P1CGfuCdOhx7AjyZwOhm60whq_A3xK5p0HcdZbqnpYspB3GL9QfArNVltcYMAdruo47uDasCDK31gEccm25UI0CpJEnHtx2Vx1', 'width': 4032}]",ChIJofvhKYLf3IARiH2LFp_sCDk,"{'compound_code': 'M32J+WG Costa Mesa, CA, USA', 'global_code': '8554M32J+WG'}",1.0,4.2,ChIJofvhKYLf3IARiH2LFp_sCDk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2874.0,"2150 Harbor Boulevard, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.6718122, 'lng': -117.9197631}, 'viewport': {'northeast': {'lat': 33.67318508029149, 'lng': -117.9183456697085}, 'southwest': {'lat': 33.67048711970849, 'lng': -117.9210436302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gina's Pizza and Pastaria,{'open_now': True},"[{'height': 4008, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115037429872867701269"">Tyler Newton</a>'], 'photo_reference': 'AW30NDym7GIpnZRcqdxVEfSxoEBCpVZImz3zVYIkGl0X9ovODrOc2JR1iLKiDtmP6M7GYEeMczxhsrs3RMexJXkHqvTBvKeifAql3G5EIaN_alCLu7hsrVpSAJ224PXCw7C6HIP473HO3CVLrNzymhOGWCkEutbyGb_UNln6drMwTydZ7TXt', 'width': 5344}]",ChIJ0ShDJWHf3IARtXw9nSMxtYc,"{'compound_code': 'M3CJ+P3 Costa Mesa, CA, USA', 'global_code': '8554M3CJ+P3'}",2.0,4.4,ChIJ0ShDJWHf3IARtXw9nSMxtYc,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",202.0,"2701 Harbor Boulevard, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.6502302, 'lng': -117.9113752}, 'viewport': {'northeast': {'lat': 33.65152038029149, 'lng': -117.9099426197085}, 'southwest': {'lat': 33.64882241970849, 'lng': -117.9126405802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sushi Wave,{'open_now': True},"[{'height': 1052, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103945083023172624850"">Sushi Wave</a>'], 'photo_reference': 'AW30NDwcxXdLmnLT0A4hVQm6tvF_2-Sjlj9IB8Phy_-PuSJY44FG9fWUt_tK4JcnIx3_9nDhAoKNZeyQMWim6Qb1oL4isNBZMYOLY9hTBetUtrGyt-ojR9JShY0OHj1FPooXuUlZyIsJCglVt7qAPXgbo5C5A7a6zo2vV3L1FsjT7UTElW6G', 'width': 1582}]",ChIJH1YNOJvf3IARYwlh892e4PU,"{'compound_code': 'M32Q+3C Costa Mesa, CA, USA', 'global_code': '8554M32Q+3C'}",2.0,4.3,ChIJH1YNOJvf3IARYwlh892e4PU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",312.0,"2075 Newport Boulevard #108, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.6541513, 'lng': -117.9188129}, 'viewport': {'northeast': {'lat': 33.6554232802915, 'lng': -117.9174579697085}, 'southwest': {'lat': 33.6527253197085, 'lng': -117.9201559302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Newport Rib Company,{'open_now': True},"[{'height': 3062, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107750007479317577782"">Newport Rib Company</a>'], 'photo_reference': 'AW30NDyfuzwHJM115aV7HSihFHvy7VVGP5emUuGlh_TmIeOkxeqbYxKAYJdbaLz60_U6WGzd_bdnFT39_o5CP_8MsDdKo4GbeiehQGr2d7XU3MPifIZpUA17efm6F1n9wK7Zp9tEc1_Y8Wt7IXkGMOuJjekjK2SWGFKNS8sCAqxO4M8mehW3', 'width': 4998}]",ChIJO8tXGoLf3IARhyRC-0n96e4,"{'compound_code': 'M33J+MF Costa Mesa, CA, USA', 'global_code': '8554M33J+MF'}",2.0,4.4,ChIJO8tXGoLf3IARhyRC-0n96e4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",785.0,"2196 Harbor Boulevard, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.6697473, 'lng': -117.9209328}, 'viewport': {'northeast': {'lat': 33.6711428302915, 'lng': -117.9195814697085}, 'southwest': {'lat': 33.6684448697085, 'lng': -117.9222794302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Great Mex,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116909237033793061974"">Great Mex</a>'], 'photo_reference': 'AW30NDxCfRC2J3lQurTtNxCKQTv5zyQXgXrgnuVSefNq4WUctjpmfvWe41_G6S6y222Td3SHvEVp_XBKWHjg4AuR-lBKlazaQXlUHKyPk0CSUPJb_vxbClZJghXbrptrJhTmL85afB_a3LntoqH5y0Xt8tB6fXkIuRWuBQiGxFmqX5dcFqxi', 'width': 4032}]",ChIJQ80AY2Hf3IARUZuE7J_23lU,"{'compound_code': 'M39H+VJ Costa Mesa, CA, USA', 'global_code': '8554M39H+VJ'}",1.0,4.1,ChIJQ80AY2Hf3IARUZuE7J_23lU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",162.0,"1525 Mesa Verde Drive East #117, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.6783351, 'lng': -117.9070552}, 'viewport': {'northeast': {'lat': 33.6797868302915, 'lng': -117.9057394697085}, 'southwest': {'lat': 33.6770888697085, 'lng': -117.9084374302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116404794629028839028"">Subway</a>'], 'photo_reference': 'AW30NDz9YtCetYdk6vf1wvY-FBS8wc5K__4nFKHD8xfcBQKQbiM_NFBVR6Dn5huGgAmNUtA1q8hd71P1_GR-FMUU5WtOVaDPZY6Ig2wrwTF3N5y3APiSPqk9TiPthJi2y7dVfBlK7ADeGg0B3XBsQBzjLZ5PPsNIfuSYNIn5GgMPwG_-xaCJ', 'width': 1600}]",ChIJ5Z-25EHf3IARM5Yuc7NNmTk,"{'compound_code': 'M3HV+85 Costa Mesa, CA, USA', 'global_code': '8554M3HV+85'}",1.0,3.7,ChIJ5Z-25EHf3IARM5Yuc7NNmTk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",49.0,"1175 Baker Street Space E23, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.66245399999999, 'lng': -117.897225}, 'viewport': {'northeast': {'lat': 33.66383998029149, 'lng': -117.8957960197085}, 'southwest': {'lat': 33.6611420197085, 'lng': -117.8984939802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104231803802346167276"">Management</a>'], 'photo_reference': 'AW30NDxuMYqLJGMyY6HjwIx4Tf4jXSuUdXyQLNIlcg_okkVTIO5RgJkDHzhoaCrjpxduCaiZnEGrseAobwM6cMXEvLvhuyidA78c_Q8P1PgxdUMoP_7-RpOVRsflC7a2dXLhb5-cFlnv5QCQi480l1x5PvHsOFV7Z0gBTlvK67eUlHYjarA', 'width': 1920}]",ChIJ768QSgrf3IARPPWCNs1Kzy0,"{'compound_code': 'M463+X4 Costa Mesa, CA, USA', 'global_code': '8554M463+X4'}",2.0,4.3,ChIJ768QSgrf3IARPPWCNs1Kzy0,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",378.0,"2590 Newport Boulevard, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.6480566, 'lng': -117.9197085}, 'viewport': {'northeast': {'lat': 33.6493472302915, 'lng': -117.9183718697085}, 'southwest': {'lat': 33.6466492697085, 'lng': -117.9210698302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Dragon,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112113813502704049290"">Amy Kaulius</a>'], 'photo_reference': 'AW30NDwb_dhR-bBZ0kegRkRUF24Yh5QF20-D5AIMIC-Lz3THDmBlhxbKGN9S91hRJPqVyUGxY0thEf7WRTahgRozwS_qQfIOQtmISyneF8YzlX0Nlg_BcAtPeSIjNJVAnT-SWRg7W3ZDyyZiS7IhV7qSKv_XPpWPNR--wzncnq3kLkt7pOdM', 'width': 4032}]",ChIJYbh9l4bf3IAR_uWRcoXUjRc,"{'compound_code': 'J3XJ+64 Costa Mesa, CA, USA', 'global_code': '8554J3XJ+64'}",2.0,4.4,ChIJYbh9l4bf3IAR_uWRcoXUjRc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",566.0,"2023 Harbor Boulevard, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.6730026, 'lng': -117.9196661}, 'viewport': {'northeast': {'lat': 33.67426648029149, 'lng': -117.9182975697085}, 'southwest': {'lat': 33.67156851970849, 'lng': -117.9209955302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Boston Market,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117837244703828589195"">Rich Lopez</a>'], 'photo_reference': 'AW30NDz5OjadYkji7g1tya87bipVGQ7BKgrQZCz1gDNcuas87EPatHzLu00wtNgRjEj9OPxGgLRUh02llHX4VgpcFh0xz8jKqkYBsKBX5nzktzSdB7Z6uCSrDNOUD77nJU4vfZx4KD7UZsMAbrde1FwuCjX8oSOusweLMFdqHJD8TWkLMrUd', 'width': 1920}]",ChIJO6rQ1mDf3IARxAylvpDoCWU,"{'compound_code': 'M3FJ+64 Costa Mesa, CA, USA', 'global_code': '8554M3FJ+64'}",1.0,3.7,ChIJO6rQ1mDf3IARxAylvpDoCWU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",282.0,"2799 Harbor Boulevard, Costa Mesa"
OPERATIONAL,"{'location': {'lat': 33.65807770000001, 'lng': -117.9187307}, 'viewport': {'northeast': {'lat': 33.6593831302915, 'lng': -117.9173405197085}, 'southwest': {'lat': 33.6566851697085, 'lng': -117.9200384802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 1808, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105813643355213494398"">Mehrdad Amanabi</a>'], 'photo_reference': 'AW30NDxc9TjX87IsV9C-N9Axmnwn92A_3-vGpwguvefijHEJ8cYXBL7pFbzPxCdgtcK_gJjy_WBf8qA7-jm6-apydgNzZIjzIXimBm3BIo6CngLY0PdDRdw3OfRVswleRD6EWcA-kAX-mHrFXIZh3SgvcMY8xZEvRR6JK6J1-7X8ILehnw1h', 'width': 3636}]",ChIJG4pS037f3IAROn-PpZGJ51o,"{'compound_code': 'M35J+6G Costa Mesa, CA, USA', 'global_code': '8554M35J+6G'}",1.0,4.1,ChIJG4pS037f3IAROn-PpZGJ51o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",540.0,"2300 Harbor Boulevard Ste L1, Costa Mesa"
