business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.79405, 'lng': -96.7499028}, 'viewport': {'northeast': {'lat': 32.7953433802915, 'lng': -96.74825591970848}, 'southwest': {'lat': 32.7926454197085, 'lng': -96.75095388029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kalachandji's,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116490022355742585329"">Kalachandji&#39;s</a>'], 'photo_reference': 'AW30NDyyPQlOHhJiOqm-2WlBs2JULI7IAruqVVQCtN4tZE9cArYTdXOH8mjpdgzL1KEpVq3EWZx8Vv5H-aWqtAsS7ECefBj3Ai1xKKStN5bnsEfEpCoZfRinfaELl-ST_4HaNJ9JTPnE1hYyTFaAtv6iDKmPjMDnnoAT4wMN-2JQlzLEXqSo', 'width': 2048}]",ChIJhax9jqeYToYROcmVujU8wVo,"{'compound_code': 'Q7V2+J2 Dallas, TX, USA', 'global_code': '8645Q7V2+J2'}",1.0,4.7,ChIJhax9jqeYToYROcmVujU8wVo,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",2136.0,"5430 Gurley Avenue, Dallas",
OPERATIONAL,"{'location': {'lat': 32.78300710000001, 'lng': -96.7855034}, 'viewport': {'northeast': {'lat': 32.78423593029151, 'lng': -96.78412346970849}, 'southwest': {'lat': 32.78153796970851, 'lng': -96.7868214302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Twisted Root Burger Co.,{'open_now': True},"[{'height': 1267, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117019720736166275096"">Twisted Root Burger Co.</a>'], 'photo_reference': 'AW30NDx3nrlLf6Xf8IjF_ZlZ1pPLRPQd3OkjzjSvAFsnRivHSYhmRuHqNXQ8WanFnjEnzQw-E343YU73skpaB9oQGmBC4bPYgLtQvXHQxySOL56m2kPYvjbGWI5HmB4aD5x4gSuo-6TBtFm9z8MeyNlEZSxZg7_ZsgXrTJn66YWhvbeweK-7', 'width': 2250}]",ChIJvxxait2YToYRr2dfeE1f494,"{'compound_code': 'Q6M7+6Q Dallas, TX, USA', 'global_code': '8645Q6M7+6Q'}",2.0,4.6,ChIJvxxait2YToYRr2dfeE1f494,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2971.0,"2615 Commerce Street, Dallas",
OPERATIONAL,"{'location': {'lat': 32.7775369, 'lng': -96.7900736}, 'viewport': {'northeast': {'lat': 32.7790191802915, 'lng': -96.78862756970848}, 'southwest': {'lat': 32.7763212197085, 'lng': -96.7913255302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Dallas Farmers Market,{'open_now': True},"[{'height': 726, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112225797164728634686"">Dallas Farmers Market</a>'], 'photo_reference': 'AW30NDx2E57jDDSCIQ11Lkry3fEIQbJ92nhggy8BDS2iiiGLo-Y3Pi9xOZiuvHYsLIgDe8qjb-gR4HFth4dN-tNATzCjG0012cnSRs7tGw0FCt7H3fl7sGY46v1XOC9rfVyV8yT3cef9v1rvMEAt3EE71G_BpsmRYpnc49Zope5NtHqMfnEF', 'width': 537}]",ChIJwfu5e-GYToYRikmj_Cz3-bw,"{'compound_code': 'Q6H5+2X Dallas, TX, USA', 'global_code': '8645Q6H5+2X'}",2.0,4.4,ChIJwfu5e-GYToYRikmj_Cz3-bw,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",6793.0,"920 South Harwood Street, Dallas",
OPERATIONAL,"{'location': {'lat': 32.78344209999999, 'lng': -96.7743545}, 'viewport': {'northeast': {'lat': 32.7848816802915, 'lng': -96.7728544697085}, 'southwest': {'lat': 32.7821837197085, 'lng': -96.77555243029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Sandbar Cantina,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102586675850029954033"">Josiah Brush</a>'], 'photo_reference': 'AW30NDz-FlmrtOwt9_0_wBbytRW8xt7K8xSWW3ln7OB8A6XnOiHn5tOhhcBzx2fU1oGb-CiYsXfojw7gRJ810dhXvDhajU1iOkVpIbFk_hHOdFthay17DggejnIzt47iwf3HHERoT6zg9nMNYtcqW8xLrnqS-q7dK7Vcu3pHY1WBOV4R3-4', 'width': 4032}]",ChIJT-Po3sGYToYRQysl5798V6A,"{'compound_code': 'Q6MG+97 Dallas, TX, USA', 'global_code': '8645Q6MG+97'}",1.0,4.4,ChIJT-Po3sGYToYRQysl5798V6A,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",715.0,"317 South Second Avenue, Dallas",
OPERATIONAL,"{'location': {'lat': 32.78516, 'lng': -96.78196}, 'viewport': {'northeast': {'lat': 32.7864277302915, 'lng': -96.78059306970849}, 'southwest': {'lat': 32.7837297697085, 'lng': -96.7832910302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pepe's & Mito's,{'open_now': False},"[{'height': 3098, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114928926552790176027"">Truc-Mai Nguyen</a>'], 'photo_reference': 'AW30NDzF4kDN_hJGTk_k2-ummzxQQqxesuw23BYmSuAhk3OHoKmFMLm7cOUlbQuCXVNX4BHgWlEF-v2viD1DwhfW1LZy3ALa8VkyCbjD7_U6sdfwShNWpUCpeveEcZ0Rsj-9nP8wIdEc8Fr1G_0fVAloJL-wyAv_hy4TNT_0pvwxreReFE-D', 'width': 3024}]",ChIJAxMDL92YToYRKMSVTO8BBjY,"{'compound_code': 'Q6P9+36 Dallas, TX, USA', 'global_code': '8645Q6P9+36'}",1.0,4.6,ChIJAxMDL92YToYRKMSVTO8BBjY,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1313.0,"2911 Elm Street, Dallas",
OPERATIONAL,"{'location': {'lat': 32.7828864, 'lng': -96.7835593}, 'viewport': {'northeast': {'lat': 32.7843653302915, 'lng': -96.78225291970848}, 'southwest': {'lat': 32.7816673697085, 'lng': -96.7849508802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Angry Dog,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112549918679936958601"">Angry Dog</a>'], 'photo_reference': 'AW30NDxZihREkec8CtenZqJNOvhq5a7vPQr6yuUz5jV2c0BUV4FieyIxtIQw6jp9AtnI10Tj7qU7GiwppaATY_M66iD8Wm32bi75RflidQtUyR8pYkJ-pPEimFLs_92VI4KA5GiFaUSzSTBUx_YYCYpMnbXutgyj4mo4KifDiX_ajD-zi0a9', 'width': 5184}]",ChIJP9rrfN2YToYRM-YLi3Ov7T4,"{'compound_code': 'Q6M8+5H Dallas, TX, USA', 'global_code': '8645Q6M8+5H'}",1.0,4.5,ChIJP9rrfN2YToYRM-YLi3Ov7T4,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2305.0,"2726 Commerce Street, Dallas",
OPERATIONAL,"{'location': {'lat': 32.78425590000001, 'lng': -96.7807059}, 'viewport': {'northeast': {'lat': 32.78569693029149, 'lng': -96.7793488197085}, 'southwest': {'lat': 32.78299896970849, 'lng': -96.78204678029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,AllGood Cafe,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115522714088577421605"">M</a>'], 'photo_reference': 'AW30NDyFW9a1FnxNBZCopbnm4_FITIIZJIfeZwjYla6EkafdcaNBT3PZTkzOHsv80SDomFRDUz7IN5Hd0_vEC_8OX9aFHi7ypCRgzYGZ3AcrOS8FPK7EmxzmRcRUkT6wb_gZaPJZsw81qWARM3ze-CBuMsAYmUKq0HAKcKTSlIF_haQw1Exq', 'width': 3024}]",ChIJ_9cNyMKYToYR8mKkZP_lnXU,"{'compound_code': 'Q6M9+PP Dallas, TX, USA', 'global_code': '8645Q6M9+PP'}",1.0,4.4,ChIJ_9cNyMKYToYR8mKkZP_lnXU,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1300.0,"2934 Main Street, Dallas",
OPERATIONAL,"{'location': {'lat': 32.7849871, 'lng': -96.7830264}, 'viewport': {'northeast': {'lat': 32.7862999802915, 'lng': -96.78144131970849}, 'southwest': {'lat': 32.7836020197085, 'lng': -96.7841392802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Brazil,{'open_now': True},"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105625967130429922180"">Sevans Evans</a>'], 'photo_reference': 'AW30NDwA4v_66f0tQ6miGVwWvo94Es4NVp3jC_pS5NtUUvdC5CFU_VfOsvLbRrJgTqnk63irw7ucvt6OTdb--aWgoVtQFc_pnkS_5cOrWz-6IaswIAsYTzDSVPShF40F1V61ih680vs9ErPEM8JNHJ5f4Mku4V6L7f9QGPX1HJagUoVQb8ih', 'width': 4080}]",ChIJQVGbF92YToYRZWYYSOdTe1M,"{'compound_code': 'Q6M8+XQ Dallas, TX, USA', 'global_code': '8645Q6M8+XQ'}",2.0,4.1,ChIJQVGbF92YToYRZWYYSOdTe1M,GOOGLE,"['cafe', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",2120.0,"2815 Elm Street, Dallas",
OPERATIONAL,"{'location': {'lat': 32.7996706, 'lng': -96.7792219}, 'viewport': {'northeast': {'lat': 32.80095353029149, 'lng': -96.77786166970849}, 'southwest': {'lat': 32.79825556970849, 'lng': -96.78055963029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bryan Street Tavern,{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113831840280374614375"">Bryan Street Tavern</a>'], 'photo_reference': 'AW30NDxSP4DZ2L4yzFrLpM9QDYB-LOXTRO7JU58JEhdP4eVYbpn2YgQUxMcDtIj64MGk6WyOTY85mcRmmwkggTAKAVGJ_JffxIcaPeJcKlQZyS8ooPMQBGXq57sr93DimnZljhhfxHsdSXCSMK2x2Vt5RaVDKa4L6yi-RMVPYsj9M5jR_HDw', 'width': 810}]",ChIJjSSyfs6YToYRAklisOmlYWQ,"{'compound_code': 'Q6XC+V8 Dallas, TX, USA', 'global_code': '8645Q6XC+V8'}",1.0,4.4,ChIJjSSyfs6YToYRAklisOmlYWQ,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",930.0,"4315 Bryan Street, Dallas",
OPERATIONAL,"{'location': {'lat': 32.7942336, 'lng': -96.7632605}, 'viewport': {'northeast': {'lat': 32.7956761302915, 'lng': -96.7619720197085}, 'southwest': {'lat': 32.7929781697085, 'lng': -96.7646699802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cicis Pizza,{'open_now': True},"[{'height': 817, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108097326650437563252"">Cicis Pizza</a>'], 'photo_reference': 'AW30NDzOZzeIuVl7e7ywabCNsFachMSZjeMHHyDc8fS2JfVOUwu5-d1krqwr6dpfZu2SkX8QzL20JG8OvaYf0h9a8joa-LUK70YrGpOdMOXoY2XVzaC0lb5hLHeb4ylKkIAFIVNIKAdVFDZ6ZARF6EWnjTZcNmLVSd8bEIcoQn9jgXyDqwcV', 'width': 1377}]",ChIJj6h0b7qYToYRZjHCsNhGS4w,"{'compound_code': 'Q6VP+MM Dallas, TX, USA', 'global_code': '8645Q6VP+MM'}",1.0,4.1,ChIJj6h0b7qYToYRZjHCsNhGS4w,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",867.0,"4800 Columbia Avenue #300, Dallas",
