business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.5630986, 'lng': -90.5747025}, 'viewport': {'northeast': {'lat': 41.5639364802915, 'lng': -90.5733758197085}, 'southwest': {'lat': 41.5612385197085, 'lng': -90.57607378029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,NorthPark Mall,{'open_now': False},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107318204574459946557"">Antel Alfaro</a>'], 'photo_reference': 'AW30NDyF_Y_v_Wjj2ydMHmNjZeDny6p2e25WuMNb2ktLJyTyeuiuNbKUJHYiOl0dOf6Nh9S3oUqGqYOdIcSGajM1AxZujogYD5LZGLsJaYA1J3F3AHJ-7nnvoF1zkE2GF_p2p3o5xEf2k1aT7JafNNgBrbXplnvjXGcqO9R_EpXHN5D5aB8V', 'width': 5344}]",ChIJG03QjBw14ocRk0NkayhG5iU,"{'compound_code': 'HC7G+64 Davenport, IA, USA', 'global_code': '86HFHC7G+64'}",4.0,ChIJG03QjBw14ocRk0NkayhG5iU,GOOGLE,"['shopping_mall', 'clothing_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",5110.0,"320 West Kimberly Road, Davenport",,
OPERATIONAL,"{'location': {'lat': 41.5626195, 'lng': -90.5758896}, 'viewport': {'northeast': {'lat': 41.56371143029149, 'lng': -90.57442336970848}, 'southwest': {'lat': 41.5610134697085, 'lng': -90.5771213302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107680673936081009971"">George Michael</a>'], 'photo_reference': 'AW30NDy4B_EHj_2uF012GtltOKhhl5aRDpMknStDck0Cbh7N77mFdMFa5nr2S1Oux5Rue5wO2LHNJgbD-vAcEduSAYOk1y_rBVm-uahEtMW8gSm_-Nc7d_I9ds520haIwgT2c604xmCvHQJKdLcdbYtnuWwaZfbSI01H0qhtoF0R1yQqmuUR', 'width': 4000}]",ChIJv4ZZ_xw14ocRRofmZpBTQbk,"{'compound_code': 'HC7F+2J Davenport, IA, USA', 'global_code': '86HFHC7F+2J'}",3.8,ChIJv4ZZ_xw14ocRRofmZpBTQbk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",82.0,"320 West Kimberly Road Space 0009, Davenport",1.0,
OPERATIONAL,"{'location': {'lat': 41.5386308, 'lng': -90.5906251}, 'viewport': {'northeast': {'lat': 41.5399070802915, 'lng': -90.58924901970849}, 'southwest': {'lat': 41.5372091197085, 'lng': -90.59194698029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110616509052199704455"">Subway</a>'], 'photo_reference': 'AW30NDziSqIai0tZ8y3nuSfAbcd-FHrnBzF_YcpnzRlD4eKCHCuho43t3ukx33zp3eeiDnTMHMHsWc2lyQ1M6T16kW2GPVbVoMWJrNygiPWfltfKizJfZVPcwftwMeFX47_CResdwmaAm2Igl9jZG9Trycd5eGPIZ09xBTZ0J1r47BAKbVQ', 'width': 1763}]",ChIJUfznabg04ocRSsAe4onElsY,"{'compound_code': 'GCQ5+FP Davenport, IA, USA', 'global_code': '86HFGCQ5+FP'}",4.1,ChIJUfznabg04ocRSsAe4onElsY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",308.0,"1208 West Locust Street, Davenport",1.0,
OPERATIONAL,"{'location': {'lat': 41.5605267, 'lng': -90.58519869999999}, 'viewport': {'northeast': {'lat': 41.5620453302915, 'lng': -90.58351051970848}, 'southwest': {'lat': 41.5593473697085, 'lng': -90.5862084802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,New China Restaurant,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115553023423895413159"">Nate Woolsey</a>'], 'photo_reference': 'AW30NDwMMWREZ_M5nCx6DcTxo0VfgBXTDHADARZOXuiRr3XMufp7ueoBI33ickZlVtwFS60kY6IA8bC4Ch2wI07RqooTl_-pZeefsEUjFBQhfiN70PiMr74gA9T_ei0R2IUAyhjVSOVLV5bZOKciH0lOC_Kbg2X2lvXtXVZdHbtd0Vj6qP4i', 'width': 3024}]",ChIJUZC6XSc14ocRmMhIVVJO-L0,"{'compound_code': 'HC67+6W Davenport, IA, USA', 'global_code': '86HFHC67+6W'}",4.2,ChIJUZC6XSc14ocRmMhIVVJO-L0,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",265.0,"902 West Kimberly Road #28, Davenport",1.0,
OPERATIONAL,"{'location': {'lat': 41.5625351, 'lng': -90.5766158}, 'viewport': {'northeast': {'lat': 41.5637419802915, 'lng': -90.5752908697085}, 'southwest': {'lat': 41.5610440197085, 'lng': -90.5779888302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Charleys Cheesesteaks,{'open_now': False},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116061984987117982913"">Sunny Road Trucker</a>'], 'photo_reference': 'AW30NDwXqWMsXm_fTkRP8IOuvc4Qz-qqwrbpN4H-xaSHVj5dGzYFX1hHJMDdniikNhsRSq3wRPGI3j55UXYHpqtVc0ON8HFqA5JlW_9uiwfw_aqTNqEDzc3wDD2By4oDvK8fxFnoXAhzZ298g9JzEOwA5ck-tD820xMm6oCO8LHXHom9NT_o', 'width': 4000}]",ChIJv4ZZ_xw14ocR48eVnDoXVfY,"{'compound_code': 'HC7F+29 Davenport, IA, USA', 'global_code': '86HFHC7F+29'}",4.1,ChIJv4ZZ_xw14ocR48eVnDoXVfY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",121.0,"320 West Kimberly Road Space #0078, Davenport",1.0,
OPERATIONAL,"{'location': {'lat': 41.5386251, 'lng': -90.5904326}, 'viewport': {'northeast': {'lat': 41.5399034802915, 'lng': -90.5891527697085}, 'southwest': {'lat': 41.5372055197085, 'lng': -90.59185073029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100313032838427477814"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDwVOWpOZBNQfFGszL9_U6LA_imsFWbL08VWPifeMf8932epFVqzjRb1Gp3hPlz--QKzhK8yNuDxgGAfQkflk-wVqJe1NlI9E_sQaUqqA9iCPHm-tIMhgYJaR082u3y9tGICTIg8ofQHnY_i0-cdcxRVtmC7cB4Fmf3M5Pl10dvOn35J', 'width': 720}]",ChIJVRAiQ7g04ocRrnbo3gI-dIc,"{'compound_code': 'GCQ5+FR Davenport, IA, USA', 'global_code': '86HFGCQ5+FR'}",4.0,ChIJVRAiQ7g04ocRrnbo3gI-dIc,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",476.0,"1208 West Locust Street, Davenport",1.0,
OPERATIONAL,"{'location': {'lat': 41.5594451, 'lng': -90.5679308}, 'viewport': {'northeast': {'lat': 41.56078653029149, 'lng': -90.56640621970851}, 'southwest': {'lat': 41.5580885697085, 'lng': -90.56910418029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103367350335508405826"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDxOfX3iaBZSp6KAJOT21aE5t5NThlfEhMath89YqZT9s6KW5ENai6LocCU9zsqtnie6Dv5530oHY2QgKbZe3Ud9KxbSIen7_ipO1XRcsRKp0QiGHlwhMQanNR-8R9R7HelfuljEadp_SCq-_o8pp186xpnedpjEIK6BZJJP6iZrakgR', 'width': 1444}]",ChIJS8VVBP404ocR08o8SebG0k4,"{'compound_code': 'HC5J+QR Davenport, IA, USA', 'global_code': '86HFHC5J+QR'}",3.5,ChIJS8VVBP404ocR08o8SebG0k4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",144.0,"3839 North Brady Street, Davenport",1.0,
OPERATIONAL,"{'location': {'lat': 41.5605614, 'lng': -90.57622459999999}, 'viewport': {'northeast': {'lat': 41.5619151302915, 'lng': -90.57469021970847}, 'southwest': {'lat': 41.5592171697085, 'lng': -90.57738818029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110664926404515925778"">Don Myers</a>'], 'photo_reference': 'AW30NDwIJaREfmllzK0kGCag7PBPkqZPgp2sRpdjafj1VeLQb7rxkIRZGD8BeJBePIK2ihzvCG9k1byd1WEWOPiISjgw1_F7haNDCesh0BNDM97VdwQFzjrRHUFmMevm2Tr967uvaGvYH_7hnqzrNo20kLs2I8e5vQ1lbVcrATX9jPq8wt8s', 'width': 4000}]",ChIJ3fu-kB014ocRg4Nglh3mN7c,"{'compound_code': 'HC6F+6G Davenport, IA, USA', 'global_code': '86HFHC6F+6G'}",4.2,ChIJ3fu-kB014ocRg4Nglh3mN7c,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2123.0,"330 West Kimberly Road, Davenport",2.0,
OPERATIONAL,"{'location': {'lat': 41.5206417, 'lng': -90.5885977}, 'viewport': {'northeast': {'lat': 41.5218819302915, 'lng': -90.58737871970848}, 'southwest': {'lat': 41.51918396970851, 'lng': -90.5900766802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100990479922856971839"">Eric Becker</a>'], 'photo_reference': 'AW30NDxC-grnG_UqFX5yheUPy9zBWW6SLSXK2Y96GhXtjQ4B42bBeN9EqDPsumORk-1ViV7WikKu2RS2RU6HsbJgmcfoCaDO5fYX8kyD5YAt8dUozqQn1F5u7kWzjEp2Dp1-XeXNhqpdbuydWRahjPwF_bB_caqrKr7WkRr6ni4JBs-xvqXK', 'width': 1920}]",ChIJxZ0WWqc04ocRkMIHZnO7nF8,"{'compound_code': 'GCC6+7H Davenport, IA, USA', 'global_code': '86HFGCC6+7H'}",3.7,ChIJxZ0WWqc04ocRkMIHZnO7nF8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",95.0,"1026 West River Drive, Davenport",1.0,
OPERATIONAL,"{'location': {'lat': 41.5605538, 'lng': -90.5849199}, 'viewport': {'northeast': {'lat': 41.5620453302915, 'lng': -90.58337111970849}, 'southwest': {'lat': 41.5593473697085, 'lng': -90.58606908029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115553023423895413159"">Nate Woolsey</a>'], 'photo_reference': 'AW30NDyw7WCKb4TytXFOhD757YgUC2rHDB8XuYgefL442T6eTP_-ARvzLWkACm8Lgo76D6TzA75POK4yWOVICM2t98ie56Zu3LL-uF-VKKAtzq8-Mx-I0Wz8uulrb-4PgxGtdu8C0HATNoWJdLf3qXfJGmNy_oeVZsWAsEEP7TA7iZFW_BRZ', 'width': 4032}]",ChIJUZC6XSc14ocRw_4K9XKm0jI,"{'compound_code': 'HC68+62 Davenport, IA, USA', 'global_code': '86HFHC68+62'}",3.7,ChIJUZC6XSc14ocRw_4K9XKm0jI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",131.0,"902 West Kimberly Road Unit 24, Davenport",1.0,
