business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 26.0796996, 'lng': -80.2520546}, 'viewport': {'northeast': {'lat': 26.0810327802915, 'lng': -80.2506293197085}, 'southwest': {'lat': 26.07833481970849, 'lng': -80.2533272802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buca di Beppo Italian Restaurant,{'open_now': True},"[{'height': 1712, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111280509792733475899"">Mx</a>'], 'photo_reference': 'AW30NDzvvkbn3-3jbO90dfwBgpZByFQ7zSQEXFacLDedra53yeLWG0vPpr2TcVA8DL-3WYEKwnnfieu43rlxi1St4goU4Gdd2lCzufMbAeXq-TlBhaXydG_N93wIZNhfvyO9qfGuy6890ULHaHpyG_Ynag2pODjYMdjXljdBjzqPaG0xoZwG', 'width': 3455}]",ChIJ02bG-yKo2YgRSLGDdRqZMqg,"{'compound_code': '3PHX+V5 Davie, FL, USA', 'global_code': '76RX3PHX+V5'}",2.0,4.3,ChIJ02bG-yKo2YgRSLGDdRqZMqg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2434.0,"3355 South University Drive, Davie",
OPERATIONAL,"{'location': {'lat': 26.0543253, 'lng': -80.2554035}, 'viewport': {'northeast': {'lat': 26.0557219802915, 'lng': -80.2538966697085}, 'southwest': {'lat': 26.0530240197085, 'lng': -80.2565946302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SpareZ,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111107805352794884946"">Samuel Lopez Alvarez</a>'], 'photo_reference': 'AW30NDywV0VnOiYNPJ5aqCXTbmKlxYZ5Jtbn5wym1kSWdlS9YcZuL3sm83gGjm1gyVV8P6ncvC7_LnjckWKOeUl8TE2jVcMEqXJ3yhzy6lVJUZx4T7Jf3gbGcXErGfmkNYNQiixGotvT0GUQrjH8yTYinNJV8WMAGIlqMkgtrhImGquslzvU', 'width': 3120}]",ChIJSRuCA2io2YgRec9L1QG3jVE,"{'compound_code': '3P3V+PR Davie, FL, USA', 'global_code': '76RX3P3V+PR'}",,4.3,ChIJSRuCA2io2YgRec9L1QG3jVE,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2632.0,"5325 South University Drive, Davie",
OPERATIONAL,"{'location': {'lat': 26.1022623, 'lng': -80.2700009}, 'viewport': {'northeast': {'lat': 26.1037773302915, 'lng': -80.26864711970849}, 'southwest': {'lat': 26.1010793697085, 'lng': -80.27134508029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Round Up Night Club & Restaurant,{'open_now': False},"[{'height': 6656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104272328282926237571"">Round Up Night Club &amp; Restaurant</a>'], 'photo_reference': 'AW30NDwHA88Maw_6nBOhQKbwmR3NjdwaFPcBoAt4pYyaNel9Apwt8WiWjFew6nE3Xr1V25U_kSSfBCy077hEzzVGpIRu3C4XIh5Lu_E5BPwCMzwvpkLiAbN997CrZXOAT3PsZhDouA0zgnnhWlWN2jBMPji9So4IvJ-r2Qnz-4tdcIeSjV66', 'width': 13312}]",ChIJrw7ktuQH2YgRGMlbgOk-Gjo,"{'compound_code': '4P2H+WX Davie, FL, USA', 'global_code': '76RX4P2H+WX'}",1.0,4.2,ChIJrw7ktuQH2YgRGMlbgOk-Gjo,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",288.0,"9020 West State Road 84, Davie",
OPERATIONAL,"{'location': {'lat': 26.0788141, 'lng': -80.24012800000001}, 'viewport': {'northeast': {'lat': 26.0801433802915, 'lng': -80.2386129197085}, 'southwest': {'lat': 26.07744541970849, 'lng': -80.24131088029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Einstein Bros. Bagels,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106335079622369155053"">Anand P Nair</a>'], 'photo_reference': 'AW30NDxXD-VSN4gHuEYkr_UOoUDVpuBv5M93v2Kx_h2BKCPMnMd_L71Vc1_dX7RtHhABa4ygwTARkbP9q4sPgfWuDJzlsrSdMhqzTIeRR_wyG2w1aEaEfkfLXp1s4lVg1DnhcOrY0gt-1Eo01V0N4D1Ll9vtK7-3dX1hyzWLP9MZCe27DAPy', 'width': 4032}]",ChIJ25QSYyWo2YgRAUyAnzW1sXQ,"{'compound_code': '3QH5+GW Davie, FL, USA', 'global_code': '76RX3QH5+GW'}",1.0,3.5,ChIJ25QSYyWo2YgRAUyAnzW1sXQ,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",53.0,"3301 College Avenue, Davie",
OPERATIONAL,"{'location': {'lat': 26.0457619, 'lng': -80.26143809999999}, 'viewport': {'northeast': {'lat': 26.0470200302915, 'lng': -80.2600745697085}, 'southwest': {'lat': 26.0443220697085, 'lng': -80.2627725302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tijuana Flats,{'open_now': False},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114925432780874447047"">Scott Eggleston</a>'], 'photo_reference': 'AW30NDybjWRFAqTW4CwHHaE8khl4mlSg8LIVfoE5Pnl3sS-0JtzjDTlc3_ilUc9jz9d28GZUSxY02pioESWoPNArqn1w7pU69n8Ozluxfn7RiinOsKS5m-3o_1ExEIdC52UsF2s07CVjJCuHmfpaQkdIxXXhCiGPDn6eaAkUlC9RIqSarGPX', 'width': 5312}]",ChIJYe5S-mKo2YgRS-T7wa6Yxbg,"{'compound_code': '2PWQ+8C Cooper City, FL, USA', 'global_code': '76RX2PWQ+8C'}",1.0,4.4,ChIJYe5S-mKo2YgRS-T7wa6Yxbg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",710.0,"8703 Stirling Road, Cooper City",
OPERATIONAL,"{'location': {'lat': 26.0618935, 'lng': -80.31103499999999}, 'viewport': {'northeast': {'lat': 26.0632817802915, 'lng': -80.3097166197085}, 'southwest': {'lat': 26.0605838197085, 'lng': -80.31241458029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106808403514095399142"">Claude Douglas</a>'], 'photo_reference': 'AW30NDwiC7j6JJhtC1TL1uimPnvUeibETMnY6iw0jV2fyVqLXy2deqHKaJXgHcVuh7pAPcpzjwX-uDoXFqTl8M6bQH9aCd8Ag9HfIKgA1ZGfjKpLrccp-_4aD8FFHRj-WpU5moKf4E6Ekl2Y0Vd81mM1HE-qjbfRacmiwxKrHqhX7rZ9Cpwa', 'width': 2340}]",ChIJh_POwKSn2YgREcBGyoDnJVU,"{'compound_code': '3M6Q+QH Cooper City, FL, USA', 'global_code': '76RX3M6Q+QH'}",1.0,3.1,ChIJh_POwKSn2YgREcBGyoDnJVU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",42.0,"4700 South Flamingo Road, Cooper City",
OPERATIONAL,"{'location': {'lat': 26.0875806, 'lng': -80.2517541}, 'viewport': {'northeast': {'lat': 26.08883208029151, 'lng': -80.2502032197085}, 'southwest': {'lat': 26.0861341197085, 'lng': -80.2529011802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109132866990856515074"">PETER MARTINS</a>'], 'photo_reference': 'AW30NDzgSF3x2F0Y6e2uaUQBV9hqElLPZ2FwLmiPd1sDiaM6F6tx62fCSx7AS0v2csK15ZW2_rIWM8gvQ8vUhVKg18xfdHf1FY12ph3ByL2zr9Kx97C0RebOOkrNU-nNvtEl6QY00kuqgaZwNTiin6_S_wKmuKBVoCe4rRf_3rTa_RvRpWMq', 'width': 4032}]",ChIJRYXBYSCo2YgR5LI0TmyfWyk,"{'compound_code': '3PQX+27 Davie, FL, USA', 'global_code': '76RX3PQX+27'}",2.0,3.8,ChIJRYXBYSCo2YgR5LI0TmyfWyk,GOOGLE,"['cafe', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",645.0,"2699 South University Drive, Davie",
OPERATIONAL,"{'location': {'lat': 26.0805803, 'lng': -80.2518216}, 'viewport': {'northeast': {'lat': 26.0819246802915, 'lng': -80.25037691970849}, 'southwest': {'lat': 26.0792267197085, 'lng': -80.25307488029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shinju Japanese Buffet,{'open_now': True},"[{'height': 856, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107771966721164233218"">Shinju Japanese Buffet</a>'], 'photo_reference': 'AW30NDx6kIPlzbwCo1PoaTfrtrP5kabFAI_X9hYwgqlZJ60dzyxP-7JBzuwV1fxXa0oK3gBFHMsqXx3eA01WR9GsmQJWn9Cqy3SfJdOe1pHBbXB_m-ICPnLgQFDZ7Ivgs9OXi7bw1ri0YxJokdJEhXoksAVvmTzNQkKojkp2z5AmhttxWmIM', 'width': 1125}]",ChIJxd4MUiKo2YgR_b_oBVCm_LQ,"{'compound_code': '3PJX+67 Davie, FL, USA', 'global_code': '76RX3PJX+67'}",2.0,4.4,ChIJxd4MUiKo2YgR_b_oBVCm_LQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3212.0,"3305 South University Drive, Davie",
OPERATIONAL,"{'location': {'lat': 26.0932667, 'lng': -80.2521546}, 'viewport': {'northeast': {'lat': 26.0946020302915, 'lng': -80.25069566970849}, 'southwest': {'lat': 26.09190406970849, 'lng': -80.2533936302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Moe's Southwest Grill,{'open_now': False},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105652146752130342880"">Maggie Lou</a>'], 'photo_reference': 'AW30NDz5Bsr-Hr9oOre9Oc-Cy7wrACqSeePwmGW4gZnC7NkzwIF-cJ43fuOXp8dpLjjcUyBS25v0rslSAFd4cplsfWx7ARFZDWwqqw_eS0F5qt9zGhyHxDz4HQsC7Dg9V28-R8VSvU5Ilp-ODVUqxhn-ygOP91WWrDjY5IBvNR4pyexc3h7R', 'width': 3468}]",ChIJDU9dc4sH2YgRjPneWdPfS74,"{'compound_code': '3PVX+84 Davie, FL, USA', 'global_code': '76RX3PVX+84'}",1.0,4.3,ChIJDU9dc4sH2YgRjPneWdPfS74,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",745.0,"2257 South University Drive, Davie",
OPERATIONAL,"{'location': {'lat': 26.0639371, 'lng': -80.25283639999999}, 'viewport': {'northeast': {'lat': 26.0652665302915, 'lng': -80.2513895697085}, 'southwest': {'lat': 26.0625685697085, 'lng': -80.2540875302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110883366402543846135"">L.A. T</a>'], 'photo_reference': 'AW30NDy_c7oJ12mQgCF9LzpcqQ-d7hrpVq3tpKrM2W0SxY9lD-FKLJDn-CBMyH6LIU4MF3ax1KdHgK6OCZ5tVJGuTIMuoLAKAf3_M9o_xE2Yjtj5aiXy58PzcGHRUSrcKcxXlhxc69sEpamVri-SFpvchJNtBgj3adSwotg36OPCBHVsilVv', 'width': 4032}]",ChIJYaGlS0Co2YgRGWkyLomVuCs,"{'compound_code': '3P7W+HV Davie, FL, USA', 'global_code': '76RX3P7W+HV'}",2.0,3.9,ChIJYaGlS0Co2YgRGWkyLomVuCs,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",788.0,"4593 South University Drive, Davie",
