business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.75685399999999, 'lng': -84.18582339999999}, 'viewport': {'northeast': {'lat': 39.7581970802915, 'lng': -84.1843985197085}, 'southwest': {'lat': 39.7554991197085, 'lng': -84.1870964802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai 9,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105070063789534956708"">Krishna B Kidambi</a>'], 'photo_reference': 'AW30NDx9cp12B6mRsmsDZUZe9tsPEFqMYEIF7B2Bw_9xBf25_h2m9-_nGFVIXaR31I-ZKL3QFmDgJVM56lOVDXjuzGaFrPoYGl3z9gVPJ-cmg6nvYUhIi6BLd2vD35jI2WZBq2plI0s8x1UV8PXxSpIBFXGwbXT0UnAqA1AaFfs4GpYDQNt_', 'width': 3024}]",ChIJKSDZh1WBQIgRtAPhRcVyH10,"{'compound_code': 'QR47+PM Dayton, OH, USA', 'global_code': '86FQQR47+PM'}",2.0,4.5,ChIJKSDZh1WBQIgRtAPhRcVyH10,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2483.0,"11 Brown Street, Dayton",
OPERATIONAL,"{'location': {'lat': 39.7370492, 'lng': -84.1922876}, 'viewport': {'northeast': {'lat': 39.7387802802915, 'lng': -84.19048831970849}, 'southwest': {'lat': 39.7360823197085, 'lng': -84.1931862802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dewberry 1850,{'open_now': True},"[{'height': 1413, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110003210850893939352"">Dewberry 1850</a>'], 'photo_reference': 'AW30NDzIR6i_yyVf_HPRH94rzPqG1DCuyz5f0Bpxb4zezmJNEmj5m8CIq3uQBI8YKfMcnMg-0oYMjXMQeleU50rSR2fyoI6kacwMlrg45pSQCUxHsOpvsR5YgO6Yjq56ndqxD5t-3_GI9JUuoFpk_gAYe11tON0f-Vc7wj0yEMBb5Shi1xap', 'width': 2048}]",ChIJ8bZw26OGQIgRSRLubQ2blIk,"{'compound_code': 'PRP5+R3 Dayton, OH, USA', 'global_code': '86FQPRP5+R3'}",,4.1,ChIJ8bZw26OGQIgRSRLubQ2blIk,GOOGLE,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",79.0,"1414 South Patterson Boulevard, Dayton",
OPERATIONAL,"{'location': {'lat': 39.781922, 'lng': -84.15850119999999}, 'viewport': {'northeast': {'lat': 39.78337783029151, 'lng': -84.15725181970848}, 'southwest': {'lat': 39.78067986970851, 'lng': -84.1599497802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Amber Rose Restaurant & Catering,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106217423283684938356"">Michael Trantanella</a>'], 'photo_reference': 'AW30NDzHtil3clYafpHKw610G88PpVaNSoNl9PpgXfydl_Ez9YJAlRvgV2BdxXeE_88nsj46ifEQxAc7i9jFXq1UHGEWHOS7ez43vX3NMGAsFbIVQv0AGqRVJySFkPXdNpbc7eM3OIajDiL1hspDCOtGWIRHgEltni6XIIZJh6hJkNjNzhjy', 'width': 4000}]",ChIJkUkyFrqDQIgRk9CBszwpYC8,"{'compound_code': 'QRJR+QH Dayton, OH, USA', 'global_code': '86FQQRJR+QH'}",2.0,4.5,ChIJkUkyFrqDQIgRk9CBszwpYC8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",912.0,"1400 Valley Street, Dayton",
OPERATIONAL,"{'location': {'lat': 39.7569649, 'lng': -84.18132399999999}, 'viewport': {'northeast': {'lat': 39.75832898029149, 'lng': -84.1801770197085}, 'southwest': {'lat': 39.7556310197085, 'lng': -84.1828749802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Dublin Pub,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115244887636075771193"">Bestnameeva Buster</a>'], 'photo_reference': 'AW30NDxNJkK9GqDEZuehwJJWE9LrglXpjw5WFXHrIn6vnk-08HQ4TxQU_I7L-h3ULiMtraYDXA1ApxRElLjt4Vm_trwb0vLmOKkGVwHXSP0-wlSumJbWwMNMrWwedKkJGAIiTneBnn8H6PBYVipZSzW42B_55VSOG_1wvWMHl_z9eozRwjsV', 'width': 4032}]",ChIJu68KxP6DQIgROGrqjUjmhsM,"{'compound_code': 'QR49+QF Dayton, OH, USA', 'global_code': '86FQQR49+QF'}",2.0,4.4,ChIJu68KxP6DQIgROGrqjUjmhsM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3161.0,"300 Wayne Avenue, Dayton",
OPERATIONAL,"{'location': {'lat': 39.7504383, 'lng': -84.18662160000001}, 'viewport': {'northeast': {'lat': 39.7516078302915, 'lng': -84.18514586970849}, 'southwest': {'lat': 39.7489098697085, 'lng': -84.1878438302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Coco's Bistro,{'open_now': True},"[{'height': 384, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105332903786399665470"">Coco&#39;s Bistro</a>'], 'photo_reference': 'AW30NDx9N3xSz6ZsuwmhV45M2Vec7RpKlrYXNDwuqTwWDMCvTgoFrrjh4zs7jTfnWXwhn8MpJFAt5GADNcklQi-eUQmc3fRHZG0FiDqw-T4_ILTbrFs2PxhV_Mvl9pkhOgLGjt7F-ZKTFWeRvjHrFX-uMoiZ7O35MfZN26Rpz3lI2Izfo57o', 'width': 512}]",ChIJ4cO4Mv-DQIgRdekgbnfTa4A,"{'compound_code': 'QR27+59 Dayton, OH, USA', 'global_code': '86FQQR27+59'}",3.0,4.4,ChIJ4cO4Mv-DQIgRdekgbnfTa4A,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",970.0,"250 Warren Street, Dayton",
OPERATIONAL,"{'location': {'lat': 39.76142679999999, 'lng': -84.1945406}, 'viewport': {'northeast': {'lat': 39.76284083029149, 'lng': -84.19303931970848}, 'southwest': {'lat': 39.76014286970849, 'lng': -84.19573728029148}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111453783054944357072"">S I4d</a>'], 'photo_reference': 'AW30NDxZIAgJ80DCt5FWZtqy1zkNDCXc42-9zVekVBeYrGonjQSrtMxsG51xUMLkjEUY938n2pNSsqNHzZ4gKKNz7ILWSnk2SohI0cnp2F7EQwaeVdJt9UDmvYhAq9tg238_FO24IYKPlR7LM-CwnU1TnaUMO8UNDsvUT0Lo9UNMXF6ZZvhI', 'width': 4160}]",ChIJy8OqpVGBQIgR-jQVUWl-qxM,"{'compound_code': 'QR64+H5 Dayton, OH, USA', 'global_code': '86FQQR64+H5'}",1.0,4.0,ChIJy8OqpVGBQIgR-jQVUWl-qxM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",92.0,"125 North Ludlow Street, Dayton",
OPERATIONAL,"{'location': {'lat': 39.761981, 'lng': -84.1918491}, 'viewport': {'northeast': {'lat': 39.7632601802915, 'lng': -84.1907900697085}, 'southwest': {'lat': 39.7605622197085, 'lng': -84.1934880302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,UNO Pizzeria & Grill,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114892913277526903253"">Jerome Espino</a>'], 'photo_reference': 'AW30NDz87YaWfBqx7ApsmG8rbLwHOsyNN2i8IvMI6R2dOXPHPO8ug4IuHOPVIuG4U8DZdjza7ObZ-gQLa49yD9t6ZE1G6-hsfbUbb8ZMnzTjkI5R-mSiwPlSzMXzSTR3sqk56ff-KMMVZO2jaiLVUAK-fKT6PDl-1VdJ03Ngtvfs_MORFjtA', 'width': 4032}]",ChIJDaWa11CBQIgR8hOGT9_58po,"{'compound_code': 'QR65+Q7 Dayton, OH, USA', 'global_code': '86FQQR65+Q7'}",2.0,4.2,ChIJDaWa11CBQIgR8hOGT9_58po,GOOGLE,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",930.0,"126 North Main Street, Dayton",
OPERATIONAL,"{'location': {'lat': 39.7562482, 'lng': -84.1866756}, 'viewport': {'northeast': {'lat': 39.75770733029151, 'lng': -84.18524451970849}, 'southwest': {'lat': 39.75500936970851, 'lng': -84.1879424802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jay's Seafood,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115684514482064522612"">Rachel</a>'], 'photo_reference': 'AW30NDw6DueSbTp-KLH1_dA6g_I61LjBeSa33yIGbs_9svsa6c2G2V3N8lDzFPNMDT5y9-fXfmwp4xzvUOO_f9jr_ytpyV84XQRPWbIVGWP7H-1xHc0zSHwswmaBDCfNmDKIkgv1-5vaKKma5cJawHfN5umzFmRWxpjGNdDymrHe1dOAwNt5', 'width': 4032}]",ChIJ8Z3DnFWBQIgRzVSlDWk45UA,"{'compound_code': 'QR47+F8 Dayton, OH, USA', 'global_code': '86FQQR47+F8'}",3.0,4.4,ChIJ8Z3DnFWBQIgRzVSlDWk45UA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",991.0,"225 East 6th Street, Dayton",
OPERATIONAL,"{'location': {'lat': 39.73365460000001, 'lng': -84.1802312}, 'viewport': {'northeast': {'lat': 39.7349885302915, 'lng': -84.1789805197085}, 'southwest': {'lat': 39.7322905697085, 'lng': -84.18167848029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pine Club,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101809542058254369176"">Justin Finch</a>'], 'photo_reference': 'AW30NDwJGZFzdrWOBzOR7vdG77Cl9g6wryiG-HgBVsaEOJ0w-FKXQUQiYgIb48VyCjqvTA3MF_I1pa154o2TJ1-k-3hNQ4JU6D2SSToVXee61_mDMfyEDTm7xCjJEngrFyU5YMQrH9u8o-THVbcgoiSAznHElnsbMaHMbfaGNIr7LrFMO6oy', 'width': 4032}]",ChIJMyMyshiEQIgRCdDOgJ2b66g,"{'compound_code': 'PRM9+FW Dayton, OH, USA', 'global_code': '86FQPRM9+FW'}",2.0,4.5,ChIJMyMyshiEQIgRCdDOgJ2b66g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1355.0,"1926 Brown Street, Dayton",
OPERATIONAL,"{'location': {'lat': 39.7435232, 'lng': -84.18284659999999}, 'viewport': {'northeast': {'lat': 39.74489063029149, 'lng': -84.1813894197085}, 'southwest': {'lat': 39.74219266970849, 'lng': -84.1840873802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106458655761004230611"">Astriano Castellon</a>'], 'photo_reference': 'AW30NDwXitMjV5wfjppOohse3yLNUklVfl6V33L94_mXUNkluZYn1eF3Z5HRlBze43jim7fppYEXBT_z7Dtfq3LgNv2-9ix4zIBvOUlkudRU_2h8LozRDQ5CPjVN7istKlno7y3ps_NR0Z1HI9KJFA8EDJPz2cAFqrztID67NX6nZZwSpZlB', 'width': 4160}]",ChIJF7LkKwOEQIgR5Pbzgu0K384,"{'compound_code': 'PRV8+CV Dayton, OH, USA', 'global_code': '86FQPRV8+CV'}",1.0,3.9,ChIJF7LkKwOEQIgR5Pbzgu0K384,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",216.0,"1103 Brown Street, Dayton",
