business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.31649959999999, 'lng': -83.222724}, 'viewport': {'northeast': {'lat': 42.3179349802915, 'lng': -83.22080191970849}, 'southwest': {'lat': 42.3152370197085, 'lng': -83.2234998802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Pretzelmaker,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111351029251682075573"">Pretzelmaker</a>'], 'photo_reference': 'AW30NDz-HgM3pH76dmlwsy92mlaQ9hpwcsRSzRnQ9DHtJngZmI5Cmn-oE-eCc1rE-41mk313JYS7JXmSCig5YiAGPfVFeWY4oyXC7QoU5T1TYvyBN5zeRLgslJ8_6XZF1MTS1GBCWfjDDrWzMgAS_7ROcH2zoOb3ce2R67EpFdk6rHrjo8Ml', 'width': 1920}]",ChIJve24Sgk1O4gR1r4WdZCC-cc,"{'compound_code': '8Q8G+HW Dearborn, MI, USA', 'global_code': '86JR8Q8G+HW'}",1.0,4.2,ChIJve24Sgk1O4gR1r4WdZCC-cc,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",15.0,"18900 Michigan Avenue, Dearborn",
OPERATIONAL,"{'location': {'lat': 42.3054283, 'lng': -83.2463472}, 'viewport': {'northeast': {'lat': 42.3067174802915, 'lng': -83.2451386697085}, 'southwest': {'lat': 42.3040195197085, 'lng': -83.2478366302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BD's Mongolian Grill,{'open_now': False},"[{'height': 638, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115623835047308796261"">BD&#39;s Mongolian Grill</a>'], 'photo_reference': 'AW30NDxTmtrrI5xu08NSbrxqlqwiyKyklGcaYLSCVmluBKIiX-YDwem_hS3702Buc-yHi-0DoLpIRe4On5x637LaSJdo0n5az5qwRufvehuIm_hvsDEf1ATruU1gjdIQWOTAJJFH-BD0ejM5BwwPpXiSmuXuYjQrtgN9I23PoyjFjiPFD64T', 'width': 1148}]",ChIJbbw8XoY1O4gRHfpZCw9Z4rA,"{'compound_code': '8Q43+5F Dearborn, MI, USA', 'global_code': '86JR8Q43+5F'}",2.0,4.1,ChIJbbw8XoY1O4gRHfpZCw9Z4rA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2235.0,"22115 Michigan Avenue, Dearborn",
OPERATIONAL,"{'location': {'lat': 42.3026662, 'lng': -83.2544216}, 'viewport': {'northeast': {'lat': 42.30398828029151, 'lng': -83.2532568697085}, 'southwest': {'lat': 42.30129031970851, 'lng': -83.2559548302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Pita,{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115478921635233297888"">La Pita</a>'], 'photo_reference': 'AW30NDyx0Hp2mqmeCPmyyK3i8t8t0M6SbvS41S0vZlzY7xCeaQdCnd2xaO0EU9tjk1bjecu1f37w_bVdGDFdRi3MZ5r3X46ZmWpPqz4aD9OK3ahjkmVXMWCJgBooPn2Oaoj5va6uG4f1blhGoN5fe5rZ9--lDhDLwYSd-_xAdzDozWN8YwX-', 'width': 720}]",ChIJ19cJQndKO4gRMTjJpOejVuI,"{'compound_code': '8P3W+36 Dearborn, MI, USA', 'global_code': '86JR8P3W+36'}",2.0,4.3,ChIJ19cJQndKO4gRMTjJpOejVuI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1685.0,"22681 Newman Street, Dearborn",
OPERATIONAL,"{'location': {'lat': 42.3206689, 'lng': -83.2211239}, 'viewport': {'northeast': {'lat': 42.32212193029149, 'lng': -83.2196476697085}, 'southwest': {'lat': 42.3194239697085, 'lng': -83.2223456302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Benihana,{'open_now': True},"[{'height': 1584, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110876944105585677559"">Benihana</a>'], 'photo_reference': 'AW30NDw2T4uHserswd1_a-zxkmLl2Gzs4EeFoSTL0skFFI0BfZw3G31zPiuhktCgzD48o6yQs7zYNQsXmX0cwkDgTef4jHLz28gZmt-3hJTePpf2GRxRMw0f9bW0qJz-ftj7M8mpezTxGMoygioUGk2lSKCQGWc0HAGrUyAtYbsY13fURPLN', 'width': 2816}]",ChIJlZnf1xE1O4gRKzumMZ5-oCY,"{'compound_code': '8QCH+7H Dearborn, MI, USA', 'global_code': '86JR8QCH+7H'}",3.0,3.7,ChIJlZnf1xE1O4gRKzumMZ5-oCY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3599.0,"18601 Hubbard Drive, Dearborn",
OPERATIONAL,"{'location': {'lat': 42.3286007, 'lng': -83.2012381}, 'viewport': {'northeast': {'lat': 42.3300579802915, 'lng': -83.19972951970848}, 'southwest': {'lat': 42.3273600197085, 'lng': -83.2024274802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120346328991272077"">Sortiz14</a>'], 'photo_reference': 'AW30NDyWAAeU8V-Jsb11tY8mJC5iSzLOCKjBanS16UexazyViD4CXwEniD8oDtywHIsvLGlPuEEmjKWpkondDDxTHeh3OGmfPLEDLD2rYFVd-VBT74GNzaUAIVDbGoeHF4Y6F_CQ6fFTxsYYWIo_O6i2eUQEujglIj8CPv_z2mCsa6RqmvTa', 'width': 4032}]",ChIJz4t9Sec0O4gRWK2LoZHnzUU,"{'compound_code': '8QHX+CG Dearborn, MI, USA', 'global_code': '86JR8QHX+CG'}",2.0,4.0,ChIJz4t9Sec0O4gRWK2LoZHnzUU,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3724.0,"16151 Ford Road, Dearborn",
OPERATIONAL,"{'location': {'lat': 42.3086716, 'lng': -83.18840399999999}, 'viewport': {'northeast': {'lat': 42.3099474802915, 'lng': -83.18686141970849}, 'southwest': {'lat': 42.3072495197085, 'lng': -83.18955938029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tim Hortons,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103947900148205652437"">mason “Muss” Local</a>'], 'photo_reference': 'AW30NDx9WGktGovWn9KDmRTu9BTFI0gIa3ZqU8GWvat_4_steoQO8_AgH27CfcdHgs7FEBQLIPu1YPoAEyGWnikyzcbIGIUlOmQElmMdonS24Ej_JaXvwZqB14_sVs4A7h44EtLFVxixEtyStHuYi4SzBm63FYeDZTneal1zIbFSWz0NJzmV', 'width': 4032}]",ChIJA5IQpl80O4gRe8Iem1ypLLw,"{'compound_code': '8R56+FJ Dearborn, MI, USA', 'global_code': '86JR8R56+FJ'}",1.0,3.1,ChIJA5IQpl80O4gRe8Iem1ypLLw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",756.0,"3550 Greenfield Road, Dearborn",
OPERATIONAL,"{'location': {'lat': 42.34126609999999, 'lng': -83.1965891}, 'viewport': {'northeast': {'lat': 42.3425257802915, 'lng': -83.19504236970849}, 'southwest': {'lat': 42.3398278197085, 'lng': -83.19774033029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 2184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103981295630979224189"">Arunkumar Kannan</a>'], 'photo_reference': 'AW30NDyYu3XW23GSEHGL7YJ4ajg68KfMp3TJyoTVbFevZjVK0Ja00hsFMAty3r9RXKYismSFsuBDy_YleljJufUCz9PrNhT5Gs310VS9LIQsT2wyHMQkVrKijNsoJKUq7wYRTtPZHE_fxuG2pJi5TPEENqvbbBtz_hV_mgLEuQF4mfyg2nsy', 'width': 4608}]",ChIJzQ-k2s80O4gRkDV7KGhd6fM,"{'compound_code': '8RR3+G9 Detroit, MI, USA', 'global_code': '86JR8RR3+G9'}",1.0,4.4,ChIJzQ-k2s80O4gRkDV7KGhd6fM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",150.0,"6781 Greenfield Road, Detroit",
OPERATIONAL,"{'location': {'lat': 42.33135199999999, 'lng': -83.20956199999999}, 'viewport': {'northeast': {'lat': 42.3323887802915, 'lng': -83.20838905000001}, 'southwest': {'lat': 42.3296908197085, 'lng': -83.21127644999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},,ChIJ3Y8N8OA0O4gRYwGWKJ81MaE,"{'compound_code': '8QJR+G5 Dearborn, MI, USA', 'global_code': '86JR8QJR+G5'}",1.0,3.8,ChIJ3Y8N8OA0O4gRYwGWKJ81MaE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",129.0,"Ford Rd &, Mercury Drive, Dearborn",
CLOSED_TEMPORARILY,"{'location': {'lat': 42.309644, 'lng': -83.222298}, 'viewport': {'northeast': {'lat': 42.31101013029151, 'lng': -83.2209532697085}, 'southwest': {'lat': 42.30831216970851, 'lng': -83.22365123029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102219253817605097911"">baul104 luigi Baul</a>'], 'photo_reference': 'AW30NDzDR7AyLgc1zYJ9I-H7K2NgLiC-7gVflra0zKZvaOjCOEe21WPuWCagg-JqTFHUYwEtGQ07PJDhEy-wo3pR3GpmAvt2jKmK95xL_Qbfn0Ooo7GkzBvYmcuAYDzKUYBc-kCkinOx6LiTPDnwHfJnjyP6kEZc2gOXOCU-ybcPnoQYPHL2', 'width': 4032}]",ChIJf7lOLAk1O4gR9yaimTI4Jwk,"{'compound_code': '8Q5H+V3 Dearborn, MI, USA', 'global_code': '86JR8Q5H+V3'}",1.0,3.8,ChIJf7lOLAk1O4gR9yaimTI4Jwk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",157.0,"Fc-309, Dearborn",True
OPERATIONAL,"{'location': {'lat': 42.31992, 'lng': -83.25739}, 'viewport': {'northeast': {'lat': 42.3213238302915, 'lng': -83.2560244197085}, 'southwest': {'lat': 42.31862586970851, 'lng': -83.2587223802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111103305588675240383"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDyOx5YWYqK-U6pqRD05uQogyE6Sy5e3JK0jfF9ok4juAnXf8I_dNfXtAB6iorEQwZpX2jzCcjnxVBImow5mzXvCB15sxmSye9jCrjJTJCOpjGas7b71rUGl9I_zMw7zxpfDgC5GJElKE0zgvRCvDGsIKw_vf8ogP9Qvnb6MTd_NssiG', 'width': 1000}]",ChIJsYCeaoRKO4gR9Axq5FnCHnI,"{'compound_code': '8P9V+X2 Dearborn, MI, USA', 'global_code': '86JR8P9V+X2'}",1.0,3.9,ChIJsYCeaoRKO4gR9Axq5FnCHnI,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",429.0,"18500 West Outer Drive, Dearborn",
