business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.21952199999999, 'lng': -97.1321328}, 'viewport': {'northeast': {'lat': 33.22087673029149, 'lng': -97.1308966197085}, 'southwest': {'lat': 33.21817876970849, 'lng': -97.1335945802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,GreenHouse Restaurant,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102533455624484707068"">GreenHouse Restaurant</a>'], 'photo_reference': 'AW30NDyGKPaNSAckiamCL9PhpIHEI0so_krDF8Ek2YlcjRKQJ6O-d_MkVBySBWdNy3BkmBSjV9nibzLPyorFdrzswCKU-MxSDpHuVLcwfLCW3cHDafudm0OQ5hczKqngWLxOIxONGbKSYVdg4p4EJ74qPu6xhbQDru21mRmsuWQbHpQ8opI', 'width': 960}]",ChIJkZFfGYnKTYYRVmrdWvJ6HPE,"{'compound_code': '6V99+R4 Denton, TX, USA', 'global_code': '86546V99+R4'}",2.0,4.3,ChIJkZFfGYnKTYYRVmrdWvJ6HPE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1249.0,"600 North Locust Street, Denton",
OPERATIONAL,"{'location': {'lat': 33.231967, 'lng': -97.143372}, 'viewport': {'northeast': {'lat': 33.2331172802915, 'lng': -97.1419103697085}, 'southwest': {'lat': 33.2304193197085, 'lng': -97.1446083302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Movie Tavern Denton,{'open_now': True},"[{'height': 364, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111892081016588767373"">Movie Tavern Denton</a>'], 'photo_reference': 'AW30NDy-NFhgljuPBIcbdBryXDolr1eXhMRd0MbGGRC9dnNSv-0dlPnVvX43or4DmfdOTot04GLVYe88v0rHmHUHY56_JEFJVu-6eXXUJYPD5IUnoxpWjb2J2Zhk3zGNGiiUiKVAdlzi6oEz29PXJ6n4T5Mz7_3oiXeEwoy-ZXXX6k725oDX', 'width': 548}]",ChIJ-WAq7HjKTYYRJaYbp8Seju4,"{'compound_code': '6VJ4+QM Denton, TX, USA', 'global_code': '86546VJ4+QM'}",,4.2,ChIJ-WAq7HjKTYYRJaYbp8Seju4,GOOGLE,"['movie_theater', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1687.0,"916 West University Drive, Denton",
OPERATIONAL,"{'location': {'lat': 33.1949583, 'lng': -97.098225}, 'viewport': {'northeast': {'lat': 33.1962306302915, 'lng': -97.0969019697085}, 'southwest': {'lat': 33.1935326697085, 'lng': -97.0995999302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sweet Basil Thai Bistro,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116385357711764795337"">D.R. Ali</a>'], 'photo_reference': 'AW30NDyPo2SDgkKzUsGU14ytHptMoHRZ5seRpX5JSznBnVvGSehJQkwbBctHd4UqIDaclqFrWoCaVc0FcFz07Us5Ha057GP3269l6M4ReHFIU1N8f5Z4yCpB34oz9xa5ClbC9wqt7jkk6adDhB2Yy2SRz32Lz2E5uRhqakoEDtOQPIDL8bXU', 'width': 2576}]",ChIJFVMkiNbKTYYR0cl3reWDW3w,"{'compound_code': '5WV2+XP Denton, TX, USA', 'global_code': '86545WV2+XP'}",1.0,3.9,ChIJFVMkiNbKTYYR0cl3reWDW3w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",219.0,"1800 South Loop 288 #224, Denton",
OPERATIONAL,"{'location': {'lat': 33.21330899999999, 'lng': -97.133173}, 'viewport': {'northeast': {'lat': 33.21475443029148, 'lng': -97.13182336970848}, 'southwest': {'lat': 33.21205646970849, 'lng': -97.13452133029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hannah's,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115773271575648521001"">Hannah&#39;s</a>'], 'photo_reference': 'AW30NDzTB6evmiDe8Zrnc6mT8WwP_tiKY-OzvfyogjHmb_QTTGpT1OUo0NUy1lMjCdqKV_mfGe1eOoa5QkgCbQauHtChEsE-dAhXqAieBoySymLco8Q1tzIpu3-_-iPsEjuybiJjj9khaxaMACFn2vjW4SqFF0VFA3uQAO3FsYqzY6XbNINP', 'width': 4032}]",ChIJ7Q1MHovKTYYR-vW7SaI4s7E,"{'compound_code': '6V78+8P Denton, TX, USA', 'global_code': '86546V78+8P'}",3.0,4.5,ChIJ7Q1MHovKTYYR-vW7SaI4s7E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",849.0,"111 West Mulberry Street, Denton",
OPERATIONAL,"{'location': {'lat': 33.2185171, 'lng': -97.15030949999999}, 'viewport': {'northeast': {'lat': 33.21991413029151, 'lng': -97.14888811970849}, 'southwest': {'lat': 33.21721616970851, 'lng': -97.1515860802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mr. Chopsticks,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111305779442914357355"">Braden Wells</a>'], 'photo_reference': 'AW30NDylAJpJZgbDIleHAiJ9Xtt4bJ0fnXpPpH-8t3yAQg_ejFvnGWAN2UiIQ85jKq7jqo8ttLtwnxTlQNcPRXYo3paRtHJd81V92HG_lDVfbDOEnyNXarIpf6iTwokFwhui8hCzEY2vR3fRNgp-wuZraeteXcbi6F9xJ-55INC_PF-44zjF', 'width': 1920}]",ChIJ5W-CQWbKTYYRcsxSrCg3H4I,"{'compound_code': '6R9X+CV Denton, TX, USA', 'global_code': '86546R9X+CV'}",1.0,4.2,ChIJ5W-CQWbKTYYRcsxSrCg3H4I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1198.0,"1633 Scripture Street, Denton",
OPERATIONAL,"{'location': {'lat': 33.1918252, 'lng': -97.0999137}, 'viewport': {'northeast': {'lat': 33.19311123029149, 'lng': -97.0985320697085}, 'southwest': {'lat': 33.19041326970849, 'lng': -97.1012300302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jersey Mike's Subs,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100445739572050480480"">Jersey Mike&#39;s Subs</a>'], 'photo_reference': 'AW30NDyWmW0riSMvDwY7Adh0JDxmwtC61J0zl7aeTpKlOIp9K_aa9vSZDm7RDvPK-1W_DJb6hvZpM0cuRc0e0jZxJ2cgDMVws3yDx3porl4iNWatS0rzrLNvBZSya8lleafk156q-p-MxzMjEXenmiUsuVpIpuEBvbxM8X-X9S2O7zxOZiO-', 'width': 4500}]",ChIJFVMkiNbKTYYR88aASqpz-_A,"{'compound_code': '5WR2+P2 Denton, TX, USA', 'global_code': '86545WR2+P2'}",1.0,4.5,ChIJFVMkiNbKTYYR88aASqpz-_A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",194.0,"1800 South Loop 288 Ste. 392, Denton",
OPERATIONAL,"{'location': {'lat': 33.1917558, 'lng': -97.1001065}, 'viewport': {'northeast': {'lat': 33.1930398802915, 'lng': -97.0987232697085}, 'southwest': {'lat': 33.1903419197085, 'lng': -97.1014212302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wing Pit,{'open_now': True},"[{'height': 2130, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108118274630500740848"">Denton (Denton)</a>'], 'photo_reference': 'AW30NDy2F6_Z-1JsAM3Ns8QueehyyMKiwEeVR9KRxz9pwxRcnH8hZYXtfdBJznwuc40WOc4DMC7MR-dMLuQCWnibEfcX1zKKYklkQIO-AXST3aRdc33tShZbQIjwyFELtlwzMnOUnjiDo3AO0i6g6Mn5C3E-wGm8OsdZvlQviFJzZFGD8HYW', 'width': 3668}]",ChIJFVMkiNbKTYYRsybVaPlHZkg,"{'compound_code': '5VRX+PX Denton, TX, USA', 'global_code': '86545VRX+PX'}",1.0,3.8,ChIJFVMkiNbKTYYRsybVaPlHZkg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",147.0,"1800 South Loop 288 #397, Denton",
OPERATIONAL,"{'location': {'lat': 33.213753, 'lng': -97.1300763}, 'viewport': {'northeast': {'lat': 33.2151054302915, 'lng': -97.1288094697085}, 'southwest': {'lat': 33.2124074697085, 'lng': -97.1315074302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rooster's Roadhouse,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113627974216040111109"">Kaitlin B</a>'], 'photo_reference': 'AW30NDzZ--vWNKH69uQBrQARFBWmGJgxBzHNgSa9-UUyq-hnS1gxNKOmDqy9CUq-9skSI9qrR9v-ooZQ-Kt9Hz21fc_mLpRSSlHyLz4S7XJRnJTU7CRpa0MKHLcPFsdZXIU_RjHYL021UqP9nTJtNZYQHSuJ7s-rpm8fx8ZASf83sotKhRw', 'width': 3024}]",ChIJKZKgnIzKTYYRVceNETuNnoY,"{'compound_code': '6V79+GX Denton, TX, USA', 'global_code': '86546V79+GX'}",1.0,4.5,ChIJKZKgnIzKTYYRVceNETuNnoY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1622.0,"113 Industrial Street, Denton",
OPERATIONAL,"{'location': {'lat': 33.182675, 'lng': -97.101041}, 'viewport': {'northeast': {'lat': 33.1840225302915, 'lng': -97.09993141970848}, 'southwest': {'lat': 33.1813245697085, 'lng': -97.1026293802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 5304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107348660507915509830"">FENG GAO</a>'], 'photo_reference': 'AW30NDy7dp9UZe64jzhaQ80NMm8KfYW5_B3tqOeMr1ALcYfCKaspb0thuLIM68OZJwp3rc6jjv6E03M47XmgQAaOPtu5Z0VhJ-LkiT79TqPaUS4c4_dqq-_x8QMEGqazu_G4j2KK4xZNdWt2xE14c7QL_CJKPuT-O_4S063urNWQ1RuscXl7', 'width': 7952}]",ChIJlVLQsyXLTYYR0HoU3kFKPgU,"{'compound_code': '5VMX+3H Denton, TX, USA', 'global_code': '86545VMX+3H'}",2.0,4.4,ChIJlVLQsyXLTYYR0HoU3kFKPgU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4185.0,"2817 South Interstate 35, Denton",
OPERATIONAL,"{'location': {'lat': 33.1870819, 'lng': -97.1059521}, 'viewport': {'northeast': {'lat': 33.1885778802915, 'lng': -97.1045898197085}, 'southwest': {'lat': 33.1858799197085, 'lng': -97.10728778029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110411326984804382417"">Mark Schifter</a>'], 'photo_reference': 'AW30NDywRbO5YwoZOCF93vS-fkAoXuuOLxAcHIKUON9NAHicK5T0HWplOCmhiRdM18lOSWG7djDYsUC9gciSZymsZ_o9cg389a0BrsoVa_ALVq6NPZzD1Szvjrzip9IuBbzECjRyNVye6JDzdvVcRTnczRVOT7Uf4pttYHT2UrR-UCqr5GMM', 'width': 4000}]",ChIJX0h0tSfLTYYRl7LDd1VPr9E,"{'compound_code': '5VPV+RJ Denton, TX, USA', 'global_code': '86545VPV+RJ'}",2.0,4.2,ChIJX0h0tSfLTYYRl7LDd1VPr9E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",566.0,"2219 Hwy 288, S Loop Suite 114, Denton",
