business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.7838083, 'lng': -104.890912}, 'viewport': {'northeast': {'lat': 39.7852873302915, 'lng': -104.8895930697085}, 'southwest': {'lat': 39.7825893697085, 'lng': -104.8922910302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas de Brazil - Denver,{'open_now': False},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112688831114559159901"">Aaron Lopez</a>'], 'photo_reference': 'AW30NDxnfMKzZeoCDp2Ht85cXwc5eIQed-lBoUYBf6KYgwoxNX8N-8ADk4-V_rLszBPbZ1p-MV8htdibymFFnjRqAvu9tFEgTUIwtzInZDIiyGrOZhjrUIFxIzqUmgTZR-isFVEedeqNRd9iWQRlCMGHVx7RZTMa82xsi3q0qckNUaiCNNHo', 'width': 9248}]",ChIJVQdrOAd7bIcR9dioCUA5eNs,"{'compound_code': 'Q4M5+GJ Denver, CO, USA', 'global_code': '85FQQ4M5+GJ'}",3.0,4.5,ChIJVQdrOAd7bIcR9dioCUA5eNs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3629,"8390 Northfield Boulevard Ste 1800, Denver",
OPERATIONAL,"{'location': {'lat': 39.770163, 'lng': -104.8980064}, 'viewport': {'northeast': {'lat': 39.7714369802915, 'lng': -104.8967267197085}, 'southwest': {'lat': 39.76873901970851, 'lng': -104.8994246802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114799565352427056446"">Lizzy Marie (#GlitterGlassesJourney)</a>'], 'photo_reference': 'AW30NDxg646i2fQ7mq6anIweWeQNpoNNtRUA4LnxHovGRHSIPXmaceBuWZIaqUVQ93p4Lp9JLyXJf0nrCIy-mkLEstWMGhb2EDgV_z9aYWutkYjxHsEgUxy_GeOCYz3X5W6_tIixCYhs4N-_b33vQFCs7wCMQoLNc-DHLRGxF8UgGI65Vu3v', 'width': 4048}]",ChIJpw7D8aF7bIcRB9i9PZUZiG0,"{'compound_code': 'Q4C2+3Q Denver, CO, USA', 'global_code': '85FQQ4C2+3Q'}",1.0,3.5,ChIJpw7D8aF7bIcRB9i9PZUZiG0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",214,"7800 E Smith Rd, Denver",
OPERATIONAL,"{'location': {'lat': 39.76763990000001, 'lng': -104.90011}, 'viewport': {'northeast': {'lat': 39.7691125802915, 'lng': -104.8987382697085}, 'southwest': {'lat': 39.7664146197085, 'lng': -104.9014362302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Famous Dave's Bar-B-Que,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114923850380470444693"">Nick Nixter</a>'], 'photo_reference': 'AW30NDwG8E_PyBK6Cnv9NP_vv9UeGn0U6lbMpzWAESizBVvbWHslvVKjrwW-JN9HcAjXwOvMGwS3s5IEE5-DmJ69wtQv1kbzcpEb3gmSnuY8CfRw2yKd109GUMU9bND4mI82kO-ZZTg-DLk7U10KCJdLrUTAl3stGds3-pKWcr3XlZsZAQjq', 'width': 3456}]",ChIJUzRk55h7bIcRnxxScrJKivk,"{'compound_code': 'Q39X+3X Denver, CO, USA', 'global_code': '85FQQ39X+3X'}",2.0,4.1,ChIJUzRk55h7bIcRnxxScrJKivk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2517,"7557 East 36th Avenue, Denver",
OPERATIONAL,"{'location': {'lat': 39.7677184, 'lng': -104.8993261}, 'viewport': {'northeast': {'lat': 39.7691824302915, 'lng': -104.8979385697085}, 'southwest': {'lat': 39.7664844697085, 'lng': -104.9006365302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114432121506621861211"">Carlos J. Naranjo</a>'], 'photo_reference': 'AW30NDyLCrrmOnfiPxbZvt2vVx63MiPT-MMo-J8azxhAm_f8gjAozuPDx600ucgl-mI41YmBvAUZ9gbYhbOaTV8GSwUIai5cIWH-EOHrByOiN7PilvNuZLp-l0Fnvz7g02QNwf8ES2N0bR-IuxjVo7GZIhXv2ZDh4AG_s0NvW74AjuAc4-u0', 'width': 4096}]",ChIJ_bLF35h7bIcRLm2fRGKnHmQ,"{'compound_code': 'Q492+37 Denver, CO, USA', 'global_code': '85FQQ492+37'}",2.0,3.2,ChIJ_bLF35h7bIcRLm2fRGKnHmQ,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2575,"7607 East 36th Avenue #830, Denver",
OPERATIONAL,"{'location': {'lat': 39.785158, 'lng': -104.893548}, 'viewport': {'northeast': {'lat': 39.7865729302915, 'lng': -104.8923296197085}, 'southwest': {'lat': 39.7838749697085, 'lng': -104.8950275802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,TGI Fridays,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103944408067659097113"">Callum T</a>'], 'photo_reference': 'AW30NDx6XgQzM3VMNCRC6bVtbcdMXM22PttUxPxEu2CAouEAXgUSlhqnj_xsYamHuu6E1yOEQ03NoTE05pNINybfHctqBNooFmvGCr2qMLsNfoHKYx2ADehASgxm9ZqZW8vyK1jUJP0g-gpzhQKGIYbYFb9yHXHUDIMdIGVMhAdGiwoBm4VX', 'width': 2048}]",ChIJkwHp8ql7bIcRrLK5fVxwVNw,"{'compound_code': 'Q4P4+3H Denver, CO, USA', 'global_code': '85FQQ4P4+3H'}",2.0,3.2,ChIJkwHp8ql7bIcRrLK5fVxwVNw,GOOGLE,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",1791,"8104 Northfield Boulevard, Denver",
OPERATIONAL,"{'location': {'lat': 39.7497862, 'lng': -104.9173109}, 'viewport': {'northeast': {'lat': 39.7511097802915, 'lng': -104.9160781197085}, 'southwest': {'lat': 39.7484118197085, 'lng': -104.9187760802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cake Crumbs Bakery & Cafe,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106370439468427081303"">Wilmer Chavarria</a>'], 'photo_reference': 'AW30NDw-Nm0ZRNaBb6zE0ms560-qZyz4WGIOp7VwhCNU7XO0YzQlx6HzRkINYODAxcBdsNBI-YWN8X9Ptf0DDtpXQJhwRjo9DqhbzGNw6alLdaV-2Kmz8JofLQbtPp92V9gole-asTDLEsMrcrBVnOYhQFitI9FOtvd7f7nBuDRygMzUyCLR', 'width': 3456}]",ChIJE2dgHPV7bIcR-JmZLcSWzVM,"{'compound_code': 'P3XM+W3 Denver, CO, USA', 'global_code': '85FQP3XM+W3'}",2.0,4.2,ChIJE2dgHPV7bIcR-JmZLcSWzVM,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",536,"2216 Kearney Street, Denver",
OPERATIONAL,"{'location': {'lat': 39.7812213, 'lng': -104.845564}, 'viewport': {'northeast': {'lat': 39.7825771802915, 'lng': -104.8443229197085}, 'southwest': {'lat': 39.7798792197085, 'lng': -104.8470208802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117567990296024268322"">Subway</a>'], 'photo_reference': 'AW30NDz00ERuSMF5TNhpurRncIdnD_1CL4xlEOPaLFyO67wANYNC10mvgrnGRDttM7i000HAoiRPFwMSUmM470RnqHwkcHFCrSlm2ZwvhCfLgzY1qfQRj89uPIc5T8EDcMz7PUOza-nMJI8yWOFW1XEfvEngx0jlYEA2Rb3pWZ5vrsmjJtIU', 'width': 766}]",ChIJdWoQszR7bIcRWCkqAPV46zA,"{'compound_code': 'Q5J3+FQ Denver, CO, USA', 'global_code': '85FQQ5J3+FQ'}",1.0,3.2,ChIJdWoQszR7bIcRWCkqAPV46zA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",183,"4660 Peoria Street Unit 113, Denver",
OPERATIONAL,"{'location': {'lat': 39.77948799999999, 'lng': -104.89305}, 'viewport': {'northeast': {'lat': 39.7808883302915, 'lng': -104.8917801697085}, 'southwest': {'lat': 39.7781903697085, 'lng': -104.8944781302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 3480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103797922228350294190"">chichi gates</a>'], 'photo_reference': 'AW30NDwZeduHgG0NLafqtErR1CV9fdr1sm4O7yizV6WlW1nACJavYsSQsdnM9JwZOVcwtxhi9EV8I9E1JhIHja6Cr4k667iI9j6pTg_DTmKhki2VsYMUSsWBQczP1wwMT6B0ySTtk7NoHMVY0Y4c1qwddLGBA4FFimv_YyWqpTvuCDi0JO_j', 'width': 4640}]",ChIJz-dlWAd7bIcRNrZ7kF7IT8s,"{'compound_code': 'Q4H4+QQ Denver, CO, USA', 'global_code': '85FQQ4H4+QQ'}",2.0,4.0,ChIJz-dlWAd7bIcRNrZ7kF7IT8s,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1885,"8268 E Northfield Blvd STAPLETON, Denver",
OPERATIONAL,"{'location': {'lat': 39.77935269999999, 'lng': -104.8909734}, 'viewport': {'northeast': {'lat': 39.78073493029149, 'lng': -104.8897903697085}, 'southwest': {'lat': 39.7780369697085, 'lng': -104.8924883302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108785453288142303763"">Dia Bryant</a>'], 'photo_reference': 'AW30NDy0RgUyPw2rTda_JG1t5BVzEJrpbGEFnvNZp9gigfO4Tji8LWB1iGJ-Dr1zYT0pyDK_l1vKKZZL-9EPFKkJ1ViTmzX1PD_k9tqzfXOmR8OKmCtwIQkejStFLLdbwfytBmWBsPyBdATpiXDQJ75o70dVhKajda148g5GfoF7aDg4C-Um', 'width': 1920}]",ChIJY2cqRQd7bIcRYmjjjtm7DtM,"{'compound_code': 'Q4H5+PJ Denver, CO, USA', 'global_code': '85FQQ4H5+PJ'}",2.0,4.3,ChIJY2cqRQd7bIcRYmjjjtm7DtM,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3200,"8314 Northfield Boulevard, Denver",
OPERATIONAL,"{'location': {'lat': 39.7657699, 'lng': -104.9019844}, 'viewport': {'northeast': {'lat': 39.7671180802915, 'lng': -104.9007545197085}, 'southwest': {'lat': 39.7644201197085, 'lng': -104.9034524802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101698938717057259888"">Jason McWilliams</a>'], 'photo_reference': 'AW30NDyyWkdHckIIL3S3uJop8tmjS9ysd7jdGH4qIvr0isl57alHxD7VXWXd3rJoFnQYJVj_qwMcmlTALObySv0bXs6AqDKEcmVoo2KAY0rM3z-Hj0y_7KGYIaSTWwoSyDEbOb-YnA85aaGX3fBxM7Z__0OGIGyhWGzgkXg-ciQ_H1Ph3TXP', 'width': 4048}]",ChIJkxaW3Zl7bIcRTB23Vm6fv5g,"{'compound_code': 'Q38X+86 Denver, CO, USA', 'global_code': '85FQQ38X+86'}",1.0,3.1,ChIJkxaW3Zl7bIcRTB23Vm6fv5g,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",146,"7305 East 35th Avenue Suite 160 Unit 7, Denver",
