business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.5904743, 'lng': -93.6132834}, 'viewport': {'northeast': {'lat': 41.5917207302915, 'lng': -93.61189061970849}, 'southwest': {'lat': 41.58902276970851, 'lng': -93.61458858029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zombie Burger + Drink Lab,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108404672044939970801"">Zombie Burger + Drink Lab</a>'], 'photo_reference': 'AW30NDw4squNN5GQa9Mv-r6Exbbk3egWW7PhEp6ybOTLa5GlyZioE3CAxpkVTK2v_LDFcxFWqKLLh1ly8gfslGg3OebII_9n-nGc94WL2C0lBwSgc5PgmZGob75A9sCLV2xqCK0izNHs935jZOCrXy6_NZuO7Nk9TYFqLrX5FW5l-A5Ix-Yn', 'width': 5184}]",ChIJBXKl3VSe7ocRdbGCW7ADi0M,"{'compound_code': 'H9RP+5M Des Moines, IA, USA', 'global_code': '86H8H9RP+5M'}",2.0,4.5,ChIJBXKl3VSe7ocRdbGCW7ADi0M,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",8043.0,"300 East Grand Avenue, Des Moines",
OPERATIONAL,"{'location': {'lat': 41.5853134, 'lng': -93.6209765}, 'viewport': {'northeast': {'lat': 41.5866109802915, 'lng': -93.6195967697085}, 'southwest': {'lat': 41.5839130197085, 'lng': -93.6222947302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Court Avenue Restaurant & Brewing Company,{'open_now': True},"[{'height': 700, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110378787334723469466"">Court Avenue Restaurant &amp; Brewing Company</a>'], 'photo_reference': 'AW30NDzUtcUn3GM_kizqBt6xoYVMFoXfc964ffYuUKmYrpjp47JrlG8Byv8ZmPdYTrpPJuVFJb4BBZAAiOJHcvQZmhsSzqCvI3SvmlbIGWtenPo_G2M5icoCBlnTj88v84TbVnq1sr3DaV6BZMVX8Bvjm-ipsPQYCtXDHz8g5dp4YzK9XRY7', 'width': 1240}]",ChIJVfbUl6qZ7ocR5eRaGXDfv6c,"{'compound_code': 'H9PH+4J Des Moines, IA, USA', 'global_code': '86H8H9PH+4J'}",,4.4,ChIJVfbUl6qZ7ocR5eRaGXDfv6c,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",758.0,"309 Court Avenue, Des Moines",
OPERATIONAL,"{'location': {'lat': 41.584698, 'lng': -93.63437300000001}, 'viewport': {'northeast': {'lat': 41.5861005302915, 'lng': -93.6330659197085}, 'southwest': {'lat': 41.5834025697085, 'lng': -93.6357638802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Americana,{'open_now': True},"[{'height': 1067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110304502555575199662"">Americana</a>'], 'photo_reference': 'AW30NDz6UMjQD-4n4V9dPmJrGJPDm4tiiU-nYZBmmAxTu34y9EdT2hYIHpfnzYXRizA-h2JODf266eiI7TY9pxrDUeXKyhOzbFVyTFiHHJut4F5pcISE-ZMNcPXMiL29ZxtDTlxOCgbk6nAmMJtA3wt5V3_B66yyAfBV8S5RURYb0fLSAEgQ', 'width': 1600}]",ChIJM0U3dx2Z7ocRnRGFKeQWdkk,"{'compound_code': 'H9M8+V7 Des Moines, IA, USA', 'global_code': '86H8H9M8+V7'}",3.0,4.4,ChIJM0U3dx2Z7ocRnRGFKeQWdkk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1911.0,"1312 Locust Street, Des Moines",
OPERATIONAL,"{'location': {'lat': 41.58769969999999, 'lng': -93.62866199999999}, 'viewport': {'northeast': {'lat': 41.58874228029149, 'lng': -93.62720781970849}, 'southwest': {'lat': 41.58604431970849, 'lng': -93.6299057802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,801 Chophouse,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108384380819446573558"">801 Chophouse</a>'], 'photo_reference': 'AW30NDxmRLKkGpB3ahE4eBTQUf7ZUq4sT6vR_QCwLPM1LBHC3MledmlFXBQ2BbXsKbIJ4H_zgiTdws1XYPK_x0oWps072bAqz6JDmhnJrsmv9czJldP2gJg7xC_sLwscNw49C7kgbZs0-Ea-kAczdQ2xfggshvX1IRu8BmU_KoCyH5cSw2zZ', 'width': 1920}]",ChIJJXiBuwOZ7ocRykc9CgIyY3k,"{'compound_code': 'H9QC+3G Des Moines, IA, USA', 'global_code': '86H8H9QC+3G'}",3.0,4.7,ChIJJXiBuwOZ7ocRykc9CgIyY3k,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",954.0,"801 Grand Avenue Suite 200, Des Moines",
OPERATIONAL,"{'location': {'lat': 41.56507579999999, 'lng': -93.6162976}, 'viewport': {'northeast': {'lat': 41.56656993029149, 'lng': -93.61489671970848}, 'southwest': {'lat': 41.56387196970849, 'lng': -93.61759468029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Baratta's Restaurant,{'open_now': False},"[{'height': 2772, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110380734043310597952"">Baratta&#39;s Restaurant</a>'], 'photo_reference': 'AW30NDxEQSqMJnNk9-g8U6BYwXoNN76XFeY4LU7yUWD_iehwOKyYwDvy4BichIFNZiU1pFbHvKR0ww1RSLZhRfal3pENqZmaVzwGsdiK4A3i66Enc6kr4jIEE4tUMajDXB4nFd88Lys2xJDKsZ_NRxML8X1VbPzGhYEhlPUZXov6RWTdxEGe', 'width': 2555}]",ChIJR2ER412Y7ocRS_n5Y4b6zp8,"{'compound_code': 'H98M+2F Des Moines, IA, USA', 'global_code': '86H8H98M+2F'}",2.0,4.5,ChIJR2ER412Y7ocRS_n5Y4b6zp8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1100.0,"2320 South Union Street, Des Moines",
OPERATIONAL,"{'location': {'lat': 41.5850045, 'lng': -93.6208181}, 'viewport': {'northeast': {'lat': 41.5864563802915, 'lng': -93.6195182697085}, 'southwest': {'lat': 41.5837584197085, 'lng': -93.62221623029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Spaghetti Works,{'open_now': True},"[{'height': 1367, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117751418142744272292"">Gregory Fallis</a>'], 'photo_reference': 'AW30NDx5fkSeIyZ_pMTXSPfzhV2o9OD1PXCx5grFx-cGWaLtQfA-99JeKrUcvEU_LSpBvCTar9w-wptwLT42mdGIwsggGq6KK9VPUqOpIMG3OFwN61XKvWP3XDKVVSEVWuRhtRJ8W6R90mQWrzGa4x6BDOcLbx_jE0cL-VTdr1K4I0salpTO', 'width': 2048}]",ChIJQZc-v6qZ7ocRg049n4WH1dQ,"{'compound_code': 'H9PH+2M Des Moines, IA, USA', 'global_code': '86H8H9PH+2M'}",2.0,4.2,ChIJQZc-v6qZ7ocRg049n4WH1dQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2263.0,"310 Court Avenue, Des Moines",
CLOSED_TEMPORARILY,"{'location': {'lat': 41.59090750000001, 'lng': -93.6090559}, 'viewport': {'northeast': {'lat': 41.5918860302915, 'lng': -93.6076084697085}, 'southwest': {'lat': 41.58918806970851, 'lng': -93.61030643029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Baratta's,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101265363505538822663"">Cafe Baratta&#39;s</a>'], 'photo_reference': 'AW30NDwHbUswOCFotUZcRZoybRDFOBRelBJqeEw9lBpeHHGLCWDHwdcqy56d1O4k3dG3FgCbcdrNSdHojJUshzIvkmopQa0FQjKHmqqhd9NuMeS8DIvCxS3AFwQNVPvV0_3-vSHDv2ja6v0DcY7Nlfzj0Kuk3f13jL0eolhZ2I0zByFAcoEE', 'width': 3264}]",ChIJs6mVdbGZ7ocRyQgrRM25lJM,"{'compound_code': 'H9RR+99 Des Moines, IA, USA', 'global_code': '86H8H9RR+99'}",,4.6,ChIJs6mVdbGZ7ocRyQgrRM25lJM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",42.0,"600 East Locust Street, Des Moines",True
CLOSED_TEMPORARILY,"{'location': {'lat': 41.5861845, 'lng': -93.6240407}, 'viewport': {'northeast': {'lat': 41.5874971302915, 'lng': -93.62269971970849}, 'southwest': {'lat': 41.5847991697085, 'lng': -93.62539768029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113504356565510948346"">Jesse Beckenson</a>'], 'photo_reference': 'AW30NDwNCObkGfBz6NnFNo6c2OhjtfHcr7SAhqgdB3xkxkzgn0c9N1whO7tY6llriZJQyyP1eeiurgqwhDUYiFXeCB2dmQMKP4ZloHqNi1q0NiTYIElKICwLHkOo-HBAJcFu3QCKb7for8EHsSTe2mztH92lqQyO-v0INZHYykmJFIycCNdw', 'width': 3024}]",ChIJk1OJUwCZ7ocRaygwWmVVDpE,"{'compound_code': 'H9PG+F9 Des Moines, IA, USA', 'global_code': '86H8H9PG+F9'}",1.0,3.4,ChIJk1OJUwCZ7ocRaygwWmVVDpE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",12.0,"555 Walnut St 3rd Floor, Suite 311 &313, Des Moines",True
OPERATIONAL,"{'location': {'lat': 41.5838428, 'lng': -93.62106}, 'viewport': {'northeast': {'lat': 41.5851696802915, 'lng': -93.61977491970849}, 'southwest': {'lat': 41.5824717197085, 'lng': -93.6224728802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hessen Haus,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103343440433410274187"">Hessen Haus</a>'], 'photo_reference': 'AW30NDzvEU9L12e8qzH0PvWU16j8MH5muaiII6pRhOIDGoOh7YV4L6dGGiOHZR1nrkh71bluAg-N-S-M4FLr2vKYglhnCIRCTWnXCu58KIj3YwHXfFcBajVahLDeNHBgZddnjvHEERccAK5vN6zJYUhhQCx2_z4oQd3RS6IS9pvFN8THTrLT', 'width': 3024}]",ChIJ1_LzSVWY7ocRE-mNuLb_NxU,"{'compound_code': 'H9MH+GH Des Moines, IA, USA', 'global_code': '86H8H9MH+GH'}",2.0,4.6,ChIJ1_LzSVWY7ocRE-mNuLb_NxU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2735.0,"101 Southwest 4th Street, Des Moines",
OPERATIONAL,"{'location': {'lat': 41.596709, 'lng': -93.614188}, 'viewport': {'northeast': {'lat': 41.5979207802915, 'lng': -93.61302986970848}, 'southwest': {'lat': 41.5952228197085, 'lng': -93.6157278302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Greater Des Moines Botanical Garden,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105566704204881286362"">Nicholas Fox</a>'], 'photo_reference': 'AW30NDzcrJ-OZl9DEmWz_sco2mRE04o8x3PR-IUkbhzjxr_ikSBqKchxXJVD8CQP_-wm5jE7ZPs2Ilcv_6Dov85gntMKkw4t7i5HSK86KD5qpSXTOKD2P4TfugJ_PPDIU7ZINbIoTjZlvyRwy0N2QI8iD3prQJzkb4NomlRxR4Q3NO2UW-OV', 'width': 5184}]",ChIJjTsJV6SZ7ocR51EyEVDfDS4,"{'compound_code': 'H9WP+M8 Des Moines, IA, USA', 'global_code': '86H8H9WP+M8'}",,4.7,ChIJjTsJV6SZ7ocR51EyEVDfDS4,GOOGLE,"['tourist_attraction', 'park', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2524.0,"909 Robert D. Ray Drive, Des Moines",
