business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.93313329999999, 'lng': -118.1183101}, 'viewport': {'northeast': {'lat': 33.9344423302915, 'lng': -118.1170957697085}, 'southwest': {'lat': 33.9317443697085, 'lng': -118.1197937302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102084542345981907576"">STEVEN B</a>'], 'photo_reference': 'AW30NDzRUUzygoUrgGMlIPqqc7qNnXi9WFZ3Vch_xs7aZIa_1r5vdQZn10ogWQo3kX8wpxNmpzK5N2rbP20JjuQnBNAHbFYM7JveJ3KNNX8UIceo2Ui1mOkvq-uSRYCpeoqvsQRh4T1cJ0pS0zyGUlY41Los4ahJE98xqi8Yfqlm2szFkMKR', 'width': 3630}]",ChIJ65lw0njNwoARfRjwee9H2VQ,"{'compound_code': 'WVMJ+7M Downey, CA, USA', 'global_code': '8553WVMJ+7M'}",2.0,4.4,ChIJ65lw0njNwoARfRjwee9H2VQ,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3629.0,"9253 Firestone Boulevard, Downey",
OPERATIONAL,"{'location': {'lat': 33.938657, 'lng': -118.129815}, 'viewport': {'northeast': {'lat': 33.94003953029151, 'lng': -118.1284836197085}, 'southwest': {'lat': 33.93734156970851, 'lng': -118.1311815802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mimi's Cafe,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111301059344818317030"">Richard Buttery</a>'], 'photo_reference': 'AW30NDzy-IM5wzMT1aOsznzTTPF6a_dIZXQn1erDaoHUGcMFm0w-IXAbmTbm1t06ht4GK60fNfbpR_OTtMOFJAKXH1SMOVTPpQf7inVGO_3ZeG3BYRyl4gFGKlKmLrd-dOy9PDcFnqmmq97lLXY1NqiGJW21J5ZaOFQLA6FfJQszh_FTnIiz', 'width': 4608}]",ChIJbQ_ab5nNwoAR0WO2Xma5zBg,"{'compound_code': 'WVQC+F3 Downey, CA, USA', 'global_code': '8553WVQC+F3'}",2.0,4.1,ChIJbQ_ab5nNwoAR0WO2Xma5zBg,GOOGLE,"['bakery', 'cafe', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1589.0,"8455 Firestone Boulevard, Downey",
OPERATIONAL,"{'location': {'lat': 33.9432729, 'lng': -118.1384633}, 'viewport': {'northeast': {'lat': 33.9446131802915, 'lng': -118.1371830697085}, 'southwest': {'lat': 33.9419152197085, 'lng': -118.1398810302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,NORMS Restaurant,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117047389330685678326"">Tresha Lane</a>'], 'photo_reference': 'AW30NDx4kAUa9hcJUlcOM1Uvgyd97n31seW2Xp80KuielsehkSpwiKVBw8kjUKW_Fs6pnaLYIEvI4lpVHUTghygwOaaBYC_gq_QzJy2Wh-0C1yUCeC7qU3l2v1w6updYj5o1P5Uy5NyheuuEcFcaMix2nsGWz2PJ8xOfQGDoPJMeV-P_-cD5', 'width': 3024}]",ChIJnTeesr3NwoARhAcvVxYTJr8,"{'compound_code': 'WVV6+8J Downey, CA, USA', 'global_code': '8553WVV6+8J'}",1.0,4.1,ChIJnTeesr3NwoARhAcvVxYTJr8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4992.0,"7955 Firestone Boulevard, Downey",
OPERATIONAL,"{'location': {'lat': 33.9362221, 'lng': -118.1221759}, 'viewport': {'northeast': {'lat': 33.9374959302915, 'lng': -118.1209078697085}, 'southwest': {'lat': 33.93479796970851, 'lng': -118.1236058302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106730499149197870813"">Eric Soldevilla</a>'], 'photo_reference': 'AW30NDwL3d9xwmVwuE1ofb50h3eNhO2GakY-thPGjSVfyKd1X_5r_UaeDZiMaRWWpLNwyWy4nkjwcO65DQp7RLBxDFkZI_Mnb4rIL66ca1dFkyN29gx3NBbVFoDzaUSMYdXbzJxS1-qZ5cbY_6gCZIOaEg50mHZHlqKZUp4j3_cVtz211Q3-', 'width': 5312}]",ChIJ6-5v-YLNwoARRDzcEd1Z88o,"{'compound_code': 'WVPH+F4 Downey, CA, USA', 'global_code': '8553WVPH+F4'}",2.0,4.2,ChIJ6-5v-YLNwoARRDzcEd1Z88o,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1659.0,"121 Stonewood Street, Downey",
OPERATIONAL,"{'location': {'lat': 33.9378077, 'lng': -118.1295524}, 'viewport': {'northeast': {'lat': 33.9391983302915, 'lng': -118.1281416697085}, 'southwest': {'lat': 33.9365003697085, 'lng': -118.1308396302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100782061240051442392"">Alex Hernandez</a>'], 'photo_reference': 'AW30NDylx3EKNAbr1qDo2zqvvZmg_8Fkan6d5iENWgCI_Pcnisbt7zoRdRpmityGVBhTAdjYOl9KlnImcF9fKbWNYTazHVSuMTA7uW7FkMhJHwx6Aw8kQjSsGeZBTNbaA6cTJuQkGJ08yEXWxyfsGPN5dcB_ht9kGZbNujV30t_f-B1_Ahl8', 'width': 4032}]",ChIJY2jb45vNwoAR2Tt0-t-7mZk,"{'compound_code': 'WVQC+45 Downey, CA, USA', 'global_code': '8553WVQC+45'}",1.0,4.0,ChIJY2jb45vNwoAR2Tt0-t-7mZk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",490.0,"8500 Firestone Boulevard, Downey",
OPERATIONAL,"{'location': {'lat': 33.9476507, 'lng': -118.1471319}, 'viewport': {'northeast': {'lat': 33.94897518029151, 'lng': -118.1456725197085}, 'southwest': {'lat': 33.94627721970851, 'lng': -118.1483704802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bob's Big Boy,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107152095413230031969"">Felis Stella</a>'], 'photo_reference': 'AW30NDwd3wTAOavCbR5J9BS9o7vdUfV-lG7NlejmOkAhKMov6G10O-ikLUWJMuDMWIcAsIZeL9Ol2MiQ3djtu2y1qqUV42WVuEQKD1fy5Fv1X867QPiEoTLWE-yUVPMIKX8m9ga4Dna3Z2aqvLr_6diITKI37KQXlNOzsQeHG1VWMOKztq1i', 'width': 4032}]",ChIJv2zAHLjNwoARft9_aStU8I4,"{'compound_code': 'WVX3+34 Downey, CA, USA', 'global_code': '8553WVX3+34'}",1.0,4.4,ChIJv2zAHLjNwoARft9_aStU8I4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2663.0,"7447 Firestone Boulevard, Downey",
OPERATIONAL,"{'location': {'lat': 33.9349583, 'lng': -118.1433318}, 'viewport': {'northeast': {'lat': 33.9363559302915, 'lng': -118.1420824697085}, 'southwest': {'lat': 33.93365796970851, 'lng': -118.1447804302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104604784531874289134"">Subway</a>'], 'photo_reference': 'AW30NDzttQwMhjV5LtbT1cJL8Y9B6C12jLhWiDjBVGdPgaKpoNurMD0hX1NDPrkkE4Bnu3e0Qsf2GvbDAD-VbDz-YgDqcFS9rmXPW7kmrgGXa-u7ZdOirWOd58LILUhDlmLau7nlV2G4M7iIUETiYPv-15j4nXb_Qk71pxJt7i3JNgABmyac', 'width': 1763}]",ChIJCS2POKTNwoARZ72dU9LqBHo,"{'compound_code': 'WVM4+XM Downey, CA, USA', 'global_code': '8553WVM4+XM'}",1.0,4.0,ChIJCS2POKTNwoARZ72dU9LqBHo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",139.0,"11858 Paramount Boulevard, Downey",
OPERATIONAL,"{'location': {'lat': 33.9274749, 'lng': -118.1277662}, 'viewport': {'northeast': {'lat': 33.92871033029149, 'lng': -118.1264345697085}, 'southwest': {'lat': 33.9260123697085, 'lng': -118.1291325302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Johnny Carino's,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101131410132998819400"">Jerry Chen</a>'], 'photo_reference': 'AW30NDyOp2YWUBiT_w1xRIM5xy7dXZZPkWweoHsPS4z60mVEe8-SLPmT-aIni5-KrJvnv0GgjZYNZaXfCd8q619wOL7mD1tQcDQI27SpeyaGohUSdlarKeOvCHdJBijvRhG0N4p7Il20SVJYmYREDGh11Bk8z413IMj37geNOc4nyTNELH0x', 'width': 3264}]",ChIJRQXQM3HNwoARffPVY-Quy5o,"{'compound_code': 'WVGC+XV Downey, CA, USA', 'global_code': '8553WVGC+XV'}",2.0,3.9,ChIJRQXQM3HNwoARffPVY-Quy5o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",858.0,"12036 Lakewood Boulevard, Downey",
OPERATIONAL,"{'location': {'lat': 33.9178205, 'lng': -118.1333955}, 'viewport': {'northeast': {'lat': 33.91880698029149, 'lng': -118.1320104197085}, 'southwest': {'lat': 33.91610901970849, 'lng': -118.1347083802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2972, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118394518349483087896"">Hal</a>'], 'photo_reference': 'AW30NDxU0u2spZ1qGDoEScF4C3Xlu6qRKMcsgt3DRU_woPcKxVzDpCxMT2UP4M70WXMnPmQ_cNrxLsLzc9PjbDkM85FwIglPDYRwr904slxW3tTqeV8xxVdBjX19JkPxJr-zR1NDs8p0CcOBk83mvB2ZZewZ43bjwJuk3POdH7-3huS8hPai', 'width': 3984}]",ChIJuXUn82zNwoARpV9BrsRjDRw,"{'compound_code': 'WV98+4J Downey, CA, USA', 'global_code': '8553WV98+4J'}",1.0,3.7,ChIJuXUn82zNwoARpV9BrsRjDRw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",143.0,"9131-B Imperial Highway, Downey",
OPERATIONAL,"{'location': {'lat': 33.91755200000001, 'lng': -118.137614}, 'viewport': {'northeast': {'lat': 33.9188227302915, 'lng': -118.1363198697085}, 'southwest': {'lat': 33.9161247697085, 'lng': -118.1390178302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100960128491823957516"">Marcos Torres</a>'], 'photo_reference': 'AW30NDzfBfavc1-TMNgjNlNj7uWaBR9Wa0jg7oA4Tqpk-yc-OACKAKSiTSA-jrCJI6bXAyAovaifpCd_cpoXDJJDUKK7sb6rseTmTPTRtY4loDlUdaDP6UPHb22VKWW9E2JmJOF8a2wm52fpqb8snYSPkIZbJ4yz0M55rkh3Ep04DRNBBCZM', 'width': 3024}]",ChIJj_ng4BLNwoARKWciUyL6TbY,"{'compound_code': 'WV96+2X Downey, CA, USA', 'global_code': '8553WV96+2X'}",1.0,4.0,ChIJj_ng4BLNwoARKWciUyL6TbY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",428.0,"12555 Lakewood Boulevard, Downey",
