business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 26.288231, 'lng': -98.164299}, 'viewport': {'northeast': {'lat': 26.2894686302915, 'lng': -98.1631863697085}, 'southwest': {'lat': 26.2867706697085, 'lng': -98.1658843302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101209790653780205062"">Isacc Fernandez</a>'], 'photo_reference': 'AW30NDyReayna-Bo8l_YxYktfWQQrsvkEKArpwoEI_9qx0IpCh_oyibQ8vr62l-SquaxXhhBaB7RPMe_5VQTtAQRypyUuq207tjQ3uZ5WnNqJscPlZyOlGiMBfDwNsrQoqoz2sSaxIAo3au1-IAR-oDMZCLVGU38h7wHAt5vQN1Tcv8PPOeb', 'width': 5312}]",ChIJFUZ0xiWiZYYRdSIZgUAcSyM,"{'compound_code': '7RQP+77 Edinburg, TX, USA', 'global_code': '76R37RQP+77'}",1.0,3.7,ChIJFUZ0xiWiZYYRdSIZgUAcSyM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1004.0,"1410 South Closner Boulevard, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.29920389999999, 'lng': -98.1447822}, 'viewport': {'northeast': {'lat': 26.3004005802915, 'lng': -98.14358536970849}, 'southwest': {'lat': 26.2977026197085, 'lng': -98.14628333029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114095423815691244857"">Subway</a>'], 'photo_reference': 'AW30NDxJX903pP93d4aLZ0vBUDxmN9RZu9hHdEmeIlu42GX3GnTmvB_FEm0Ql5Xhx4zXq4tye3POGuHxPV8ydykYGQISvCUAN5OOjA3LE1Upv9dp-a0mbg5KiRZkFvjroX4-AcSVoLIdxpH1cDPnE6zvvGsu6ZiZjtAeJjWjZ4Lnq-QwZ9Wy', 'width': 766}]",ChIJY9M-HQ6iZYYR-7i3bHYo23E,"{'compound_code': '7VX4+M3 Edinburg, TX, USA', 'global_code': '76R37VX4+M3'}",1.0,4.0,ChIJY9M-HQ6iZYYR-7i3bHYo23E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",434.0,"1721 East University Drive, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.2828132, 'lng': -98.1661496}, 'viewport': {'northeast': {'lat': 26.2841969802915, 'lng': -98.1648412197085}, 'southwest': {'lat': 26.2814990197085, 'lng': -98.16753918029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100428292460830292157"">Subway</a>'], 'photo_reference': 'AW30NDyHcLL8fwbGZBQBbgP-YHD6qkSgxrqTZnDhE2TF1YrMeZfnXlOSil-saVH8YtMniUgN7fQzA9S2PxqtP8DOC8yBQKTkZB24qwJnxXRioMPxvUgCaAZqDjOs1y35Jk7kdP4EAyghdBg7aL_JUGcXO9btl4YWv0AFXEZI_lO3n3vr0dne', 'width': 1763}]",ChIJgxBz3SeiZYYRoOiRZHHqr1c,"{'compound_code': '7RMM+4G Edinburg, TX, USA', 'global_code': '76R37RMM+4G'}",1.0,3.9,ChIJgxBz3SeiZYYRoOiRZHHqr1c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",168.0,"2005 South Closner Boulevard, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.2658516, 'lng': -98.1909046}, 'viewport': {'northeast': {'lat': 26.2670276302915, 'lng': -98.1896513197085}, 'southwest': {'lat': 26.2643296697085, 'lng': -98.19234928029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Movie Bistro Edinburg,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102453127497438386567"">Mason</a>'], 'photo_reference': 'AW30NDy4zKL1ascdGnKNUVrQlPXuGVGFIssgrIxY9ULZQb535_BLlnjRxt_pRdXGKNmb8ih3n1oUn5yaE0VA7Wtx5VOistU0dLUwI6UCiEhRnBenLlIZGLxEaDhFPq8fTH1vvwmZ6yPSu2R6wEgk_0prGRUGSSwOf-nJRhInRmWAf5JV0Qy6', 'width': 4032}]",ChIJBdX8V26hZYYRvKsYKcjZS5Y,"{'compound_code': '7R85+8J Edinburg, TX, USA', 'global_code': '76R37R85+8J'}",,4.6,ChIJBdX8V26hZYYRvKsYKcjZS5Y,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1730.0,"2001 West Trenton Road Suite 116, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.2645018, 'lng': -98.18810479999999}, 'viewport': {'northeast': {'lat': 26.2656216802915, 'lng': -98.1867949197085}, 'southwest': {'lat': 26.2629237197085, 'lng': -98.18949288029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wings and Rings,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105033547585141308905"">Pedro Rosales</a>'], 'photo_reference': 'AW30NDybGws932ocL3d-d6dPZLfBiIhC-oWBumGztR13N98Gj8jOxCgaSPGg2H7CBog1iSZ7K0Omu9bX7Ci7Dtl2RXaBwJMu0UXiWhr3KY5YpQUSdRXI1v1StMgFTYRN9Ce1bDrNzoNaLmHSwlXqKlj0ikr7xTKtIMKmdiKsQI9s1iuRGlVx', 'width': 3024}]",ChIJv3fGWm6hZYYRKDrhI8L6Gjw,"{'compound_code': '7R76+RQ Edinburg, TX, USA', 'global_code': '76R37R76+RQ'}",2.0,4.1,ChIJv3fGWm6hZYYRKDrhI8L6Gjw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",889.0,"1727 West Trenton Road, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.2669732, 'lng': -98.2008718}, 'viewport': {'northeast': {'lat': 26.26834348029151, 'lng': -98.19964976970849}, 'southwest': {'lat': 26.2656455197085, 'lng': -98.2023477302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104750371559190409806"">Subway</a>'], 'photo_reference': 'AW30NDxaWUGbN9LBIfTOakYEnXiSlORvyXELKucLMowurvYn4P8yCZVmrcCOHCAWY5nJeSHd7kxhlUksJb0fgc01zTqR_79ZOdnQ30K3K1afHxuT-1iGhc6FbaSzG96MZn8zPYOgGjG_Gs2wHFqiMNncUhhq2atx9c5MkAIp21v2z58g8Lm5', 'width': 766}]",ChIJW8yr20KhZYYRdPaDpHMyKbI,"{'compound_code': '7Q8X+QM Edinburg, TX, USA', 'global_code': '76R37Q8X+QM'}",1.0,4.0,ChIJW8yr20KhZYYRdPaDpHMyKbI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",113.0,"4120 South McColl Road Suite 5, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.3062012, 'lng': -98.189675}, 'viewport': {'northeast': {'lat': 26.3075427802915, 'lng': -98.18820431970849}, 'southwest': {'lat': 26.3048448197085, 'lng': -98.1909022802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wingstop,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103341681308900766622"">Juan Davila</a>'], 'photo_reference': 'AW30NDxBhoYk9gMEBDF1EfLyKoIzzWm8UHf2NoE8O_keO5x2TVmv35Dts96YzxAT1ckibCZ_P0qXd122XzRjVpcX3VbJ_cO3Cv0wNy-cDQF2Jl8Tf_tx4fgyyE2xi36DaduQxfDwF1YxOat8k6ZJEbCTmom5jkVfjtIWIv3Bkyh5nf3kmUdQ', 'width': 5312}]",ChIJa8mgJ7ijZYYRSXZwPZr9YW4,"{'compound_code': '8R46+F4 Edinburg, TX, USA', 'global_code': '76R38R46+F4'}",2.0,3.6,ChIJa8mgJ7ijZYYRSXZwPZr9YW4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",426.0,"2405 West University Drive D, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.3025655, 'lng': -98.17214740000001}, 'viewport': {'northeast': {'lat': 26.3039294302915, 'lng': -98.17089786970851}, 'southwest': {'lat': 26.30123146970849, 'lng': -98.17359583029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115269339569664556134"">Jose Esqueda</a>'], 'photo_reference': 'AW30NDwZWfMr5brXBGpt-PjJNmjk7AhWQXw1UQfTOU5aFzS5HH5R6G4DjK1NEyXhos6pOhaWSHWqhXMdBlGFH8hdLpzrMz4Ab0E9AjpLWOHJE_gxGDVqB30aeKfSHVrxvW-q3nI75PoP4Qyo3VTKnBnZbTmyTwxrxvBWtHZjOmuc_kHVB4WS', 'width': 4032}]",ChIJZWUZ3zWiZYYRPuisVBnOqC0,"{'compound_code': '8R3H+24 Edinburg, TX, USA', 'global_code': '76R38R3H+24'}",1.0,4.2,ChIJZWUZ3zWiZYYRPuisVBnOqC0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",120.0,"102 South 2nd Avenue, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.2648833, 'lng': -98.19058729999999}, 'viewport': {'northeast': {'lat': 26.2662148802915, 'lng': -98.18917161970849}, 'southwest': {'lat': 26.2635169197085, 'lng': -98.1918695802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Applebee's Grill + Bar,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101087776076188612212"">Timothy Hamlett</a>'], 'photo_reference': 'AW30NDxnWd1X7vR5glMU44VtBhgVSKDwljMlnb8UiJDF7GsxtaoLO207LcnqsFfd3q2fuPv8TiQVR1_dU9LoiEDkr7vGeFJW-2ICeG5oL6rTL4-rSw28uICic1tbxcJI_GJAkImTjvo9UTk7lYHbdT8fYBIR7b1lUEbarctNQhD1prqXjoyP', 'width': 4032}]",ChIJ9WogUm6hZYYRdQzBP4L3nII,"{'compound_code': '7R75+XQ Edinburg, TX, USA', 'global_code': '76R37R75+XQ'}",2.0,4.1,ChIJ9WogUm6hZYYRdQzBP4L3nII,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1448.0,"1913 West Trenton Road, Edinburg",
OPERATIONAL,"{'location': {'lat': 26.3044971, 'lng': -98.17972809999999}, 'viewport': {'northeast': {'lat': 26.3058306802915, 'lng': -98.17841721970849}, 'southwest': {'lat': 26.3031327197085, 'lng': -98.1811151802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Maki Sushi Bar,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108160689710743789192"">Andy Garza</a>'], 'photo_reference': 'AW30NDw_sxlFVoxPE9LzF59rmgCJfM6mS-6brWBcViyb7yLku8w7cvh8xXxpCwnHURSX0d1E61b3ar-4jTBPYgI3P1BMbA51JykP2Ms0LzcBdLkjJIVNUGEabKaOtygqikb4kPZK83zBHnf_2Zfv-7_W1bMQLkVwrhsaIA0lLhr045dubGLd', 'width': 4032}]",ChIJn9_27BGiZYYRADqtdOcqdeA,"{'compound_code': '8R3C+Q4 Edinburg, TX, USA', 'global_code': '76R38R3C+Q4'}",2.0,4.0,ChIJn9_27BGiZYYRADqtdOcqdeA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",479.0,"1661 West University Drive, Edinburg",
