business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.77883699999999, 'lng': -117.009968}, 'viewport': {'northeast': {'lat': 32.78023498029149, 'lng': -117.0086013197085}, 'southwest': {'lat': 32.77753701970849, 'lng': -117.0112992802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rubio's Coastal Grill,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116689118185279033288"">Rubio&#39;s Coastal Grill</a>'], 'photo_reference': 'AW30NDyZDUuVrc3-GmQ8mFciJjumwqW5UenWQCRudlDl8KJkNSi7P8D5-iqcpdiv9VSI5P6PXHF9KsNadFVl9f45xKwhaV2nrrBoC1949qxg8_ecf-smQW_tE4-sHm8kTaywipHnYxqgtdVdvnAQdkNCYV0Zg8w51a23ErwZBwp_kDNHzQM4', 'width': 1066}]",ChIJRy0V3hJX2YAR3KeyhOxpGWc,"{'compound_code': 'QXHR+G2 La Mesa, CA, USA', 'global_code': '8544QXHR+G2'}",1.0,4.1,ChIJRy0V3hJX2YAR3KeyhOxpGWc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",536.0,"5500 Grossmont Center Drive Suite D-22, La Mesa",
OPERATIONAL,"{'location': {'lat': 32.8380093, 'lng': -116.9685695}, 'viewport': {'northeast': {'lat': 32.8392645802915, 'lng': -116.9672920197085}, 'southwest': {'lat': 32.8365666197085, 'lng': -116.9699899802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sonic Drive-In,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116696814553331361535"">San Diego Johnny Surf</a>'], 'photo_reference': 'AW30NDzQVM0nrrq5xm5VNDiEnrtUcX89PEVV4xvQFmXi6kBCywRYs3_IrmPViAyK89yh_uE-Qug3_WrtcH8OzU-rnEfONX9upCiV4hQGePxKp_FNGEHUZoM9kkmC8H1BBlhc-Bx58k9fjKMcNAG_uM-ycNmv6Upnd6g10a9VOY4UAz7miMeS', 'width': 1920}]",ChIJV0xRTglY2YARRTCbZ9vx0Zc,"{'compound_code': 'R2QJ+6H Santee, CA, USA', 'global_code': '8545R2QJ+6H'}",1.0,3.8,ChIJV0xRTglY2YARRTCbZ9vx0Zc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1963.0,"10515 Mission Gorge Road, Santee",
OPERATIONAL,"{'location': {'lat': 32.7783805, 'lng': -116.9954818}, 'viewport': {'northeast': {'lat': 32.7799127802915, 'lng': -116.9942064197085}, 'southwest': {'lat': 32.7772148197085, 'lng': -116.9969043802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brigantine Seafood Restaurant,{'open_now': True},"[{'height': 2657, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112932710349052368814"">Brigantine Seafood Restaurant</a>'], 'photo_reference': 'AW30NDwRYPiGE8dzzSxghTJU3uMo-GEuKCl3bEUu7yAjA12j41y_MvSpNN-AxjztTFYbGPIIXvuihQ7iqemOAWKfQgiTCM2nbhKj6kr1SF_GC7pax-RUVxNDUd-ZekUBvCipheqkKaCBuWGZg8WqK92gu66CnsQaf67O2qNSehi0aj_dlMdX', 'width': 4366}]",ChIJJYl8F2ZX2YARNJ_BCxh-EJ4,"{'compound_code': 'Q2H3+9R La Mesa, CA, USA', 'global_code': '8545Q2H3+9R'}",2.0,4.5,ChIJJYl8F2ZX2YARNJ_BCxh-EJ4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2474.0,"9350 Fuerte Drive, La Mesa",
OPERATIONAL,"{'location': {'lat': 32.84049220000001, 'lng': -116.9832752}, 'viewport': {'northeast': {'lat': 32.8418980302915, 'lng': -116.9819348197085}, 'southwest': {'lat': 32.8392000697085, 'lng': -116.9846327802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Phil's BBQ,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116696814553331361535"">San Diego Johnny Surf</a>'], 'photo_reference': 'AW30NDw1PKFZ2gTMSYktnJ09LgMJaCHAeplsW9hjVt5GJ0-tu-RTEayur0fYmxASaUY5COdmE5GkoMPb--ndR0uaUIDHpvDbftGX5uNmjBdNo4fjU1YC4UPVs2kao_onR3WTkASKoXOQjFqSFm78amBCVJABiQOiz7fDKMaKoqJ6SH7O286h', 'width': 4000}]",ChIJxdpokari24ARBwKAICcJ2So,"{'compound_code': 'R2R8+5M Santee, CA, USA', 'global_code': '8545R2R8+5M'}",2.0,4.6,ChIJxdpokari24ARBwKAICcJ2So,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3072.0,"9816 Mission Gorge Road, Santee",
OPERATIONAL,"{'location': {'lat': 32.7799154, 'lng': -116.9924349}, 'viewport': {'northeast': {'lat': 32.7811503302915, 'lng': -116.9911052197085}, 'southwest': {'lat': 32.7784523697085, 'lng': -116.9938031802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Anthony's Fish Grotto,{'open_now': True},"[{'height': 681, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111189741111276036449"">MJE Marketing</a>'], 'photo_reference': 'AW30NDyE4iexxIRVL7C3iSscAyJ4JdgOR2HltA_ESMR_D_7EGGWtt0KWY-S44wnqowweMmTqEwmjIEnmgF_W1QcbRQTt4HGHMCE_IpLWijGqXW85TQQtvFpFm73MjPAWyeJFmGq_1Q3a4NxFw9xhNYb3WaAq4AYLR2E7ECxuJ2-77lysXHfi', 'width': 1020}]",ChIJd8ilpGZX2YARulefQMJt3XA,"{'compound_code': 'Q2H5+X2 La Mesa, CA, USA', 'global_code': '8545Q2H5+X2'}",2.0,4.4,ChIJd8ilpGZX2YARulefQMJt3XA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2531.0,"9530 Murray Drive, La Mesa",
OPERATIONAL,"{'location': {'lat': 32.8048067, 'lng': -116.9667579}, 'viewport': {'northeast': {'lat': 32.8060195302915, 'lng': -116.9654601197085}, 'southwest': {'lat': 32.8033215697085, 'lng': -116.9681580802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hot Dog On A Stick - El Cajon,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112610368419579311974"">Brian P</a>'], 'photo_reference': 'AW30NDxkH3kNBlcBwJtMnudxMRcaA-XblbLx9fJaia4_FgMXJpTMW9sdmwSv8LteyEJ9AX0Otp3t3R0PguFCAPcY13D2IkUyJLsTId9Qp7LfGESG7ziFv0eIecjS-hl_0R_OTKQ-Qaz-PExWF-qPatjqxULQqusyo8Fm2ZIErcQMFal0W-My', 'width': 3024}]",ChIJDQU_hzNY2YARdERzM9PgcTo,"{'compound_code': 'R23M+W7 El Cajon, CA, USA', 'global_code': '8545R23M+W7'}",1.0,4.4,ChIJDQU_hzNY2YARdERzM9PgcTo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,"713 Parkway Plaza, El Cajon",
OPERATIONAL,"{'location': {'lat': 32.80904, 'lng': -116.9609714}, 'viewport': {'northeast': {'lat': 32.81039338029149, 'lng': -116.9595596197085}, 'southwest': {'lat': 32.8076954197085, 'lng': -116.9622575802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Black Angus Steakhouse,{'open_now': True},"[{'height': 1537, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109714252009428965645"">Ben Smith</a>'], 'photo_reference': 'AW30NDwH1pG59jXEeHtn7UrNGBxBOKLnrwSDwOE4SajGuTD6jLTo_21QfL3t8cUzxaBATdy2AXrUJBIsg6sjAhFp8ftRuAWEPRMyP8Hp2ZFF-qR5EfSbr7rQBypTQ0uyP9gehbp-5Vjb1kVv9g1Fz9cmKOdm5sRYf7SUBSpT96j1foEJ-EBF', 'width': 2048}]",ChIJlfv-5ElY2YARGGYltR5FVXA,"{'compound_code': 'R25Q+JJ El Cajon, CA, USA', 'global_code': '8545R25Q+JJ'}",2.0,4.1,ChIJlfv-5ElY2YARGGYltR5FVXA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1117.0,"1000 Graves Avenue, El Cajon",
OPERATIONAL,"{'location': {'lat': 32.79469280000001, 'lng': -116.9570716}, 'viewport': {'northeast': {'lat': 32.7960393802915, 'lng': -116.9558999697085}, 'southwest': {'lat': 32.7933414197085, 'lng': -116.9585979302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ali Baba Family Restaurant,{'open_now': True},"[{'height': 1456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106256248546692255328"">Joab Guerrero</a>'], 'photo_reference': 'AW30NDwEkCGk_P-9z8HYk9l7F4arTz1DIwlaCpB1_9D2dOvxKaMRlEk86be_nXAVOMg3A6cESgH4zpl4SFMmCclYnfUEgmQTQ0ArGuYtY61dL8KhDCimuNmTW0Ls8DoFjGTS7LQFLMvMLukJTOEXD__cjg0okCqyA2pBqQtu8BYtf3aSeRYw', 'width': 2592}]",ChIJS9XHQbdZ2YARObeG7IxYGNQ,"{'compound_code': 'Q2VV+V5 El Cajon, CA, USA', 'global_code': '8545Q2VV+V5'}",2.0,4.2,ChIJS9XHQbdZ2YARObeG7IxYGNQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1190.0,"421 East Main Street, El Cajon",
OPERATIONAL,"{'location': {'lat': 32.7800505, 'lng': -117.0101371}, 'viewport': {'northeast': {'lat': 32.7812957802915, 'lng': -117.0088947197085}, 'southwest': {'lat': 32.7785978197085, 'lng': -117.0115926802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111294577261376414784"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDzYWKbfHBJRz0ZATkmMnyWzmizMZo5O9aAdTanQN9D6abJz4YnqBdOZq1i4DJcCrwHT_u5K6zgCBPAw-dUOuXGk5Y4SfiSQyK5zoyr4xegIJk61QSf5Ofhzh9zkedZzKsIDUIhVJZU7ZrzTobJ4nkSJEyxErcpfGhMWoP29MwEk2G9q', 'width': 3024}]",ChIJC8CCwRJX2YAROHGaJx0cJJA,"{'compound_code': 'QXJQ+2W La Mesa, CA, USA', 'global_code': '8544QXJQ+2W'}",2.0,4.1,ChIJC8CCwRJX2YAROHGaJx0cJJA,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1505.0,"5500 Grossmont Center Drive, La Mesa",
OPERATIONAL,"{'location': {'lat': 32.79873649999999, 'lng': -116.9352738}, 'viewport': {'northeast': {'lat': 32.8000530802915, 'lng': -116.9339710697085}, 'southwest': {'lat': 32.7973551197085, 'lng': -116.9366690302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105228656857231622725"">Lulu Lola</a>'], 'photo_reference': 'AW30NDzNcZL6kNnbuBiq0ECENu2SDs99wq2_jKo8Zd4I954S56VLIuV60QBd0vjKGAqBrPDQjLMNthSxmwWII4gYV4Tnxz0jgkQlIQ5QRcuVfIxj6cJkB2r036fQn1D-cuvC_bA6WQq4CTioWTvo5GR69WGUFzpxkYhhLqyPOSOALqmuMjzv', 'width': 4032}]",ChIJMbPn1gdZ2YARre-2a_XTSFk,"{'compound_code': 'Q3X7+FV El Cajon, CA, USA', 'global_code': '8545Q3X7+FV'}",1.0,3.8,ChIJMbPn1gdZ2YARre-2a_XTSFk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",268.0,"341 North 2nd Street, El Cajon",
