business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.06923, 'lng': -118.0213636}, 'viewport': {'northeast': {'lat': 34.0704705802915, 'lng': -118.0203296697085}, 'southwest': {'lat': 34.0677726197085, 'lng': -118.0230276302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114324212200251654617"">Daniel Campos</a>'], 'photo_reference': 'AW30NDzAtXpa-5Id-rD3R93dEd-xJ-q7V3TK5lr6x3QbG5I3fF33j8VwfZyhDgevy1dscKc7BQfGrNtGptcF-pR1uoGw-CITz2EfZ7VE4HuRYhqT_oPGqyZz8OkM51-9BGtJ3BnxmzWuZJpagnlCwo7UD5vDcpYfjsawdbWOmvDbVY8Sl4Q6', 'width': 4032}]",ChIJG1ruGq7QwoARZvDBH1-fnqs,"{'compound_code': '3X9H+MF El Monte, CA, USA', 'global_code': '85633X9H+MF'}",1.0,3.6,ChIJG1ruGq7QwoARZvDBH1-fnqs,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.0,"3534 Peck Road, El Monte",
OPERATIONAL,"{'location': {'lat': 34.0620826, 'lng': -118.0192964}, 'viewport': {'northeast': {'lat': 34.06352358029149, 'lng': -118.0178373697085}, 'southwest': {'lat': 34.0608256197085, 'lng': -118.0205353302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2845, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118394518349483087896"">Hal</a>'], 'photo_reference': 'AW30NDzx6us1ZeodHRfvKuCeKHXv1ZoR3b2kbfBeEViTmyoG-1pOO6l2fyWUd7Px8_5yp64Uo1xVHSc4xM1BJUdfFBWzqvfcHf9pUhVTBzXaqoBK50nMSfFEQXfpSQ1cTNu66VuYDK-emRwadk8Fi0x02evTd8wDkCGoTe1ubU-iHd-2TfD0', 'width': 3793}]",ChIJeX9QRbXQwoARIiDp6ppdAWY,"{'compound_code': '3X6J+R7 El Monte, CA, USA', 'global_code': '85633X6J+R7'}",1.0,3.7,ChIJeX9QRbXQwoARIiDp6ppdAWY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",160.0,"11990 Garvey Avenue, El Monte",
OPERATIONAL,"{'location': {'lat': 34.076188, 'lng': -118.021375}, 'viewport': {'northeast': {'lat': 34.0774702302915, 'lng': -118.0201943697085}, 'southwest': {'lat': 34.0747722697085, 'lng': -118.0228923302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,King Taco # 20,{'open_now': True},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112930529709611568229"">King Taco # 20</a>'], 'photo_reference': 'AW30NDwcxR3qgx08kdhjRx1XyUj8xH1kzTOscCbC9tZfIj7cifUFuh7eW7MJx0kco6zGlSXlkKVGvFb_vxzy0WT9lBJmWRl5n3RNjytM8EJzMyX6AHQO6PBQZ_8qla4__wuYeSVbSBmK-Z9XqRJ0ncDhDRAaoB8VvVagpDnvvTITPScbBlim', 'width': 800}]",ChIJlUoFiazQwoARTRCPfpXena8,"{'compound_code': '3XGH+FC El Monte, CA, USA', 'global_code': '85633XGH+FC'}",1.0,4.0,ChIJlUoFiazQwoARTRCPfpXena8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2493.0,"3900 Peck Road, El Monte",
OPERATIONAL,"{'location': {'lat': 34.0630622, 'lng': -118.0368181}, 'viewport': {'northeast': {'lat': 34.0643226802915, 'lng': -118.0354693697085}, 'southwest': {'lat': 34.0616247197085, 'lng': -118.0381673302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118394518349483087896"">Hal</a>'], 'photo_reference': 'AW30NDy21HnOyQV8YjaLb5VzLzq8CyjSYKa5Q85dFXsQ08WtvnfN-wPt7r_sddf3_i6EpimyxFGZd-mVhugSboqqegJyHnudKJBlh7S-RBrI8LyOf2wr0SQL7tsPpxiiXGkyamCpzHEZgDsQqYOBezhFdHe-pkwzY2XQNR2m78pf4bAInC3V', 'width': 4032}]",ChIJ_SLCArzQwoARZXNUTgoOgH0,"{'compound_code': '3X77+67 El Monte, CA, USA', 'global_code': '85633X77+67'}",1.0,4.1,ChIJ_SLCArzQwoARZXNUTgoOgH0,GOOGLE,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",362.0,"10939 Garvey Avenue, El Monte",
OPERATIONAL,"{'location': {'lat': 34.0623413, 'lng': -118.0216853}, 'viewport': {'northeast': {'lat': 34.0636531802915, 'lng': -118.0201597697085}, 'southwest': {'lat': 34.0609552197085, 'lng': -118.0228577302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118394518349483087896"">Hal</a>'], 'photo_reference': 'AW30NDzdYra3hGIjI5efVnEUQWgyNBPlHTVnkjuxPqlRCDFrLt3NjU1epMuXB5nUJZ4eqXS9Uno4o9Si7uRm58zuFuUp70OQASRu-PSOiY8PlgHy2MzLRagTJCMot3B5YZ8wwL1049HVvrXJ7Ur_pNbFSXGjWyHha48xwPYh3cNFOwOw2jkd', 'width': 3024}]",ChIJF1gKd7XQwoARl4L2JV8G4M8,"{'compound_code': '3X6H+W8 El Monte, CA, USA', 'global_code': '85633X6H+W8'}",1.0,4.0,ChIJF1gKd7XQwoARl4L2JV8G4M8,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",477.0,"11910 Garvey Avenue Unit A, El Monte",
OPERATIONAL,"{'location': {'lat': 34.0719599, 'lng': -118.0244283}, 'viewport': {'northeast': {'lat': 34.0733805302915, 'lng': -118.0232357197085}, 'southwest': {'lat': 34.0706825697085, 'lng': -118.0259336802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Denny's,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115458267813844747195"">Amber Faux</a>'], 'photo_reference': 'AW30NDxElrQf1uiZmEVTAkSclqkI6vTcjOLN_mPo7Bwk7wNoOie8etEjYjWYh6csqKPwlvQwYXHhZbXt2z4IKWBhnfnrbXNaHFv03mYGQSODohPI-qjWyp8vSlesiWRsRYGMCG1sa7i0VVkXCX3kl5IQTvzYNXO9WYEJdP4B2lMq-_OrU7SX', 'width': 3000}]",ChIJ0YIBDK7QwoARXmuR5plS1t4,"{'compound_code': '3XCG+Q6 El Monte, CA, USA', 'global_code': '85633XCG+Q6'}",1.0,4.1,ChIJ0YIBDK7QwoARXmuR5plS1t4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1723.0,"3540 Peck Road, El Monte",
OPERATIONAL,"{'location': {'lat': 34.07828629999999, 'lng': -118.0203592}, 'viewport': {'northeast': {'lat': 34.0796714302915, 'lng': -118.0191432697085}, 'southwest': {'lat': 34.07697346970851, 'lng': -118.0218412302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1927, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103070660219426027162"">Live Mas</a>'], 'photo_reference': 'AW30NDwRxh7UbdiEJyourR1qrT7Nozna4O8t6aGA9JemrCdQOhFTwm8b_uWtVwZbDOpGwA4mgT-4Kf8KRagE8qwh49oXnpiLsTJUZzNW2oXB7_2fGaeQkPOPenQkwy7q0XVwMw7mSscQ7WhutTtkVxCo4txjXtk2QbEddY1qrxf9t0_s94yv', 'width': 3427}]",ChIJ9RiSa6vQwoARSs8jgUGXGfM,"{'compound_code': '3XHH+8V El Monte, CA, USA', 'global_code': '85633XHH+8V'}",1.0,3.8,ChIJ9RiSa6vQwoARSs8jgUGXGfM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",361.0,"4044 Peck Road, El Monte",
OPERATIONAL,"{'location': {'lat': 34.0667155, 'lng': -118.0257536}, 'viewport': {'northeast': {'lat': 34.0681197302915, 'lng': -118.0244543197085}, 'southwest': {'lat': 34.0654217697085, 'lng': -118.0271522802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117323403849724002638"">Антон Булгаков</a>'], 'photo_reference': 'AW30NDyCqgDZ0e2v_PQfq8n5HCYa_IRerRo5nIgiFcAZ7HCB-Mpe2TWEaXmX61eN8DXqtN8o-8VJUsPy2dCdoWFHG-yW6BEYxffIVxRLsiXDI-FmA5wkOY7KGGYoNso2PYh_SDjRHJD-RwXyRSdEEAo6CeZSy6P-g8UF7ZqgnOQ6mMUKiipg', 'width': 4608}]",ChIJx3HtQbHQwoAR71DI0uqOw4s,"{'compound_code': '3X8F+MM El Monte, CA, USA', 'global_code': '85633X8F+MM'}",1.0,3.7,ChIJx3HtQbHQwoAR71DI0uqOw4s,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2232.0,"11612 Valley Boulevard, El Monte",
OPERATIONAL,"{'location': {'lat': 34.06386000000001, 'lng': -118.021171}, 'viewport': {'northeast': {'lat': 34.0652528802915, 'lng': -118.0199713197085}, 'southwest': {'lat': 34.0625549197085, 'lng': -118.0226692802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Great Buffet,{'open_now': True},"[{'height': 2772, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118394518349483087896"">Hal</a>'], 'photo_reference': 'AW30NDwQ24Kw5NG7nH7S1QYJJBKDPetV4nbxqnpGsR5BuYMD73ZpM_qb_2RSMctFnHyp4bNGddXwXaBA97-if0qfJWF0AJoPRCNcLscgxFzbWrhzFk_iSLE4GEIjFZGqkfCgxk0DsJnNS63zD39u4mU51jPxY0g6fIB4gQxhSsyrzdmZBkYs', 'width': 3886}]",ChIJhzXQ_7TQwoARHgpmUiqNZKQ,"{'compound_code': '3X7H+GG El Monte, CA, USA', 'global_code': '85633X7H+GG'}",1.0,4.1,ChIJhzXQ_7TQwoARHgpmUiqNZKQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1824.0,"11860 Valley Boulevard, El Monte",
OPERATIONAL,"{'location': {'lat': 34.063169, 'lng': -118.019374}, 'viewport': {'northeast': {'lat': 34.0644874802915, 'lng': -118.0179694197085}, 'southwest': {'lat': 34.0617895197085, 'lng': -118.0206673802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114203846968576492310"">Peter Chow</a>'], 'photo_reference': 'AW30NDyVOEhNEOiv-7BiyD82AMVjLSbmXDmmuKliYIwD9jlbqAvcNesJb4NQ1yw_qGigEzuJFNNXXARHanxnI9rEV8Ap9drAO7WEFKqCRR8aBsYKlUOMVFt34EiSg65qZ1tkgpU-aoUEu402hVLbakrCTIPBJiWfBbI0akOmGUlqRPY9o7EH', 'width': 4000}]",ChIJkRMlRrXQwoAR-V66Nykc4Ec,"{'compound_code': '3X7J+77 El Monte, CA, USA', 'global_code': '85633X7J+77'}",2.0,4.3,ChIJkRMlRrXQwoAR-V66Nykc4Ec,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",946.0,"11979 Garvey Avenue, El Monte",
