business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 31.80704729999999, 'lng': -106.4450734}, 'viewport': {'northeast': {'lat': 31.8083954802915, 'lng': -106.4436661697085}, 'southwest': {'lat': 31.8056975197085, 'lng': -106.4463641302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chico's Tacos,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105768370826999410839"">Stephanie Enaje</a>'], 'photo_reference': 'AW30NDzKFeAeDiSfNG6nYctljg9Xj223Kpprz1AimdSqJiC_t39jlI8k1wWGhH2afWidqCu4TyU5Ad0oIX97G4nAAtAA_U4n5zcClZ6y1dXeGpXi6Yq2Tnn19RwSwYBDzftrNkPInQfOm4ndG-iMqxhIJ0WZpVzzY0cY818ylV0FcNX33NZt', 'width': 4032}]",ChIJ-WPF6vlZ54YR5xAkCHvLfr4,"{'compound_code': 'RH43+RX El Paso, TX, USA', 'global_code': '853MRH43+RX'}",1.0,4.1,ChIJ-WPF6vlZ54YR5xAkCHvLfr4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4685.0,"3401 Dyer Street, El Paso",
OPERATIONAL,"{'location': {'lat': 31.8723703, 'lng': -106.4279615}, 'viewport': {'northeast': {'lat': 31.8735586802915, 'lng': -106.4264689197085}, 'southwest': {'lat': 31.8708607197085, 'lng': -106.4291668802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103891324636927190844"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDw2-AMbtmg4F2Fb0pDEgkR9QH3XlRuaAVTMrZJ0xoflyxk9MZbDyjpveK_5JwDQhkISK251_DBu2XhfVKv7tUYIXiRxkOEo158w_rS4yJ18iGYqavC-b07ucaHWapMggDTVsoOS4ppIxWsuiMEqHRTcJZzvhpjhISjeN7HUgqJnTkXO', 'width': 720}]",ChIJy0jLbCVR54YRQd8QIDddKJo,"{'compound_code': 'VHCC+WR El Paso, TX, USA', 'global_code': '853MVHCC+WR'}",1.0,3.7,ChIJy0jLbCVR54YRQd8QIDddKJo,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",362.0,"9155 Dyer Street, El Paso",
OPERATIONAL,"{'location': {'lat': 31.81617499999999, 'lng': -106.4040024}, 'viewport': {'northeast': {'lat': 31.81756408029149, 'lng': -106.4026853697085}, 'southwest': {'lat': 31.81486611970849, 'lng': -106.4053833302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110131218170650447110"">Lavernius Montgomery</a>'], 'photo_reference': 'AW30NDwuP8Pzzh4p0DRC9coutVL1TA56t7qHE_jh4vNZdoRjDSCHSJX5EpcqsVJI5gZrOWB8cHo82lapAB9kCSMXOHvhxJlwe7lflsbhCwbFbE3dKcrh6yuFs6tkFwfcQHAfWIxU6roxOdm9jEbD-bsHkOl2DIM9AYi3nZrxGJg1Zgql9Fuj', 'width': 3024}]",ChIJM4oWF3pa54YRNqPV-cVwi4s,"{'compound_code': 'RH8W+F9 El Paso, TX, USA', 'global_code': '853MRH8W+F9'}",1.0,4.0,ChIJM4oWF3pa54YRNqPV-cVwi4s,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",171.0,"7100 Airport Road, El Paso",
OPERATIONAL,"{'location': {'lat': 31.8273019, 'lng': -106.4454873}, 'viewport': {'northeast': {'lat': 31.8286682302915, 'lng': -106.4439668697085}, 'southwest': {'lat': 31.8259702697085, 'lng': -106.4466648302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118229351927745375207"">Jose Gaston Barriga</a>'], 'photo_reference': 'AW30NDxq5x_V8F4JW1HL1xTuZDJIU7PInTDKAe0r8qviKcacNc9GSzAuaFaaeZSh3dDvCxcbU826rU7ktdVK9O0Et4nH2LOZ1WqPI2clI8pXfJrEsZfbr9p-z3UJ4yX2sId5geWumUrPUkA8yl14ZWZKsQuezoc_LiKFFChFnAO7jblA6lnG', 'width': 4750}]",ChIJn0CPDlJX54YREKnZgctXQR0,"{'compound_code': 'RHG3+WR El Paso, TX, USA', 'global_code': '853MRHG3+WR'}",1.0,3.5,ChIJn0CPDlJX54YREKnZgctXQR0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",310.0,"5415 Dyer Street, El Paso",
OPERATIONAL,"{'location': {'lat': 31.786285, 'lng': -106.417029}, 'viewport': {'northeast': {'lat': 31.7875941802915, 'lng': -106.4157931697085}, 'southwest': {'lat': 31.7848962197085, 'lng': -106.4184911302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Los Bandidos De Carlos & Mickey's,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110594788238777354970"">Vishwa Seneviratne</a>'], 'photo_reference': 'AW30NDzNYkr_FyX1qY_cCFFXEacIIUjDS1IVBAWOc1kDhMvoQcyX-OZxE42ovh1WIN_TlXvIRwD1Rnfe3LhOqzQPSyA4RB-Wafx9gsUq5Gc0ZpF6QuPF48yw9mkQARag4MN7uUZ-0R5O_IF1QGMa4aQnPUU_tP9jPF8FXE7zvEib_YYw_SmT', 'width': 4080}]",ChIJkzopHEha54YR6rcLg4il8-4,"{'compound_code': 'QHPM+G5 El Paso, TX, USA', 'global_code': '853MQHPM+G5'}",2.0,4.4,ChIJkzopHEha54YR6rcLg4il8-4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4903.0,"1310 Magruder Street, El Paso",
OPERATIONAL,"{'location': {'lat': 31.8116212, 'lng': -106.4451139}, 'viewport': {'northeast': {'lat': 31.81298328029149, 'lng': -106.4436516197085}, 'southwest': {'lat': 31.81028531970849, 'lng': -106.4463495802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116365389451593592216"">BURN MY SOUL B.M.S</a>'], 'photo_reference': 'AW30NDxNcBRH-G4h5LVoXmL22NtddWNOeKLj7FEu-OfwldzVGv3Az5y7zkfK8S5GRxh1pgOYM565qAdANNh1digIlqz20JQL3XyAZhFwaHfFlDZP_2aSQkMmd288JSWxIPVBdHtwMOp5nenlwoKEBjfUO6kWbx5mHzv7tPUH2h0-STENgGEz', 'width': 2592}]",ChIJy7Euy_5Z54YRYH_VHKVXklA,"{'compound_code': 'RH63+JX El Paso, TX, USA', 'global_code': '853MRH63+JX'}",1.0,3.8,ChIJy7Euy_5Z54YRYH_VHKVXklA,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",450.0,"3907 Dyer Street, El Paso",
OPERATIONAL,"{'location': {'lat': 31.8262147, 'lng': -106.4395922}, 'viewport': {'northeast': {'lat': 31.8275133302915, 'lng': -106.4382653197085}, 'southwest': {'lat': 31.8248153697085, 'lng': -106.4409632802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brown Bag Deli,{'open_now': True},"[{'height': 456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111606369224839156757"">Brown Bag Deli</a>'], 'photo_reference': 'AW30NDyem2xNvkP4dMdZDVksgkJbxwlbVqf1OVbJ50n33GbhbcdDqk-KJx7lM2W5fZDKZ_uhaMkcLeXTFW_UioSM-ejXD_fc2MTOSCBWPDjki4NyovI2y5hCQwB7E47HoW_E7DHeqpQ1llm4IvEbzXm9n11qPsyn7NPggQcSX_QaHOuHGuFa', 'width': 1265}]",ChIJ93XcJ61Q54YRaw1uq-OxNZU,"{'compound_code': 'RHG6+F5 El Paso, TX, USA', 'global_code': '853MRHG6+F5'}",1.0,4.5,ChIJ93XcJ61Q54YRaw1uq-OxNZU,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1189.0,"4319 Fred Wilson Avenue, El Paso",
OPERATIONAL,"{'location': {'lat': 31.7922114, 'lng': -106.3949505}, 'viewport': {'northeast': {'lat': 31.7936667302915, 'lng': -106.3937615197085}, 'southwest': {'lat': 31.7909687697085, 'lng': -106.3964594802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cattle Baron,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108510841390985389574"">Aiden Frazier</a>'], 'photo_reference': 'AW30NDybQRxz9Hi50DlI2bW4bvzE3COaOXeU_808QUkGQsIGmSdN_H78sGBgEUGYduC5ex5BvchSKUUw5H4P9j4Svj63T_Tsr7op2OwIErERMdwJl2U0RzhsJaOg_HT0yyr47O08u_c8TYILAcYpZDO3uBPcg9Jrrgbh6itwPsfx4xAtRjot', 'width': 4032}]",ChIJayh9Rlha54YRM1f6yucjbN0,"{'compound_code': 'QJR4+V2 El Paso, TX, USA', 'global_code': '853MQJR4+V2'}",2.0,4.3,ChIJayh9Rlha54YRM1f6yucjbN0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2634.0,"1700 Airway Boulevard, El Paso",
OPERATIONAL,"{'location': {'lat': 31.8336541, 'lng': -106.4448568}, 'viewport': {'northeast': {'lat': 31.8349399802915, 'lng': -106.4435639197085}, 'southwest': {'lat': 31.8322420197085, 'lng': -106.4462618802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101360027598053301634"">Edgar Rivera</a>'], 'photo_reference': 'AW30NDxwWXUxfZhuQNDBoZC11e4vIFdoSeraLePoFsxVzDcBNLOCMVC6RXtGrAnDAnsowNSPRxA6qfWAawu8TAJKj9F4c5nFRLaFBM9OjU2VM35rveG-kuhkivvVZpyl1iHmdDjsMj-FMZIqdULXgzXWdIYje88rV569oydWdfOhcBowP1ey', 'width': 1920}]",ChIJG1KIi01X54YRbWvWAezwC18,"{'compound_code': 'RHM4+F3 El Paso, TX, USA', 'global_code': '853MRHM4+F3'}",1.0,4.0,ChIJG1KIi01X54YRbWvWAezwC18,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",347.0,"6110 Dyer Street, El Paso",
OPERATIONAL,"{'location': {'lat': 31.8169887, 'lng': -106.427269}, 'viewport': {'northeast': {'lat': 31.8183198302915, 'lng': -106.4262106697085}, 'southwest': {'lat': 31.8156218697085, 'lng': -106.4289086302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 1620, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118185351004238115694"">Ray&#39;s Random</a>'], 'photo_reference': 'AW30NDxDF_Q9dbXrAJwvpXGQtjnEC0LmCLzEBSPEV5OqeluyN9pYXkGwFRDjru_gMdEh1TfcN9iK_bEKe1svdffNTT03P2qKYD6z8-G2Eq3m_J6x8BKajjU-0STNVteilLgp-7NVpEk2YdiRxqM02O_DLREYmQtZRHoFFgjHcqZHCmlg2kc2', 'width': 3194}]",ChIJxRcW9RBa54YRWHsYVtkIgO0,"{'compound_code': 'RH8F+Q3 Fort Bliss, TX, USA', 'global_code': '853MRH8F+Q3'}",2.0,3.7,ChIJxRcW9RBa54YRWHsYVtkIgO0,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",924.0,"1617 Pleasonton Road #101, Fort Bliss",
